eye_packets,778
norm_X,norm_Y,phi,theta,confidence,timestamp
1581656442.8862212,"{'circle_3d': {'center': [2.080537837664644, -8.20132506921922, 75.59313919150664], 'normal': [-0.25973826192047433, -0.1314791643307584, -0.9566866073283437], 'radius': 15.9776819029008}, 'confidence': 0.02111337333376876, 'timestamp': 2972.842537, 'diameter_3d': 31.9553638058016, 'ellipse': {'center': [184.03789319202372, 55.9759657017224], 'axes': [248.60628914308248, 263.8715474235045], 'angle': 42.996700241690796}, 'location': [184.03789319202372, 55.9759657017224], 'diameter': 263.8715474235045, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 1.43893537665346, 'phi': -1.8359036177928942, 'norm_pos': [0.5751184162250741, 0.7667668095761566], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656442.8930078,"{'circle_3d': {'center': [2.523192740735883, -0.7286958857708496, 76.96897197708492], 'normal': [-0.22285035333120437, 0.49123993428993906, -0.8420338751968199], 'radius': 2.457054193150359}, 'confidence': 0.09413109530471075, 'timestamp': 2972.850937, 'diameter_3d': 4.914108386300718, 'ellipse': {'center': [180.44942922431954, 113.86705042854676], 'axes': [33.80223936653631, 39.60427185447786], 'angle': -68.12249054419442}, 'location': [180.44942922431954, 113.86705042854676], 'diameter': 39.60427185447786, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 2.08430904505045, 'phi': -1.8295217520578155, 'norm_pos': [0.5639044663259986, 0.5255539565477219], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656442.902345,"{'circle_3d': {'center': [0.34204463363737325, -4.07907401545237, 76.39859193214272], 'normal': [-0.4046126955894133, 0.21204175681647894, -0.8895655456086694], 'radius': 15.13581431885399}, 'confidence': 0.016233612462570254, 'timestamp': 2972.859337, 'diameter_3d': 30.27162863770798, 'ellipse': {'center': [171.6299698176012, 81.99547972008828], 'axes': [223.32600007466664, 246.9705587396492], 'angle': -21.721184668509082}, 'location': [171.6299698176012, 81.99547972008828], 'diameter': 246.9705587396492, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 1.784460080178511, 'phi': -1.9976704199580602, 'norm_pos': [0.5363436556800038, 0.6583521678329655], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656442.9091089,"{'circle_3d': {'center': [0.28706431082810724, -6.583475269114185, 76.12408511983351], 'normal': [-0.40919438915685225, 0.0033416523446611417, -0.9124411133011039], 'radius': 15.581505225810286}, 'confidence': 0.024748487949301085, 'timestamp': 2972.867737, 'diameter_3d': 31.163010451620572, 'ellipse': {'center': [172.1214791996377, 65.92165493765066], 'axes': [232.8017279745335, 255.67846000807816], 'angle': 10.642814257674322}, 'location': [172.1214791996377, 65.92165493765066], 'diameter': 255.67846000807816, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 1.5741379853587607, 'phi': -1.9923698056565686, 'norm_pos': [0.5378796224988678, 0.725326437759789], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656442.9185221,"{'circle_3d': {'center': [1.7344668434861248, -9.14506583373267, 75.86399850861264], 'normal': [-0.2885775114353507, -0.2101242280402124, -0.9341149975695096], 'radius': 16.38222926404111}, 'confidence': 0.02840160479354286, 'timestamp': 2972.876137, 'diameter_3d': 32.76445852808222, 'ellipse': {'center': [182.0997212730423, 50.523630576811826], 'axes': [245.40615720361248, 269.84718139752175], 'angle': 48.401989475297576}, 'location': [182.0997212730423, 50.523630576811826], 'diameter': 269.84718139752175, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 1.3590943039707513, 'phi': -1.8704268475375345, 'norm_pos': [0.5690616289782572, 0.7894848725966174], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656442.924135,"{'circle_3d': {'center': [2.514378307125702, -0.7460434361340091, 76.9612059942795], 'normal': [-0.22358488946538613, 0.48979430509300914, -0.8426810404306052], 'radius': 2.4321391581726717}, 'confidence': 0.30750895262526534, 'timestamp': 2972.884537, 'diameter_3d': 4.864278316345343, 'ellipse': {'center': [180.37841082599903, 113.73248926117434], 'axes': [33.491973133708285, 39.20623921123783], 'angle': -67.9730028640133}, 'location': [180.37841082599903, 113.73248926117434], 'diameter': 39.20623921123783, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 2.082650131608842, 'phi': -1.8301463086423033, 'norm_pos': [0.563682533831247, 0.5261146280784403], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656442.937639,"{'circle_3d': {'center': [-0.43398662030644886, -4.177534148184032, 76.76297584842933], 'normal': [-0.46928196675139877, 0.20383674575550728, -0.8592002192514522], 'radius': 15.380338254797412}, 'confidence': 0.013596202161311476, 'timestamp': 2972.892937, 'diameter_3d': 30.760676509594823, 'ellipse': {'center': [166.59983925903595, 81.49510682993757], 'axes': [217.52891140527447, 250.13607507529585], 'angle': -17.95835207857758}, 'location': [166.59983925903595, 81.49510682993757], 'diameter': 250.13607507529585, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 1.7760716861197094, 'phi': -2.070705563966679, 'norm_pos': [0.5206244976844874, 0.66043705487526], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656442.945772,"{'circle_3d': {'center': [-2.1929991092428676, -3.5975751432295544, 78.11651686882264], 'normal': [-0.6158663408294334, 0.2521666628350469, -0.746405134218676], 'radius': 15.961816476586819}, 'confidence': 0.026913094832990557, 'timestamp': 2972.901337, 'diameter_3d': 31.923632953173637, 'ellipse': {'center': [154.39032037791958, 85.94453079217286], 'axes': [190.9410106661953, 256.1185438444906], 'angle': -18.818216270840207}, 'location': [154.39032037791958, 85.94453079217286], 'diameter': 256.1185438444906, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 1.8257149503857995, 'phi': -2.2606618202610362, 'norm_pos': [0.48246975118099866, 0.6418977883659465], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656442.9538538,"{'circle_3d': {'center': [2.520759027785236, -0.7422160788111576, 76.96174036462146], 'normal': [-0.2230531627437583, 0.4901132515365801, -0.8426365095687746], 'radius': 2.4325069768495693}, 'confidence': 0.09525307903560165, 'timestamp': 2972.909737, 'diameter_3d': 4.865013953699139, 'ellipse': {'center': [180.42944095914717, 113.7631451748781], 'axes': [33.494161854158776, 39.21202874673503], 'angle': -68.04945296060401}, 'location': [180.42944095914717, 113.7631451748781], 'diameter': 39.21202874673503, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 2.0830160014428154, 'phi': -1.8295697939244726, 'norm_pos': [0.5638420029973349, 0.5259868951046746], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656442.961408,"{'circle_3d': {'center': [-0.3288356035498392, -3.2669815440161507, 76.96427203312574], 'normal': [-0.4605193820216813, 0.27971612943616403, -0.8424255371934186], 'radius': 15.119765886087567}, 'confidence': 0.015368061619868352, 'timestamp': 2972.918137, 'diameter_3d': 30.239531772175134, 'ellipse': {'center': [166.70905855481487, 87.68176085449798], 'axes': [209.809532531317, 245.1763660387423], 'angle': -27.441959227774603}, 'location': [166.70905855481487, 87.68176085449798], 'diameter': 245.1763660387423, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 1.8542947502451381, 'phi': -2.071070742906594, 'norm_pos': [0.5209658079837964, 0.634659329772925], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656442.969087,"{'circle_3d': {'center': [-0.6610383586870423, -4.111463394539852, 76.90637153702727], 'normal': [-0.4882029449497814, 0.20934264189252222, -0.8472505785349574], 'radius': 15.591346876159799}, 'confidence': 0.025687718956277267, 'timestamp': 2972.926537, 'diameter_3d': 31.182693752319597, 'ellipse': {'center': [165.27216000472973, 81.89283515998514], 'axes': [216.94260537402454, 253.23457327286127], 'angle': -18.00463405017649}, 'location': [165.27216000472973, 81.89283515998514], 'diameter': 253.23457327286127, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 1.7816989844498043, 'phi': -2.0935471775315646, 'norm_pos': [0.5164755000147804, 0.658779853500062], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
