eye_packets,778
norm_X,norm_Y,phi,theta,confidence,timestamp
1581656442.8862212,"{'circle_3d': {'center': [2.080537837664644, -8.20132506921922, 75.59313919150664], 'normal': [-0.25973826192047433, -0.1314791643307584, -0.9566866073283437], 'radius': 15.9776819029008}, 'confidence': 0.02111337333376876, 'timestamp': 2972.842537, 'diameter_3d': 31.9553638058016, 'ellipse': {'center': [184.03789319202372, 55.9759657017224], 'axes': [248.60628914308248, 263.8715474235045], 'angle': 42.996700241690796}, 'location': [184.03789319202372, 55.9759657017224], 'diameter': 263.8715474235045, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 1.43893537665346, 'phi': -1.8359036177928942, 'norm_pos': [0.5751184162250741, 0.7667668095761566], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656442.978281,"{'circle_3d': {'center': [-2.3177575633309626, -5.578709661523637, 77.77656674636323], 'normal': [-0.6262628786701081, 0.0870721196438735, -0.774734311090294], 'radius': 16.30279199203225}, 'confidence': 0.023217107726897224, 'timestamp': 2972.934937, 'diameter_3d': 32.6055839840645, 'ellipse': {'center': [154.646679573405, 72.86345993460552], 'axes': [201.121402602658, 262.96113568968696], 'angle': -2.827028957255929}, 'location': [154.646679573405, 72.86345993460552], 'diameter': 262.96113568968696, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 1.657978847172294, 'phi': -2.2506130295719373, 'norm_pos': [0.48327087366689064, 0.696402250272477], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656442.9852521,"{'circle_3d': {'center': [2.5226839636160086, -0.7252445546607618, 76.971120955183], 'normal': [-0.22289275142452725, 0.49152754521577974, -0.8418547936886466], 'radius': 2.4555543379043985}, 'confidence': 0.6564674362323941, 'timestamp': 2972.943337, 'diameter_3d': 4.911108675808797, 'ellipse': {'center': [180.44460672337922, 113.89525974425172], 'axes': [33.77278403147871, 39.57900331722912], 'angle': -68.13002633829181}, 'location': [180.44460672337922, 113.89525974425172], 'diameter': 39.57900331722912, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 2.0846392743185245, 'phi': -1.829621428818849, 'norm_pos': [0.5638893960105601, 0.5254364177322846], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656442.992939,"{'circle_3d': {'center': [-0.3863262068204696, -3.7494827831459547, 76.847840413651], 'normal': [-0.4653102656275673, 0.2395076928420138, -0.8521281721496471], 'radius': 15.355420002526108}, 'confidence': 0.016407661511344714, 'timestamp': 2972.951737, 'diameter_3d': 30.710840005052216, 'ellipse': {'center': [166.77242190679166, 84.30713317984572], 'axes': [215.56132053910707, 249.42379993989775], 'angle': -22.511589813256514}, 'location': [166.77242190679166, 84.30713317984572], 'diameter': 249.42379993989775, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 1.812655080522565, 'phi': -2.070606982930273, 'norm_pos': [0.521163818458724, 0.6487202784173095], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656443.001028,"{'circle_3d': {'center': [-1.2889737408276547, -5.8898574663867125, 77.00418519989675], 'normal': [-0.5405308934614991, 0.06114313590528384, -0.8390994399625002], 'radius': 15.9096668365662}, 'confidence': 0.037487391265102005, 'timestamp': 2972.960137, 'diameter_3d': 31.8193336731324, 'ellipse': {'center': [161.64642242582838, 70.5958680232412], 'axes': [215.9315778467602, 258.61095570706556], 'angle': 0.3456924447249763}, 'location': [161.64642242582838, 70.5958680232412], 'diameter': 258.61095570706556, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 1.6319776240309614, 'phi': -2.1430691175529875, 'norm_pos': [0.5051450700807136, 0.7058505499031618], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656443.009699,"{'circle_3d': {'center': [2.5296647274961477, -0.7159686050573297, 76.97469588424839], 'normal': [-0.2223110211011823, 0.49230054101606574, -0.841556882933197], 'radius': 2.4576486512679727}, 'confidence': 0.40615443669005186, 'timestamp': 2972.968537, 'diameter_3d': 4.915297302535945, 'ellipse': {'center': [180.49976651925988, 113.96952123510637], 'axes': [33.78606912310249, 39.61111595000892], 'angle': -68.23168273545812}, 'location': [180.49976651925988, 113.96952123510637], 'diameter': 39.61111595000892, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 2.085527118321608, 'phi': -1.8290629605048092, 'norm_pos': [0.5640617703726871, 0.5251269948537234], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656443.021064,"{'circle_3d': {'center': [-0.2935419377712529, -3.75985259898622, 76.79482394846131], 'normal': [-0.457578243206799, 0.23864354152199155, -0.8565462109154538], 'radius': 15.118453658937472}, 'confidence': 0.018002599539503027, 'timestamp': 2972.976937, 'diameter_3d': 30.236907317874945, 'ellipse': {'center': [167.12161110344402, 84.36532577448669], 'axes': [213.48739250122082, 245.66329206101315], 'angle': -22.75444988155698}, 'location': [167.12161110344402, 84.36532577448669], 'diameter': 245.66329206101315, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 1.8117651211958261, 'phi': -2.061438375495267, 'norm_pos': [0.5222550346982626, 0.6484778092729722], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656443.03046,"{'circle_3d': {'center': [-1.2469846882855418, -3.3040456620783303, 77.51039415271391], 'normal': [-0.5370318057496564, 0.27662745293098234, -0.7969153605610704], 'radius': 15.553895896152603}, 'confidence': 0.02383229200015098, 'timestamp': 2972.985337, 'diameter_3d': 31.107791792305207, 'ellipse': {'center': [160.72075272803175, 87.59120231353926], 'axes': [201.83144584887722, 250.9478329812483], 'angle': -23.649227785962754}, 'location': [160.72075272803175, 87.59120231353926], 'diameter': 250.9478329812483, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 1.8510791569136376, 'phi': -2.163781759060182, 'norm_pos': [0.5022523522750992, 0.6350366570269197], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656443.036761,"{'circle_3d': {'center': [-2.2779265745483332, -5.803963157593956, 77.72202702564245], 'normal': [-0.6229436296048889, 0.06830099497134688, -0.7792792878170258], 'radius': 16.2478759255705}, 'confidence': 0.02597266449712916, 'timestamp': 2972.993737, 'diameter_3d': 32.495751851141, 'ellipse': {'center': [154.89443425891022, 71.42507470401219], 'axes': [201.47177401230434, 262.2465760056833], 'angle': -0.9698796831463802}, 'location': [154.89443425891022, 71.42507470401219], 'diameter': 262.2465760056833, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 1.6391505378752302, 'phi': -2.245161730676279, 'norm_pos': [0.4840451070590944, 0.7023955220666158], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656443.0449111,"{'circle_3d': {'center': [2.541412686101786, -0.6946437726236079, 76.98410096444822], 'normal': [-0.22133202455071246, 0.4940776103855426, -0.8407731262498789], 'radius': 2.4644360576583497}, 'confidence': 0.4333457114419793, 'timestamp': 2973.002137, 'diameter_3d': 4.928872115316699, 'ellipse': {'center': [180.59196967108295, 114.13991307876344], 'axes': [33.8391725134512, 39.716052608873575], 'angle': -68.42252709176044}, 'location': [180.59196967108295, 114.13991307876344], 'diameter': 39.716052608873575, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 2.0875699103000054, 'phi': -1.8282045102214135, 'norm_pos': [0.5643499052221342, 0.5244170288384857], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656443.0535161,"{'circle_3d': {'center': [-0.7899037565393296, -3.8463219811013474, 77.05144777670432], 'normal': [-0.49894172810413884, 0.23143775967906433, -0.8351608918952033], 'radius': 15.317566213927515}, 'confidence': 0.013874821582307842, 'timestamp': 2973.010537, 'diameter_3d': 30.63513242785503, 'ellipse': {'center': [163.9007065217765, 83.88248174387707], 'axes': [209.6940726158381, 248.32207746973634], 'angle': -20.236294015497563}, 'location': [163.9007065217765, 83.88248174387707], 'diameter': 248.32207746973634, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 1.804351635158829, 'phi': -2.1093165276424144, 'norm_pos': [0.5121897078805515, 0.6504896594005123], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656443.060529,"{'circle_3d': {'center': [-0.950092280548331, -6.220394676012428, 76.77552329835979], 'normal': [-0.5122907717715558, 0.033598368436474256, -0.858154598423915], 'radius': 15.867329707329652}, 'confidence': 0.02917317711285968, 'timestamp': 2973.018937, 'diameter_3d': 31.734659414659305, 'ellipse': {'center': [164.0149611865357, 68.42306205761605], 'axes': [220.7528939687676, 258.58632036990457], 'angle': 3.9434043362049733}, 'location': [164.0149611865357, 68.42306205761605], 'diameter': 258.58632036990457, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 1.6044010196996779, 'phi': -2.1089833791187456, 'norm_pos': [0.512546753707924, 0.7149039080932664], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656443.0686321,"{'circle_3d': {'center': [2.5505637506908068, -0.6846206982683034, 76.98759172286307], 'normal': [-0.22056943583496075, 0.494912866581818, -0.8404822297153074], 'radius': 2.4351009912720727}, 'confidence': 0.09120502640159567, 'timestamp': 2973.027337, 'diameter_3d': 4.870201982544145, 'ellipse': {'center': [180.66137493973918, 114.22687263161559], 'axes': [33.42082984801241, 39.241605490586075], 'angle': -68.54708335501681}, 'location': [180.66137493973918, 114.22687263161559], 'diameter': 39.241605490586075, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 2.088530880335306, 'phi': -1.8274410434382762, 'norm_pos': [0.564566796686685, 0.5240546973682684], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656443.076513,"{'circle_3d': {'center': [-0.36837833479819704, -2.4910967385452016, 77.27823847268262], 'normal': [-0.46381460962571097, 0.34437319655874304, -0.8162616672303451], 'radius': 15.031872484459107}, 'confidence': 0.022874735280488463, 'timestamp': 2973.035737, 'diameter_3d': 30.063744968918215, 'ellipse': {'center': [166.00161153610685, 93.07992485953656], 'axes': [201.4816041308956, 242.84627758484513], 'angle': -34.042744146860294}, 'location': [166.00161153610685, 93.07992485953656], 'diameter': 242.84627758484513, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 1.9223673889159465, 'phi': -2.0875188517645165, 'norm_pos': [0.5187550360503339, 0.612166979751931], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656443.085223,"{'circle_3d': {'center': [-1.4787293488377857, -4.91018412481654, 77.25026142794536], 'normal': [-0.5563438607956767, 0.1427825810361315, -0.8185930876251163], 'radius': 15.479681931924961}, 'confidence': 0.027854382602310903, 'timestamp': 2973.044137, 'diameter_3d': 30.959363863849923, 'ellipse': {'center': [159.46256049508946, 77.11365246190027], 'axes': [205.2729080308874, 250.70056636117175], 'angle': -8.901320010192826}, 'location': [159.46256049508946, 77.11365246190027], 'diameter': 250.70056636117175, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 1.7140685616067586, 'phi': -2.16772280771848, 'norm_pos': [0.49832050154715457, 0.6786931147420823], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656443.092916,"{'circle_3d': {'center': [-1.4790142228854943, -6.509660922513284, 77.10279389270892], 'normal': [-0.5563676002996523, 0.009492847894736253, -0.8308820488948199], 'radius': 16.143257059268425}, 'confidence': 0.02925113750401823, 'timestamp': 2973.052537, 'diameter_3d': 32.28651411853685, 'ellipse': {'center': [160.68037073826756, 66.716816371312], 'axes': [215.33242532194555, 262.31791592224226], 'angle': 5.936164225399613}, 'location': [160.68037073826756, 66.716816371312], 'diameter': 262.31791592224226, 'sphere': {'center': [5.1973969807103355, -6.623575097250119, 87.07337847944676], 'radius': 12.0}, 'projected_sphere': {'center': [197.00770757162059, 72.83728928395237], 'axes': [170.89034857551036, 170.89034857551036], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2965.559736, 'theta': 1.5802893172687522, 'phi': -2.1608344134903494, 'norm_pos': [0.5021261585570861, 0.7220132651195332], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
