eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1582269303.388406,"{'circle_3d': {'center': [-2.3380013640674857, 0.9960638945561513, 17.43145161525444], 'normal': [0.3453721949326812, -0.8333378002506538, -0.4315856318748151], 'radius': 1.608036637639286}, 'confidence': 0.09194710068451303, 'timestamp': 58372.017624, 'diameter_3d': 3.216073275278572, 'ellipse': {'center': [75.47041867075988, 157.58576688503234], 'axes': [60.18076737650494, 115.46023411877556], 'angle': -71.28680524835589}, 'location': [75.47041867075988, 157.58576688503234], 'diameter': 115.46023411877556, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.5856774624504424, 'phi': -0.8959089064453256, 'norm_pos': [0.23584505834612463, 0.34339263797903186], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582269303.396828,"{'circle_3d': {'center': [-2.094166648143929, 1.0769438056570078, 17.476980671459412], 'normal': [0.3656917545929776, -0.8265978076589158, -0.427791543857734], 'radius': 1.6066951206979196}, 'confidence': 0.09248468939037398, 'timestamp': 58372.026024, 'diameter_3d': 3.2133902413958393, 'ellipse': {'center': [84.36697770919424, 160.3362511495238], 'axes': [59.74055713725222, 114.85405305799115], 'angle': -69.27820915930822}, 'location': [84.36697770919424, 160.3362511495238], 'diameter': 114.85405305799115, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.5977609501408495, 'phi': -0.863501214389498, 'norm_pos': [0.263646805341232, 0.3319322868769842], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582269303.4042938,"{'circle_3d': {'center': [-1.9395994502151828, 1.1427139610233397, 17.48478053497768], 'normal': [0.3785723544203731, -0.8211169613783881, -0.4271415552312116], 'radius': 1.6106150996194537}, 'confidence': 0.0923284163819807, 'timestamp': 58372.034424, 'diameter_3d': 3.2212301992389074, 'ellipse': {'center': [89.88586142142259, 162.66105656109787], 'axes': [59.950360541428374, 114.9703408359354], 'angle': -67.98418586719657}, 'location': [89.88586142142259, 162.66105656109787], 'diameter': 114.9703408359354, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.6074310816705181, 'phi': -0.8456062571413084, 'norm_pos': [0.2808933169419456, 0.32224559766209226], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582269303.4128928,"{'circle_3d': {'center': [-1.713047637109102, 1.2744065597313696, 17.43931214631926], 'normal': [0.3974516721792132, -0.810142578152719, -0.43093058761941333], 'radius': 1.6092529607908685}, 'confidence': 0.0989820308287491, 'timestamp': 58372.042824, 'diameter_3d': 3.218505921581737, 'ellipse': {'center': [97.76220354890773, 167.47984875750757], 'axes': [60.86421805762102, 115.02779976509397], 'angle': -66.00485503982596}, 'location': [97.76220354890773, 167.47984875750757], 'diameter': 115.02779976509397, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.6264010417270811, 'phi': -0.8257909955841423, 'norm_pos': [0.30550688609033666, 0.30216729684371846], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582269303.422848,"{'circle_3d': {'center': [-1.8405108523749796, 1.193463467872144, 17.476259630116758], 'normal': [0.38682973757372335, -0.8168878358076544, -0.4278516306362885], 'radius': 1.606360191775644}, 'confidence': 0.08892123579866025, 'timestamp': 58372.051223, 'diameter_3d': 3.212720383551288, 'ellipse': {'center': [93.37797033949433, 164.47791479931087], 'axes': [60.03398594851436, 114.65421662406015], 'angle': -67.13614956023635}, 'location': [93.37797033949433, 164.47791479931087], 'diameter': 114.65421662406015, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.6148017102435454, 'phi': -0.8357089690617365, 'norm_pos': [0.29180615731091974, 0.31467535500287136], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582269303.428582,"{'circle_3d': {'center': [-2.1072095330676985, 1.0620574028922682, 17.49466391769966], 'normal': [0.36460484751599676, -0.827838341222644, -0.42631794000437984], 'radius': 1.614185255396159}, 'confidence': 0.08159643187478453, 'timestamp': 58372.059623, 'diameter_3d': 3.228370510792318, 'ellipse': {'center': [83.97176010200248, 159.77855113104283], 'axes': [59.720180680162485, 115.28800163551108], 'angle': -69.39422099534276}, 'location': [83.97176010200248, 159.77855113104283], 'diameter': 115.28800163551108, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.5955531241854092, 'phi': -0.8632670895813132, 'norm_pos': [0.26241175031875774, 0.3342560369539882], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582269303.437512,"{'circle_3d': {'center': [-1.6116894297628903, 1.3485818828422005, 17.39506209332938], 'normal': [0.4058981894580642, -0.8039613012268165, -0.43461809203523677], 'radius': 1.6141223497522699}, 'confidence': 0.08765488795966046, 'timestamp': 58372.068023, 'diameter_3d': 3.2282446995045397, 'ellipse': {'center': [101.20329834319088, 170.28306069799163], 'axes': [61.858655050565005, 115.61678973906498], 'angle': -65.06755048111224}, 'location': [101.20329834319088, 170.28306069799163], 'diameter': 115.61678973906498, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.6368695734089781, 'phi': -0.8195542336274663, 'norm_pos': [0.3162603073224715, 0.2904872470917016], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582269303.450155,"{'circle_3d': {'center': [-2.1590486312137616, 1.0498719881969443, 17.47430865980612], 'normal': [0.36028492267049156, -0.8288537924472544, -0.42801421149550833], 'radius': 1.6126425714953878}, 'confidence': 0.08148876285507495, 'timestamp': 58372.076423, 'diameter_3d': 3.2252851429907756, 'ellipse': {'center': [82.03891274159415, 159.3975073961888], 'axes': [59.92160447309872, 115.35245877366695], 'angle': -69.81746399354864}, 'location': [82.03891274159415, 159.3975073961888], 'diameter': 115.35245877366695, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.5937405180876578, 'phi': -0.871105938749325, 'norm_pos': [0.2563716023174817, 0.33584371918254674], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582269303.4568472,"{'circle_3d': {'center': [-1.3973808564603427, 1.5657770606325254, 17.205798725783158], 'normal': [0.42375723723327646, -0.7858617030776226, -0.45039003933075517], 'radius': 1.611129990873316}, 'confidence': 0.08246724847797254, 'timestamp': 58372.084823, 'diameter_3d': 3.222259981746632, 'ellipse': {'center': [108.24698895593995, 178.75660935034048], 'axes': [65.01998689102903, 116.574368835092], 'angle': -62.84154996729492}, 'location': [108.24698895593995, 178.75660935034048], 'diameter': 116.574368835092, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.6667079963499759, 'phi': -0.8158559212302273, 'norm_pos': [0.33827184048731235, 0.2551807943735813], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582269303.4648252,"{'circle_3d': {'center': [-1.379448123316548, 1.6013357342885612, 17.160959330172645], 'normal': [0.425251631661926, -0.782898480272953, -0.45412665563163124], 'radius': 1.606129414873978}, 'confidence': 0.08572232939255243, 'timestamp': 58372.093223, 'diameter_3d': 3.212258829747956, 'ellipse': {'center': [108.75749705073589, 180.203343738924], 'axes': [65.57863888302082, 116.50613044746812], 'angle': -62.59194164477382}, 'location': [108.75749705073589, 180.203343738924], 'diameter': 116.50613044746812, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.6714852531621426, 'phi': -0.8182220954378875, 'norm_pos': [0.3398671782835497, 0.24915273442115005], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582269303.473275,"{'circle_3d': {'center': [-1.500282440371322, 1.4529858295333256, 17.308925843037358], 'normal': [0.4151821052406948, -0.7952609723358893, -0.44179611289290516], 'radius': 1.6059898898021954}, 'confidence': 0.08373566915958244, 'timestamp': 58372.101623, 'diameter_3d': 3.2119797796043907, 'ellipse': {'center': [104.89957974221753, 174.29696174937268], 'axes': [63.03510743729841, 115.54884676657785], 'angle': -63.95475229775784}, 'location': [104.89957974221753, 174.29696174937268], 'diameter': 115.54884676657785, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.6513584111592957, 'phi': -0.8164438259965906, 'norm_pos': [0.32781118669442977, 0.2737626593776138], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
