eye_packets,771
norm_X,norm_Y,phi,theta,confidence,timestamp
1582268587.8547351,"{'circle_3d': {'center': [1.0215691653412051, 14.17206873207925, 86.19345421533325], 'normal': [0.08052489940621588, 0.9283342110171051, -0.36292056049618887], 'radius': 1.4650416013305625}, 'confidence': 0.2925119891820124, 'timestamp': 57656.493989, 'diameter_3d': 2.930083202661125, 'ellipse': {'center': [167.3448791142917, 221.90663006178102], 'axes': [4.4129843585936515, 21.079144077034723], 'angle': 85.07057036476434}, 'location': [167.3448791142917, 221.90663006178102], 'diameter': 21.079144077034723, 'sphere': {'center': [0.055270372466614384, 3.032058199873987, 90.54850094128751], 'radius': 12.0}, 'projected_sphere': {'center': [160.37844503854924, 140.76098515579844], 'axes': [164.33182046435346, 164.33182046435346], 'angle': 90.0}, 'model_confidence': 0.9040086974321015, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.760702821479344, 'phi': -1.3524532978062205, 'norm_pos': [0.5229527472321616, 0.07538904140924574], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268587.8655381,"{'circle_3d': {'center': [1.0071353751228744, 14.183338365363431, 86.21919341149942], 'normal': [0.07932208355468834, 0.9292733471241204, -0.3607756274823413], 'radius': 1.487214262658529}, 'confidence': 0.15534960815514967, 'timestamp': 57656.502389, 'diameter_3d': 2.974428525317058, 'ellipse': {'center': [167.2388789103391, 221.9565622834846], 'axes': [4.428250264251916, 21.391861113536084], 'angle': 85.14828959583743}, 'location': [167.2388789103391, 221.9565622834846], 'diameter': 21.391861113536084, 'sphere': {'center': [0.055270372466614384, 3.032058199873987, 90.54850094128751], 'radius': 12.0}, 'projected_sphere': {'center': [160.37844503854924, 140.76098515579844], 'axes': [164.33182046435346, 164.33182046435346], 'angle': 90.0}, 'model_confidence': 0.9040086974321015, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.763237123382011, 'phi': -1.354374395935837, 'norm_pos': [0.5226214965948097, 0.07518099048548088], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268587.874409,"{'circle_3d': {'center': [0.19275211666128522, 13.960507720647698, 85.59369621840347], 'normal': [0.011456812016222569, 0.9107041267311424, -0.4129003935736707], 'radius': 1.4682989640302169}, 'confidence': 0.15248526870238818, 'timestamp': 57656.510789, 'diameter_3d': 2.9365979280604337, 'ellipse': {'center': [161.39568221573387, 221.07934179970098], 'axes': [5.624166530280832, 21.273914842465494], 'angle': 89.27627945667659}, 'location': [161.39568221573387, 221.07934179970098], 'diameter': 21.273914842465494, 'sphere': {'center': [0.055270372466614384, 3.032058199873987, 90.54850094128751], 'radius': 12.0}, 'projected_sphere': {'center': [160.37844503854924, 140.76098515579844], 'axes': [164.33182046435346, 164.33182046435346], 'angle': 90.0}, 'model_confidence': 0.9040086974321015, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.715781860579593, 'phi': -1.5430562874680227, 'norm_pos': [0.5043615069241684, 0.07883607583457919], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268587.88192,"{'circle_3d': {'center': [0.7975768094236637, 13.004862679754485, 83.91584295525148], 'normal': [0.06185886974642077, 0.8310670399900414, -0.5527214988363364], 'radius': 1.4794660460194333}, 'confidence': 0.11785226746255177, 'timestamp': 57656.519189, 'diameter_3d': 2.9589320920388666, 'ellipse': {'center': [165.88746213880034, 216.0167405208378], 'axes': [9.256864567828242, 21.864037354524495], 'angle': 85.79303690441375}, 'location': [165.88746213880034, 216.0167405208378], 'diameter': 21.864037354524495, 'sphere': {'center': [0.055270372466614384, 3.032058199873987, 90.54850094128751], 'radius': 12.0}, 'projected_sphere': {'center': [160.37844503854924, 140.76098515579844], 'axes': [164.33182046435346, 164.33182046435346], 'angle': 90.0}, 'model_confidence': 0.9040086974321015, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.5518198124390015, 'phi': -1.4593432264312245, 'norm_pos': [0.5183983191837511, 0.0999302478298425], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268587.890912,"{'circle_3d': {'center': [0.36098261078692256, 14.056441822581213, 85.81885975334039], 'normal': [0.02547601986002568, 0.9186986352256022, -0.3941367656622603], 'radius': 1.4884798767896539}, 'confidence': 0.17391929385683283, 'timestamp': 57656.527589, 'diameter_3d': 2.9769597535793078, 'ellipse': {'center': [162.60671536551808, 221.50929158200717], 'axes': [5.239474750543791, 21.509836956484147], 'angle': 88.41613997931118}, 'location': [162.60671536551808, 221.50929158200717], 'diameter': 21.509836956484147, 'sphere': {'center': [0.055270372466614384, 3.032058199873987, 90.54850094128751], 'radius': 12.0}, 'projected_sphere': {'center': [160.37844503854924, 140.76098515579844], 'axes': [164.33182046435346, 164.33182046435346], 'angle': 90.0}, 'model_confidence': 0.9040086974321015, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.735569147499312, 'phi': -1.5062486086385987, 'norm_pos': [0.508145985517244, 0.07704461840830346], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268587.8969731,"{'circle_3d': {'center': [0.7326060505777687, 14.311995634810678, 86.51065153311593], 'normal': [0.056444639842596185, 0.9399947862447241, -0.3364874506809651], 'radius': 1.464486531680415}, 'confidence': 0.13707865298243047, 'timestamp': 57656.535989, 'diameter_3d': 2.92897306336083, 'ellipse': {'center': [165.24836181103828, 222.54032003807134], 'axes': [3.7898784686302416, 20.99389882322475], 'angle': 86.57837165559874}, 'location': [165.24836181103828, 222.54032003807134], 'diameter': 20.99389882322475, 'sphere': {'center': [0.055270372466614384, 3.032058199873987, 90.54850094128751], 'radius': 12.0}, 'projected_sphere': {'center': [160.37844503854924, 140.76098515579844], 'axes': [164.33182046435346, 164.33182046435346], 'angle': 90.0}, 'model_confidence': 0.9040086974321015, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.793411350851179, 'phi': -1.404597047192867, 'norm_pos': [0.5164011306594947, 0.07274866650803602], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268587.907368,"{'circle_3d': {'center': [1.496869461261822, 13.613591546319256, 85.07557264783696], 'normal': [0.12013325739960067, 0.881794445537106, -0.45607735778754593], 'radius': 1.462134343434252}, 'confidence': 0.14887891941945716, 'timestamp': 57656.544389, 'diameter_3d': 2.924268686868504, 'ellipse': {'center': [170.9011596645638, 219.16047929239937], 'axes': [6.668893985375546, 21.313668025857023], 'angle': 82.31565337035993}, 'location': [170.9011596645638, 219.16047929239937], 'diameter': 21.313668025857023, 'sphere': {'center': [0.055270372466614384, 3.032058199873987, 90.54850094128751], 'radius': 12.0}, 'projected_sphere': {'center': [160.37844503854924, 140.76098515579844], 'axes': [164.33182046435346, 164.33182046435346], 'angle': 90.0}, 'model_confidence': 0.9040086974321015, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.6504498413655098, 'phi': -1.3132411127829247, 'norm_pos': [0.5340661239517619, 0.08683133628166928], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268587.915533,"{'circle_3d': {'center': [0.05656953375067621, 13.208334660819467, 84.18898871922309], 'normal': [0.00010826344033848526, 0.8480230384121237, -0.5299593518387021], 'radius': 1.5293873548872519}, 'confidence': 0.03863533526169324, 'timestamp': 57656.552789, 'diameter_3d': 3.0587747097745037, 'ellipse': {'center': [160.41668689145897, 217.20235719551613], 'axes': [8.942994980579245, 22.528667554944956], 'angle': 89.97775789097234}, 'location': [160.41668689145897, 217.20235719551613], 'diameter': 22.528667554944956, 'sphere': {'center': [0.055270372466614384, 3.032058199873987, 90.54850094128751], 'radius': 12.0}, 'projected_sphere': {'center': [160.37844503854924, 140.76098515579844], 'axes': [164.33182046435346, 164.33182046435346], 'angle': 90.0}, 'model_confidence': 0.9040086974321015, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.5830400087746157, 'phi': -1.5705920404879246, 'norm_pos': [0.5013021465358093, 0.09499017835201617], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268587.923744,"{'circle_3d': {'center': [0.1901377009057792, 12.570731112415148, 83.26869806818215], 'normal': [0.01123894403659707, 0.7948894093784302, -0.6066502394254474], 'radius': 1.4704196037200232}, 'confidence': 0.15187305282701583, 'timestamp': 57656.561189, 'diameter_3d': 2.9408392074400465, 'ellipse': {'center': [161.41468317316435, 213.5240376091536], 'axes': [10.65760896263576, 21.898985507924287], 'angle': 89.1856232147781}, 'location': [161.41468317316435, 213.5240376091536], 'diameter': 21.898985507924287, 'sphere': {'center': [0.055270372466614384, 3.032058199873987, 90.54850094128751], 'radius': 12.0}, 'projected_sphere': {'center': [160.37844503854924, 140.76098515579844], 'axes': [164.33182046435346, 164.33182046435346], 'angle': 90.0}, 'model_confidence': 0.9040086974321015, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.4896216186361877, 'phi': -1.5522722123119654, 'norm_pos': [0.5044208849161386, 0.11031650996186004], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268587.9288619,"{'circle_3d': {'center': [0.24381946940940424, 12.620914891173786, 83.33613124806206], 'normal': [0.015712424745232493, 0.7990713909416501, -0.601030807768788], 'radius': 1.4473329018538625}, 'confidence': 0.13558512924453625, 'timestamp': 57656.569589, 'diameter_3d': 2.894665803707725, 'ellipse': {'center': [161.81253912161546, 213.82471719122748], 'axes': [10.338402464964966, 21.537665454766753], 'angle': 88.87500866287152}, 'location': [161.81253912161546, 213.82471719122748], 'diameter': 21.537665454766753, 'sphere': {'center': [0.055270372466614384, 3.032058199873987, 90.54850094128751], 'radius': 12.0}, 'projected_sphere': {'center': [160.37844503854924, 140.76098515579844], 'axes': [164.33182046435346, 164.33182046435346], 'angle': 90.0}, 'model_confidence': 0.9040086974321015, 'model_id': 1, 'model_birth_timestamp': 57593.283516, 'theta': 2.4965454560100064, 'phi': -1.5446598183652087, 'norm_pos': [0.5056641847550483, 0.10906367836988551], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
