eye_packets,779
norm_X,norm_Y,phi,theta,confidence,timestamp
1603878816.3823712,"{'circle_3d': {'center': [-0.5945997641553076, 4.789787348877088, 28.796050874596666], 'normal': [-0.07524013134022774, 0.3516717552767296, -0.9330947964577283], 'radius': 1.943617706653922}, 'confidence': 0.9977568153720504, 'timestamp': 202308.172016, 'diameter_3d': 3.887235413307844, 'ellipse': {'center': [153.1011362808395, 175.94070107209126], 'axes': [39.99311048627067, 45.80054295301821], 'angle': -79.03083736967865}, 'location': [153.1011362808395, 175.94070107209126], 'diameter': 45.80054295301821, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.7131180518756053, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.9301526606876458, 'phi': -1.651257276948704, 'norm_pos': [0.47844105087762345, 0.2669137455329531], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878816.3888798,"{'circle_3d': {'center': [-0.5851932671950564, 4.7828317474501665, 28.792677521869845], 'normal': [-0.07445625659354013, 0.3510921218244861, -0.9333759091849634], 'radius': 1.9185917563878179}, 'confidence': 0.9856009573793143, 'timestamp': 202308.180416, 'diameter_3d': 3.8371835127756357, 'ellipse': {'center': [153.207478990013, 175.87789783896096], 'axes': [39.5045369782488, 45.21571134994141], 'angle': -79.1339900454654}, 'location': [153.207478990013, 175.87789783896096], 'diameter': 45.21571134994141, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.712559193539275, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.9295335477527342, 'phi': -1.650398686870721, 'norm_pos': [0.4787733718437906, 0.26717542567099595], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878816.397559,"{'circle_3d': {'center': [-0.6150107932374382, 4.798980495100879, 28.801185054842882], 'normal': [-0.07694105043040529, 0.3524378507953788, -0.932666948103877], 'radius': 1.9153109323639177}, 'confidence': 0.9984736242237673, 'timestamp': 202308.188816, 'diameter_3d': 3.8306218647278354, 'ellipse': {'center': [152.86113706164613, 176.05219089669947], 'axes': [39.36936317449865, 45.12517673127609], 'angle': -78.79362615228804}, 'location': [152.86113706164613, 176.05219089669947], 'diameter': 45.12517673127609, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.7125205280513414, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.9309711568623902, 'phi': -1.6531056847809698, 'norm_pos': [0.47769105331764417, 0.26644920459708554], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878816.4055328,"{'circle_3d': {'center': [-0.5910585303068345, 4.813820188235377, 28.80485281439932], 'normal': [-0.07494502851952164, 0.3536744918899204, -0.9323613014741735], 'radius': 1.948520196823688}, 'confidence': 0.9979556242004428, 'timestamp': 202308.197216, 'diameter_3d': 3.897040393647376, 'ellipse': {'center': [153.14490625564915, 176.20234358025863], 'axes': [40.02113489381964, 45.90222967531426], 'angle': -79.13356381679745}, 'location': [153.14490625564915, 176.20234358025863], 'diameter': 45.90222967531426, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.7124108578227539, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.9322929166013325, 'phi': -1.6510058316251415, 'norm_pos': [0.4785778320489036, 0.2658235684155891], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878816.4142709,"{'circle_3d': {'center': [-0.6212099895259653, 4.786660533918464, 28.79705023465626], 'normal': [-0.07745765012111588, 0.35141118736351096, -0.9330115164527618], 'radius': 1.9261574080718709}, 'confidence': 0.9995700928183419, 'timestamp': 202308.205616, 'diameter_3d': 3.8523148161437417, 'ellipse': {'center': [152.78904102430835, 175.9108629120958], 'axes': [39.62672098579782, 45.38733751153871], 'angle': -78.68434319149756}, 'location': [152.78904102430835, 175.9108629120958], 'diameter': 45.38733751153871, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.7124230898396533, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.9298743274025845, 'phi': -1.653625349967272, 'norm_pos': [0.47746575320096357, 0.26703807119960077], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878816.4208782,"{'circle_3d': {'center': [-0.6160979659121588, 4.8052078607329305, 28.803630002345145], 'normal': [-0.07703164815329867, 0.3529567979313831, -0.9324632024786883], 'radius': 1.9488017939375326}, 'confidence': 0.9975113136585588, 'timestamp': 202308.214016, 'diameter_3d': 3.8976035878750652, 'ellipse': {'center': [152.85267361786435, 176.10403600269478], 'axes': [40.03843225981719, 45.910835972671855], 'angle': -78.79526014194566}, 'location': [152.85267361786435, 176.10403600269478], 'diameter': 45.910835972671855, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.7128589551861464, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.9315257431290334, 'phi': -1.6532200902038596, 'norm_pos': [0.4776646050558261, 0.2662331833221051], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878816.429295,"{'circle_3d': {'center': [-0.6220012834655737, 4.800519182014404, 28.802345531319776], 'normal': [-0.07752359128274991, 0.35256607470483925, -0.9325702417308023], 'radius': 1.9678148343325197}, 'confidence': 0.9182611104439236, 'timestamp': 202308.222416, 'diameter_3d': 3.9356296686650394, 'ellipse': {'center': [152.78565313876447, 176.04236940357504], 'axes': [40.440588170264895, 46.36108341076732], 'angle': -78.70888412548572}, 'location': [152.78565313876447, 176.04236940357504], 'diameter': 46.36108341076732, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.712506407993363, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.9311081758752693, 'phi': -1.6537345881544676, 'norm_pos': [0.47745516605863897, 0.26649012748510403], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878816.437541,"{'circle_3d': {'center': [-0.599151161066817, 4.783430116088555, 28.794024828137506], 'normal': [-0.07561941441618686, 0.3511419858776852, -0.9332636336626583], 'radius': 1.959117155414088}, 'confidence': 0.9669093335675618, 'timestamp': 202308.230816, 'diameter_3d': 3.918234310828176, 'ellipse': {'center': [153.04927442393034, 175.8626850423384], 'axes': [40.32952834565069, 46.16922407190522], 'angle': -78.95742671622784}, 'location': [153.04927442393034, 175.8626850423384], 'diameter': 46.16922407190522, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.7115852336187944, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.9295868024486649, 'phi': -1.6516465509154976, 'norm_pos': [0.4782789825747823, 0.26723881232359004], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878816.445015,"{'circle_3d': {'center': [-0.5937878388572497, 4.789202709415629, 28.79576511001978], 'normal': [-0.07517247089872292, 0.351623035321608, -0.9331186101724688], 'radius': 1.92874002861993}, 'confidence': 0.9995335257459586, 'timestamp': 202308.239216, 'diameter_3d': 3.85748005723986, 'ellipse': {'center': [153.1089520859037, 175.94164123324856], 'axes': [39.688916680957966, 45.45019799553628], 'angle': -79.03972751972823}, 'location': [153.1089520859037, 175.94164123324856], 'diameter': 45.45019799553628, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.7121726932640682, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.9301006168223929, 'phi': -1.6511831903515102, 'norm_pos': [0.47846547526844907, 0.2669098281947977], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878816.452849,"{'circle_3d': {'center': [-0.625848617097307, 4.773881500425646, 28.792631335638475], 'normal': [-0.07784420241872769, 0.3503462679057761, -0.9333797580375773], 'radius': 1.9542022444500573}, 'confidence': 0.9432157314581451, 'timestamp': 202308.247616, 'diameter_3d': 3.9084044889001146, 'ellipse': {'center': [152.73700483929656, 175.75627633846844], 'axes': [40.24130403953656, 46.0555773389295], 'angle': -78.59330719994757}, 'location': [152.73700483929656, 175.75627633846844], 'diameter': 46.0555773389295, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.7112895235906302, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.9287371042487131, 'phi': -1.6540041169628452, 'norm_pos': [0.47730314012280173, 0.26768218192304816], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878816.464891,"{'circle_3d': {'center': [-0.6271063288249379, 4.791009411327602, 28.799180311750266], 'normal': [-0.0779490117293636, 0.3517735938142725, -0.9328340100282615], 'radius': 1.9106724156448356}, 'confidence': 0.9991480934673306, 'timestamp': 202308.256016, 'diameter_3d': 3.821344831289671, 'ellipse': {'center': [152.71905052081135, 175.96512630406016], 'axes': [39.29083260828527, 45.018953298928395], 'angle': -78.62022211431557}, 'location': [152.71905052081135, 175.96512630406016], 'diameter': 45.018953298928395, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.7114048122726868, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.9302614504276787, 'phi': -1.6541641502725768, 'norm_pos': [0.47724703287753545, 0.26681197373308263], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878816.473367,"{'circle_3d': {'center': [-0.6012403940246553, 4.791128006596886, 28.797093717124014], 'normal': [-0.07579351716267338, 0.35178347675337945, -0.9330078929137825], 'radius': 1.943628274282291}, 'confidence': 0.9963330589627355, 'timestamp': 202308.264416, 'diameter_3d': 3.887256548564582, 'ellipse': {'center': [153.02390902736295, 175.9544127381249], 'axes': [39.9850930428024, 45.7991586821624], 'angle': -78.94951942273448}, 'location': [153.02390902736295, 175.9544127381249], 'diameter': 45.7991586821624, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.7101873299345751, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.9302720081842073, 'phi': -1.6518539989023573, 'norm_pos': [0.47819971571050923, 0.2668566135911463], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878816.4817028,"{'circle_3d': {'center': [-0.6033401561898974, 4.8100166113070255, 28.804404613434627], 'normal': [-0.07596849734311023, 0.3533575271458911, -0.9323986515545648], 'radius': 1.951816041732866}, 'confidence': 0.9981731191985282, 'timestamp': 202308.272816, 'diameter_3d': 3.903632083465732, 'ellipse': {'center': [153.00194871310563, 176.15720023261338], 'axes': [40.09330642682514, 45.98064535949929], 'angle': -78.96872603342472}, 'location': [153.00194871310563, 176.15720023261338], 'diameter': 45.98064535949929, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.7102245815235553, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.931954072152167, 'phi': -1.6520931630592646, 'norm_pos': [0.4781310897284551, 0.2660116656974443], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878816.488975,"{'circle_3d': {'center': [-0.6093413011375579, 4.808356114420555, 28.804266008717644], 'normal': [-0.07646859275541526, 0.35321915240535184, -0.9324102019476467], 'radius': 1.9180697326342133}, 'confidence': 0.9990262474552541, 'timestamp': 202308.281216, 'diameter_3d': 3.8361394652684266, 'ellipse': {'center': [152.92827646762103, 176.15453126772195], 'axes': [39.400753047539, 45.18541321602122], 'angle': -78.88852754484277}, 'location': [152.92827646762103, 176.15453126772195], 'diameter': 45.18541321602122, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.7104493385217237, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.931806159166159, 'phi': -1.6526249473084615, 'norm_pos': [0.4779008639613157, 0.26602278638449184], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
