eye_packets,777
norm_X,norm_Y,phi,theta,confidence,timestamp
1603878801.505263,"{'circle_3d': {'center': [-0.6332111970565293, 4.792072678867009, 28.80009315647727], 'normal': [-0.07845775074866289, 0.35186219944255637, -0.9327579396343445], 'radius': 1.8374625464986456}, 'confidence': 0.9983513722775552, 'timestamp': 202293.295616, 'diameter_3d': 3.674925092997291, 'ellipse': {'center': [152.6401390907569, 176.01028316816172], 'axes': [37.77693502661735, 43.291711143090374], 'angle': -78.54517932635197}, 'location': [152.6401390907569, 176.01028316816172], 'diameter': 43.291711143090374, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.8731586261342406, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.930356107636872, 'phi': -1.6547125244383232, 'norm_pos': [0.4770004346586153, 0.2666238201326595], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878801.512991,"{'circle_3d': {'center': [-0.6635585216052746, 4.810129129468552, 28.809516848595003], 'normal': [-0.08098669446105833, 0.35336690365935164, -0.9319726319578668], 'radius': 1.8558699039157285}, 'confidence': 0.9978753471358532, 'timestamp': 202293.304016, 'diameter_3d': 3.711739807831457, 'ellipse': {'center': [152.29019658033542, 176.19500716436312], 'axes': [38.08323498434469, 43.7114916242568], 'angle': -78.20736184442174}, 'location': [152.29019658033542, 176.19500716436312], 'diameter': 43.7114916242568, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.8728615950777785, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.9319640952926835, 'phi': -1.657476728193298, 'norm_pos': [0.4759068643135482, 0.2658541368151537], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878801.521038,"{'circle_3d': {'center': [-0.701254050650028, 4.7808862859278545, 28.8018092144308], 'normal': [-0.0841279885481211, 0.35093000003096014, -0.9326149348048837], 'radius': 1.8755212740046687}, 'confidence': 0.9972575535979654, 'timestamp': 202293.312416, 'diameter_3d': 3.7510425480093375, 'ellipse': {'center': [151.85052413835996, 175.8588229219636], 'axes': [38.550332030206434, 44.186375797292115], 'angle': -77.65404406340588}, 'location': [151.85052413835996, 175.8588229219636], 'diameter': 44.186375797292115, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.8718985808795376, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.9293604093923125, 'phi': -1.6607594012067257, 'norm_pos': [0.47453288793237486, 0.2672549044918183], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878801.530506,"{'circle_3d': {'center': [-0.6513820617906292, 4.763158694990726, 28.790770395032148], 'normal': [-0.07997198947650454, 0.3494527007861995, -0.9335348364214379], 'radius': 1.8453089097306397}, 'confidence': 0.9979461466862782, 'timestamp': 202293.320816, 'diameter_3d': 3.6906178194612793, 'ellipse': {'center': [152.42654666387392, 175.68628917564382], 'axes': [38.01247484671251, 43.49066374026315], 'angle': -78.23999830769533}, 'location': [152.42654666387392, 175.68628917564382], 'diameter': 43.49066374026315, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.8712081896194102, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.927783240745455, 'phi': -1.6562534678587297, 'norm_pos': [0.476332958324606, 0.2679737951014841], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878801.537121,"{'circle_3d': {'center': [-0.6892658417598667, 4.790882203156294, 28.804500332140698], 'normal': [-0.08312897114060767, 0.35176299313333015, -0.9323906749957255], 'radius': 1.855382107533487}, 'confidence': 0.9957865464314792, 'timestamp': 202293.329216, 'diameter_3d': 3.710764215066974, 'ellipse': {'center': [151.98884252130816, 175.97991797148518], 'axes': [38.11408720628824, 43.7075811353958], 'angle': -77.83239349175795}, 'location': [151.98884252130816, 175.97991797148518], 'diameter': 43.7075811353958, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.8713138196286718, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.930250125967713, 'phi': -1.6597180156023505, 'norm_pos': [0.474965132879088, 0.2667503417854784], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878801.545015,"{'circle_3d': {'center': [-0.6931384247315258, 4.799785845387287, 28.808209503638412], 'normal': [-0.08345168638824592, 0.35250496331924625, -0.932081577370916], 'radius': 1.8532437885354605}, 'confidence': 0.9994326347678412, 'timestamp': 202293.337616, 'diameter_3d': 3.706487577070921, 'ellipse': {'center': [151.94436963032965, 176.0779516143318], 'axes': [38.04116990749866, 43.6516118114657], 'angle': -77.80730754421774}, 'location': [151.94436963032965, 176.0779516143318], 'diameter': 43.6516118114657, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.8711872667298781, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.9310428718702277, 'phi': -1.660090836503168, 'norm_pos': [0.47482615509478016, 0.2663418682736175], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878801.553359,"{'circle_3d': {'center': [-0.68306535713645, 4.804037034545699, 28.808920764003926], 'normal': [-0.08261226408865627, 0.3528592290824472, -0.9320223056737899], 'radius': 1.8520015075856051}, 'confidence': 0.9990869074796559, 'timestamp': 202293.346016, 'diameter_3d': 3.7040030151712102, 'ellipse': {'center': [152.0619710577234, 176.12682229551174], 'axes': [38.00950716542949, 43.62125240425041], 'angle': -77.94553948261937}, 'location': [152.0619710577234, 176.12682229551174], 'diameter': 43.62125240425041, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.8710018936074926, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.9314214648064922, 'phi': -1.65920293077415, 'norm_pos': [0.4751936595553857, 0.2661382404353677], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878801.561485,"{'circle_3d': {'center': [-0.7069966554730884, 4.789315170966082, 28.805504164478016], 'normal': [-0.0846065389500428, 0.3516324071174792, -0.9323070223009491], 'radius': 1.8622617732490832}, 'confidence': 0.9976473367542159, 'timestamp': 202293.354416, 'diameter_3d': 3.7245235464981663, 'ellipse': {'center': [151.78295380204463, 175.95656617520228], 'axes': [38.24861336618183, 43.86824474148456], 'angle': -77.60438995593198}, 'location': [151.78295380204463, 175.95656617520228], 'diameter': 43.86824474148456, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.8708883119354249, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.9301106279283111, 'phi': -1.661298080881416, 'norm_pos': [0.4743217306313895, 0.26684764093665714], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878801.569144,"{'circle_3d': {'center': [-0.6904783620206341, 4.7765357986149395, 28.799206484820825], 'normal': [-0.08323001449567162, 0.3505674594215506, -0.9328318289390483], 'radius': 1.8169112516221957}, 'confidence': 0.9995224148585452, 'timestamp': 202293.362816, 'diameter_3d': 3.6338225032443914, 'ellipse': {'center': [151.96900268786166, 175.83991614938606], 'axes': [37.36386179315828, 42.808646761213005], 'angle': -77.77848866385703}, 'location': [151.96900268786166, 175.83991614938606], 'diameter': 42.808646761213005, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.8709285097536879, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.9289732739112044, 'phi': -1.659783648493327, 'norm_pos': [0.4749031333995677, 0.2673336827108914], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878801.577306,"{'circle_3d': {'center': [-0.6876460870403849, 4.752483654499695, 28.78994477622761], 'normal': [-0.08299399158065085, 0.34856311407861357, -0.9336036379884829], 'radius': 1.8490153229146304}, 'confidence': 0.9978331577059933, 'timestamp': 202293.371216, 'diameter_3d': 3.698030645829261, 'ellipse': {'center': [152.00325591812827, 175.56143818974238], 'axes': [38.09736850275739, 43.579355649525105], 'angle': -77.74956143604687}, 'location': [152.00325591812827, 175.56143818974238], 'diameter': 43.579355649525105, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.870299963646437, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.9268339632094986, 'phi': -1.6594596493419125, 'norm_pos': [0.47501017474415086, 0.2684940075427401], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878801.588984,"{'circle_3d': {'center': [-0.690975752768, 4.769354952829421, 28.796554858714906], 'normal': [-0.08327146372461879, 0.34996905560609065, -0.9330527977812083], 'radius': 1.8298482483864225}, 'confidence': 0.9992592646043635, 'timestamp': 202293.379616, 'diameter_3d': 3.659696496772845, 'ellipse': {'center': [151.96394191727936, 175.7550679597456], 'axes': [37.65081516886151, 43.117556437381104], 'angle': -77.75285785372918}, 'location': [151.96394191727936, 175.7550679597456], 'diameter': 43.117556437381104, 'sphere': {'center': [0.30828181192742526, 0.5697262855563322, 39.993188432089404], 'radius': 12.0}, 'projected_sphere': {'center': [162.61439588870581, 124.83158590944299], 'axes': [203.5329328598554, 203.5329328598554], 'angle': 90.0}, 'model_confidence': 0.8701027559896546, 'model_id': 10, 'model_birth_timestamp': 202249.876016, 'theta': 1.9283343968531426, 'phi': -1.6598067576259332, 'norm_pos': [0.474887318491498, 0.26768721683439334], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
