eye_packets,779
norm_X,norm_Y,phi,theta,confidence,timestamp
1581484222.161532,"{'circle_3d': {'center': [-0.27879404240039896, 0.09217052121922675, 0.4594750775536749], 'normal': [0.10751903835052673, -0.22939379506364907, -0.9673769395527653], 'radius': 0.24947974521089053}, 'confidence': 0.005811640014690778, 'timestamp': 351905.625761, 'diameter_3d': 0.49895949042178106, 'ellipse': {'center': [-242.82899561300803, 288.1144226238342], 'axes': [660.6965384213473, 761.5630045890251], 'angle': 53.31672593542991}, 'location': [-242.82899561300803, 288.1144226238342], 'diameter': 761.5630045890251, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.3393415027462696, 'phi': -1.4601057032431741, 'norm_pos': [-0.7588406112906501, -0.20047676093264233], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.16946,"{'circle_3d': {'center': [-0.1581865635302686, -0.24506881888855991, 0.5587994666001386], 'normal': [0.11756966158970424, -0.25749707340596456, -0.9590999071322265], 'radius': 0.24943930815901544}, 'confidence': 0.005420008449980129, 'timestamp': 351905.634161, 'diameter_3d': 0.4988786163180309, 'ellipse': {'center': [-32.515672024913215, -125.31560356030664], 'axes': [480.31233577148345, 574.6918889598265], 'angle': -87.49695252461612}, 'location': [-32.515672024913215, -125.31560356030664], 'diameter': 574.6918889598265, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.3103652943778659, 'phi': -1.4488215249696372, 'norm_pos': [-0.1016114750778538, 1.5221483481679443], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.177805,"{'circle_3d': {'center': [-0.169608964739262, -0.21862648755029834, 0.550339243733692], 'normal': [0.11661779482228814, -0.2552935457944428, -0.9598049257044305], 'radius': 0.2494590151984249}, 'confidence': 0.008826544645733432, 'timestamp': 351905.64256, 'diameter_3d': 0.4989180303968498, 'ellipse': {'center': [-48.71442774451236, -98.62409258860046], 'axes': [494.69720365532316, 585.286213315559], 'angle': -89.57027775088605}, 'location': [-48.71442774451236, -98.62409258860046], 'diameter': 585.286213315559, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.312645029537664, 'phi': -1.4498874212375437, 'norm_pos': [-0.15223258670160114, 1.4109337191191687], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.186583,"{'circle_3d': {'center': [0.05760410302175023, -0.22097764106047002, 0.58085317495296], 'normal': [0.13555221713570584, -0.2554894752536238, -0.957262098102825], 'radius': 0.2498369527227029}, 'confidence': 0.012759417114607903, 'timestamp': 351905.65096, 'diameter_3d': 0.4996739054454058, 'ellipse': {'center': [207.33522521639856, -91.08433859034395], 'axes': [458.0588427096952, 538.2106311117909], 'angle': -66.74892050942097}, 'location': [207.33522521639856, -91.08433859034395], 'diameter': 538.2106311117909, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.3124423797489952, 'phi': -1.430127490261014, 'norm_pos': [0.6479225788012455, 1.3795180774597664], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.195085,"{'circle_3d': {'center': [-0.07617218482211419, -0.22334150408123365, 0.5633333780608183], 'normal': [0.12440419314871713, -0.25568646383868743, -0.9587220811771701], 'radius': 0.24975819656284223}, 'confidence': 0.0073093980200543175, 'timestamp': 351905.65936, 'diameter_3d': 0.49951639312568447, 'ellipse': {'center': [60.04148212916867, -99.42048242367349], 'axes': [481.38709176017034, 562.2005377717815], 'angle': -80.4910522614321}, 'location': [60.04148212916867, -99.42048242367349], 'diameter': 562.2005377717815, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.3122386235656034, 'phi': -1.4417569147726739, 'norm_pos': [0.1876296316536521, 1.4142520100986395], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.2026072,"{'circle_3d': {'center': [-0.053295605743195695, 0.24063417921652874, 0.4524746007542948], 'normal': [0.126310574738627, -0.2170218235638739, -0.9679603126193803], 'radius': 0.24968380326489203}, 'confidence': 0.01789579242657289, 'timestamp': 351905.667759, 'diameter_3d': 0.49936760652978407, 'ellipse': {'center': [62.00824740561541, 496.617496123308], 'axes': [688.3623608436803, 769.0430297052088], 'angle': 19.084909624492806}, 'location': [62.00824740561541, 496.617496123308], 'diameter': 769.0430297052088, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.3520337854419266, 'phi': -1.4410380401435998, 'norm_pos': [0.19377577314254815, -1.0692395671804502], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.2099688,"{'circle_3d': {'center': [0.17224818944315823, 0.08878342323541855, 0.5193265887525946], 'normal': [0.14510589100415652, -0.22967605322896645, -0.9623893136195222], 'radius': 0.249661252242291}, 'confidence': 0.008078649069402364, 'timestamp': 351905.676159, 'diameter_3d': 0.499322504484582, 'ellipse': {'center': [348.85040654535004, 260.0557192666304], 'axes': [557.859354116188, 623.2759725695977], 'angle': -24.4896898295585}, 'location': [348.85040654535004, 260.0557192666304], 'diameter': 623.2759725695977, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.3390515016746283, 'phi': -1.4211468507903224, 'norm_pos': [1.0901575204542189, -0.08356549694429316], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.218524,"{'circle_3d': {'center': [0.14692081478017194, -0.13235969558175054, 0.5705426907997388], 'normal': [0.14299527644890764, -0.2481046464637305, -0.9581213051155933], 'radius': 0.2494719830000435}, 'confidence': 0.005596907271484939, 'timestamp': 351905.684559, 'diameter_3d': 0.498943966000087, 'ellipse': {'center': [305.70037238626526, 2.5028587017432358], 'axes': [474.84728315574256, 547.5636503921969], 'angle': -53.78970190889098}, 'location': [305.70037238626526, 2.5028587017432358], 'diameter': 547.5636503921969, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.3200730911759098, 'phi': -1.4226443751907, 'norm_pos': [0.9553136637070789, 0.9895714220760699], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.225245,"{'circle_3d': {'center': [-0.07025404244078581, 0.2362153859625673, 0.4512656689678227], 'normal': [0.12489737168049449, -0.21739005633503736, -0.9680610569349196], 'radius': 0.24944684064230788}, 'confidence': 0.013053994859269816, 'timestamp': 351905.692958, 'diameter_3d': 0.49889368128461575, 'ellipse': {'center': [38.232820375960756, 491.54370254450555], 'axes': [690.6631528858815, 771.2713541110041], 'angle': 21.513703157691282}, 'location': [38.232820375960756, 491.54370254450555], 'diameter': 771.2713541110041, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.3516565463880656, 'phi': -1.442487052333244, 'norm_pos': [0.11947756367487736, -1.0480987606021066], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.23493,"{'circle_3d': {'center': [-0.06787667416934218, -0.2550648547574079, 0.5729209920101592], 'normal': [0.12509548570311482, -0.2583300763950353, -0.9579231133480585], 'radius': 0.24945349251823043}, 'confidence': 0.008758476688594191, 'timestamp': 351905.701358, 'diameter_3d': 0.49890698503646086, 'ellipse': {'center': [71.07186364395793, -130.8561653670389], 'axes': [464.05094053314906, 551.664647349216], 'angle': -79.17591588903873}, 'location': [71.07186364395793, -130.8561653670389], 'diameter': 551.664647349216, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.309503122346006, 'phi': -1.4409408574360094, 'norm_pos': [0.2220995738873685, 1.5452340223626622], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.246471,"{'circle_3d': {'center': [0.04708416895587808, -0.21904802433738357, 0.5788536554727841], 'normal': [0.1346755559635498, -0.2553286738600332, -0.9574287247261727], 'radius': 0.2502150330405386}, 'confidence': 0.012673447061371143, 'timestamp': 351905.709757, 'diameter_3d': 0.5004300660810772, 'ellipse': {'center': [196.05496837153925, -89.56180901539588], 'axes': [461.9327893806078, 541.1537675229357], 'angle': -67.70936051396855}, 'location': [196.05496837153925, -89.56180901539588], 'diameter': 541.1537675229357, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.312608697386586, 'phi': -1.4310494119627273, 'norm_pos': [0.6126717761610602, 1.3731742042308162], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
