eye_packets,779
norm_X,norm_Y,phi,theta,confidence,timestamp
1581484222.161532,"{'circle_3d': {'center': [-0.27879404240039896, 0.09217052121922675, 0.4594750775536749], 'normal': [0.10751903835052673, -0.22939379506364907, -0.9673769395527653], 'radius': 0.24947974521089053}, 'confidence': 0.005811640014690778, 'timestamp': 351905.625761, 'diameter_3d': 0.49895949042178106, 'ellipse': {'center': [-242.82899561300803, 288.1144226238342], 'axes': [660.6965384213473, 761.5630045890251], 'angle': 53.31672593542991}, 'location': [-242.82899561300803, 288.1144226238342], 'diameter': 761.5630045890251, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.3393415027462696, 'phi': -1.4601057032431741, 'norm_pos': [-0.7588406112906501, -0.20047676093264233], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.254894,"{'circle_3d': {'center': [0.053465828967197426, 0.2449804377413627, 0.46593084847310706], 'normal': [0.1352073609644931, -0.21665963535347108, -0.9668389586428127], 'radius': 0.24936836330762374}, 'confidence': 0.007768787792228085, 'timestamp': 351905.718157, 'diameter_3d': 0.4987367266152475, 'ellipse': {'center': [208.8419217431149, 490.1042852793028], 'axes': [654.8290647393, 737.0359650351281], 'angle': 4.567156479629507}, 'location': [208.8419217431149, 490.1042852793028], 'diameter': 737.0359650351281, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.352404801235155, 'phi': -1.4318526455261702, 'norm_pos': [0.6526310054472341, -1.0421011886637617], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.2625222,"{'circle_3d': {'center': [0.15601062038596902, -0.13990989604433635, 0.5738609718741241], 'normal': [0.14375276024939074, -0.24873382983561268, -0.957844781692728], 'radius': 0.24963591600254553}, 'confidence': 0.00501537546232936, 'timestamp': 351905.726557, 'diameter_3d': 0.49927183200509107, 'ellipse': {'center': [314.8171187118051, -5.160970706847479], 'axes': [469.23637660002464, 544.8235573910915], 'angle': -53.649521061100835}, 'location': [314.8171187118051, -5.160970706847479], 'diameter': 544.8235573910915, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.319423546253883, 'phi': -1.4218287373661036, 'norm_pos': [0.983803495974391, 1.0215040446118644], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.269598,"{'circle_3d': {'center': [-0.07033185646625317, 0.2382972868105444, 0.4507883096490879], 'normal': [0.12489088717837221, -0.2172165645977059, -0.9681008368781475], 'radius': 0.2498077206203895}, 'confidence': 0.010410734222014715, 'timestamp': 351905.734956, 'diameter_3d': 0.499615441240779, 'ellipse': {'center': [37.89342808989129, 495.0145409510005], 'axes': [692.3816904122891, 774.0877804258192], 'angle': 21.460592096405858}, 'location': [37.89342808989129, 495.0145409510005], 'diameter': 774.0877804258192, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.3518342853529812, 'phi': -1.4424988554914047, 'norm_pos': [0.11841696278091027, -1.0625605872958355], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.279051,"{'circle_3d': {'center': [-0.1692722816696417, 0.2130815899511158, 0.44413273425277744], 'normal': [0.1166458517447565, -0.21931787266932498, -0.9686554681611734], 'radius': 0.24985232632943727}, 'confidence': 0.0067827797845844175, 'timestamp': 351905.743356, 'diameter_3d': 0.49970465265887454, 'ellipse': {'center': [-103.61898989649887, 465.89700998030276], 'axes': [703.5071648568364, 796.7747878358434], 'angle': 34.464625773358335}, 'location': [-103.61898989649887, 465.89700998030276], 'diameter': 796.7747878358434, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.3496810604993654, 'phi': -1.4509530169051543, 'norm_pos': [-0.323809343426559, -0.9412375415845948], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.285666,"{'circle_3d': {'center': [0.17743805057191597, -0.016693539602939733, 0.5457945487347544], 'normal': [0.14553837943155296, -0.2384658001321629, -0.9601836502876752], 'radius': 0.2496362016850193}, 'confidence': 0.006971906534244666, 'timestamp': 351905.751756, 'diameter_3d': 0.4992724033700386, 'ellipse': {'center': [346.48193194770647, 130.9131247710024], 'axes': [514.8042953245798, 579.9715052042794], 'angle': -39.56666884645923}, 'location': [346.48193194770647, 130.9131247710024], 'diameter': 579.9715052042794, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.330010557900834, 'phi': -1.4203678776264805, 'norm_pos': [1.0827560373365828, 0.45452864678748994], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.293959,"{'circle_3d': {'center': [0.16047860458011343, -0.11984984515207353, 0.5693415773124464], 'normal': [0.14412509226556944, -0.24706215892792413, -0.9582213979062012], 'radius': 0.24965283671589547}, 'confidence': 0.00867189687485176, 'timestamp': 351905.760155, 'diameter_3d': 0.49930567343179094, 'ellipse': {'center': [320.82380021037636, 16.073644064268365], 'axes': [476.63853063385915, 549.8221549150172], 'angle': -51.72032102635528}, 'location': [320.82380021037636, 16.073644064268365], 'diameter': 549.8221549150172, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.3211490779139625, 'phi': -1.4215064337922179, 'norm_pos': [1.0025743756574261, 0.9330264830655485], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.3014379,"{'circle_3d': {'center': [-0.057902953183035066, 0.23963561111121745, 0.45209822819849776], 'normal': [0.12592662911864042, -0.21710503757264987, -0.9679916769990302], 'radius': 0.24965347496451779}, 'confidence': 0.017439369595950733, 'timestamp': 351905.768555, 'diameter_3d': 0.49930694992903557, 'ellipse': {'center': [55.54060041810588, 495.5788621162888], 'axes': [689.1822091441753, 769.8913384775761], 'angle': 19.738354024760977}, 'location': [55.54060041810588, 495.5788621162888], 'diameter': 769.8913384775761, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.3519485389435855, 'phi': -1.4414322182342185, 'norm_pos': [0.1735643763065809, -1.0649119254845365], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.3094442,"{'circle_3d': {'center': [0.18306875790309185, -0.0192614306635015, 0.547287520291027], 'normal': [0.1460076050424843, -0.2386797910538764, -0.9600592359913193], 'radius': 0.2495604371163093}, 'confidence': 0.00525218301761107, 'timestamp': 351905.776955, 'diameter_3d': 0.4991208742326186, 'ellipse': {'center': [352.45286803388314, 127.84829473167432], 'axes': [511.5399946893764, 578.3310418922783], 'angle': -39.67100640315165}, 'location': [352.45286803388314, 127.84829473167432], 'diameter': 578.3310418922783, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.329790204180477, 'phi': -1.4198709438146, 'norm_pos': [1.1014152126058847, 0.46729877195135705], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.3183439,"{'circle_3d': {'center': [0.043129924153344934, -0.23187862690470062, 0.5817273268840211], 'normal': [0.13434603556333874, -0.25639789074064306, -0.95718925210857], 'radius': 0.2496719701004484}, 'confidence': 0.03199157915276759, 'timestamp': 351905.785354, 'diameter_3d': 0.4993439402008968, 'ellipse': {'center': [191.77148525922286, -102.54019453132358], 'axes': [455.7779249853293, 537.5198795262742], 'angle': -68.40988063888891}, 'location': [191.77148525922286, -102.54019453132358], 'diameter': 537.5198795262742, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.3115026638776714, 'phi': -1.4313524948870033, 'norm_pos': [0.5992858914350714, 1.4272508105471815], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.329271,"{'circle_3d': {'center': [0.0537143011248995, -0.2150965859743117, 0.578735092070394], 'normal': [0.13522806697763493, -0.2549993873297772, -0.9574386050097052], 'radius': 0.2498849979942174}, 'confidence': 0.027276624300273805, 'timestamp': 351905.793754, 'diameter_3d': 0.4997699959884348, 'ellipse': {'center': [203.2505312761044, -85.40332847981779], 'axes': [461.71657915427363, 540.3345631240408], 'angle': -66.94934944853587}, 'location': [203.2505312761044, -85.40332847981779], 'diameter': 540.3345631240408, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.3129492572046961, 'phi': -1.430485004829504, 'norm_pos': [0.6351579102378262, 1.3558472019992407], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.338277,"{'circle_3d': {'center': [0.05409061239454971, -0.2175184256673255, 0.5794335453130159], 'normal': [0.13525942625010576, -0.25520120730419504, -0.95738040057282], 'radius': 0.25011304085223085}, 'confidence': 0.019047055322374704, 'timestamp': 351905.802154, 'diameter_3d': 0.5002260817044617, 'ellipse': {'center': [203.59593305068287, -87.75183114577328], 'axes': [460.94378114452473, 540.1930910044076], 'angle': -66.9846103737348}, 'location': [203.59593305068287, -87.75183114577328], 'diameter': 540.1930910044076, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.3127405314543126, 'phi': -1.4304444716325675, 'norm_pos': [0.636237290783384, 1.3656326297740553], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.346285,"{'circle_3d': {'center': [0.17809893570113822, 0.012684619505091366, 0.538638221420614], 'normal': [0.14559345319232148, -0.23601762020649364, -0.9607800108971869], 'radius': 0.24960736605412645}, 'confidence': 0.008542658471135887, 'timestamp': 351905.810553, 'diameter_3d': 0.4992147321082529, 'ellipse': {'center': [349.506261959504, 165.54397464980372], 'axes': [526.4022248437152, 590.514198253781], 'angle': -35.58231256864196}, 'location': [349.506261959504, 165.54397464980372], 'diameter': 590.514198253781, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.332530686619893, 'phi': -1.4204038126736345, 'norm_pos': [1.09220706862345, 0.31023343895915123], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.353458,"{'circle_3d': {'center': [-0.06864152588290517, -0.23850279254522855, 0.5683675568708964], 'normal': [0.12503174806031786, -0.2569499045440203, -0.95830256627633], 'radius': 0.24946329630658687}, 'confidence': 0.012362149481601062, 'timestamp': 351905.818953, 'diameter_3d': 0.49892659261317374, 'ellipse': {'center': [69.38646290178431, -114.44700661076297], 'axes': [472.2089069840993, 556.0320161079351], 'angle': -79.47689505104728}, 'location': [69.38646290178431, -114.44700661076297], 'diameter': 556.0320161079351, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.310931515489201, 'phi': -1.4410570968942178, 'norm_pos': [0.21683269656807597, 1.4768625275448457], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.361452,"{'circle_3d': {'center': [-0.03525099743193527, 0.24462879364682344, 0.4539484511775935], 'normal': [0.1278142920978987, -0.216688939028016, -0.967837491750772], 'radius': 0.24969394578873225}, 'confidence': 0.020615608684159382, 'timestamp': 351905.827353, 'diameter_3d': 0.4993878915774645, 'ellipse': {'center': [87.25672784245944, 500.7432369168405], 'axes': [684.6421009361927, 765.6098567641193], 'angle': 16.542520463309557}, 'location': [87.25672784245944, 500.7432369168405], 'diameter': 765.6098567641193, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.3523747844811516, 'phi': -1.439494395378203, 'norm_pos': [0.27267727450768575, -1.0864301538201686], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581484222.369694,"{'circle_3d': {'center': [-0.1534816177909588, 0.20963249456637234, 0.4468267273608344], 'normal': [0.11796174040131341, -0.21960529728472025, -0.968430968735502], 'radius': 0.24959223856009904}, 'confidence': 0.018846918593366645, 'timestamp': 351905.835752, 'diameter_3d': 0.4991844771201981, 'ellipse': {'center': [-79.71288261923235, 458.58531860722894], 'axes': [698.9162550063666, 786.057051759444], 'angle': 33.20243968038601}, 'location': [-79.71288261923235, 458.58531860722894], 'diameter': 786.057051759444, 'sphere': {'center': [-1.5690225026067197, 2.8448960619830155, 12.067998352186859], 'radius': 12.0}, 'projected_sphere': {'center': [79.39061282355206, 266.1580874437095], 'axes': [1233.013095108981, 1233.013095108981], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 35, 'model_birth_timestamp': 350441.706975, 'theta': 1.3493864537055817, 'phi': -1.4495863641750288, 'norm_pos': [-0.24910275818510108, -0.910772160863454], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
