eye_packets,765
norm_X,norm_Y,phi,theta,confidence,timestamp
1596180060.7446458,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7464524397335479}, 'confidence': 0.0016896986599835265, 'timestamp': 53962.080476, 'diameter_3d': 1.4929048794670958, 'ellipse': {'center': [1099.7056452969841, 171.7704746664262], 'axes': [692.0011323294826, 4590.628027926808], 'angle': -61.33143953845426}, 'location': [1099.7056452969841, 171.7704746664262], 'diameter': 4590.628027926808, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.4365801415530752, 0.2842896888898908], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.8375082,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7466223489399879}, 'confidence': 0.001898065762751328, 'timestamp': 53962.172876, 'diameter_3d': 1.4932446978799758, 'ellipse': {'center': [1101.0440700823074, 173.38831515813223], 'axes': [693.5760869147541, 4597.314622158694], 'angle': -61.325052142576915}, 'location': [1101.0440700823074, 173.38831515813223], 'diameter': 4597.314622158694, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.4407627190072105, 0.27754868684111567], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.845692,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7464821732111742}, 'confidence': 0.0012669421556736366, 'timestamp': 53962.181276, 'diameter_3d': 1.4929643464223483, 'ellipse': {'center': [1099.9394212656887, 172.05305478023348], 'axes': [692.2762550750388, 4591.796400851807], 'angle': -61.3303236672434}, 'location': [1099.9394212656887, 172.05305478023348], 'diameter': 4591.796400851807, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.437310691455277, 0.2831122717490272], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.857576,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7464289970463381}, 'confidence': 0.0019013033957955973, 'timestamp': 53962.189676, 'diameter_3d': 1.4928579940926763, 'ellipse': {'center': [1099.5214621937218, 171.54784065246076], 'axes': [691.7843637591874, 4589.707374757129], 'angle': -61.33231875511357}, 'location': [1099.5214621937218, 171.54784065246076], 'diameter': 4589.707374757129, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.4360045693553807, 0.28521733061474686], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.8667321,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7464559023899395}, 'confidence': 0.0027456765965676857, 'timestamp': 53962.198076, 'diameter_3d': 1.492911804779879, 'ellipse': {'center': [1099.732860370093, 171.80337128321338], 'axes': [692.0331615204698, 4590.764054284043], 'angle': -61.33130962938069}, 'location': [1099.732860370093, 171.80337128321338], 'diameter': 4590.764054284043, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.4366651886565407, 0.28415261965327754], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.8725781,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7464746154856187}, 'confidence': 0.0031675662681812985, 'timestamp': 53962.206476, 'diameter_3d': 1.4929492309712373, 'ellipse': {'center': [1099.8799817444662, 171.98120639151756], 'axes': [692.206304121991, 4591.499350573113], 'angle': -61.33060737825889}, 'location': [1099.8799817444662, 171.98120639151756], 'diameter': 4591.499350573113, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.437124942951457, 0.28341164003534347], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.8819149,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7464579533426242}, 'confidence': 0.0032736321978269088, 'timestamp': 53962.214876, 'diameter_3d': 1.4929159066852484, 'ellipse': {'center': [1099.7489812252015, 171.82285760208538], 'axes': [692.0521339293416, 4590.844628285915], 'angle': -61.33123267829602}, 'location': [1099.7489812252015, 171.82285760208538], 'diameter': 4590.844628285915, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.436715566328755, 0.2840714266579776], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.889397,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7466636212609491}, 'confidence': 0.001686554958564071, 'timestamp': 53962.223276, 'diameter_3d': 1.4933272425218982, 'ellipse': {'center': [1101.370113758215, 173.78242520953626], 'axes': [693.9596798996673, 4598.942530583535], 'angle': -61.323496612021444}, 'location': [1101.370113758215, 173.78242520953626], 'diameter': 4598.942530583535, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.441781605494422, 0.2759065616269323], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.8963368,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7464634416931792}, 'confidence': 0.0026398983600847033, 'timestamp': 53962.231676, 'diameter_3d': 1.4929268833863585, 'ellipse': {'center': [1099.7921250338086, 171.87500831036124], 'axes': [692.1029089443618, 4591.060261757307], 'angle': -61.33102673833486}, 'location': [1099.7921250338086, 171.87500831036124], 'diameter': 4591.060261757307, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.436850390730652, 0.2838541320401615], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.90399,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7464994192844558}, 'confidence': 0.0026390617972852403, 'timestamp': 53962.240076, 'diameter_3d': 1.4929988385689117, 'ellipse': {'center': [1100.0751025341829, 172.2170614936045], 'axes': [692.4359271399375, 4592.4744238039575], 'angle': -61.32967606865741}, 'location': [1100.0751025341829, 172.2170614936045], 'diameter': 4592.4744238039575, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.4377346954193215, 0.28242891044331464], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.913619,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7464366193178326}, 'confidence': 0.0023236593258281865, 'timestamp': 53962.248476, 'diameter_3d': 1.4928732386356651, 'ellipse': {'center': [1099.5813356139274, 171.6202135229035], 'axes': [691.8548308775974, 4590.006669830045], 'angle': -61.33203293704382}, 'location': [1099.5813356139274, 171.6202135229035], 'diameter': 4590.006669830045, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.436191673793523, 0.28491577698790205], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.921216,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7465072976491566}, 'confidence': 0.0012666617232969316, 'timestamp': 53962.256876, 'diameter_3d': 1.4930145952983132, 'ellipse': {'center': [1100.1371055947752, 172.29200859794202], 'axes': [692.5088918339807, 4592.784242111597], 'angle': -61.329380142040335}, 'location': [1100.1371055947752, 172.29200859794202], 'diameter': 4592.784242111597, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.4379284549836724, 0.2821166308419083], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.929974,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.746482701288295}, 'confidence': 0.002639450545245497, 'timestamp': 53962.265276, 'diameter_3d': 1.49296540257659, 'ellipse': {'center': [1099.9435749066974, 172.0580755544148], 'axes': [692.281143222113, 4591.817158291677], 'angle': -61.33030384170466}, 'location': [1099.9435749066974, 172.0580755544148], 'diameter': 4591.817158291677, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.4373236715834294, 0.28309135185660494], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.940914,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7464874065563029}, 'confidence': 0.0024281938443398727, 'timestamp': 53962.273676, 'diameter_3d': 1.4929748131126057, 'ellipse': {'center': [1099.9805872571624, 172.10281477318824], 'axes': [692.3247004280262, 4592.002121407481], 'angle': -61.33012718116112}, 'location': [1099.9805872571624, 172.10281477318824], 'diameter': 4592.002121407481, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.4374393351786323, 0.28290493844504894], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.96366,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 53962.290476, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.968422,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 53962.298876, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
