eye_packets,765
norm_X,norm_Y,phi,theta,confidence,timestamp
1596180060.7446458,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7464524397335479}, 'confidence': 0.0016896986599835265, 'timestamp': 53962.080476, 'diameter_3d': 1.4929048794670958, 'ellipse': {'center': [1099.7056452969841, 171.7704746664262], 'axes': [692.0011323294826, 4590.628027926808], 'angle': -61.33143953845426}, 'location': [1099.7056452969841, 171.7704746664262], 'diameter': 4590.628027926808, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.4365801415530752, 0.2842896888898908], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.7520719,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7463774872204306}, 'confidence': 0.00243054477469011, 'timestamp': 53962.088876, 'diameter_3d': 1.4927549744408612, 'ellipse': {'center': [1099.1171719345584, 171.0591489016441], 'axes': [691.3085162265146, 4587.686075424917], 'angle': -61.334248875222805}, 'location': [1099.1171719345584, 171.0591489016441], 'diameter': 4587.686075424917, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.434741162295495, 0.2872535462431496], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.7606819,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7466087295196385}, 'confidence': 0.002320136991852692, 'timestamp': 53962.097276, 'diameter_3d': 1.493217459039277, 'ellipse': {'center': [1100.9365590804732, 173.25835966568945], 'axes': [693.4495933575013, 4596.777746251196], 'angle': -61.32556510881125}, 'location': [1100.9365590804732, 173.25835966568945], 'diameter': 4596.777746251196, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.440426747126479, 0.2780901680596273], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.772152,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.746603848899359}, 'confidence': 0.0016874450264940995, 'timestamp': 53962.105676, 'diameter_3d': 1.493207697798718, 'ellipse': {'center': [1100.8980413568947, 173.2118008052043], 'axes': [693.4042740718528, 4596.585390961871], 'angle': -61.325748892782855}, 'location': [1100.8980413568947, 173.2118008052043], 'diameter': 4596.585390961871, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.440306379240296, 0.27828416331164874], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.78087,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7463563581506134}, 'confidence': 0.002219605550503568, 'timestamp': 53962.114076, 'diameter_3d': 1.4927127163012268, 'ellipse': {'center': [1098.9514965222838, 170.85888632925764], 'axes': [691.1135049417836, 4586.857592249169], 'angle': -61.335039904649086}, 'location': [1098.9514965222838, 170.85888632925764], 'diameter': 4586.857592249169, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.434223426632137, 0.28808797362809313], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.7887301,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7464535556377216}, 'confidence': 0.0033793641112678254, 'timestamp': 53962.122476, 'diameter_3d': 1.4929071112754433, 'ellipse': {'center': [1099.7144155727892, 171.7810758652966], 'axes': [692.0114540142926, 4590.671863800483], 'angle': -61.33139767407657}, 'location': [1099.7144155727892, 171.7810758652966], 'diameter': 4590.671863800483, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.4366075486649663, 0.2842455172279308], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.796111,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7465007661406823}, 'confidence': 0.0026390304773034052, 'timestamp': 53962.130876, 'diameter_3d': 1.4930015322813646, 'ellipse': {'center': [1100.0857014139817, 172.22987304423407], 'axes': [692.4483998851595, 4592.527385496964], 'angle': -61.32962548213862}, 'location': [1100.0857014139817, 172.22987304423407], 'diameter': 4592.527385496964, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.4377678169186927, 0.28237552898235807], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.804804,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7463888989749052}, 'confidence': 0.002324635502548317, 'timestamp': 53962.139276, 'diameter_3d': 1.4927777979498105, 'ellipse': {'center': [1099.2066920578582, 171.167357657104], 'axes': [691.4138845822603, 4588.133692626626], 'angle': -61.33382147399575}, 'location': [1099.2066920578582, 171.167357657104], 'diameter': 4588.133692626626, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.4350209126808067, 0.28680267642873336], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.8122292,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7465539937455142}, 'confidence': 0.0009496053267211284, 'timestamp': 53962.147676, 'diameter_3d': 1.4931079874910285, 'ellipse': {'center': [1100.504876942602, 172.73655758173572], 'axes': [692.9416617642427, 4594.621649491015], 'angle': -61.327624985014246}, 'location': [1100.504876942602, 172.73655758173572], 'diameter': 4594.621649491015, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.4390777404456316, 0.2802643434094345], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.821423,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7462299899756261}, 'confidence': 0.0012697553349056271, 'timestamp': 53962.156076, 'diameter_3d': 1.4924599799512521, 'ellipse': {'center': [1097.962596479873, 169.66353897137265], 'axes': [689.9493545937371, 4581.9104191300885], 'angle': -61.339762439160936}, 'location': [1097.962596479873, 169.66353897137265], 'diameter': 4581.9104191300885, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.4311331139996026, 0.2930685876192807], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180060.82914,"{'circle_3d': {'center': [0.36156828796117635, -0.4683356724160186, 0.5177873466106071], 'normal': [0.2706727300772433, -0.5698925788433815, -0.7758599885106667], 'radius': 0.7463952710332055}, 'confidence': 0.00369807639995579, 'timestamp': 53962.164476, 'diameter_3d': 1.492790542066411, 'ellipse': {'center': [1099.256690003574, 171.22779340364139], 'axes': [691.4727330349986, 4588.383679179059], 'angle': -61.33358277169765}, 'location': [1099.256690003574, 171.22779340364139], 'diameter': 4588.383679179059, 'sphere': {'center': [-2.886504472965743, 6.37037527370456, 9.828107208738608], 'radius': 12.0}, 'projected_sphere': {'center': [-22.093330407254655, 521.8711422057986], 'axes': [1514.0249982997263, 1514.0249982997263], 'angle': 90.0}, 'model_confidence': 0.16623822928873988, 'model_id': 54, 'model_birth_timestamp': 53931.270382, 'theta': 0.9644212048378924, 'phi': -1.2351303176535806, 'norm_pos': [3.435177156261169, 0.28655086081816095], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
