eye_packets,787
norm_X,norm_Y,phi,theta,confidence,timestamp
1580974150.5438359,"{'circle_3d': {'center': [-4.450661285723896, 4.005093063122628, 56.637886652729634], 'normal': [0.04130441159182122, 0.4990018201327591, -0.865616040220632], 'radius': 2.168621949428902}, 'confidence': 0.26983907055044376, 'timestamp': 12096.929343, 'diameter_3d': 4.337243898857804, 'ellipse': {'center': [111.22936060096076, 163.46605284481691], 'axes': [39.47827036233007, 47.62370968414674], 'angle': -88.27913013084485}, 'location': [111.22936060096076, 163.46605284481691], 'diameter': 47.62370968414674, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.0932428865535995, 'phi': -1.5231157110487057, 'norm_pos': [0.3475917518780024, 0.3188914464799295], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.550705,"{'circle_3d': {'center': [-4.459825351470204, 4.0102223668741, 56.64041187935723], 'normal': [0.04054073944629556, 0.49942926211204863, -0.8654056046683325], 'radius': 2.1669179512042174}, 'confidence': 0.21900834143567247, 'timestamp': 12096.937743, 'diameter_3d': 4.333835902408435, 'ellipse': {'center': [111.13185005583505, 163.52067287082588], 'axes': [39.42937179698953, 47.584318702857786], 'angle': -88.19295742663182}, 'location': [111.13185005583505, 163.52067287082588], 'diameter': 47.584318702857786, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.0937361963294103, 'phi': -1.5239846097280532, 'norm_pos': [0.3472870314244845, 0.31866386303822547], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.558984,"{'circle_3d': {'center': [-4.365210596031204, 4.015370592703174, 56.64825050352024], 'normal': [0.04842530239954556, 0.499858280931138, -0.8647523859880816], 'radius': 2.1396694864494594}, 'confidence': 0.21445649686543844, 'timestamp': 12096.946143, 'diameter_3d': 4.279338972898919, 'ellipse': {'center': [112.16968355220232, 163.58050043413948], 'axes': [38.92062208128611, 46.97760939098895], 'angle': -89.1290579070712}, 'location': [112.16968355220232, 163.58050043413948], 'diameter': 46.97760939098895, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.09423146703707, 'phi': -1.5148557137746939, 'norm_pos': [0.35053026110063223, 0.3184145815244188], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.5670779,"{'circle_3d': {'center': [-4.278146361587842, 4.020537721880222, 56.656482595483936], 'normal': [0.05568065526982577, 0.5002888750292255, -0.8640663783244402], 'radius': 2.1624016080903647}, 'confidence': 0.19762471318391106, 'timestamp': 12096.954543, 'diameter_3d': 4.3248032161807295, 'ellipse': {'center': [113.12287616651582, 163.62300080852154], 'axes': [39.316680269794944, 47.46843157218849], 'angle': -89.99019652217406}, 'location': [113.12287616651582, 163.62300080852154], 'diameter': 47.46843157218849, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.0947286986767937, 'phi': -1.5064450501316102, 'norm_pos': [0.35350898802036196, 0.3182374966311603], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.576119,"{'circle_3d': {'center': [-4.293656965810255, 4.025723735573333, 56.65849885084677], 'normal': [0.054388104917957994, 0.5007210428369847, -0.8638983570442044], 'radius': 2.1795040789018256}, 'confidence': 0.21063978040425707, 'timestamp': 12096.962943, 'diameter_3d': 4.359008157803651, 'ellipse': {'center': [112.95480280611315, 163.67203878697487], 'axes': [39.61071828580596, 47.84259570553404], 'angle': -89.83988504854308}, 'location': [112.95480280611315, 163.67203878697487], 'diameter': 47.84259570553404, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.095227891248473, 'phi': -1.5079227045530497, 'norm_pos': [0.3529837587691036, 0.31803317172093803], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.5824718,"{'circle_3d': {'center': [-4.300581148216608, 4.030928614851337, 56.66108365060555], 'normal': [0.05381108971742856, 0.5011547827768181, -0.8636829570643056], 'radius': 2.1596413261139205}, 'confidence': 0.2712784563611915, 'timestamp': 12096.971343, 'diameter_3d': 4.319282652227841, 'ellipse': {'center': [112.88269536331006, 163.73372554813042], 'axes': [39.232128446672334, 47.40439384632131], 'angle': -89.77461782788264}, 'location': [112.88269536331006, 163.73372554813042], 'diameter': 47.40439384632131, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.095729044752, 'phi': -1.5085725411317423, 'norm_pos': [0.35275842301034394, 0.3177761435494566], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.592434,"{'circle_3d': {'center': [-4.217176564479816, 4.3448351929807725, 56.85533511420047], 'normal': [0.06076147169549459, 0.5273136642876046, -0.8474953350980623], 'radius': 2.162727736485355}, 'confidence': 0.24500052478172465, 'timestamp': 12096.979743, 'diameter_3d': 4.32545547297071, 'ellipse': {'center': [113.9472679877277, 166.99809913981343], 'axes': [38.19652883026383, 47.30911199519384], 'angle': 89.28304056777448}, 'location': [113.9472679877277, 166.99809913981343], 'diameter': 47.30911199519384, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.1262321591875923, 'phi': -1.4992234461780058, 'norm_pos': [0.35608521246164904, 0.30417458691744403], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.603025,"{'circle_3d': {'center': [-4.230346734558143, 4.328125242099814, 56.84402244956856], 'normal': [0.059663957522300644, 0.5259211683808579, -0.8484380571507212], 'radius': 2.165707814172831}, 'confidence': 0.1777976034236246, 'timestamp': 12096.988143, 'diameter_3d': 4.331415628345662, 'ellipse': {'center': [113.7950946338414, 166.82450324903706], 'axes': [38.3097453689264, 47.383952382365145], 'angle': 89.4127859947313}, 'location': [113.7950946338414, 166.82450324903706], 'diameter': 47.383952382365145, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.1245941256570986, 'phi': -1.5005897893243805, 'norm_pos': [0.3556096707307544, 0.3048979031290122], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.6114078,"{'circle_3d': {'center': [-3.9856623729460563, 3.394388286788726, 56.34063551946039], 'normal': [0.08005432098997456, 0.44810975543826737, -0.8903869679930688], 'radius': 2.152849148469127}, 'confidence': 0.12917114895865076, 'timestamp': 12096.996543, 'diameter_3d': 4.305698296938254, 'ellipse': {'center': [116.06199539957065, 157.00351736183444], 'axes': [41.07980825605507, 47.51622064977106], 'angle': 87.11214429135927}, 'location': [116.06199539957065, 157.00351736183444], 'diameter': 47.51622064977106, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.035446124329295, 'phi': -1.4811278438477626, 'norm_pos': [0.36269373562365825, 0.3458186776590232], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.6189818,"{'circle_3d': {'center': [-3.7973764881606202, 3.472320837109208, 56.39888775782178], 'normal': [0.09574481138876088, 0.4546041346316408, -0.8855326147962862], 'radius': 2.147353020575254}, 'confidence': 0.21662189220969016, 'timestamp': 12097.004943, 'diameter_3d': 4.294706041150508, 'ellipse': {'center': [118.16567398141105, 157.82166693631524], 'axes': [40.698343735228704, 47.34185447950692], 'angle': 85.0657032368403}, 'location': [118.16567398141105, 157.82166693631524], 'diameter': 47.34185447950692, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.042724044305404, 'phi': -1.463093557257802, 'norm_pos': [0.36926773119190953, 0.3424097210986865], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.627274,"{'circle_3d': {'center': [-4.772280742224876, 3.0385542977596267, 56.12782897205606], 'normal': [0.014502790216739616, 0.4184569230191758, -0.9081208469434302], 'radius': 2.1506194970766703}, 'confidence': 0.15602682402862464, 'timestamp': 12097.013343, 'diameter_3d': 4.301238994153341, 'ellipse': {'center': [107.25880310505441, 153.22716791201393], 'axes': [42.01301570404859, 47.66226769776685], 'angle': -83.63036799204207}, 'location': [107.25880310505441, 153.22716791201393], 'diameter': 47.66226769776685, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.0025419993646643, 'phi': -1.5548275738450583, 'norm_pos': [0.33518375970329506, 0.3615534670332753], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
