eye_packets,787
norm_X,norm_Y,phi,theta,confidence,timestamp
1580974150.5438359,"{'circle_3d': {'center': [-4.450661285723896, 4.005093063122628, 56.637886652729634], 'normal': [0.04130441159182122, 0.4990018201327591, -0.865616040220632], 'radius': 2.168621949428902}, 'confidence': 0.26983907055044376, 'timestamp': 12096.929343, 'diameter_3d': 4.337243898857804, 'ellipse': {'center': [111.22936060096076, 163.46605284481691], 'axes': [39.47827036233007, 47.62370968414674], 'angle': -88.27913013084485}, 'location': [111.22936060096076, 163.46605284481691], 'diameter': 47.62370968414674, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.0932428865535995, 'phi': -1.5231157110487057, 'norm_pos': [0.3475917518780024, 0.3188914464799295], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.6464078,"{'circle_3d': {'center': [-4.303668069439726, 3.809761788463691, 56.535677526416116], 'normal': [0.053553846282168756, 0.4827242139111812, -0.8741334674134253], 'radius': 2.1517820653005675}, 'confidence': 0.3062349672426626, 'timestamp': 12097.030143, 'diameter_3d': 4.303564130601135, 'ellipse': {'center': [112.74551829465257, 161.41502215745058], 'axes': [39.813464580608795, 47.3362575952583], 'angle': -89.62163451220096}, 'location': [112.74551829465257, 161.41502215745058], 'diameter': 47.3362575952583, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.0745590233935856, 'phi': -1.509607737624035, 'norm_pos': [0.35232974467078926, 0.32743740767728924], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.667131,"{'circle_3d': {'center': [-4.3413770704139, 3.768970553429537, 56.511017149155826], 'normal': [0.05041142953432091, 0.4793249443250016, -0.8761884988517826], 'radius': 2.1425507516605418}, 'confidence': 0.25586654681950843, 'timestamp': 12097.046943, 'diameter_3d': 4.2851015033210835, 'ellipse': {'center': [112.3141093913346, 160.98994284014591], 'axes': [39.77213858094963, 47.15431512102825], 'angle': -89.21009901151326}, 'location': [112.3141093913346, 160.98994284014591], 'diameter': 47.15431512102825, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.07068170381315, 'phi': -1.513324772745736, 'norm_pos': [0.3509815918479206, 0.329208571499392], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.672226,"{'circle_3d': {'center': [-3.4107316816417534, 3.883128113686451, 56.67002139879496], 'normal': [0.12796521193199978, 0.4888380743464111, -0.8629381447151883], 'radius': 2.1624696034970543}, 'confidence': 0.20453508253481317, 'timestamp': 12097.055343, 'diameter_3d': 4.324939206994109, 'ellipse': {'center': [122.5711847453411, 162.11830574345063], 'axes': [39.53068920849319, 47.4399880989396], 'angle': 81.34104871701027}, 'location': [122.5711847453411, 162.11830574345063], 'diameter': 47.4399880989396, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.081553670464969, 'phi': -1.4235790391155394, 'norm_pos': [0.38303495232919094, 0.3245070594022891], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.675091,"{'circle_3d': {'center': [-4.22506637175038, 4.298788110339872, 56.82626768998365], 'normal': [0.060103987756280924, 0.5234764074008628, -0.8499176204494637], 'radius': 2.1493430548806653}, 'confidence': 0.1863705232546901, 'timestamp': 12097.063743, 'diameter_3d': 4.298686109761331, 'ellipse': {'center': [113.83899230847743, 166.5255607986535], 'axes': [38.123182609511616, 47.04029635518906], 'angle': 89.37470243368993}, 'location': [113.83899230847743, 166.5255607986535], 'diameter': 47.04029635518906, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.1217222856835227, 'phi': -1.5001964316517946, 'norm_pos': [0.35574685096399195, 0.30614349667227714], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.682078,"{'circle_3d': {'center': [-3.8654227538205537, 4.381743953954841, 56.90981500183249], 'normal': [0.09007428925043312, 0.530389394368777, -0.8429553444620607], 'radius': 2.158092074114631}, 'confidence': 0.22382572355129507, 'timestamp': 12097.072143, 'diameter_3d': 4.316184148229262, 'ellipse': {'center': [117.80316377176534, 167.35769565051402], 'axes': [37.921091120456644, 47.15607695076131], 'angle': 86.00133332857543}, 'location': [117.80316377176534, 167.35769565051402], 'diameter': 47.15607695076131, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.1298561508158063, 'phi': -1.4643449058947915, 'norm_pos': [0.3681348867867667, 0.3026762681228583], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.6970081,"{'circle_3d': {'center': [-3.900637514568116, 4.591340372599328, 57.04101424771941], 'normal': [0.08713972585480295, 0.5478557625891509, -0.8320220739714841], 'radius': 2.1562910196195832}, 'confidence': 0.12064175906213688, 'timestamp': 12097.080543, 'diameter_3d': 4.3125820392391665, 'ellipse': {'center': [117.51960186237665, 169.5229027565354], 'axes': [37.131251387075054, 47.00965883924199], 'angle': 86.34711334188607}, 'location': [117.51960186237665, 169.5229027565354], 'diameter': 47.00965883924199, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.150595285984504, 'phi': -1.466444290398505, 'norm_pos': [0.367248755819927, 0.2936545718477692], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.7037828,"{'circle_3d': {'center': [-3.8968241582895824, 4.592766690268002, 57.04235372732903], 'normal': [0.08745750554468072, 0.5479746223948737, -0.8319104506706824], 'radius': 2.1705786890088774}, 'confidence': 0.1348394928897924, 'timestamp': 12097.088943, 'diameter_3d': 4.341157378017755, 'ellipse': {'center': [117.56072504408183, 169.53215527300398], 'axes': [37.3711290680479, 47.320109892701055], 'angle': 86.31307788423801}, 'location': [117.56072504408183, 169.53215527300398], 'diameter': 47.320109892701055, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.1507373720469944, 'phi': -1.4660525629308903, 'norm_pos': [0.36737726576275576, 0.29361601969581674], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.71063,"{'circle_3d': {'center': [-3.8941221845805596, 4.610908109039499, 57.05461180508496], 'normal': [0.08768267002043262, 0.5494864072924984, -0.8308889441910216], 'radius': 2.1576609939074647}, 'confidence': 0.12822513444746073, 'timestamp': 12097.097343, 'diameter_3d': 4.315321987814929, 'ellipse': {'center': [117.6000497795884, 169.72291522767313], 'axes': [37.07990860189538, 47.02827020323609], 'angle': 86.29033619062379}, 'location': [117.6000497795884, 169.72291522767313], 'diameter': 47.02827020323609, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.1525457292764694, 'phi': -1.465656715789581, 'norm_pos': [0.36750015556121374, 0.292821186551362], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.718168,"{'circle_3d': {'center': [-3.8913979807193133, 4.6291113711778955, 57.06696217027924], 'normal': [0.08790968700886982, 0.5510033458040315, -0.8298597470914983], 'radius': 2.179006887268023}, 'confidence': 0.11960646672402932, 'timestamp': 12097.105743, 'diameter_3d': 4.358013774536046, 'ellipse': {'center': [117.63700616285918, 169.9019749981187], 'axes': [37.377297711235094, 47.48346627548841], 'angle': 86.26770313407694}, 'location': [117.63700616285918, 169.9019749981187], 'diameter': 47.48346627548841, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.15436241541576, 'phi': -1.465256748974406, 'norm_pos': [0.36761564425893495, 0.29207510417450544], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.726835,"{'circle_3d': {'center': [-3.888651848123657, 4.64737611687306, 57.079405252620994], 'normal': [0.08813853139184116, 0.5525254079452951, -0.8288228235630186], 'radius': 2.179897862977999}, 'confidence': 0.12714443333811878, 'timestamp': 12097.114143, 'diameter_3d': 4.359795725955998, 'ellipse': {'center': [117.67584108856846, 170.08884147841326], 'axes': [37.3223167278506, 47.49254394187335], 'angle': 86.24486656861238}, 'location': [117.67584108856846, 170.08884147841326], 'diameter': 47.49254394187335, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.1561874304644757, 'phi': -1.4648526624854503, 'norm_pos': [0.36773700340177645, 0.2912964938399447], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.734132,"{'circle_3d': {'center': [-3.8858840911946357, 4.665701983352248, 57.09194148257232], 'normal': [0.08836917780259294, 0.5540525634852275, -0.8277781377337418], 'radius': 2.1622773290387216}, 'confidence': 0.1433914781274984, 'timestamp': 12097.122543, 'diameter_3d': 4.324554658077443, 'ellipse': {'center': [117.71640981494045, 170.28283953449903], 'axes': [36.95017753873775, 47.098140612791944], 'angle': 86.2218427431456}, 'location': [117.71640981494045, 170.28283953449903], 'diameter': 47.098140612791944, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.158020774422219, 'phi': -1.4644444563228032, 'norm_pos': [0.3678637806716889, 0.29048816860625404], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.7429812,"{'circle_3d': {'center': [-4.6690877651095635, 4.073799577965515, 56.66964361135565], 'normal': [0.023102204976348958, 0.504727363036333, -0.862969627001797], 'radius': 2.1730820325790217}, 'confidence': 0.12411200098084221, 'timestamp': 12097.130943, 'diameter_3d': 4.346164065158043, 'ellipse': {'center': [108.88000511852935, 164.18931069976588], 'axes': [39.29822972531677, 47.698622468621394], 'angle': -86.21074294548686}, 'location': [108.88000511852935, 164.18931069976588], 'diameter': 47.698622468621394, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.0998624472897847, 'phi': -1.5440321304862876, 'norm_pos': [0.3402500159954042, 0.31587787208430884], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.754415,"{'circle_3d': {'center': [-4.40718038320733, 4.342439782925837, 56.84200622028156], 'normal': [0.04492782013486841, 0.5271140467830266, -0.8486060762579715], 'radius': 2.161819832713807}, 'confidence': 0.31185521189144483, 'timestamp': 12097.139343, 'diameter_3d': 4.323639665427614, 'ellipse': {'center': [111.8753317318776, 166.98271539840061], 'axes': [38.19208460555039, 47.3035872652108], 'angle': -88.94157142047206}, 'location': [111.8753317318776, 166.98271539840061], 'diameter': 47.3035872652108, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.125997241170551, 'phi': -1.5179026288376223, 'norm_pos': [0.3496104116621175, 0.30423868583999747], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.7584472,"{'circle_3d': {'center': [-4.426736529704156, 4.339784308137968, 56.83934087505174], 'normal': [0.0432981412601329, 0.5268927572173708, -0.8488281883604565], 'radius': 2.153393055870609}, 'confidence': 0.40992937416925157, 'timestamp': 12097.147743, 'diameter_3d': 4.306786111741218, 'ellipse': {'center': [111.66133527412258, 166.95893640678196], 'axes': [38.05164160626165, 47.12165003671558], 'angle': -88.75740080764076}, 'location': [111.66133527412258, 166.95893640678196], 'diameter': 47.12165003671558, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.1257368585892027, 'phi': -1.5198311878252404, 'norm_pos': [0.34894167273163307, 0.3043377649717418], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974150.767404,"{'circle_3d': {'center': [-4.433178004272981, 4.4556731446991815, 56.911867421513655], 'normal': [0.04276135171273084, 0.5365501602641386, -0.8427843094886303], 'radius': 2.1447470341768717}, 'confidence': 0.2633187069434682, 'timestamp': 12097.156143, 'diameter_3d': 4.2894940683537435, 'ellipse': {'center': [111.65316904806717, 168.1619184348263], 'axes': [37.48444215472185, 46.872858349625844], 'angle': -88.77829035477812}, 'location': [111.65316904806717, 168.1619184348263], 'diameter': 46.872858349625844, 'sphere': {'center': [-4.946314224825751, -1.9829287784704825, 67.02527913537722], 'radius': 12.0}, 'projected_sphere': {'center': [114.24540025864218, 101.65743047233667], 'axes': [222.00578933726592, 222.00578933726592], 'angle': 90.0}, 'model_confidence': 0.8283516393764567, 'model_id': 36, 'model_birth_timestamp': 12050.39406, 'theta': 2.137139972576228, 'phi': -1.5201016076629636, 'norm_pos': [0.3489161532752099, 0.2993253398548904], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
