eye_packets,773
norm_X,norm_Y,phi,theta,confidence,timestamp
1596084098.393468,"{'circle_3d': {'center': [-3.63687436886934, -1.307748308137481, 49.03181441253393], 'normal': [-0.041268442417570654, 0.47073715716764597, -0.8813078035068966], 'radius': 1.9540002506354013}, 'confidence': 0.49670245766266563, 'timestamp': 32808.443751, 'diameter_3d': 3.9080005012708026, 'ellipse': {'center': [114.03177504095441, 103.04920682364562], 'axes': [43.90079823990616, 49.57657252703644], 'angle': -76.39453259889693}, 'location': [114.03177504095441, 103.04920682364562], 'diameter': 49.57657252703644, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.060922438769724, 'phi': -1.6175885129661238, 'norm_pos': [0.35634929700298257, 0.5706283049014766], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.399988,"{'circle_3d': {'center': [-3.6382894031986686, -1.309485102461025, 49.030953263521155], 'normal': [-0.04138636194501471, 0.4705924243073509, -0.8813795659246285], 'radius': 1.943014132152373}, 'confidence': 0.49948442776356305, 'timestamp': 32808.452151, 'diameter_3d': 3.886028264304746, 'ellipse': {'center': [114.01296264751142, 103.03167659797434], 'axes': [43.65808401662181, 49.29875353768913], 'angle': -76.37124039511792}, 'location': [114.01296264751142, 103.03167659797434], 'diameter': 49.29875353768913, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.0607584006029662, 'phi': -1.6177182048928291, 'norm_pos': [0.3562905082734732, 0.5707013475084403], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.4101472,"{'circle_3d': {'center': [-3.63971584441204, -1.3112298581294937, 49.0300889470915], 'normal': [-0.041505232046129006, 0.4704470280016451, -0.8814515922937665], 'radius': 1.9437016163793002}, 'confidence': 0.4719218869971073, 'timestamp': 32808.460551, 'diameter_3d': 3.8874032327586003, 'ellipse': {'center': [113.99423588546657, 103.00910457505226], 'axes': [43.67783998516441, 49.31722754643559], 'angle': -76.34760439384115}, 'location': [113.99423588546657, 103.00910457505226], 'diameter': 49.31722754643559, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.060593624945538, 'phi': -1.6178489360867458, 'norm_pos': [0.35623198714208304, 0.5707953976039489], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.4168682,"{'circle_3d': {'center': [-3.6411536965157727, -1.312982577155437, 49.02922147169072], 'normal': [-0.041625053054773355, 0.4703009680828162, -0.8815238819104976], 'radius': 1.9405667365287536}, 'confidence': 0.45895782090187115, 'timestamp': 32808.468951, 'diameter_3d': 3.881133473057507, 'ellipse': {'center': [113.97528501367343, 102.9880422449749], 'axes': [43.611649943082085, 49.238685605603884], 'angle': -76.32384300880669}, 'location': [113.97528501367343, 102.9880422449749], 'diameter': 49.238685605603884, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.060428111797295, 'phi': -1.6179807065479885, 'norm_pos': [0.3561727656677295, 0.5708831573126045], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.4254599,"{'circle_3d': {'center': [-3.642602963530844, -1.3147432615547752, 49.028350845821954], 'normal': [-0.04174582530602933, 0.4701542443828715, -0.8815964340662283], 'radius': 1.9347193317715727}, 'confidence': 0.4534492404295685, 'timestamp': 32808.477351, 'diameter_3d': 3.8694386635431455, 'ellipse': {'center': [113.956131499403, 102.96801497733782], 'axes': [43.484450903698736, 49.09129311656673], 'angle': -76.29994025369798}, 'location': [113.956131499403, 102.96801497733782], 'diameter': 49.09129311656673, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.060261861158524, 'phi': -1.6181135162763292, 'norm_pos': [0.35611291093563435, 0.5709666042610924], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.436374,"{'circle_3d': {'center': [-3.6440636495002785, -1.3165119133558916, 49.027477078041215], 'normal': [-0.041867549136815535, 0.47000685673277864, -0.8816692480479569], 'radius': 1.9344861459001732}, 'confidence': 0.4809617881183254, 'timestamp': 32808.485751, 'diameter_3d': 3.8689722918003464, 'ellipse': {'center': [113.93694382678486, 102.94552375880035], 'axes': [43.48352207474577, 49.08640733218838], 'angle': -76.2757786654516}, 'location': [113.93694382678486, 102.94552375880035], 'diameter': 49.08640733218838, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.0600948730290827, 'phi': -1.6182473652718812, 'norm_pos': [0.3560529494587027, 0.5710603176716652], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.44661,"{'circle_3d': {'center': [-3.6455357584841046, -1.3182885345935604, 49.026600176960436], 'normal': [-0.04199022488546769, 0.46985880496297266, -0.8817423231380214], 'radius': 1.933457465678512}, 'confidence': 0.45369388534968763, 'timestamp': 32808.494151, 'diameter_3d': 3.866914931357024, 'ellipse': {'center': [113.91759258562607, 102.92326402107894], 'axes': [43.464709619405085, 49.061332928760365], 'angle': -76.25144819996584}, 'location': [113.91759258562607, 102.92326402107894], 'diameter': 49.061332928760365, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.0599271474089704, 'phi': -1.6183822535346446, 'norm_pos': [0.35599247683008145, 0.5711530665788378], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.453013,"{'circle_3d': {'center': [-3.6470192945605175, -1.3200731273104367, 49.025720151246794], 'normal': [-0.042113852891835446, 0.46971008890323307, -0.8818156586141583], 'radius': 1.937102921640191}, 'confidence': 0.4871179284637628, 'timestamp': 32808.502551, 'diameter_3d': 3.874205843280382, 'ellipse': {'center': [113.89818995213002, 102.89893985347314], 'axes': [43.55106342108684, 49.15491252596974], 'angle': -76.2268714763751}, 'location': [113.89818995213002, 102.89893985347314], 'diameter': 49.15491252596974, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.0597586842981874, 'phi': -1.6185181810646194, 'norm_pos': [0.3559318436004063, 0.5712544172771953], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.4613178,"{'circle_3d': {'center': [-3.648514261825797, -1.3218656935570507, 49.02483700962269], 'normal': [-0.04223843349727541, 0.4695607083826819, -0.8818892537495001], 'radius': 1.9349468202970388}, 'confidence': 0.4738969882140611, 'timestamp': 32808.510951, 'diameter_3d': 3.8698936405940776, 'ellipse': {'center': [113.87852074926937, 102.8769494309726], 'axes': [43.50690996497376, 49.10122757558417], 'angle': -76.20219596955246}, 'location': [113.87852074926937, 102.8769494309726], 'diameter': 49.10122757558417, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.0595894836967337, 'phi': -1.6186551478618056, 'norm_pos': [0.35587037734146676, 0.5713460440376141], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.470037,"{'circle_3d': {'center': [-3.650020664395541, -1.323666235393353, 49.023950760865056], 'normal': [-0.042363967044754064, 0.4694106632296568, -0.8819631078126368], 'radius': 1.9352792352490111}, 'confidence': 0.4531888968718003, 'timestamp': 32808.519351, 'diameter_3d': 3.8705584704980223, 'ellipse': {'center': [113.85875542312101, 102.85381165676351], 'axes': [43.518756895102264, 49.110717204688854], 'angle': -76.17730444492317}, 'location': [113.85875542312101, 102.85381165676351], 'diameter': 49.110717204688854, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.0594195456044613, 'phi': -1.6187931539263234, 'norm_pos': [0.35580861069725317, 0.571442451430152], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
