eye_packets,730
norm_X,norm_Y,phi,theta,confidence,timestamp
1596084086.6025548,"{'circle_3d': {'center': [-13.977311655911723, -9.978278379280844, 55.38950405404183], 'normal': [-0.9036042470178701, -0.25149578589207605, -0.34676971385891703], 'radius': 1.3385252438125874}, 'confidence': 0.0164671896786776, 'timestamp': 32796.650134, 'diameter_3d': 2.677050487625175, 'ellipse': {'center': [3.5786597272274605, 8.282756580659438], 'axes': [2.1910286623705595, 30.121480774827837], 'angle': 15.96947169959258}, 'location': [3.5786597272274605, 8.282756580659438], 'diameter': 30.121480774827837, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.3165709217881185, 'phi': -2.7751617300264098, 'norm_pos': [0.011183311647585814, 0.9654885142472523], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.6116538,"{'circle_3d': {'center': [-14.011182895257566, -9.963975735230303, 55.46830035136304], 'normal': [-0.9064268502966902, -0.25030389888786425, -0.34020335574881605], 'radius': 1.3457399065029898}, 'confidence': 0.016428578153683607, 'timestamp': 32796.658534, 'diameter_3d': 2.6914798130059796, 'ellipse': {'center': [3.420265699889825, 8.600203010012137], 'axes': [1.9851084318591579, 30.241609860596142], 'angle': 15.813464360794484}, 'location': [3.420265699889825, 8.600203010012137], 'diameter': 30.241609860596142, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.317802193507085, 'phi': -2.782538341154876, 'norm_pos': [0.010688330312155703, 0.9641658207916161], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.615892,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 32796.666934, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.625648,"{'circle_3d': {'center': [-14.041918663344262, -9.93510140986947, 55.52962593982714], 'normal': [-0.9089881643039148, -0.24789770510779477, -0.33509289004347426], 'radius': 1.3385413591036839}, 'confidence': 0.016554123213331846, 'timestamp': 32796.675334, 'diameter_3d': 2.6770827182073678, 'ellipse': {'center': [3.2478901058570386, 9.045189194380143], 'axes': [1.8116509734092963, 30.047485412581374], 'angle': 15.601262049978871}, 'location': [3.2478901058570386, 9.045189194380143], 'diameter': 30.047485412581374, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.3202867059141572, 'phi': -2.7884061158232174, 'norm_pos': [0.010149656580803246, 0.9623117116900828], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.6524942,"{'circle_3d': {'center': [-13.880381228292517, -10.022047517058159, 55.175529273206536], 'normal': [-0.8955267113829359, -0.25514321404018553, -0.3646009455951914], 'radius': 1.3530121618169695}, 'confidence': 0.016150127047812518, 'timestamp': 32796.692134, 'diameter_3d': 2.706024323633939, 'ellipse': {'center': [4.068452470820631, 7.359552646885305], 'axes': [2.814734675670339, 30.56362977435626], 'angle': 16.426941789199976}, 'location': [4.068452470820631, 7.359552646885305], 'diameter': 30.56362977435626, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.312800510280082, 'phi': -2.7549499381027798, 'norm_pos': [0.012713913971314472, 0.9693351973046446], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.6535308,"{'circle_3d': {'center': [-13.970603176533496, -10.001588622853332, 55.38899981054893], 'normal': [-0.9030452070696843, -0.2534383061897833, -0.34681173414999183], 'radius': 1.3613888705738602}, 'confidence': 0.016191248703169264, 'timestamp': 32796.700534, 'diameter_3d': 2.7227777411477203, 'ellipse': {'center': [3.6534519442753037, 8.020043777853488], 'axes': [2.223497298437956, 30.63599835773216], 'angle': 16.091264612438312}, 'location': [3.6534519442753037, 8.020043777853488], 'diameter': 30.63599835773216, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.3145633673622854, 'phi': -2.774914119312113, 'norm_pos': [0.011417037325860325, 0.9665831509256104], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.656075,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 32796.708934, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.668566,"{'circle_3d': {'center': [-13.993498461957007, -9.978692926743054, 55.43223479794677], 'normal': [-0.9049531475216436, -0.25153033151392684, -0.3432088185335053], 'radius': 1.3496869260725362}, 'confidence': 0.01635836548060364, 'timestamp': 32796.717334, 'diameter_3d': 2.6993738521450723, 'ellipse': {'center': [3.5174481728585647, 8.363381584808565], 'axes': [2.0884890034469676, 30.349574904715258], 'angle': 15.927116938453256}, 'location': [3.5174481728585647, 8.363381584808565], 'diameter': 30.349574904715258, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.3165352287752818, 'phi': -2.7790960157857305, 'norm_pos': [0.010992025540183015, 0.9651525767299644], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.677621,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 32796.725734, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.683685,"{'circle_3d': {'center': [-14.022243496194726, -9.955507276154307, 55.491629633710126], 'normal': [-0.9073485670414533, -0.24959819396486457, -0.3382592488865589], 'radius': 1.344914610447471}, 'confidence': 0.01645293767572874, 'timestamp': 32796.734134, 'diameter_3d': 2.689829220894942, 'ellipse': {'center': [3.3617839826541456, 8.741420830938722], 'axes': [1.920872048559651, 30.2106529976235], 'angle': 15.745623456674915}, 'location': [3.3617839826541456, 8.741420830938722], 'diameter': 30.2106529976235, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.3185310329233877, 'phi': -2.7847524314047702, 'norm_pos': [0.010505574945794205, 0.963577413204422], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.691179,"{'circle_3d': {'center': [-14.056193845934809, -9.943805612037623, 55.575080378365755], 'normal': [-0.910177762853127, -0.24862305528847428, -0.33130502016525654], 'radius': 1.3636428558941653}, 'confidence': 0.01627702512162591, 'timestamp': 32796.742534, 'diameter_3d': 2.7272857117883307, 'ellipse': {'center': [3.216516069140937, 9.037390205763984], 'axes': [1.7149151149378925, 30.586241708873317], 'angle': 15.600390746730133}, 'location': [3.216516069140937, 9.037390205763984], 'diameter': 30.586241708873317, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.319537913523106, 'phi': -2.7925002145399898, 'norm_pos': [0.010051612716065427, 0.9623442074759834], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
