eye_packets,730
norm_X,norm_Y,phi,theta,confidence,timestamp
1596084086.6025548,"{'circle_3d': {'center': [-13.977311655911723, -9.978278379280844, 55.38950405404183], 'normal': [-0.9036042470178701, -0.25149578589207605, -0.34676971385891703], 'radius': 1.3385252438125874}, 'confidence': 0.0164671896786776, 'timestamp': 32796.650134, 'diameter_3d': 2.677050487625175, 'ellipse': {'center': [3.5786597272274605, 8.282756580659438], 'axes': [2.1910286623705595, 30.121480774827837], 'angle': 15.96947169959258}, 'location': [3.5786597272274605, 8.282756580659438], 'diameter': 30.121480774827837, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.3165709217881185, 'phi': -2.7751617300264098, 'norm_pos': [0.011183311647585814, 0.9654885142472523], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.6998909,"{'circle_3d': {'center': [-14.049072958868843, -9.93203133241531, 55.54680603679508], 'normal': [-0.9095843555976298, -0.24764186531994814, -0.33366121529614584], 'radius': 1.3419435406354527}, 'confidence': 0.016522585961879072, 'timestamp': 32796.750934, 'diameter_3d': 2.6838870812709055, 'ellipse': {'center': [3.216152496008789, 9.11345755542122], 'axes': [1.7693068985158944, 30.114730369193083], 'angle': 15.568003393723906}, 'location': [3.216152496008789, 9.11345755542122], 'diameter': 30.114730369193083, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.3205507798074823, 'phi': -2.7900054545475803, 'norm_pos': [0.010050476550027465, 0.9620272601857449], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.707225,"{'circle_3d': {'center': [-13.89158133312522, -10.03632687957871, 55.213231383734055], 'normal': [-0.896460053452328, -0.2563331609168981, -0.3614591030512315], 'radius': 1.3698305037801564}, 'confidence': 0.01597796615974778, 'timestamp': 32796.759334, 'diameter_3d': 2.7396610075603127, 'ellipse': {'center': [4.048969502602773, 7.275193567990954], 'axes': [2.7358681477026416, 30.922477556730176], 'angle': 16.460530944394495}, 'location': [4.048969502602773, 7.275193567990954], 'diameter': 30.922477556730176, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.3115696317747605, 'phi': -2.7583245534340217, 'norm_pos': [0.012653029695633667, 0.9696866934667043], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.715449,"{'circle_3d': {'center': [-13.940721314993825, -10.016581091516302, 55.322808618570136], 'normal': [-0.9005550519413784, -0.2546876785783642, -0.3523276668148914], 'radius': 1.3631357849418961}, 'confidence': 0.016128392984991233, 'timestamp': 32796.767734, 'diameter_3d': 2.7262715698837923, 'ellipse': {'center': [3.803394601506369, 7.718738608143909], 'axes': [2.4118585935961114, 30.711348985714615], 'angle': 16.239324516706365}, 'location': [3.803394601506369, 7.718738608143909], 'diameter': 30.711348985714615, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.3132716092810242, 'phi': -2.768666024911808, 'norm_pos': [0.011885608129707403, 0.9678385891327337], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.7236822,"{'circle_3d': {'center': [-13.973293605372046, -10.006349478901681, 55.399501194352816], 'normal': [-0.9032694094728969, -0.2538350441938125, -0.34593661883300153], 'radius': 1.3685157557208112}, 'confidence': 0.01611377897042886, 'timestamp': 32796.776134, 'diameter_3d': 2.7370315114416224, 'ellipse': {'center': [3.653003630294563, 7.987624771820322], 'axes': [2.20371167153435, 30.790567880876857], 'angle': 16.10502680688783}, 'location': [3.653003630294563, 7.987624771820322], 'diameter': 30.790567880876857, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.3141532172659072, 'phi': -2.7758418249486523, 'norm_pos': [0.01141563634467051, 0.9667182301174153], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.731285,"{'circle_3d': {'center': [-14.005887547552538, -9.996053972164734, 55.47793392257134], 'normal': [-0.9059855713212713, -0.2529770852990669, -0.3394005581481246], 'radius': 1.3795037705191133}, 'confidence': 0.01603359447078525, 'timestamp': 32796.784534, 'diameter_3d': 2.7590075410382267, 'ellipse': {'center': [3.5078638710816676, 8.259738248925714], 'axes': [1.9983230718304439, 30.994678496452607], 'angle': 15.969991388983912}, 'location': [3.5078638710816676, 8.259738248925714], 'diameter': 30.994678496452607, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.31504012485992, 'phi': -2.78315494000459, 'norm_pos': [0.010962074597130212, 0.9655844239628095], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.739682,"{'circle_3d': {'center': [-13.997999223889524, -9.985694536525697, 55.44927714641687], 'normal': [-0.9053282110160201, -0.2521137989958138, -0.34178862282766376], 'radius': 1.361173141049126}, 'confidence': 0.01623129341572397, 'timestamp': 32796.792934, 'diameter_3d': 2.722346282098252, 'ellipse': {'center': [3.515235303862596, 8.318810103117642], 'axes': [2.055907419823813, 30.598509640744787], 'angle': 15.945818458774943}, 'location': [3.515235303862596, 8.318810103117642], 'diameter': 30.598509640744787, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.3159323320630616, 'phi': -2.7806056869617692, 'norm_pos': [0.010985110324570613, 0.9653382912370099], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.751368,"{'circle_3d': {'center': [-14.034079987214911, -9.975271137233987, 55.538297105931065], 'normal': [-0.9083349412931355, -0.25124518238817123, -0.33437029286814735], 'radius': 1.379391474008977}, 'confidence': 0.016070546458307876, 'timestamp': 32796.801334, 'diameter_3d': 2.758782948017954, 'ellipse': {'center': [3.361335581418473, 8.612481149332751], 'axes': [1.8309805900767895, 30.959252386944147], 'angle': 15.800416111045807}, 'location': [3.361335581418473, 8.612481149332751], 'diameter': 30.959252386944147, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.3168298388761126, 'phi': -2.7888731487856826, 'norm_pos': [0.010504173691932728, 0.9641146618777802], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.760569,"{'circle_3d': {'center': [-14.026882610465485, -9.96478373960884, 55.510977996797486], 'normal': [-0.9077351598973501, -0.2503712325860757, -0.3366468852959456], 'radius': 1.360098128925047}, 'confidence': 0.01628150014256165, 'timestamp': 32796.809734, 'diameter_3d': 2.720196257850094, 'ellipse': {'center': [3.364646148421059, 8.675824945008173], 'axes': [1.8853243633667578, 30.541130169992876], 'angle': 15.773923557308049}, 'location': [3.364646148421059, 8.675824945008173], 'diameter': 30.541130169992876, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.317732645297518, 'phi': -2.786452412700606, 'norm_pos': [0.010514519213815809, 0.9638507293957993], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.7675679,"{'circle_3d': {'center': [-14.062980454072205, -9.954232308989672, 55.60165775263458], 'normal': [-0.9107433135312433, -0.24949194670114497, -0.3290902389761877], 'radius': 1.383795610729427}, 'confidence': 0.01605584190998438, 'timestamp': 32796.818134, 'diameter_3d': 2.767591221458854, 'ellipse': {'center': [3.215772107555665, 8.973085938209351], 'axes': [1.6614294802343843, 31.02356094044003], 'angle': 15.627590751843547}, 'location': [3.215772107555665, 8.973085938209351], 'diameter': 31.02356094044003, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.3186407513280525, 'phi': -2.794849134064346, 'norm_pos': [0.010049287836111453, 0.9626121419241277], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.775536,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 32796.826534, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.784966,"{'circle_3d': {'center': [-13.900371753544727, -10.049046524949397, 55.24419097440917], 'normal': [-0.8971925884872869, -0.25739313136445535, -0.35887913716163844], 'radius': 1.385465680259298}, 'confidence': 0.01581867000787093, 'timestamp': 32796.834934, 'diameter_3d': 2.770931360518596, 'ellipse': {'center': [4.037624260268899, 7.1947709662193375], 'axes': [2.6725075093181463, 31.257950291637197], 'angle': 16.49343211887468}, 'location': [4.037624260268899, 7.1947709662193375], 'diameter': 31.257950291637197, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.3104728622165096, 'phi': -2.761084256993067, 'norm_pos': [0.012617575813340309, 0.9700217876407528], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.7918022,"{'circle_3d': {'center': [-13.943835901742311, -10.034952958774094, 55.344144953516924], 'normal': [-0.9008146008370855, -0.25621866751651345, -0.35054963890265906], 'radius': 1.3853075341546386}, 'confidence': 0.015884646717159067, 'timestamp': 32796.843334, 'diameter_3d': 2.770615068309277, 'ellipse': {'center': [3.8292032951804345, 7.55522726777221], 'axes': [2.383739214377381, 31.198790711092737], 'angle': 16.31244810386563}, 'location': [3.8292032951804345, 7.55522726777221], 'diameter': 31.198790711092737, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.3116880809426688, 'phi': -2.770476853326923, 'norm_pos': [0.011966260297438858, 0.9685198863842824], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.7989619,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 32796.851734, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.810865,"{'circle_3d': {'center': [-13.971570692155286, -10.016851617073439, 55.4027234835793], 'normal': [-0.9031258333715, -0.2547102223747922, -0.3456680947307943], 'radius': 1.3796170174893878}, 'confidence': 0.015986551487260588, 'timestamp': 32796.860134, 'diameter_3d': 2.7592340349787756, 'ellipse': {'center': [3.6818186770567536, 7.876191337006503], 'axes': [2.2093616702112424, 31.038437413345143], 'angle': 16.15629783014062}, 'location': [3.6818186770567536, 7.876191337006503], 'diameter': 31.038437413345143, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.3132482966430055, 'phi': -2.7760480390559907, 'norm_pos': [0.011505683365802355, 0.9671825360958063], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.815398,"{'circle_3d': {'center': [-14.00621614965136, -10.007718003059425, 55.487533063664884], 'normal': [-0.9060129548295065, -0.25394908787362447, -0.33860062972366245], 'radius': 1.393623991277949}, 'confidence': 0.01587736248208261, 'timestamp': 32796.868534, 'diameter_3d': 2.787247982555898, 'ellipse': {'center': [3.5316026912052507, 8.148112241556504], 'axes': [1.9876676000262483, 31.306463007073], 'angle': 16.02063630231748}, 'location': [3.5316026912052507, 8.148112241556504], 'diameter': 31.306463007073, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 1.3140353100686175, 'phi': -2.783939351230229, 'norm_pos': [0.011036258410016408, 0.9660495323268479], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084086.8238652,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 32796.876934, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-3.1340606916972837, -6.960328948575932, 59.55074062034883], 'radius': 12.0}, 'projected_sphere': {'center': [127.37038685647612, 47.534000364010936], 'axes': [249.8709477832324, 249.8709477832324], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
