eye_packets,770
norm_X,norm_Y,phi,theta,confidence,timestamp
1596084192.118867,"{'circle_3d': {'center': [-4.218793716685324, -0.7517264450668861, 66.17327253111019], 'normal': [-0.08578669653271431, 0.5695443886789923, -0.8174716093065721], 'radius': 3.0327835168677093}, 'confidence': 0.4770631210509162, 'timestamp': 32901.951675, 'diameter_3d': 6.065567033735419, 'ellipse': {'center': [120.53650915338233, 112.34515342423249], 'axes': [46.449433916785374, 56.969009398343054], 'angle': -76.2074012632604}, 'location': [120.53650915338233, 112.34515342423249], 'diameter': 56.969009398343054, 'sphere': {'center': [-3.189353358292753, -7.586259109214794, 75.98293184278906], 'radius': 12.0}, 'projected_sphere': {'center': [133.97574647115744, 58.098194770309554], 'axes': [195.8334541602996, 195.8334541602996], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 2.1767477772271633, 'phi': -1.6753551215753295, 'norm_pos': [0.3766765911043198, 0.531895194065698], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084192.12944,"{'circle_3d': {'center': [-5.961487097521314, -3.8312964839891412, 64.9278185364955], 'normal': [-0.2310111449357135, 0.31291355210213784, -0.9212594421911307], 'radius': 15.507522014399461}, 'confidence': 0.00333720828498637, 'timestamp': 32901.960075, 'diameter_3d': 31.015044028798922, 'ellipse': {'center': [110.17047881135144, 72.81166850372057], 'axes': [272.8465041620418, 299.14371614368616], 'angle': -39.813504068555936}, 'location': [110.17047881135144, 72.81166850372057], 'diameter': 299.14371614368616, 'sphere': {'center': [-3.189353358292753, -7.586259109214794, 75.98293184278906], 'radius': 12.0}, 'projected_sphere': {'center': [133.97574647115744, 58.098194770309554], 'axes': [195.8334541602996, 195.8334541602996], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 1.8890554176076386, 'phi': -1.8164862009264002, 'norm_pos': [0.3442827462854733, 0.6966180479011643], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084192.134857,"{'circle_3d': {'center': [-5.380965818579227, -5.919822951342793, 64.30304205924855], 'normal': [-0.18263437169053956, 0.13886967982266676, -0.9733241486283754], 'radius': 16.184655683976533}, 'confidence': 0.004128824458238178, 'timestamp': 32901.968475, 'diameter_3d': 32.36931136795307, 'ellipse': {'center': [114.94925828942735, 57.404391275202606], 'axes': [302.1529623646988, 314.54126494936406], 'angle': -14.68634641604706}, 'location': [114.94925828942735, 57.404391275202606], 'diameter': 314.54126494936406, 'sphere': {'center': [-3.189353358292753, -7.586259109214794, 75.98293184278906], 'radius': 12.0}, 'projected_sphere': {'center': [133.97574647115744, 58.098194770309554], 'axes': [195.8334541602996, 195.8334541602996], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 1.7101162705159196, 'phi': -1.7562793483781036, 'norm_pos': [0.3592164321544605, 0.7608150363533225], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084192.1468952,"{'circle_3d': {'center': [-4.233603963564076, -0.7460255282477819, 66.17881305366774], 'normal': [-0.08702088377261029, 0.5700194650805843, -0.8170098990934433], 'radius': 3.0505619177529084}, 'confidence': 0.773398550975754, 'timestamp': 32901.976875, 'diameter_3d': 6.101123835505817, 'ellipse': {'center': [120.40292601756201, 112.39191965803663], 'axes': [46.683256684795424, 57.299123193792234], 'angle': -76.09015470070611}, 'location': [120.40292601756201, 112.39191965803663], 'diameter': 57.299123193792234, 'sphere': {'center': [-3.189353358292753, -7.586259109214794, 75.98293184278906], 'radius': 12.0}, 'projected_sphere': {'center': [133.97574647115744, 58.098194770309554], 'axes': [195.8334541602996, 195.8334541602996], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 2.1773258725894826, 'phi': -1.6769076861098637, 'norm_pos': [0.3762591438048813, 0.5317003347581808], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084192.155676,"{'circle_3d': {'center': [-6.6611490659065185, -3.7798007490863252, 65.14515027471883], 'normal': [-0.28931630896781374, 0.31720486334403897, -0.9031484640058521], 'radius': 15.376342888379844}, 'confidence': 0.0034186202391358737, 'timestamp': 32901.985275, 'diameter_3d': 30.752685776759687, 'ellipse': {'center': [105.0657261973508, 73.65556066538346], 'axes': [262.21384722737224, 295.9403387560158], 'angle': -35.59611608967038}, 'location': [105.0657261973508, 73.65556066538346], 'diameter': 295.9403387560158, 'sphere': {'center': [-3.189353358292753, -7.586259109214794, 75.98293184278906], 'radius': 12.0}, 'projected_sphere': {'center': [133.97574647115744, 58.098194770309554], 'axes': [195.8334541602996, 195.8334541602996], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 1.8935770092508881, 'phi': -1.8808093961446695, 'norm_pos': [0.32833039436672123, 0.6931018305609022], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084192.164824,"{'circle_3d': {'center': [-8.308149996394025, -6.341977143894857, 65.20101719980738], 'normal': [-0.4265663865084394, 0.1036901637766614, -0.8984928869151396], 'radius': 15.938462632419704}, 'confidence': 0.007845479880137552, 'timestamp': 32901.993675, 'diameter_3d': 31.876925264839407, 'ellipse': {'center': [94.44203936290651, 55.49936764126733], 'axes': [260.4919971647744, 306.58449551369836], 'angle': -3.8388677016671675}, 'location': [94.44203936290651, 55.49936764126733], 'diameter': 306.58449551369836, 'sphere': {'center': [-3.189353358292753, -7.586259109214794, 75.98293184278906], 'radius': 12.0}, 'projected_sphere': {'center': [133.97574647115744, 58.098194770309554], 'axes': [195.8334541602996, 195.8334541602996], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 1.6746732020712687, 'phi': -2.014046922395233, 'norm_pos': [0.2951313730090829, 0.7687526348280528], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084192.172032,"{'circle_3d': {'center': [-4.229364833552655, -0.7163479227450775, 66.19913419456748], 'normal': [-0.08666762293832517, 0.5724925988724764, -0.815316470685131], 'radius': 3.042289990610705}, 'confidence': 0.6630558048969388, 'timestamp': 32902.002075, 'diameter_3d': 6.08457998122141, 'ellipse': {'center': [120.4536424041026, 112.67452516612275], 'axes': [46.43519207708089, 57.12558899646024], 'angle': -76.21164878700404}, 'location': [120.4536424041026, 112.67452516612275], 'diameter': 57.12558899646024, 'sphere': {'center': [-3.189353358292753, -7.586259109214794, 75.98293184278906], 'radius': 12.0}, 'projected_sphere': {'center': [133.97574647115744, 58.098194770309554], 'axes': [195.8334541602996, 195.8334541602996], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 2.1803390556974076, 'phi': -1.6766980058236536, 'norm_pos': [0.3764176325128206, 0.5305228118078219], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084192.180717,"{'circle_3d': {'center': [-6.665080277984501, -3.779333835286565, 65.14657441335473], 'normal': [-0.28964390997431233, 0.3172437728273524, -0.9030297857861941], 'radius': 15.205737106512018}, 'confidence': 0.00461053281111211, 'timestamp': 32902.010475, 'diameter_3d': 30.411474213024036, 'ellipse': {'center': [104.84862568323999, 73.89202408449984], 'axes': [259.19454283193875, 292.61699904101965], 'angle': -35.589164044518554}, 'location': [104.84862568323999, 73.89202408449984], 'diameter': 292.61699904101965, 'sphere': {'center': [-3.189353358292753, -7.586259109214794, 75.98293184278906], 'radius': 12.0}, 'projected_sphere': {'center': [133.97574647115744, 58.098194770309554], 'axes': [195.8334541602996, 195.8334541602996], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 1.8936180378389407, 'phi': -1.8811765513348897, 'norm_pos': [0.32765195526012497, 0.6921165663145841], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084192.1870878,"{'circle_3d': {'center': [-8.737177624982353, -5.984336059416123, 65.46364059059655], 'normal': [-0.4623186888908, 0.1334935874832226, -0.8766076043493752], 'radius': 15.664512537108703}, 'confidence': 0.012755554789378468, 'timestamp': 32902.018875, 'diameter_3d': 31.329025074217405, 'ellipse': {'center': [90.7195054927666, 58.35131115985477], 'axes': [247.27882731701976, 300.4322303162063], 'angle': -7.116169785966759}, 'location': [90.7195054927666, 58.35131115985477], 'diameter': 300.4322303162063, 'sphere': {'center': [-3.189353358292753, -7.586259109214794, 75.98293184278906], 'radius': 12.0}, 'projected_sphere': {'center': [133.97574647115744, 58.098194770309554], 'axes': [195.8334541602996, 195.8334541602996], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 1.704689615874499, 'phi': -2.056119185956703, 'norm_pos': [0.28349845466489565, 0.7568695368339384], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084192.194598,"{'circle_3d': {'center': [-9.583483057955569, -7.599791464450156, 65.82838004277092], 'normal': [-0.5328441416385681, -0.0011276962696135466, -0.8462126500015118], 'radius': 16.549008472807166}, 'confidence': 0.009074231837208322, 'timestamp': 32902.027275, 'diameter_3d': 33.09801694561433, 'ellipse': {'center': [86.08028284964573, 47.15210228225624], 'axes': [242.79757372381144, 316.05416907050363], 'angle': 6.831272443487408}, 'location': [86.08028284964573, 47.15210228225624], 'diameter': 316.05416907050363, 'sphere': {'center': [-3.189353358292753, -7.586259109214794, 75.98293184278906], 'radius': 12.0}, 'projected_sphere': {'center': [133.97574647115744, 58.098194770309554], 'axes': [195.8334541602996, 195.8334541602996], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 1.569668630286268, 'phi': -2.1327547714820847, 'norm_pos': [0.2690008839051429, 0.8035329071572657], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084192.204121,"{'circle_3d': {'center': [-4.210219719723205, -0.7221173653594644, 66.19307025069479], 'normal': [-0.08507219678587101, 0.5720118119879442, -0.8158217993411888], 'radius': 3.097150587855563}, 'confidence': 0.7224232975253074, 'timestamp': 32902.035675, 'diameter_3d': 6.194301175711126, 'ellipse': {'center': [120.63019087174776, 112.59741958793416], 'axes': [47.31794381049024, 58.160848567455865], 'angle': -76.36670365965604}, 'location': [120.63019087174776, 112.59741958793416], 'diameter': 58.160848567455865, 'sphere': {'center': [-3.189353358292753, -7.586259109214794, 75.98293184278906], 'radius': 12.0}, 'projected_sphere': {'center': [133.97574647115744, 58.098194770309554], 'axes': [195.8334541602996, 195.8334541602996], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 2.1797527857514503, 'phi': -1.6746987208126276, 'norm_pos': [0.37696934647421176, 0.5308440850502744], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
