eye_packets,183
norm_X,norm_Y,phi,theta,confidence,timestamp
1596084273.697707,"{'circle_3d': {'center': [-1.2173799524006768e-07, -2.1569928065900967e-09, 1.9816550800300092e-06], 'normal': [0.27038876625700603, -0.5504773026406957, -0.7898510330178965], 'radius': 9.850840069986209e-08}, 'confidence': 0.9999999999999023, 'timestamp': 32983.510668, 'diameter_3d': 1.9701680139972418e-07, 'ellipse': {'center': [121.54891848643896, 119.99127584065899], 'axes': [49.63804201670558, 61.77117450704828], 'angle': -68.29350983445231}, 'location': [121.54891848643896, 119.99127584065899], 'diameter': 61.77117450704828, 'sphere': {'center': [-3.2446653168220676, 6.605727629531356, 9.478214377869838], 'radius': 12.0}, 'projected_sphere': {'center': [-52.243827395028376, 552.1015506751902], 'axes': [1569.9159574552875, 1569.9159574552875], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 32983.261356, 'theta': 0.9878604740731596, 'phi': -1.240971805748453, 'norm_pos': [0.37984037027012174, 0.5000363506639209], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084273.6979609,"{'circle_3d': {'center': [-1.2324929077323077e-07, -2.8608777569161248e-09, 1.9816282854634437e-06], 'normal': [0.2703887661310647, -0.5504773026993528, -0.7898510330201294], 'radius': 9.779793844075173e-08}, 'confidence': 1.0, 'timestamp': 32983.523133, 'diameter_3d': 1.9559587688150346e-07, 'ellipse': {'center': [121.08033574445349, 119.76127251659156], 'axes': [49.278254413388055, 61.32915377044036], 'angle': -68.35947637716784}, 'location': [121.08033574445349, 119.76127251659156], 'diameter': 61.32915377044036, 'sphere': {'center': [-3.2446653168220676, 6.605727629531356, 9.478214377869838], 'radius': 12.0}, 'projected_sphere': {'center': [-52.243827395028376, 552.1015506751902], 'axes': [1569.9159574552875, 1569.9159574552875], 'angle': 90.0}, 'model_confidence': 0.979741144541113, 'model_id': 1, 'model_birth_timestamp': 32983.261356, 'theta': 0.987860474002899, 'phi': -1.240971805892043, 'norm_pos': [0.37837604920141715, 0.5009946978475351], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084273.744789,"{'circle_3d': {'center': [-1.2417771166894909e-07, -3.763514833110548e-09, 1.981939542261557e-06], 'normal': [0.27038876605369633, -0.5504773027745725, -0.7898510329941912], 'radius': 9.853772541392539e-08}, 'confidence': 0.9999999999999999, 'timestamp': 32983.535599, 'diameter_3d': 1.9707545082785078e-07, 'ellipse': {'center': [120.79036402168516, 119.48855057103788], 'axes': [49.634319369600604, 61.786007736617286], 'angle': -68.40419596700221}, 'location': [120.79036402168516, 119.48855057103788], 'diameter': 61.786007736617286, 'sphere': {'center': [-3.2446653168220676, 6.605727629531356, 9.478214377869838], 'radius': 12.0}, 'projected_sphere': {'center': [-52.243827395028376, 552.1015506751902], 'axes': [1569.9159574552875, 1569.9159574552875], 'angle': 90.0}, 'model_confidence': 0.9621224177264742, 'model_id': 1, 'model_birth_timestamp': 32983.261356, 'theta': 0.9878604739127993, 'phi': -1.2409718059696586, 'norm_pos': [0.3774698875677661, 0.5021310392873422], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084273.745002,"{'circle_3d': {'center': [-1.2495021817215957e-07, -3.6342333586958375e-09, 1.98158498854184e-06], 'normal': [0.27038876598932077, -0.5504773027637991, -0.7898510330237374], 'radius': 9.908475917743959e-08}, 'confidence': 0.9999999999999999, 'timestamp': 32983.548064, 'diameter_3d': 1.9816951835487918e-07, 'ellipse': {'center': [120.53729139544284, 119.53648937307563], 'axes': [49.927199432109305, 62.14178375169936], 'angle': -68.43399330858907}, 'location': [120.53729139544284, 119.53648937307563], 'diameter': 62.14178375169936, 'sphere': {'center': [-3.2446653168220676, 6.605727629531356, 9.478214377869838], 'radius': 12.0}, 'projected_sphere': {'center': [-52.243827395028376, 552.1015506751902], 'axes': [1569.9159574552875, 1569.9159574552875], 'angle': 90.0}, 'model_confidence': 0.948058565080756, 'model_id': 1, 'model_birth_timestamp': 32983.261356, 'theta': 0.9878604739257039, 'phi': -1.2409718060540749, 'norm_pos': [0.3766790356107589, 0.5019312942788516], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084273.745273,"{'circle_3d': {'center': [-1.270653418039558e-07, -4.583957213810663e-09, 1.9815228213815317e-06], 'normal': [0.2703887658130605, -0.5504773028429427, -0.789851033028918], 'radius': 9.747282163279919e-08}, 'confidence': 1.0, 'timestamp': 32983.56053, 'diameter_3d': 1.9494564326559838e-07, 'ellipse': {'center': [119.88552865290754, 119.21730694758546], 'axes': [49.113031048881915, 61.13623176949434], 'angle': -68.5256813525476}, 'location': [119.88552865290754, 119.21730694758546], 'diameter': 61.13623176949434, 'sphere': {'center': [-3.2446653168220676, 6.605727629531356, 9.478214377869838], 'radius': 12.0}, 'projected_sphere': {'center': [-52.243827395028376, 552.1015506751902], 'axes': [1569.9159574552875, 1569.9159574552875], 'angle': 90.0}, 'model_confidence': 0.9602747065355355, 'model_id': 1, 'model_birth_timestamp': 32983.261356, 'theta': 0.987860473830904, 'phi': -1.2409718062558328, 'norm_pos': [0.37464227704033604, 0.5032612210517273], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084273.7455192,"{'circle_3d': {'center': [-1.2678559713208415e-07, -4.383550411546366e-09, 1.9814789151695322e-06], 'normal': [0.27038876583637256, -0.5504773028262422, -0.7898510330325769], 'radius': 9.786431123179063e-08}, 'confidence': 1.0, 'timestamp': 32983.572996, 'diameter_3d': 1.9572862246358126e-07, 'ellipse': {'center': [119.96936735304469, 119.28531803903297], 'axes': [49.31334696166625, 61.38273129245666], 'angle': -68.51299507313611}, 'location': [119.96936735304469, 119.28531803903297], 'diameter': 61.38273129245666, 'sphere': {'center': [-3.2446653168220676, 6.605727629531356, 9.478214377869838], 'radius': 12.0}, 'projected_sphere': {'center': [-52.243827395028376, 552.1015506751902], 'axes': [1569.9159574552875, 1569.9159574552875], 'angle': 90.0}, 'model_confidence': 0.9648118686828799, 'model_id': 1, 'model_birth_timestamp': 32983.261356, 'theta': 0.9878604738509082, 'phi': -1.2409718062308337, 'norm_pos': [0.3749042729782647, 0.5029778415040294], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084273.773291,"{'circle_3d': {'center': [-1.2601979548776399e-07, -2.3109230085083254e-09, 1.980296577386298e-06], 'normal': [0.27038876590018934, -0.5504773026535232, -0.789851033131105], 'radius': 9.811394403573616e-08}, 'confidence': 1.0, 'timestamp': 32983.585461, 'diameter_3d': 1.9622788807147232e-07, 'ellipse': {'center': [120.18337057541174, 119.93815353028234], 'axes': [49.50063347414153, 61.57354269623898], 'angle': -68.46544034537537}, 'location': [120.18337057541174, 119.93815353028234], 'diameter': 61.57354269623898, 'sphere': {'center': [-3.2446653168220676, 6.605727629531356, 9.478214377869838], 'radius': 12.0}, 'projected_sphere': {'center': [-52.243827395028376, 552.1015506751902], 'axes': [1569.9159574552875, 1569.9159574552875], 'angle': 90.0}, 'model_confidence': 0.9645780985184205, 'model_id': 1, 'model_birth_timestamp': 32983.261356, 'theta': 0.9878604740577945, 'phi': -1.2409718061967365, 'norm_pos': [0.3755730330481617, 0.5002576936238237], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084273.773878,"{'circle_3d': {'center': [-1.2584875452859023e-07, -1.497291179930471e-10, 1.978848910511033e-06], 'normal': [0.2703887659144428, -0.5504773024734237, -0.789851033251744], 'radius': 9.828615063397863e-08}, 'confidence': 0.9999999999999023, 'timestamp': 32983.597927, 'diameter_3d': 1.9657230126795726e-07, 'ellipse': {'center': [120.20631476999816, 120.61868341748061], 'axes': [49.6616525695102, 61.72523008448062], 'angle': -68.44060509235577}, 'location': [120.20631476999816, 120.61868341748061], 'diameter': 61.72523008448062, 'sphere': {'center': [-3.2446653168220676, 6.605727629531356, 9.478214377869838], 'radius': 12.0}, 'projected_sphere': {'center': [-52.243827395028376, 552.1015506751902], 'axes': [1569.9159574552875, 1569.9159574552875], 'angle': 90.0}, 'model_confidence': 0.9645780985184205, 'model_id': 1, 'model_birth_timestamp': 32983.261356, 'theta': 0.9878604742735213, 'phi': -1.2409718062273851, 'norm_pos': [0.37564473365624423, 0.49742215242716414], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084273.790474,"{'circle_3d': {'center': [-1.2518203362787972e-07, 2.402980925353404e-09, 1.977298069277822e-06], 'normal': [0.27038876597000283, -0.5504773022606979, -0.7898510333809807], 'radius': 9.731667169356923e-08}, 'confidence': 0.9999999999998979, 'timestamp': 32983.610392, 'diameter_3d': 1.9463334338713847e-07, 'ellipse': {'center': [120.39119152696298, 121.4077493648547], 'axes': [49.25035293309648, 61.161047578954154], 'angle': -68.39194749031029}, 'location': [120.39119152696298, 121.4077493648547], 'diameter': 61.161047578954154, 'sphere': {'center': [-3.2446653168220676, 6.605727629531356, 9.478214377869838], 'radius': 12.0}, 'projected_sphere': {'center': [-52.243827395028376, 552.1015506751902], 'axes': [1569.9159574552875, 1569.9159574552875], 'angle': 90.0}, 'model_confidence': 0.9645780985184205, 'model_id': 1, 'model_birth_timestamp': 32983.261356, 'theta': 0.9878604745283284, 'phi': -1.2409718062145583, 'norm_pos': [0.3762224735217593, 0.49413437764643875], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084273.814005,"{'circle_3d': {'center': [-1.2498337786936986e-07, 2.4788802122088782e-09, 1.977313177192741e-06], 'normal': [0.2703887659865575, -0.550477302254373, -0.7898510333797217], 'radius': 9.803842303631502e-08}, 'confidence': 0.9999999999999001, 'timestamp': 32983.622858, 'diameter_3d': 1.9607684607263004e-07, 'ellipse': {'center': [120.44852734573729, 121.44130406932571], 'axes': [49.61585338562855, 61.61420040224358], 'angle': -68.38346767584488}, 'location': [120.44852734573729, 121.44130406932571], 'diameter': 61.61420040224358, 'sphere': {'center': [-3.2446653168220676, 6.605727629531356, 9.478214377869838], 'radius': 12.0}, 'projected_sphere': {'center': [-52.243827395028376, 552.1015506751902], 'axes': [1569.9159574552875, 1569.9159574552875], 'angle': 90.0}, 'model_confidence': 0.9645780985184205, 'model_id': 1, 'model_birth_timestamp': 32983.261356, 'theta': 0.9878604745359045, 'phi': -1.2409718061953092, 'norm_pos': [0.376401647955429, 0.4939945663778096], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
