eye_packets,733
norm_X,norm_Y,phi,theta,confidence,timestamp
1596175275.8305311,"{'circle_3d': {'center': [1.0976955788777332e-08, 5.9064285906629266e-08, 5.658737354252708e-07], 'normal': [-0.27566177842519646, 0.403678527072604, -0.8723842219434913], 'radius': 1.9958384766968262e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.322314, 'diameter_3d': 3.9916769533936524e-08, 'ellipse': {'center': [172.21601731419094, 184.46138095069264], 'axes': [36.47540810958588, 43.83745492915895], 'angle': -61.38201607533911}, 'location': [172.21601731419094, 184.46138095069264], 'diameter': 43.83745492915895, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.9863303072092455, 'phi': -1.8768544954630861, 'norm_pos': [0.5381750541068466, 0.23141091270544734], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175275.839863,"{'circle_3d': {'center': [1.0863489219303801e-08, 5.8945227365825303e-08, 5.658544957043432e-07], 'normal': [-0.275661778434652, 0.4036785270626824, -0.8723842219450946], 'radius': 1.9720638203743703e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.330714, 'diameter_3d': 3.9441276407487405e-08, 'ellipse': {'center': [172.0875990687361, 184.3390566212446], 'axes': [36.043683333976496, 43.3158857174626], 'angle': -61.36220859066074}, 'location': [172.0875990687361, 184.3390566212446], 'diameter': 43.3158857174626, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.986330307198401, 'phi': -1.876854495472413, 'norm_pos': [0.5377737470898003, 0.23192059741148086], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175275.848962,"{'circle_3d': {'center': [1.0991103138735525e-08, 5.9097493121385014e-08, 5.658846298217668e-07], 'normal': [-0.2756617784240175, 0.4036785270753713, -0.8723842219425835], 'radius': 1.953414006467493e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.339114, 'diameter_3d': 3.906828012934986e-08, 'ellipse': {'center': [172.223327082676, 184.50715856094337], 'axes': [35.69815022330929, 42.90464905708237], 'angle': -61.385033855314234}, 'location': [172.223327082676, 184.50715856094337], 'diameter': 42.90464905708237, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.9863303072122702, 'phi': -1.8768544954621564, 'norm_pos': [0.5381978971333625, 0.23122017266273598], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175275.8561761,"{'circle_3d': {'center': [1.1017142309555084e-08, 5.916313305931453e-08, 5.659067756624836e-07], 'normal': [-0.2756617784218476, 0.4036785270808413, -0.872384221940738], 'radius': 1.9682628065954517e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.347514, 'diameter_3d': 3.9365256131909034e-08, 'ellipse': {'center': [172.2541429660285, 184.57288699792292], 'axes': [35.966652009358704, 43.229425148265044], 'angle': -61.39128330624661}, 'location': [172.2541429660285, 184.57288699792292], 'diameter': 43.229425148265044, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.986330307218249, 'phi': -1.8768544954605026, 'norm_pos': [0.538294196768839, 0.23094630417532114], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175275.862704,"{'circle_3d': {'center': [1.1049480441727155e-08, 5.9209243730151684e-08, 5.659178938799414e-07], 'normal': [-0.27566177841915274, 0.4036785270846838, -0.8723842219398115], 'radius': 1.9954278254567107e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.355914, 'diameter_3d': 3.9908556509134214e-08, 'ellipse': {'center': [172.29445033987562, 184.6153310920456], 'axes': [36.461717371641576, 43.82559887947772], 'angle': -61.39755866406746}, 'location': [172.29445033987562, 184.6153310920456], 'diameter': 43.82559887947772, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.986330307222449, 'phi': -1.876854495457999, 'norm_pos': [0.5384201573121113, 0.23076945378314329], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175275.870618,"{'circle_3d': {'center': [1.0765445868088364e-08, 5.9029725107961895e-08, 5.659245765343712e-07], 'normal': [-0.2756617784428223, 0.40367852706972396, -0.8723842219392545], 'radius': 1.9998223293501538e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.364314, 'diameter_3d': 3.9996446587003077e-08, 'ellipse': {'center': [171.98386897851057, 184.4167274616474], 'axes': [36.54246142951576, 43.9201106175222], 'angle': -61.35349597108375}, 'location': [171.98386897851057, 184.4167274616474], 'diameter': 43.9201106175222, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.9863303072060976, 'phi': -1.8768544954828514, 'norm_pos': [0.5374495905578456, 0.23159696890980241], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175275.878583,"{'circle_3d': {'center': [1.0923254745165423e-08, 5.9138214325571425e-08, 5.65924910489457e-07], 'normal': [-0.27566177842967154, 0.40367852707876467, -0.8723842219392267], 'radius': 1.9621202702179026e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.372714, 'diameter_3d': 3.924240540435805e-08, 'ellipse': {'center': [172.14970970949182, 184.545047472748], 'axes': [35.85239746526023, 43.092670618020534], 'angle': -61.378168694193576}, 'location': [172.14970970949182, 184.545047472748], 'diameter': 43.092670618020534, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.9863303072159793, 'phi': -1.8768544954691546, 'norm_pos': [0.5379678428421619, 0.2310623021968834], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175275.892054,"{'circle_3d': {'center': [1.0809832140523667e-08, 5.898816368699045e-08, 5.658913178052671e-07], 'normal': [-0.27566177843912343, 0.40367852706626045, -0.872384221942026], 'radius': 1.9713205534235255e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.381114, 'diameter_3d': 3.942641106847051e-08, 'ellipse': {'center': [172.02785650059474, 184.38212617998238], 'axes': [36.0255074987127, 43.296608430740285], 'angle': -61.35720881810254}, 'location': [172.02785650059474, 184.38212617998238], 'diameter': 43.296608430740285, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.986330307202312, 'phi': -1.8768544954780837, 'norm_pos': [0.5375870515643586, 0.23174114091674014], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175275.900204,"{'circle_3d': {'center': [1.097749224854283e-08, 5.912214007253169e-08, 5.659003345925839e-07], 'normal': [-0.27566177842515177, 0.40367852707742513, -0.8723842219412746], 'radius': 1.967488325383876e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.389514, 'diameter_3d': 3.934976650767752e-08, 'ellipse': {'center': [172.2106867017955, 184.52888771346477], 'axes': [35.95351006650161, 43.21266174071405], 'angle': -61.38443575513655}, 'location': [172.2106867017955, 184.52888771346477], 'diameter': 43.21266174071405, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.986330307214515, 'phi': -1.8768544954637696, 'norm_pos': [0.538158395943111, 0.23112963452723012], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175275.906462,"{'circle_3d': {'center': [1.095376989113106e-08, 5.9170353949866694e-08, 5.659301418603491e-07], 'normal': [-0.27566177842712863, 0.403678527081443, -0.8723842219387907], 'radius': 1.956455447996821e-08}, 'confidence': 0.9999999999999999, 'timestamp': 50664.397914, 'diameter_3d': 3.912910895993642e-08, 'ellipse': {'center': [172.18198202478982, 184.5810800705988], 'axes': [35.7480147262383, 42.96800953551082], 'angle': -61.3834301829952}, 'location': [172.18198202478982, 184.5810800705988], 'diameter': 42.96800953551082, 'sphere': {'center': [3.3079413520793133, -4.844142265806962, 10.46861122919563], 'radius': 12.0}, 'projected_sphere': {'center': [355.9117206081173, -166.89270611409307], 'axes': [1421.3919759004484, 1421.3919759004484], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 25, 'model_birth_timestamp': 50655.174799, 'theta': 1.9863303072189067, 'phi': -1.876854495466648, 'norm_pos': [0.5380686938274681, 0.230912166372505], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
