eye_packets,770
norm_X,norm_Y,phi,theta,confidence,timestamp
1596174915.39378,"{'circle_3d': {'center': [1.9497549612296918, -0.21721126738255325, 20.826116644373112], 'normal': [0.41476928960855947, -0.5632301842569275, -0.7146594965013188], 'radius': 2.1695017220114727}, 'confidence': 0.11932165488857623, 'timestamp': 50303.892602, 'diameter_3d': 4.3390034440229455, 'ellipse': {'center': [216.34964914922983, 116.22168874503389], 'axes': [86.81677289192177, 129.79447405766422], 'angle': -50.25798338940556}, 'location': [216.34964914922983, 116.22168874503389], 'diameter': 129.79447405766422, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.9725064966957738, 'phi': -1.0449332467508958, 'norm_pos': [0.6760926535913432, 0.5157429635623588], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596174915.400987,"{'circle_3d': {'center': [1.9559875073934325, -0.21008257517989115, 20.824121115020866], 'normal': [0.4152886684555378, -0.5626361265733723, -0.7148257906140059], 'radius': 2.1699742019555606}, 'confidence': 0.1309077946815684, 'timestamp': 50303.901002, 'diameter_3d': 4.339948403911121, 'ellipse': {'center': [216.53759934122814, 116.43390759077998], 'axes': [86.86639596818006, 129.83825943169143], 'angle': -50.17496682041179}, 'location': [216.53759934122814, 116.43390759077998], 'diameter': 129.83825943169143, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.973225257699286, 'phi': -1.0444908479090662, 'norm_pos': [0.6766799979413379, 0.5148587183717501], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596174915.413622,"{'circle_3d': {'center': [1.9522980059490136, -0.21114834787725023, 20.822817467883908], 'normal': [0.41498121000183624, -0.562724940964819, -0.714934427875419], 'radius': 2.1750936396213185}, 'confidence': 0.13638082967814671, 'timestamp': 50303.909402, 'diameter_3d': 4.350187279242637, 'ellipse': {'center': [216.42363174533833, 116.41557370932077], 'axes': [87.10281864723375, 130.1532107196892], 'angle': -50.20434435395906}, 'location': [216.42363174533833, 116.41557370932077], 'diameter': 130.1532107196892, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.9731178219445498, 'phi': -1.0448784667282798, 'norm_pos': [0.6763238492041823, 0.5149351095444967], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596174915.4231381,"{'circle_3d': {'center': [1.9485864485683289, -0.21220488607475652, 20.82149567829448], 'normal': [0.41467191355344585, -0.5628129858146111, -0.7150445770078715], 'radius': 2.1765932559006282}, 'confidence': 0.13046646303318857, 'timestamp': 50303.917802, 'diameter_3d': 4.3531865118012565, 'ellipse': {'center': [216.31474299962406, 116.38849358233729], 'axes': [87.19320312077309, 130.2505274701246], 'angle': -50.23393133695535}, 'location': [216.31474299962406, 116.38849358233729], 'diameter': 130.2505274701246, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.973011309322166, 'phi': -1.0452689833181839, 'norm_pos': [0.6759835718738252, 0.5150479434069279], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596174915.4302762,"{'circle_3d': {'center': [1.9448528197124189, -0.21325219175062582, 20.82015577239547], 'normal': [0.41436077781545344, -0.5629002612876003, -0.715156235832789], 'radius': 2.171552804937047}, 'confidence': 0.12493972501456659, 'timestamp': 50303.926202, 'diameter_3d': 4.343105609874094, 'ellipse': {'center': [216.21554075846086, 116.34534366431222], 'axes': [87.01912205303591, 129.9544655203138], 'angle': -50.26381571893273}, 'location': [216.21554075846086, 116.34534366431222], 'diameter': 129.9544655203138, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.9729057198323192, 'phi': -1.0456623976781012, 'norm_pos': [0.6756735648701901, 0.5152277347320324], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596174915.437792,"{'circle_3d': {'center': [2.060855095818966, -0.11477822140707872, 20.811212045725597], 'normal': [0.4240276341576657, -0.5546940970923048, -0.7159015463886118], 'radius': 2.170569187679857}, 'confidence': 0.08134216421840683, 'timestamp': 50303.934602, 'diameter_3d': 4.341138375359714, 'ellipse': {'center': [219.66529081398144, 119.25486756621716], 'axes': [87.00390677824873, 130.00135212200465], 'angle': -48.93203873411431}, 'location': [219.66529081398144, 119.25486756621716], 'diameter': 130.00135212200465, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.9828010534749166, 'phi': -1.0360587098083687, 'norm_pos': [0.686454033793692, 0.5031047184740951], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596174915.456192,"{'circle_3d': {'center': [2.0465461644003247, -0.12244143119150852, 20.808690187525904], 'normal': [0.4228352232061121, -0.5553326979076737, -0.7161117012385859], 'radius': 2.1735335540082117}, 'confidence': 0.08990477723139531, 'timestamp': 50303.951402, 'diameter_3d': 4.347067108016423, 'ellipse': {'center': [219.24397962861968, 119.03681098845375], 'axes': [87.1906519610632, 130.1901169272045], 'angle': -49.06734548433401}, 'location': [219.24397962861968, 119.03681098845375], 'diameter': 130.1901169272045, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.9820333580396966, 'phi': -1.037421159497704, 'norm_pos': [0.6851374363394365, 0.5040132875481094], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596174915.46176,"{'circle_3d': {'center': [2.0443252796224227, -0.1221215350512912, 20.80713120440919], 'normal': [0.4226501494746203, -0.5553060398959889, -0.7162416164983123], 'radius': 2.1678498955569334}, 'confidence': 0.11047725106065175, 'timestamp': 50303.959802, 'diameter_3d': 4.335699791113867, 'ellipse': {'center': [219.1912908666119, 119.03278393823159], 'axes': [86.9926821418722, 129.85703400050645], 'angle': -49.0789289352687}, 'location': [219.1912908666119, 119.03278393823159], 'diameter': 129.85703400050645, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.9820654128976815, 'phi': -1.0376922131209698, 'norm_pos': [0.6849727839581622, 0.5040300669240351], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596174915.4715252,"{'circle_3d': {'center': [2.0420897937086107, -0.1217860367347976, 20.8055523853417], 'normal': [0.4224638589818027, -0.555278081702948, -0.7163731847539366], 'radius': 2.1690820814825864}, 'confidence': 0.101678845788143, 'timestamp': 50303.968202, 'diameter_3d': 4.338164162965173, 'ellipse': {'center': [219.12713751849736, 119.04638082009527], 'axes': [87.07551503610543, 129.94055389250084], 'angle': -49.09028680741989}, 'location': [219.12713751849736, 119.04638082009527], 'diameter': 129.94055389250084, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.9820990304183299, 'phi': -1.0379655249843664, 'norm_pos': [0.6847723047453043, 0.503973413249603], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596174915.477758,"{'circle_3d': {'center': [2.0398396879659213, -0.12143493519194504, 20.803953742635215], 'normal': [0.42227635016991194, -0.5552488232410436, -0.7165064049794769], 'radius': 2.1663052836959005}, 'confidence': 0.13669154479041387, 'timestamp': 50303.976602, 'diameter_3d': 4.332610567391801, 'ellipse': {'center': [219.0690049100799, 119.05050977009058], 'axes': [86.99608594320067, 129.78274328086894], 'angle': -49.10177121501959}, 'location': [219.0690049100799, 119.05050977009058], 'diameter': 129.78274328086894, 'sphere': {'center': [-3.0274765140730215, 6.541550943700577, 29.402030602388937], 'radius': 12.0}, 'projected_sphere': {'center': [96.15966651729276, 257.9415469612097], 'axes': [506.08749447362965, 506.08749447362965], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50299.096202, 'theta': 0.9821342106016732, 'phi': -1.0382410950881333, 'norm_pos': [0.6845906403439997, 0.5039562092912893], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
