eye_packets,773
norm_X,norm_Y,phi,theta,confidence,timestamp
1596175508.955311,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011948903510087659}, 'confidence': 0.0007900747469183599, 'timestamp': 50897.44665, 'diameter_3d': 0.00023897807020175317, 'ellipse': {'center': [-2090.2642307437313, 4066.529608842827], 'axes': [3150.816930635345, 9022.823772008316], 'angle': 29.69127409916965}, 'location': [-2090.2642307437313, 4066.529608842827], 'diameter': 9022.823772008316, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.53207572107416, -15.943873370178448], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175509.0472991,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011948456498386266}, 'confidence': 0.0006420992360660316, 'timestamp': 50897.53905, 'diameter_3d': 0.0002389691299677253, 'ellipse': {'center': [-2089.656182458748, 4065.4632093829305], 'axes': [3150.3252663088856, 9020.345540269567], 'angle': 29.691274099169643}, 'location': [-2089.656182458748, 4065.4632093829305], 'diameter': 9020.345540269567, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.530175570183587, -15.939430039095544], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175509.055018,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011949175824797698}, 'confidence': 0.0006418361279888299, 'timestamp': 50897.547449, 'diameter_3d': 0.00023898351649595396, 'ellipse': {'center': [-2090.6347998386063, 4067.17951558936], 'axes': [3151.116533039585, 9024.334099972208], 'angle': 29.69127409916965}, 'location': [-2090.6347998386063, 4067.17951558936], 'diameter': 9024.334099972208, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.533233749495645, -15.946581314955669], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175509.063749,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.0001194862726264781}, 'confidence': 0.000740811663551113, 'timestamp': 50897.555849, 'diameter_3d': 0.0002389725452529562, 'ellipse': {'center': [-2089.888428035361, 4065.8705233472656], 'axes': [3150.5130677953293, 9021.292108625374], 'angle': 29.691274099169643}, 'location': [-2089.888428035361, 4065.8705233472656], 'diameter': 9021.292108625374, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.530901337610503, -15.941127180613606], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175509.072285,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011946603707766372}, 'confidence': 0.0006427769584855447, 'timestamp': 50897.564249, 'diameter_3d': 0.00023893207415532744, 'ellipse': {'center': [-2087.139236848083, 4061.0489720499922], 'axes': [3148.2892619133722, 9010.087051889188], 'angle': 29.691274099169608}, 'location': [-2087.139236848083, 4061.0489720499922], 'diameter': 9010.087051889188, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.522310115150259, -15.921037383541634], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175509.079086,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011947235658418244}, 'confidence': 0.0007413989956579249, 'timestamp': 50897.572649, 'diameter_3d': 0.00023894471316836488, 'ellipse': {'center': [-2087.9971180621487, 4062.553530299605], 'axes': [3148.9833659547644, 9013.583601731123], 'angle': 29.691274099169615}, 'location': [-2087.9971180621487, 4062.553530299605], 'diameter': 9013.583601731123, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.524990993944215, -15.927306376248353], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175509.0869892,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011946045995690926}, 'confidence': 0.0004451406706102504, 'timestamp': 50897.581049, 'diameter_3d': 0.0002389209199138185, 'ellipse': {'center': [-2086.3826505085253, 4059.722065480571], 'axes': [3147.676987634609, 9007.003338475664], 'angle': 29.691274099169608}, 'location': [-2086.3826505085253, 4059.722065480571], 'diameter': 9007.003338475664, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.519945782839142, -15.915508606169045], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175509.1009002,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011945090257965779}, 'confidence': 0.0005443566481741878, 'timestamp': 50897.589449, 'diameter_3d': 0.00023890180515931557, 'ellipse': {'center': [-2085.0872282232676, 4057.4501445501883], 'axes': [3146.628378911475, 9001.723378495304], 'angle': 29.69127409916958}, 'location': [-2085.0872282232676, 4057.4501445501883], 'diameter': 9001.723378495304, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.515897588197712, -15.90604226895912], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175509.10739,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011946825020876045}, 'confidence': 0.0005438196952602074, 'timestamp': 50897.597849, 'diameter_3d': 0.0002389365004175209, 'ellipse': {'center': [-2087.439601689822, 4061.575754071935], 'axes': [3148.5323018373388, 9011.311280936125], 'angle': 29.691274099169608}, 'location': [-2087.439601689822, 4061.575754071935], 'diameter': 9011.311280936125, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.523248755280695, -15.923232308633064], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175509.115794,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011947437533524185}, 'confidence': 0.0008401556308107158, 'timestamp': 50897.606249, 'diameter_3d': 0.0002389487506704837, 'ellipse': {'center': [-2088.271296910339, 4063.0343871375344], 'axes': [3149.205169356027, 9014.701093794672], 'angle': 29.691274099169625}, 'location': [-2088.271296910339, 4063.0343871375344], 'diameter': 9014.701093794672, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.52584780284481, -15.929309946406395], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175509.123412,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011948088920999321}, 'confidence': 0.00044462332186724597, 'timestamp': 50897.614649, 'diameter_3d': 0.00023896177841998642, 'ellipse': {'center': [-2089.1564179797892, 4064.586718841637], 'axes': [3149.9211021819974, 9018.308633045754], 'angle': 29.691274099169625}, 'location': [-2089.1564179797892, 4064.586718841637], 'diameter': 9018.308633045754, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.528613806186842, -15.935777995173488], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175509.132868,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011945227288296718}, 'confidence': 0.0004453480086320524, 'timestamp': 50897.623049, 'diameter_3d': 0.00023890454576593436, 'ellipse': {'center': [-2085.2728744247897, 4057.775732194993], 'axes': [3146.778675857493, 9002.48004997622], 'angle': 29.69127409916958}, 'location': [-2085.2728744247897, 4057.775732194993], 'diameter': 9002.48004997622, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.516477732577468, -15.907398884145802], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175509.1395042,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011947830204011808}, 'confidence': 0.0005435085789598536, 'timestamp': 50897.631449, 'diameter_3d': 0.00023895660408023616, 'ellipse': {'center': [-2088.804788057277, 4063.9700277519473], 'axes': [3149.6367047501, 9016.87547779595], 'angle': 29.691274099169625}, 'location': [-2088.804788057277, 4063.9700277519473], 'diameter': 9016.87547779595, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.527514962678991, -15.933208448966447], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175509.147358,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011948199138837541}, 'confidence': 0.0005927938817666266, 'timestamp': 50897.639849, 'diameter_3d': 0.00023896398277675082, 'ellipse': {'center': [-2089.306249950585, 4064.849495230746], 'axes': [3150.042278116571, 9018.919309242865], 'angle': 29.691274099169625}, 'location': [-2089.306249950585, 4064.849495230746], 'diameter': 9018.919309242865, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.529082031095578, -15.936872896794775], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175509.156644,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011948094067525969}, 'confidence': 0.0004446220186064839, 'timestamp': 50897.648249, 'diameter_3d': 0.00023896188135051939, 'ellipse': {'center': [-2089.1634138332615, 4064.5989882198246], 'axes': [3149.926760150872, 9018.337146344556], 'angle': 29.691274099169625}, 'location': [-2089.1634138332615, 4064.5989882198246], 'diameter': 9018.337146344556, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.528635668228942, -15.935829117582603], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
