eye_packets,773
norm_X,norm_Y,phi,theta,confidence,timestamp
1596175508.955311,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011948903510087659}, 'confidence': 0.0007900747469183599, 'timestamp': 50897.44665, 'diameter_3d': 0.00023897807020175317, 'ellipse': {'center': [-2090.2642307437313, 4066.529608842827], 'axes': [3150.816930635345, 9022.823772008316], 'angle': 29.69127409916965}, 'location': [-2090.2642307437313, 4066.529608842827], 'diameter': 9022.823772008316, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.53207572107416, -15.943873370178448], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175508.962933,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011948115218119141}, 'confidence': 0.0007410277710334139, 'timestamp': 50897.45505, 'diameter_3d': 0.00023896230436238282, 'ellipse': {'center': [-2089.1921650063173, 4064.6494122341255], 'axes': [3149.9500128528284, 9018.454328711015], 'angle': 29.691274099169625}, 'location': [-2089.1921650063173, 4064.6494122341255], 'diameter': 9018.454328711015, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.528725515644742, -15.93603921764219], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175508.9709802,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011948859135075987}, 'confidence': 0.0006913328831121092, 'timestamp': 50897.46345, 'diameter_3d': 0.00023897718270151974, 'ellipse': {'center': [-2090.203855653114, 4066.423722574227], 'axes': [3150.7681151170545, 9022.577700888281], 'angle': 29.691274099169643}, 'location': [-2090.203855653114, 4066.423722574227], 'diameter': 9022.577700888281, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.531887048915981, -15.943432177392612], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175508.978915,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011950292078042566}, 'confidence': 0.0006414278475639593, 'timestamp': 50897.47185, 'diameter_3d': 0.0002390058415608513, 'ellipse': {'center': [-2092.1550195581567, 4069.845687878453], 'axes': [3152.3453215548366, 9030.530008436119], 'angle': 29.69127409916968}, 'location': [-2092.1550195581567, 4069.845687878453], 'diameter': 9030.530008436119, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.53798443611924, -15.957690366160222], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175508.987969,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011948402555710897}, 'confidence': 0.0008396940336635086, 'timestamp': 50897.48025, 'diameter_3d': 0.00023896805111421794, 'ellipse': {'center': [-2089.5828279071384, 4065.334559642196], 'axes': [3150.26594705573, 9020.046567142712], 'angle': 29.691274099169625}, 'location': [-2089.5828279071384, 4065.334559642196], 'diameter': 9020.046567142712, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.529946337209807, -15.938893998509151], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175508.995075,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011948513182095079}, 'confidence': 0.0006420785026484486, 'timestamp': 50897.48865, 'diameter_3d': 0.00023897026364190157, 'ellipse': {'center': [-2089.7332693183644, 4065.5984048723185], 'axes': [3150.3876025450004, 9020.659725066846], 'angle': 29.691274099169643}, 'location': [-2089.7332693183644, 4065.5984048723185], 'diameter': 9020.659725066846, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.530416466619888, -15.939993353634659], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175509.003041,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011948325779005408}, 'confidence': 0.000592751123016303, 'timestamp': 50897.49705, 'diameter_3d': 0.00023896651558010816, 'ellipse': {'center': [-2089.478430058064, 4065.1514659428685], 'axes': [3150.1815222505834, 9019.621069693052], 'angle': 29.691274099169625}, 'location': [-2089.478430058064, 4065.1514659428685], 'diameter': 9019.621069693052, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.529620093931451, -15.938131108095284], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175509.015218,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011945967608430754}, 'confidence': 0.0004946228022121516, 'timestamp': 50897.50545, 'diameter_3d': 0.00023891935216861508, 'ellipse': {'center': [-2086.276349853543, 4059.535634626543], 'axes': [3147.5909533341055, 9006.57007404975], 'angle': 29.69127409916959}, 'location': [-2086.276349853543, 4059.535634626543], 'diameter': 9006.57007404975, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.519613593292322, -15.91473181094393], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175509.023613,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011945994698868229}, 'confidence': 0.0005935382151984705, 'timestamp': 50897.51385, 'diameter_3d': 0.00023891989397736458, 'ellipse': {'center': [-2086.313086011587, 4059.6000627650055], 'axes': [3147.6206859630133, 9006.719804783672], 'angle': 29.69127409916959}, 'location': [-2086.313086011587, 4059.6000627650055], 'diameter': 9006.719804783672, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.51972839378621, -15.915000261520856], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175509.0315351,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011948096777384934}, 'confidence': 0.0005928284431812247, 'timestamp': 50897.52225, 'diameter_3d': 0.00023896193554769868, 'ellipse': {'center': [-2089.167097455791, 4064.6054485835366], 'axes': [3149.929739314618, 9018.35215984156], 'angle': 29.691274099169625}, 'location': [-2089.167097455791, 4064.6054485835366], 'diameter': 9018.35215984156, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.528647179549347, -15.935856035764736], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175509.0393019,"{'circle_3d': {'center': [-4.675136866438834e-05, 8.199288695465157e-05, 9.60489363173167e-05], 'normal': [0.3471750094980859, -0.6088780311666775, -0.7132580570470933], 'radius': 0.00011947310564774709}, 'confidence': 0.0006919428884532146, 'timestamp': 50897.53065, 'diameter_3d': 0.00023894621129549418, 'ellipse': {'center': [-2088.0988455448087, 4062.73194069109], 'axes': [3149.0656626074942, 9013.998220647225], 'angle': 29.691274099169615}, 'location': [-2088.0988455448087, 4062.73194069109], 'diameter': 9013.998220647225, 'sphere': {'center': [-4.166146865345695, 7.3066183668870845, 8.559192733501437], 'radius': 12.0}, 'projected_sphere': {'center': [-141.78208821074884, 649.2675990036732], 'axes': [1738.4817077150706, 1738.4817077150706], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9161508752044105, 'phi': -1.117808590644747, 'norm_pos': [-6.525308892327527, -15.928049752879542], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
