UDPTimeStamp,PupilTimeStamp,ImuTimeStamp,QuatI,QuatJ,QuatK,QuatReal,QuatRadianAccuracy,pIntersectX,pIntersectZ,angleX,angleY,angleZ
-1565833948788.0,264907.0,0.0,0.0127,-0.07111,-0.81689,0.57227,0.01721,-278.6033,-39.02589,-7.524765163501663,3.4765049563807615,20.203649738033704
-1565833948785.0,264907.0,3.0,0.0127,-0.07111,-0.81683,0.57233,0.01721,-278.77527,-39.046654,-7.524366290031671,3.4770822540437853,20.19250687905337
-1565833948780.0,264914.0,8.0,0.0127,-0.07111,-0.81683,0.57233,0.01721,-278.77527,-39.046654,-7.524366290031671,3.4770822540437853,20.19250687905337
-1565833948774.0,264923.0,14.0,0.0127,-0.07111,-0.81683,0.57233,0.01721,-278.77527,-39.046654,-7.524366290031671,3.4770822540437853,20.19250687905337
-1565833948769.0,264923.0,19.0,0.0127,-0.07111,-0.81677,0.57239,0.01721,-278.94736,-39.067432,-7.523967415828126,3.477659552060239,20.18136418517257
-1565833948763.0,264930.0,25.0,0.0127,-0.07111,-0.81677,0.57239,0.01721,-278.94736,-39.067432,-7.523967415828126,3.477659552060239,20.18136418517257
-1565833948756.0,264938.0,32.0,0.0127,-0.07111,-0.81677,0.57245,0.01721,-278.97662,-39.067886,-7.524054142519278,3.4781493705208275,20.179423313217782
-1565833948752.0,264938.0,36.0,0.0127,-0.07111,-0.81671,0.57245,0.01721,-279.11975,-39.088257,-7.52356854089106,3.4782368504301813,20.17022165696784
-1565833948747.0,264947.0,41.0,0.0127,-0.07111,-0.81671,0.57251,0.01721,-279.14905,-39.08871,-7.523655267741697,3.4787266691907384,20.16828187655574
-1565833948741.0,264955.0,47.0,0.0127,-0.07111,-0.81671,0.57251,0.01721,-279.14905,-39.08871,-7.523655267741697,3.4787266691907384,20.16828187655574
-1565833948735.0,264955.0,53.0,0.0127,-0.07111,-0.81671,0.57257,0.01721,-279.17834,-39.089165,-7.523741994557659,3.4792164882058523,20.166342453672854
