UDPTimeStamp,PupilTimeStamp,ImuTimeStamp,QuatI,QuatJ,QuatK,QuatReal,QuatRadianAccuracy,pIntersectX,pIntersectZ,angleX,angleY,angleZ
-1565833948613.0,1190095.0,177.0,-0.01544,-0.11157,-0.80267,0.58569,0.01721,-326.4922,-55.710083,-9.3812965022603,8.944480068033133,18.5005321766059
-1565833948609.0,1190095.0,181.0,-0.0155,-0.11157,-0.80273,0.58563,0.01721,-326.26605,-55.653214,-9.378182201032491,8.949398130879336,18.51185402478231
-1565833948607.0,1190095.0,183.0,-0.0155,-0.11151,-0.8028,0.58557,0.01721,-326.0071,-55.582764,-9.373416582633713,8.944671773332884,18.522973433253313
-1565833948603.0,1190105.0,187.0,-0.01556,-0.11139,-0.80286,0.58545,0.01721,-325.74707,-55.460194,-9.358878029423126,8.940665819404778,18.53306153705033
-1565833948587.0,1190110.0,203.0,-0.01563,-0.11133,-0.80292,0.58539,0.01721,-325.52145,-55.366257,-9.349334785084348,8.942444258171706,18.54292256620711
-1565833948584.0,1190123.0,206.0,-0.01569,-0.11127,-0.80298,0.58533,0.01721,-325.29593,-55.276558,-9.340455995141387,8.943293042572265,18.55274376648329
-1565833948580.0,1190123.0,210.0,-0.01575,-0.11121,-0.80298,0.58533,0.01721,-325.29565,-55.2184,-9.330705476368227,8.94480791362158,18.551487289319084
-1565833948571.0,1190123.0,219.0,-0.01581,-0.11115,-0.80304,0.58527,0.01721,-325.07028,-55.128853,-9.321827134982168,8.945659209188815,18.561310471728603
-1565833948569.0,1190139.0,221.0,-0.01587,-0.11108,-0.8031,0.58521,0.01721,-324.84534,-55.033936,-9.311987985883292,8.945833317508734,18.57088473892304
-1565833948563.0,1190139.0,227.0,-0.01587,-0.11096,-0.8031,0.58521,0.01721,-324.84402,-54.96758,-9.300456028105572,8.93768710008532,18.567884540105695
-1565833948555.0,1190149.0,235.0,-0.01593,-0.1109,-0.80316,0.58514,0.01721,-324.61362,-54.878407,-9.29159597779699,8.938413980288855,18.578008648442477
-1565833948551.0,1190149.0,239.0,-0.01605,-0.11078,-0.80322,0.58508,0.01721,-324.38873,-54.731262,-9.272969040118955,8.940789511284652,18.586585636410263
-1565833948542.0,1190166.0,248.0,-0.01611,-0.11078,-0.80322,0.58502,0.01721,-324.3559,-54.70707,-9.269096735915745,8.945608968473167,18.58861346726532
-1565833948529.0,1190166.0,261.0,-0.01611,-0.11072,-0.80328,0.58502,0.01721,-324.16458,-54.642284,-9.264091501930812,8.941649288751735,18.596416310538842
-1565833948517.0,1190181.0,273.0,-0.01617,-0.11072,-0.80328,0.58496,0.01721,-324.13162,-54.618088,-9.260220015781142,8.94646959254232,18.598445140263053
-1565833948513.0,1190181.0,277.0,-0.01617,-0.11066,-0.80328,0.58496,0.01721,-324.13095,-54.58497,-9.2544540192145,8.942398193955322,18.59694877428207
-1565833948507.0,1190198.0,283.0,-0.01624,-0.11066,-0.80334,0.58496,0.01721,-323.94067,-54.524414,-9.2505683420272,8.949034006809594,18.606534910285717
-1565833948486.0,1190198.0,304.0,-0.01624,-0.1106,-0.80334,0.5849,0.01721,-323.90695,-54.491985,-9.244913708646457,8.944192788677876,18.606823373046367
-1565833948469.0,1190224.0,321.0,-0.01624,-0.1106,-0.80341,0.58484,0.01721,-323.65192,-54.455902,-9.245911693887182,8.943554870396845,18.619457182862504
-1565833948466.0,1190224.0,324.0,-0.01624,-0.1106,-0.80341,0.58484,0.01721,-323.65192,-54.455902,-9.245911693887182,8.943554870396845,18.619457182862504
-1565833948462.0,1190224.0,328.0,-0.01617,-0.1106,-0.80341,0.58484,0.01721,-323.65164,-54.484837,-9.25055660572647,8.937031132024636,18.61917044553489
-1565833948458.0,1190251.0,332.0,-0.01617,-0.1106,-0.80341,0.58484,0.01721,-323.65164,-54.484837,-9.25055660572647,8.937031132024636,18.61917044553489
-1565833948445.0,1190251.0,345.0,-0.01617,-0.1106,-0.80341,0.58478,0.01721,-323.61856,-54.485508,-9.250667685089715,8.936261357928949,18.62095591845089
-1565833948441.0,1190251.0,349.0,-0.01617,-0.11066,-0.80347,0.58478,0.01721,-323.4293,-54.48709,-9.257194474000906,8.940443979173265,18.631749560523517
-1565833948438.0,1190251.0,352.0,-0.01617,-0.11066,-0.80347,0.58478,0.01721,-323.4293,-54.48709,-9.257194474000906,8.940443979173265,18.631749560523517
-1565833948435.0,1190251.0,355.0,-0.01611,-0.11066,-0.80347,0.58478,0.01721,-323.42908,-54.511883,-9.26117536004419,8.93485182643102,18.631503509689793
-1565833948434.0,1190251.0,356.0,-0.01611,-0.11066,-0.80347,0.58478,0.01721,-323.42908,-54.511883,-9.26117536004419,8.93485182643102,18.631503509689793
-1565833948432.0,1190277.0,358.0,-0.01611,-0.11066,-0.80347,0.58478,0.01721,-323.42908,-54.511883,-9.26117536004419,8.93485182643102,18.631503509689793
-1565833948427.0,1190277.0,363.0,-0.01605,-0.11066,-0.80347,0.58478,0.01721,-323.4288,-54.536663,-9.265156258724016,8.929259759498002,18.63125746512398
-1565833948423.0,1190277.0,367.0,-0.01605,-0.11066,-0.80347,0.58472,0.01721,-323.39575,-54.53732,-9.265266506720256,8.9284895842237,18.633044065458748
-1565833948420.0,1190277.0,370.0,-0.01605,-0.11066,-0.80347,0.58472,0.01721,-323.39575,-54.53732,-9.265266506720256,8.9284895842237,18.633044065458748
-1565833948418.0,1190277.0,372.0,-0.01605,-0.11066,-0.80347,0.58472,0.01721,-323.39575,-54.53732,-9.265266506720256,8.9284895842237,18.633044065458748
-1565833948415.0,1190292.0,375.0,-0.01605,-0.11066,-0.80347,0.58472,0.01721,-323.39575,-54.53732,-9.265266506720256,8.9284895842237,18.633044065458748
-1565833948413.0,1190292.0,377.0,-0.01599,-0.11066,-0.80353,0.58472,0.01721,-323.20593,-54.53062,-9.270007108295209,8.923008900794244,18.642095087796307
-1565833948408.0,1190292.0,382.0,-0.01599,-0.11072,-0.80353,0.58472,0.01721,-323.2066,-54.56366,-9.275774666712485,8.927078412421693,18.643590437848687
-1565833948400.0,1190303.0,390.0,-0.01599,-0.11072,-0.80353,0.58466,0.01721,-323.17355,-54.56432,-9.275884498481322,8.926307824166498,18.64537821094072
-1565833948397.0,1190303.0,393.0,-0.01599,-0.11072,-0.80353,0.58466,0.01721,-323.17355,-54.56432,-9.275884498481322,8.926307824166498,18.64537821094072
-1565833948383.0,1190303.0,407.0,-0.01599,-0.11072,-0.80353,0.58466,0.01721,-323.17355,-54.56432,-9.275884498481322,8.926307824166498,18.64537821094072
-1565833948380.0,1190303.0,410.0,-0.01599,-0.11072,-0.80353,0.58466,0.01721,-323.17355,-54.56432,-9.275884498481322,8.926307824166498,18.64537821094072
-1565833948375.0,1190303.0,415.0,-0.01599,-0.11072,-0.80353,0.58466,0.01721,-323.17355,-54.56432,-9.275884498481322,8.926307824166498,18.64537821094072
-1565833948368.0,1190303.0,422.0,-0.01599,-0.11072,-0.80353,0.58466,0.01721,-323.17355,-54.56432,-9.275884498481322,8.926307824166498,18.64537821094072
-1565833948346.0,1190346.0,444.0,-0.01599,-0.11072,-0.80353,0.58459,0.01721,-323.135,-54.565086,-9.27601263545804,8.925408806592802,18.64746436419729
-1565833948342.0,1190346.0,448.0,-0.01599,-0.11072,-0.80359,0.58459,0.01721,-322.94547,-54.533573,-9.276773144175426,8.925520093304325,18.65676124300977
-1565833948339.0,1190346.0,451.0,-0.01605,-0.11072,-0.80359,0.58459,0.01721,-322.9458,-54.508835,-9.27279363267448,8.931112938069306,18.657007749424807
-1565833948333.0,1190346.0,457.0,-0.01605,-0.11066,-0.80359,0.58459,0.01721,-322.94516,-54.475815,-9.26702562262759,8.927044286203374,18.655512231757882
