UDPTimeStamp,PupilTimeStamp,ImuTimeStamp,QuatI,QuatJ,QuatK,QuatReal,QuatRadianAccuracy,pIntersectX,pIntersectZ,angleX,angleY,angleZ
-1566375049287.0,2125354.0,0.0,0.05157,0.03925,-0.82471,0.56183,0.02386,-254.57092,1.8578705,0.3924774147353828,-7.421299877984523,21.496484534566576
-1566375049283.0,2125365.0,4.0,0.05157,0.03937,-0.82471,0.56183,0.02386,-254.5743,1.9120055,0.40392119313514024,-7.429090927457429,21.49776099462146
-1566375049277.0,2125371.0,10.0,0.05164,0.03937,-0.82489,0.56158,0.02386,-254.09544,1.8982701,0.4016931219703989,-7.435699068215742,21.53425359634747
-1566375049271.0,2125371.0,16.0,0.05176,0.03943,-0.8252,0.56104,0.02386,-253.22688,1.9049863,0.40428149291938315,-7.450426132623785,21.601605485251795
-1566375049266.0,2125381.0,21.0,0.05188,0.03943,-0.82538,0.56079,0.0238,-252.7461,1.8760908,0.3988302203452829,-7.461810220423612,21.63821516280288
-1566375049261.0,2125381.0,26.0,0.05194,0.03949,-0.82556,0.56055,0.0238,-252.28021,1.8922405,0.4029359037871576,-7.471407487273072,21.675022780099155
-1566375049255.0,2125391.0,32.0,0.052,0.03949,-0.82568,0.5603,0.0238,-251.92635,1.8815258,0.40110405786754805,-7.476712437516393,21.702347562990838
-1566375049249.0,2125401.0,38.0,0.05206,0.03949,-0.82587,0.56012,0.0238,-251.46861,1.8692056,0.39917394541196394,-7.482759783344441,21.73794547230473
-1566375049243.0,2125408.0,44.0,0.05219,0.03949,-0.82599,0.55988,0.02374,-251.11253,1.8370339,0.39276446319420055,-7.494796971757736,21.76505471702461
-1566375049239.0,2125408.0,48.0,0.05231,0.03949,-0.82611,0.55969,0.02374,-250.78082,1.8065902,0.3867055742009995,-7.506111480705449,21.790386019060065
-1566375049233.0,2125414.0,54.0,0.05237,0.03955,-0.82623,0.55945,0.02374,-250.43642,1.822559,0.39056304965770927,-7.515351249329613,21.818040560575227
-1566375049227.0,2125414.0,60.0,0.05249,0.03955,-0.82635,0.55927,0.02374,-250.11043,1.7919645,0.3844539261766019,-7.526716516197534,21.843031985665576
-1566375049221.0,2125425.0,66.0,0.05267,0.03961,-0.82666,0.55884,0.02368,-249.30418,1.7781708,0.38260430356524044,-7.547707085685519,21.90679511700202
-1566375049216.0,2125431.0,71.0,0.05273,0.03961,-0.82678,0.55865,0.02368,-248.9832,1.7661479,0.3804408527043484,-7.5533019770598875,21.932059490974694
-1566375049210.0,2125441.0,77.0,0.05286,0.03967,-0.8269,0.55847,0.02368,-248.66058,1.7594552,0.3794444389491995,-7.5695089870838945,21.95773960590003
-1566375049204.0,2125447.0,83.0,0.05292,0.03967,-0.82703,0.55829,0.02368,-248.3264,1.7472916,0.37727311019643983,-7.575214177996853,21.98418991198882
-1566375049199.0,2125447.0,88.0,0.05298,0.03973,-0.82697,0.55829,0.02368,-248.43495,1.7555199,0.3788699930062795,-7.584455422825468,21.97575200432759
-1566375049193.0,2125456.0,94.0,0.05304,0.03986,-0.82697,0.55829,0.02368,-248.4315,1.7951002,0.38743848395565755,-7.598581858243537,21.97726273312152
-1566375049189.0,2125456.0,98.0,0.0531,0.03986,-0.82697,0.55829,0.02374,-248.42433,1.7770981,0.38357097372151294,-7.604318094073706,21.977366209416147
-1566375049181.0,2125464.0,106.0,0.05316,0.03992,-0.82697,0.55829,0.02374,-248.41882,1.7856708,0.3854433109521237,-7.613927052237978,21.978120891987032
-1566375049176.0,2125464.0,111.0,0.05328,0.04004,-0.82697,0.55829,0.0238,-248.40785,1.8028178,0.38918826991094985,-7.633145615121419,21.979633538487448
-1566375049171.0,2125477.0,116.0,0.05334,0.04004,-0.82697,0.55829,0.0238,-248.40054,1.7848158,0.38532049476122565,-7.638882313839771,21.979737495317778
-1566375049166.0,2125482.0,121.0,0.05341,0.04004,-0.82697,0.55823,0.0238,-248.36557,1.765532,0.38117847245582404,-7.645297462394697,21.98200609342618
-1566375049160.0,2125482.0,127.0,0.05347,0.0401,-0.82697,0.55823,0.0238,-248.36002,1.7741082,0.38305139761835255,-7.654906924986041,21.98276448906195
-1566375049154.0,2125491.0,133.0,0.05353,0.04004,-0.82715,0.55798,0.0238,-247.89897,1.7377954,0.3758238234406956,-7.656727951339858,22.018738453518125
-1566375049149.0,2125499.0,138.0,0.05365,0.04004,-0.82727,0.5578,0.0238,-247.57794,1.7078007,0.3697638538648049,-7.66811561853494,22.043780174295406
-1566375049141.0,2125510.0,146.0,0.05371,0.03998,-0.82745,0.55756,0.0238,-247.12344,1.67143,0.36247877933363526,-7.6699934737509645,22.079410922106305
-1566375049138.0,2125510.0,149.0,0.05377,0.03998,-0.82764,0.55731,0.0238,-246.64877,1.6619678,0.3610480211827026,-7.675759586791977,22.117594490797885
-1566375049133.0,2125515.0,154.0,0.05383,0.03992,-0.82776,0.55707,0.0238,-246.3094,1.6253878,0.3534887671275583,-7.677274149247668,22.144060903151328
-1566375049125.0,2125525.0,162.0,0.05396,0.03992,-0.82806,0.55658,0.02374,-245.51855,1.6029555,0.3495670609784099,-7.6893269222898155,22.207893174601224
-1566375049120.0,2125525.0,167.0,0.05396,0.03992,-0.82825,0.55634,0.02374,-245.06029,1.6111586,0.35194152869534345,-7.689404580277535,22.245647771026242
-1566375049115.0,2125532.0,172.0,0.05402,0.03992,-0.82837,0.55609,0.02374,-244.72131,1.6014305,0.35020184200911847,-7.6947464802716885,22.27317412343882
-1566375049109.0,2125540.0,178.0,0.05408,0.03992,-0.82855,0.55585,0.02374,-244.27681,1.5918846,0.3486800116177923,-7.700511484050416,22.309522500856687
-1566375049104.0,2125547.0,183.0,0.05408,0.03992,-0.82874,0.5556,0.02368,-243.81781,1.6003691,0.35112040599709116,-7.700545619311668,22.347666131495657
-1566375049098.0,2125547.0,189.0,0.05414,0.03998,-0.82892,0.55536,0.02368,-243.37756,1.6170484,0.3553581386495355,-7.710167709827946,22.384685827079736
-1566375049091.0,2125560.0,196.0,0.05414,0.04004,-0.8291,0.55505,0.02368,-242.91515,1.6532469,0.3638869171560012,-7.713712507098467,22.424168328049447
-1566375049088.0,2125560.0,199.0,0.0542,0.04004,-0.82928,0.55481,0.02368,-242.4758,1.6437383,0.3623782554991501,-7.719482001549075,22.4605527133659
-1566375049083.0,2125567.0,204.0,0.05426,0.0401,-0.82941,0.5545,0.02368,-242.09955,1.6619976,0.3668388700836366,-7.728463611356613,22.49253645866851
-1566375049075.0,2125576.0,212.0,0.05432,0.04022,-0.82971,0.55408,0.02362,-241.37117,1.710468,0.37854694729047544,-7.741844550183551,22.55520186470129
