eye_packets,708
norm_X,norm_Y,phi,theta,confidence,timestamp
1581497139.156103,"{'circle_3d': {'center': [-0.22971876689418824, 0.3538197057913548, 3.7038769181191196], 'normal': [-0.2867796135506658, 0.5795197078362943, -0.7628331150920672], 'radius': 0.29323752647594536}, 'confidence': 0.15195301360416014, 'timestamp': 362235.76385, 'diameter_3d': 0.5864750529518907, 'ellipse': {'center': [122.2982275796722, 177.65977930179952], 'axes': [67.88063790693454, 98.30709858136564], 'angle': -63.02395009449987}, 'location': [122.2982275796722, 177.65977930179952], 'diameter': 98.30709858136564, 'sphere': {'center': [3.2116365957138013, -6.600416788244176, 12.857874299223926], 'radius': 12.0}, 'projected_sphere': {'center': [314.86344344358247, -198.26865883720677], 'axes': [1157.2674964553141, 1157.2674964553141], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.188935548141085, 'phi': -1.93039100377682, 'norm_pos': [0.3821819611864756, 0.2597509195758353], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.163122,"{'circle_3d': {'center': [0.07861396338221116, 0.3527908661950887, 3.5930444303302043], 'normal': [-0.26108521936096585, 0.579433971203272, -0.7720691557411435], 'radius': 0.29441239631129923}, 'confidence': 0.1046610382496488, 'timestamp': 362235.77225, 'diameter_3d': 0.5888247926225985, 'ellipse': {'center': [174.44355690524742, 179.17426560924218], 'axes': [73.33284582678225, 101.89878866012349], 'angle': -69.03296444901602}, 'location': [174.44355690524742, 179.17426560924218], 'diameter': 101.89878866012349, 'sphere': {'center': [3.2116365957138013, -6.600416788244176, 12.857874299223926], 'radius': 12.0}, 'projected_sphere': {'center': [314.86344344358247, -198.26865883720677], 'axes': [1157.2674964553141, 1157.2674964553141], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.1888303483605354, 'phi': -1.8968872621473907, 'norm_pos': [0.5451361153288982, 0.25344055996149095], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.17426,"{'circle_3d': {'center': [0.3323010258100281, 0.3517564093468115, 3.510323041991665], 'normal': [-0.23994463082531445, 0.5793477664659156, -0.7789626047693551], 'radius': 0.29488867437519783}, 'confidence': 0.1389664578753971, 'timestamp': 362235.78065, 'diameter_3d': 0.5897773487503957, 'ellipse': {'center': [219.67502979251165, 180.32072271446108], 'axes': [77.14737123648605, 105.02845143332743], 'angle': -74.80156442165081}, 'location': [219.67502979251165, 180.32072271446108], 'diameter': 105.02845143332743, 'sphere': {'center': [3.2116365957138013, -6.600416788244176, 12.857874299223926], 'radius': 12.0}, 'projected_sphere': {'center': [314.86344344358247, -198.26865883720677], 'axes': [1157.2674964553141, 1157.2674964553141], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.1887245821428616, 'phi': -1.8696046297581823, 'norm_pos': [0.6864844681015989, 0.2486636553564121], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.178875,"{'circle_3d': {'center': [0.28993314603363984, 0.25255323773150185, 3.450406479709157], 'normal': [-0.2434752874733468, 0.5710808354979732, -0.7839556516262308], 'radius': 0.2961449255645435}, 'confidence': 0.14819621240728414, 'timestamp': 362235.789051, 'diameter_3d': 0.592289851129087, 'ellipse': {'center': [213.12038706725497, 163.45963186600017], 'axes': [80.97960461712977, 107.1255002268312], 'angle': -73.63113202105764}, 'location': [213.12038706725497, 163.45963186600017], 'diameter': 107.1255002268312, 'sphere': {'center': [3.1271869134314576, -6.433566924951483, 15.667873648697103], 'radius': 12.0}, 'projected_sphere': {'center': [283.7472250415252, -134.58537532957564], 'axes': [949.7140667353658, 949.7140667353658], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.178618236794858, 'phi': -1.8719244755333533, 'norm_pos': [0.6660012095851717, 0.31891820055833264], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.1869419,"{'circle_3d': {'center': [-0.2344126332936618, 0.5233082292155942, 6.486286826323191], 'normal': [-0.2801332955604266, 0.5797395961805898, -0.765132235197826], 'radius': 0.2926879330287035}, 'confidence': 0.10573244884066067, 'timestamp': 362235.797451, 'diameter_3d': 0.585375866057407, 'ellipse': {'center': [137.84525665416655, 169.5028846075155], 'axes': [39.661903279120374, 55.97768347415845], 'angle': -64.34442427496272}, 'location': [137.84525665416655, 169.5028846075155], 'diameter': 55.97768347415845, 'sphere': {'center': [3.1271869134314576, -6.433566924951483, 15.667873648697103], 'radius': 12.0}, 'projected_sphere': {'center': [283.7472250415252, -134.58537532957564], 'axes': [949.7140667353658, 949.7140667353658], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.1892053895132464, 'phi': -1.9217627066592988, 'norm_pos': [0.4307664270442705, 0.29373798080201874], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.19468,"{'circle_3d': {'center': [0.546788212416117, 0.9944806153892394, 6.603346508121238], 'normal': [-0.21503322508461173, 0.6190039616950602, -0.7553772617146555], 'radius': 0.2923182570592517}, 'confidence': 0.0818980442037929, 'timestamp': 362235.805851, 'diameter_3d': 0.5846365141185034, 'ellipse': {'center': [211.57967956349196, 212.8836121468855], 'axes': [37.117683096677915, 55.26849764280893], 'angle': -76.75042378759683}, 'location': [211.57967956349196, 212.8836121468855], 'diameter': 55.26849764280893, 'sphere': {'center': [3.1271869134314576, -6.433566924951483, 15.667873648697103], 'radius': 12.0}, 'projected_sphere': {'center': [283.7472250415252, -134.58537532957564], 'axes': [949.7140667353658, 949.7140667353658], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.2382701832162786, 'phi': -1.848130223502683, 'norm_pos': [0.6611864986359124, 0.1129849493879771], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.202991,"{'circle_3d': {'center': [0.7828331054073492, 1.0548424835544026, 6.588901804187209], 'normal': [-0.19536281733534236, 0.6240341173754905, -0.7565809870424912], 'radius': 0.293661240960329}, 'confidence': 0.3453565491573853, 'timestamp': 362235.814251, 'diameter_3d': 0.587322481920658, 'ellipse': {'center': [233.90754404913326, 218.76058985106607], 'axes': [37.229519825337796, 55.848841896454395], 'angle': -79.94579359089045}, 'location': [233.90754404913326, 218.76058985106607], 'diameter': 55.848841896454395, 'sphere': {'center': [3.1271869134314576, -6.433566924951483, 15.667873648697103], 'radius': 12.0}, 'projected_sphere': {'center': [283.7472250415252, -134.58537532957564], 'axes': [949.7140667353658, 949.7140667353658], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.2446911516737025, 'phi': -1.8234944828754993, 'norm_pos': [0.7309610751535415, 0.08849754228722473], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.210995,"{'circle_3d': {'center': [0.7675543530342477, 1.0535762771276946, 6.591816087648205], 'normal': [-0.1966360466997675, 0.6239286001732648, -0.7563381300874082], 'radius': 0.29646378065103346}, 'confidence': 0.2886329630870571, 'timestamp': 362235.822651, 'diameter_3d': 0.5929275613020669, 'ellipse': {'center': [232.44232776765782, 218.58873334161285], 'axes': [37.55761941910406, 56.34291917748674], 'angle': -79.74086508900878}, 'location': [232.44232776765782, 218.58873334161285], 'diameter': 56.34291917748674, 'sphere': {'center': [3.1271869134314576, -6.433566924951483, 15.667873648697103], 'radius': 12.0}, 'projected_sphere': {'center': [283.7472250415252, -134.58537532957564], 'axes': [949.7140667353658, 949.7140667353658], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.244556122359904, 'phi': -1.825149688556388, 'norm_pos': [0.7263822742739307, 0.08921361107661308], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.218804,"{'circle_3d': {'center': [0.7763913423317921, 1.060095211671575, 6.594903464405736], 'normal': [-0.19589963092497212, 0.6244718447185882, -0.7560808486909473], 'radius': 0.29687331063456657}, 'confidence': 0.23479963483292635, 'timestamp': 362235.831051, 'diameter_3d': 0.5937466212691331, 'ellipse': {'center': [233.2397550781834, 219.1545300312309], 'axes': [37.54480734751377, 56.40305956422917], 'angle': -79.85531427813285}, 'location': [233.2397550781834, 219.1545300312309], 'diameter': 56.40305956422917, 'sphere': {'center': [3.1271869134314576, -6.433566924951483, 15.667873648697103], 'radius': 12.0}, 'projected_sphere': {'center': [283.7472250415252, -134.58537532957564], 'axes': [949.7140667353658, 949.7140667353658], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.2452514625910824, 'phi': -1.8243200518704321, 'norm_pos': [0.7288742346193231, 0.08685612486987127], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.226773,"{'circle_3d': {'center': [0.17770139248918193, 0.7822886841728351, 6.544718328851836], 'normal': [-0.24579046007852293, 0.6013213007603598, -0.7602629433204389], 'radius': 0.29676194674293577}, 'confidence': 0.10589550313629263, 'timestamp': 362235.839451, 'diameter_3d': 0.5935238934858715, 'ellipse': {'center': [177.08719733484298, 193.58953925762762], 'axes': [39.03594366919715, 56.36395632618417], 'angle': -71.26338470509396}, 'location': [177.08719733484298, 193.58953925762762], 'diameter': 56.36395632618417, 'sphere': {'center': [3.1271869134314576, -6.433566924951483, 15.667873648697103], 'radius': 12.0}, 'projected_sphere': {'center': [283.7472250415252, -134.58537532957564], 'axes': [949.7140667353658, 949.7140667353658], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.215950086511352, 'phi': -1.883486830385288, 'norm_pos': [0.5533974916713843, 0.1933769197598849], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.240132,"{'circle_3d': {'center': [0.4651004883990919, 0.6161600994301484, 6.3289955176065344], 'normal': [-0.22184053541936385, 0.5874772520318027, -0.7782398442575476], 'radius': 0.2930015135589683}, 'confidence': 0.1964340517847299, 'timestamp': 362235.847851, 'diameter_3d': 0.5860030271179366, 'ellipse': {'center': [205.8302426098754, 179.80318834186212], 'axes': [42.17226983151798, 57.69126828979641], 'angle': -75.18196710092977}, 'location': [205.8302426098754, 179.80318834186212], 'diameter': 57.69126828979641, 'sphere': {'center': [3.1271869134314576, -6.433566924951483, 15.667873648697103], 'radius': 12.0}, 'projected_sphere': {'center': [283.7472250415252, -134.58537532957564], 'axes': [949.7140667353658, 949.7140667353658], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.1987342008821993, 'phi': -1.848485610581926, 'norm_pos': [0.6432195081558606, 0.2508200485755745], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.2466922,"{'circle_3d': {'center': [0.6918343920716645, 0.9203293850341661, 6.5033078019869635], 'normal': [-0.20294604344664943, 0.6128246924988041, -0.7637138205591784], 'radius': 0.2945506081894541}, 'confidence': 0.21127505121004697, 'timestamp': 362235.856251, 'diameter_3d': 0.5891012163789082, 'ellipse': {'center': [226.21052680988674, 207.219914295127], 'axes': [38.938276743196255, 56.661778128292994], 'angle': -78.75850135614203}, 'location': [226.21052680988674, 207.219914295127], 'diameter': 56.661778128292994, 'sphere': {'center': [3.1271869134314576, -6.433566924951483, 15.667873648697103], 'radius': 12.0}, 'projected_sphere': {'center': [283.7472250415252, -134.58537532957564], 'axes': [949.7140667353658, 949.7140667353658], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.2304265540891177, 'phi': -1.8305293779874992, 'norm_pos': [0.7069078962808961, 0.13658369043697083], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497139.2551281,"{'circle_3d': {'center': [0.8459124795464117, 0.8055905051751404, 6.373230747587616], 'normal': [-0.1901062028237538, 0.6032631191772185, -0.7745535750924571], 'radius': 0.29506944540975505}, 'confidence': 0.3122119291491274, 'timestamp': 362235.864651, 'diameter_3d': 0.5901388908195101, 'ellipse': {'center': [242.5584621105686, 197.81512397806097], 'axes': [41.118585079496086, 58.06992480011645], 'angle': -81.11144781884654}, 'location': [242.5584621105686, 197.81512397806097], 'diameter': 58.06992480011645, 'sphere': {'center': [3.1271869134314576, -6.433566924951483, 15.667873648697103], 'radius': 12.0}, 'projected_sphere': {'center': [283.7472250415252, -134.58537532957564], 'axes': [949.7140667353658, 949.7140667353658], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 103, 'model_birth_timestamp': 362152.158071, 'theta': 2.2183826041394012, 'phi': -1.8114783659035076, 'norm_pos': [0.7579951940955268, 0.1757703167580793], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
