eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1581495138.0980859,"{'circle_3d': {'center': [0.6988213771316651, 1.6865943484205683, 4.2001901521029055], 'normal': [-0.21776848830962228, 0.678397777436789, -0.7016789444383855], 'radius': 1.8773936770903186}, 'confidence': 0.027275932322010938, 'timestamp': 360234.666569, 'diameter_3d': 3.754787354180637, 'ellipse': {'center': [295.86182811260454, 331.44322558886233], 'axes': [279.1650686843139, 601.3683381416155], 'angle': -79.44453583007537}, 'location': [295.86182811260454, 331.44322558886233], 'diameter': 601.3683381416155, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.316375959372136, 'phi': -1.87172443529301, 'norm_pos': [0.9245682128518892, -0.38101343995359316], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495138.09883,"{'circle_3d': {'center': [0.7761534674422323, 1.6847360622663725, 4.1747868817122065], 'normal': [-0.21132414745040837, 0.6782429202572726, -0.7037958836376105], 'radius': 1.879694126801831}, 'confidence': 0.03456689101886727, 'timestamp': 360234.674969, 'diameter_3d': 3.759388253603662, 'ellipse': {'center': [309.2279995438548, 331.88155376789086], 'axes': [282.9186411527667, 608.0244497850546], 'angle': -80.37738304726282}, 'location': [309.2279995438548, 331.88155376789086], 'diameter': 608.0244497850546, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.316165202316249, 'phi': -1.862494758415723, 'norm_pos': [0.9663374985745463, -0.38283980736621204], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495138.121161,"{'circle_3d': {'center': [1.0898088340446779, 1.5942018956967168, 4.0014489534525435], 'normal': [-0.1851862002335379, 0.6706984063764679, -0.7182407109925824], 'radius': 1.879164225310557}, 'confidence': 0.027086416801793228, 'timestamp': 360234.683369, 'diameter_3d': 3.758328450621114, 'ellipse': {'center': [369.40495073289935, 322.79523002928556], 'axes': [311.8554236674721, 645.9268452802952], 'angle': -84.55325104711662}, 'location': [369.40495073289935, 322.79523002928556], 'diameter': 645.9268452802952, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.3059463047789075, 'phi': -1.8231335860607893, 'norm_pos': [1.1543904710403106, -0.34498012512202325], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495138.121393,"{'circle_3d': {'center': [1.0683938086740374, 1.5983794613923195, 4.010904299711926], 'normal': [-0.1869707856810913, 0.6710465368511016, -0.7174527654709673], 'radius': 1.8793641915539272}, 'confidence': 0.04208008602042961, 'timestamp': 360234.691769, 'diameter_3d': 3.7587283831078544, 'ellipse': {'center': [365.281324062234, 323.1876606982355], 'axes': [310.4327155087828, 643.6215945856721], 'angle': -84.27222686477049}, 'location': [365.281324062234, 323.1876606982355], 'diameter': 643.6215945856721, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.306415753650874, 'phi': -1.8257296983653948, 'norm_pos': [1.1415041376944812, -0.3466152529093145], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495138.121568,"{'circle_3d': {'center': [0.22505165500424296, 1.5951171717678854, 4.272923848700346], 'normal': [-0.2572492984869075, 0.6707746793823987, -0.6956178030552654], 'radius': 1.8799760329275472}, 'confidence': 0.03598211317895546, 'timestamp': 360234.700169, 'diameter_3d': 3.7599520658550944, 'ellipse': {'center': [220.1403104307676, 314.92496808671734], 'axes': [274.676262174256, 582.1477028070212], 'angle': -73.85574378329414}, 'location': [220.1403104307676, 314.92496808671734], 'diameter': 582.1477028070212, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.306049140763432, 'phi': -1.9250127549784284, 'norm_pos': [0.6879384700961488, -0.3121873670279889], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495138.151241,"{'circle_3d': {'center': [1.1393480807252865, 1.5917756881563196, 3.986566048538929], 'normal': [-0.18105792967682052, 0.6704962224147683, -0.7194809530687168], 'radius': 1.8799950667613308}, 'confidence': 0.03650738515882765, 'timestamp': 360234.708569, 'diameter_3d': 3.7599901335226615, 'ellipse': {'center': [378.60523367722476, 322.7947986587966], 'axes': [313.7487131865997, 650.5823712799195], 'angle': -85.16465686301245}, 'location': [378.60523367722476, 322.7947986587966], 'diameter': 650.5823712799195, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.3056737541117416, 'phi': -1.8173280432642622, 'norm_pos': [1.1831413552413275, -0.3449783277449858], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495138.151416,"{'circle_3d': {'center': [1.1597268448353577, 1.588354931513006, 3.978278562998069], 'normal': [-0.1793596993343146, 0.6702111593611587, -0.7201715768637885], 'radius': 1.8806196636229182}, 'confidence': 0.033813726788556035, 'timestamp': 360234.716969, 'diameter_3d': 3.7612393272458364, 'ellipse': {'center': [382.5772237379093, 322.4421256118888], 'axes': [315.0904240972376, 653.034579000888], 'angle': -85.42950775448116}, 'location': [382.5772237379093, 322.4421256118888], 'diameter': 653.034579000888, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.305289593695803, 'phi': -1.8148819383813704, 'norm_pos': [1.1955538241809667, -0.34350885671620324], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495138.151571,"{'circle_3d': {'center': [1.1591921739040374, 1.584854821003006, 3.975155715503659], 'normal': [-0.17940425524525794, 0.6699194834853254, -0.7204318141549894], 'radius': 1.8810970978869759}, 'confidence': 0.04267995063856909, 'timestamp': 360234.725369, 'diameter_3d': 3.7621941957739518, 'ellipse': {'center': [382.7317541101534, 321.92962691955995], 'axes': [315.9513216311663, 653.7802150712811], 'angle': -85.44410981683733}, 'location': [382.7317541101534, 321.92962691955995], 'diameter': 653.7802150712811, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.3048966595156157, 'phi': -1.8148554631488283, 'norm_pos': [1.1960367315942295, -0.3413734454981665], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495138.155539,"{'circle_3d': {'center': [1.1658355175034987, 1.5812752740050389, 3.97017752475994], 'normal': [-0.17885064327863617, 0.6696211879021615, -0.7208466633836327], 'radius': 1.880271998399704}, 'confidence': 0.044521965562964186, 'timestamp': 360234.733769, 'diameter_3d': 3.760543996799408, 'ellipse': {'center': [384.1411025821287, 321.52766511224536], 'axes': [316.7206110415894, 654.6006308609398], 'angle': -85.54338231950315}, 'location': [384.1411025821287, 321.52766511224536], 'diameter': 654.6006308609398, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.30449495157118, 'phi': -1.8139971771640138, 'norm_pos': [1.2004409455691523, -0.33969860463435575], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495138.162924,"{'circle_3d': {'center': [1.1725085429399535, 1.5776162061155787, 3.965127645696354], 'normal': [-0.17829455782559825, 0.6693162655780398, -0.7212674866389315], 'radius': 1.8794799868663221}, 'confidence': 0.0368306011454317, 'timestamp': 360234.742169, 'diameter_3d': 3.7589599737326442, 'ellipse': {'center': [385.5657222756915, 321.1116828509097], 'axes': [317.51376350136303, 655.4521718487648], 'angle': -85.64372230977571}, 'location': [385.5657222756915, 321.1116828509097], 'diameter': 655.4521718487648, 'sphere': {'center': [3.3120432368471326, -6.454178980820899, 12.620337485363532], 'radius': 12.0}, 'projected_sphere': {'center': [322.71092664730526, -197.07479873258643], 'axes': [1179.0492938288787, 1179.0492938288787], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360196.513769, 'theta': 2.3040844698624965, 'phi': -1.8131343519817054, 'norm_pos': [1.204892882111536, -0.3379653452121236], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
