eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1581495139.362775,"{'circle_3d': {'center': [-1.8140685964137022, -0.7509087287969116, 127.49461474780452], 'normal': [-0.4397432627958535, 0.5321936116632201, -0.7234610027710647], 'radius': 3.350878743413658}, 'confidence': 0.18043602673385503, 'timestamp': 360235.943369, 'diameter_3d': 6.701757486827316, 'ellipse': {'center': [151.31166482767222, 116.18221508225105], 'axes': [23.48127049172612, 32.599180780794185], 'angle': -49.56169078562621}, 'location': [151.31166482767222, 116.18221508225105], 'diameter': 32.599180780794185, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.1319858029540515, 'phi': -2.1169552770417424, 'norm_pos': [0.4728489525864757, 0.5159074371572874], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.370202,"{'circle_3d': {'center': [-1.696282775599065, -0.6617181961190779, 127.48988962734899], 'normal': [-0.4299277777279674, 0.53962615605304, -0.7238547628090263], 'radius': 3.397263192170775}, 'confidence': 0.1779095117985114, 'timestamp': 360235.951769, 'diameter_3d': 6.79452638434155, 'ellipse': {'center': [151.88501993908153, 116.60886545888293], 'axes': [23.82748481388235, 33.051304997446906], 'angle': -50.64549820528695}, 'location': [151.88501993908153, 116.60886545888293], 'diameter': 33.051304997446906, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.14078932755403, 'phi': -2.1067495409045556, 'norm_pos': [0.47464068730962977, 0.5141297272546544], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.378382,"{'circle_3d': {'center': [-1.7738864190111183, -0.5800609022144947, 127.59826288493639], 'normal': [-0.436394748012305, 0.5464309305450884, -0.7148236580100757], 'radius': 3.4082468330396343}, 'confidence': 0.21184307086030688, 'timestamp': 360235.960169, 'diameter_3d': 6.8164936660792685, 'ellipse': {'center': [151.51571355797807, 117.00765787594361], 'axes': [23.563288379976065, 33.130202551371205], 'angle': -50.59787559161453}, 'location': [151.51571355797807, 117.00765787594361], 'diameter': 33.130202551371205, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.148893056377545, 'phi': -2.1188954718346604, 'norm_pos': [0.4734866048686815, 0.5124680921835683], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.386525,"{'circle_3d': {'center': [-1.5005362691826214, -0.8003698597914068, 127.2762047274862], 'normal': [-0.41361556885993045, 0.5280718507470126, -0.7416618377975916], 'radius': 3.3508112194628135}, 'confidence': 0.08913513947611053, 'timestamp': 360235.968569, 'diameter_3d': 6.701622438925627, 'ellipse': {'center': [152.82003099833594, 115.93158849970602], 'axes': [24.166653890968607, 32.65348838437221], 'angle': -51.102108759813255}, 'location': [152.82003099833594, 115.93158849970602], 'diameter': 32.65348838437221, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.127124736292285, 'phi': -2.0795225175896848, 'norm_pos': [0.4775625968697998, 0.5169517145845582], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.394683,"{'circle_3d': {'center': [-1.6808380225730843, -0.6942974136174893, 127.45656761549054], 'normal': [-0.428640714975802, 0.5369112212615053, -0.7266315971305627], 'radius': 3.361232568014099}, 'confidence': 0.23558074955821054, 'timestamp': 360235.976969, 'diameter_3d': 6.722465136028198, 'ellipse': {'center': [151.9553859709952, 116.45327256175212], 'axes': [23.677775479227186, 32.70918951297499], 'angle': -50.577360393633334}, 'location': [151.9553859709952, 116.45327256175212], 'diameter': 32.70918951297499, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.137567894894242, 'phi': -2.1037570064913598, 'norm_pos': [0.47486058115936, 0.5147780309926995], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.4019809,"{'circle_3d': {'center': [-1.7701174153026429, -0.7136538693645251, 127.49549649921009], 'normal': [-0.4360806643699321, 0.5352981832825859, -0.7233875234872673], 'radius': 3.3153037952714652}, 'confidence': 0.18237547148405261, 'timestamp': 360235.985369, 'diameter_3d': 6.6306075905429305, 'ellipse': {'center': [151.5215804585131, 116.36605297786434], 'axes': [23.23150356317671, 32.2525595822953], 'angle': -49.98495251950755}, 'location': [151.5215804585131, 116.36605297786434], 'diameter': 32.2525595822953, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.1356570548034535, 'phi': -2.11329508862335, 'norm_pos': [0.4735049389328535, 0.5151414459255652], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.414082,"{'circle_3d': {'center': [-1.9161912412868336, -0.6235844657447807, 127.65333596333957], 'normal': [-0.4482534832019478, 0.5428039669175644, -0.7102342348098103], 'radius': 3.378943707675031}, 'confidence': 0.19178282663269802, 'timestamp': 360235.993769, 'diameter_3d': 6.757887415350062, 'ellipse': {'center': [150.8283560881804, 116.80273117098194], 'axes': [23.18335793143913, 32.831610616451414], 'angle': -49.61528476681504}, 'location': [150.8283560881804, 116.80273117098194], 'diameter': 32.831610616451414, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.1445684627334987, 'phi': -2.1337949662698787, 'norm_pos': [0.47133861277556377, 0.5133219534542419], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.423201,"{'circle_3d': {'center': [-1.8362961503631299, -0.6416122446401058, 127.58976411587437], 'normal': [-0.4415955589583059, 0.5413016520096207, -0.7155318887652435], 'radius': 3.344302979598663}, 'confidence': 0.13629849589242862, 'timestamp': 360236.002169, 'diameter_3d': 6.688605959197326, 'ellipse': {'center': [151.2084882054936, 116.71611405086632], 'axes': [23.143603682195828, 32.51085771570936], 'angle': -49.96421813051058}, 'location': [151.2084882054936, 116.71611405086632], 'diameter': 32.51085771570936, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.142780725094077, 'phi': -2.1237358873977694, 'norm_pos': [0.4725265256421675, 0.5136828581213904], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.430795,"{'circle_3d': {'center': [-1.7194529840752937, -0.7526352010076671, 127.43654422469999], 'normal': [-0.43185862843431944, 0.5320497389789904, -0.7283002130297757], 'radius': 3.352745290811422}, 'confidence': 0.11234642000352131, 'timestamp': 360236.010569, 'diameter_3d': 6.705490581622844, 'ellipse': {'center': [151.76687512175326, 116.17076933047929], 'axes': [23.67732352246968, 32.63189381255012], 'angle': -50.07970562542312}, 'location': [151.76687512175326, 116.17076933047929], 'diameter': 32.63189381255012, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.131815874832724, 'phi': -2.106029100680165, 'norm_pos': [0.4742714847554789, 0.5159551277896697], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.438273,"{'circle_3d': {'center': [-1.7453070579692485, -0.7554273794101469, 127.44988394045569], 'normal': [-0.43401313459214935, 0.5318170574454509, -0.7271885700501342], 'radius': 3.3479436169944075}, 'confidence': 0.18014626970217293, 'timestamp': 360236.018969, 'diameter_3d': 6.695887233988815, 'ellipse': {'center': [151.64198830434268, 116.15840122727757], 'axes': [23.601199986540202, 32.58182347172006], 'angle': -49.921451815680875}, 'location': [151.64198830434268, 116.15840122727757], 'diameter': 32.58182347172006, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.1315410929142886, 'phi': -2.1088869372868175, 'norm_pos': [0.47388121345107087, 0.5160066615530101], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.44658,"{'circle_3d': {'center': [-1.5838932702528572, -0.7666783443854346, 127.34741969355363], 'normal': [-0.4205619856157833, 0.5308794770308435, -0.7357272572919722], 'radius': 3.3506010078895314}, 'confidence': 0.13423706335449279, 'timestamp': 360236.027369, 'diameter_3d': 6.701202015779063, 'ellipse': {'center': [152.4190970617957, 116.09849599407663], 'axes': [23.942364658016498, 32.63341135755685], 'angle': -50.7818700175122}, 'location': [152.4190970617957, 116.09849599407663], 'diameter': 32.63341135755685, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.130434350699426, 'phi': -2.090092443869643, 'norm_pos': [0.47630967831811155, 0.5162562666913474], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.454124,"{'circle_3d': {'center': [-1.6657750791873553, -0.6765417579208428, 127.46083383257817], 'normal': [-0.4273854696936579, 0.5383908592362258, -0.7262760790399266], 'radius': 3.3771344030065484}, 'confidence': 0.22335499793229133, 'timestamp': 360236.035769, 'diameter_3d': 6.754268806013097, 'ellipse': {'center': [152.02972780725767, 116.53780041394963], 'axes': [23.777457844838278, 32.862817133809145], 'angle': -50.74698770554987}, 'location': [152.02972780725767, 116.53780041394963], 'diameter': 32.862817133809145, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.139322751993596, 'phi': -2.1026883905818448, 'norm_pos': [0.47509289939768024, 0.5144258316085433], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.4622111,"{'circle_3d': {'center': [-1.9332366413566415, -0.694863108489451, 127.61004351725889], 'normal': [-0.44967393320776533, 0.5368640800221754, -0.7138419386498677], 'radius': 3.328754650749527}, 'confidence': 0.11424761251958636, 'timestamp': 360236.044169, 'diameter_3d': 6.657509301499054, 'ellipse': {'center': [150.7396002219372, 116.46111228118497], 'axes': [22.969104820821716, 32.35490529382967], 'angle': -49.182669901992064}, 'location': [150.7396002219372, 116.46111228118497], 'diameter': 32.35490529382967, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.1375120174216176, 'phi': -2.132936449053009, 'norm_pos': [0.47106125069355376, 0.5147453654950627], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.470269,"{'circle_3d': {'center': [-1.7553917235281613, -0.7048672477804878, 127.493138643887], 'normal': [-0.4348535233887251, 0.5360304017479222, -0.7235840114308585], 'radius': 3.3607597266283875}, 'confidence': 0.2023678740332454, 'timestamp': 360236.052569, 'diameter_3d': 6.721519453256775, 'ellipse': {'center': [151.5962939820835, 116.40393724830798], 'axes': [23.55825856265798, 32.695462916963784], 'angle': -50.109028300246074}, 'location': [151.5962939820835, 116.40393724830798], 'diameter': 32.695462916963784, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.1365241694514103, 'phi': -2.1119300161744863, 'norm_pos': [0.4737384186940109, 0.5149835947987167], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.478859,"{'circle_3d': {'center': [-1.7835609875385918, -0.7149204080039606, 127.5026769542767], 'normal': [-0.43720096205626113, 0.5351926383959662, -0.722789152231717], 'radius': 3.3324388085849828}, 'confidence': 0.11344374909959823, 'timestamp': 360236.060969, 'diameter_3d': 6.6648776171699655, 'ellipse': {'center': [151.45822818221, 116.35857714816353], 'axes': [23.32908735748709, 32.4175299682955], 'angle': -49.904275787419415}, 'location': [151.45822818221, 116.35857714816353], 'diameter': 32.4175299682955, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.1355321047486457, 'phi': -2.114796601404992, 'norm_pos': [0.4733069630694063, 0.5151725952159854], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.486411,"{'circle_3d': {'center': [-1.7428621058796665, -0.8267731159417, 127.3967012703793], 'normal': [-0.4338093885846841, 0.5258715794011547, -0.731620459223167], 'radius': 3.273324360607246}, 'confidence': 0.12630964970104896, 'timestamp': 360236.069369, 'diameter_3d': 6.546648721214492, 'ellipse': {'center': [151.64537930751356, 115.81759233347488], 'axes': [23.234082877662544, 31.86879465506946], 'angle': -49.586838767903515}, 'location': [151.64537930751356, 115.81759233347488], 'diameter': 31.86879465506946, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.124535823313323, 'phi': -2.1060108582029757, 'norm_pos': [0.4738918103359799, 0.5174266986105214], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.498361,"{'circle_3d': {'center': [-1.8149843446752838, -0.7281290585446971, 127.51197588282803], 'normal': [-0.4398195751509855, 0.5340919175175716, -0.7220142415191062], 'radius': 3.3779849348430835}, 'confidence': 0.21274831692151427, 'timestamp': 360236.077769, 'diameter_3d': 6.755969869686167, 'ellipse': {'center': [151.31027711964984, 116.29059003213598], 'axes': [23.61775957985593, 32.858471154362405], 'angle': -49.66691618349222}, 'location': [151.31027711964984, 116.29059003213598], 'diameter': 32.858471154362405, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.1342295972563927, 'phi': -2.117921264749527, 'norm_pos': [0.47284461599890576, 0.5154558748661], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.507992,"{'circle_3d': {'center': [-1.910925623996003, -0.7467302859801599, 127.55732919861381], 'normal': [-0.44781468176104555, 0.5325418152312831, -0.7182347985369572], 'radius': 3.3413663374034557}, 'confidence': 0.18158178487721013, 'timestamp': 360236.086169, 'diameter_3d': 6.682732674806911, 'ellipse': {'center': [150.8456249251364, 116.20648962374335], 'axes': [23.21797452601596, 32.490948357183306], 'angle': -49.05236255452837}, 'location': [150.8456249251364, 116.20648962374335], 'diameter': 32.490948357183306, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.1323971415706193, 'phi': -2.1283115360066898, 'norm_pos': [0.47139257789105127, 0.5158062932344027], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.5143712,"{'circle_3d': {'center': [-1.9188631853072051, -0.7569875844813136, 127.55468301234144], 'normal': [-0.44847614520364565, 0.5316870403561869, -0.7184553140596548], 'radius': 3.2896681300160813}, 'confidence': 0.16135999622234853, 'timestamp': 360236.094569, 'diameter_3d': 6.5793362600321625, 'ellipse': {'center': [150.80297262999545, 116.16177682485022], 'axes': [22.865995753839325, 31.988784258763488], 'angle': -48.95946184180146}, 'location': [150.80297262999545, 116.16177682485022], 'diameter': 31.988784258763488, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.131387571747582, 'phi': -2.1288365188330283, 'norm_pos': [0.4712592894687358, 0.515992596563124], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.522696,"{'circle_3d': {'center': [-1.8475017963170943, -0.7672942688849202, 127.50296683896289], 'normal': [-0.4425293627878029, 0.5308281499892195, -0.7227649951745339], 'radius': 3.3365112348883743}, 'confidence': 0.1699692251165385, 'timestamp': 360236.102969, 'diameter_3d': 6.673022469776749, 'ellipse': {'center': [151.149176458927, 116.10476907970893], 'axes': [23.3532360194541, 32.457368881625875], 'angle': -49.29810660638006}, 'location': [151.149176458927, 116.10476907970893], 'diameter': 32.457368881625875, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.1303737852034668, 'phi': -2.1201911215609, 'norm_pos': [0.47234117643414686, 0.5162301288345461], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.531755,"{'circle_3d': {'center': [-1.8142472775887262, -0.8797290222617704, 127.40141635409495], 'normal': [-0.4397581528937724, 0.5214585872078155, -0.7312275355801959], 'radius': 3.295539564143178}, 'confidence': 0.13690616080785015, 'timestamp': 360236.111369, 'diameter_3d': 6.591079128286356, 'ellipse': {'center': [151.3016451822784, 115.55922293720035], 'axes': [23.37369652868399, 32.084276596202784], 'angle': -48.927379652961726}, 'location': [151.3016451822784, 115.55922293720035], 'diameter': 32.084276596202784, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.119355781938275, 'phi': -2.112242507025504, 'norm_pos': [0.47281764119462, 0.5185032377616652], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.538965,"{'circle_3d': {'center': [-1.852736712263983, -0.6795244359474069, 127.57134904313466], 'normal': [-0.44296560578337685, 0.5381423027340121, -0.7170664781602195], 'radius': 3.434318208298658}, 'confidence': 0.15469219848274857, 'timestamp': 360236.119769, 'diameter_3d': 6.868636416597316, 'ellipse': {'center': [151.1352549662474, 116.52288013871807], 'axes': [23.82374274856707, 33.391147946854296], 'angle': -49.69339855814949}, 'location': [151.1352549662474, 116.52288013871807], 'diameter': 33.391147946854296, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.13902782557617, 'phi': -2.124162931565593, 'norm_pos': [0.47229767176952314, 0.5144879994220081], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.546546,"{'circle_3d': {'center': [-1.6358755639179678, -0.8069475478519648, 127.34832203048114], 'normal': [-0.42489384342120895, 0.527523710075299, -0.7356520625480126], 'radius': 3.3342888795321546}, 'confidence': 0.1011794043037306, 'timestamp': 360236.128169, 'diameter_3d': 6.668577759064309, 'ellipse': {'center': [152.16606645343595, 115.90511811443153], 'axes': [23.82034122534833, 32.47447614321971], 'angle': -50.28861934929333}, 'location': [152.16606645343595, 115.90511811443153], 'diameter': 32.47447614321971, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.1264793866190685, 'phi': -2.0945632298377173, 'norm_pos': [0.4755189576669873, 0.5170620078565353], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.554822,"{'circle_3d': {'center': [-1.7535959937761882, -0.8090227828586531, 127.41586980967341], 'normal': [-0.4347038792427276, 0.5273507738247419, -0.7300230809486574], 'radius': 3.3337000617902106}, 'confidence': 0.1580107176869342, 'timestamp': 360236.136569, 'diameter_3d': 6.667400123580421, 'ellipse': {'center': [151.599080898868, 115.89862634430067], 'axes': [23.603904436039098, 32.4519216298384], 'angle': -49.613939643715305}, 'location': [151.599080898868, 115.89862634430067], 'diameter': 32.4519216298384, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.126275834978776, 'phi': -2.107875288787881, 'norm_pos': [0.47374712780896255, 0.5170890568987472], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.5623932,"{'circle_3d': {'center': [-1.812392894761472, -0.7178718953410748, 127.51799331237893], 'normal': [-0.4396036209915011, 0.5349466811178732, -0.7215127890565303], 'radius': 3.395499648337429}, 'confidence': 0.20057605345158339, 'timestamp': 360236.144969, 'diameter_3d': 6.790999296674858, 'ellipse': {'center': [151.32452159247356, 116.33874779991558], 'axes': [23.721793109955396, 33.02731794592804], 'angle': -49.73068652097382}, 'location': [151.32452159247356, 116.33874779991558], 'diameter': 33.02731794592804, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.135240964872089, 'phi': -2.118011741642612, 'norm_pos': [0.47288912997647986, 0.5152552175003517], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.5703008,"{'circle_3d': {'center': [-1.7661040109167834, -0.8372710739708031, 127.40297599795812], 'normal': [-0.43574621400444374, 0.524996749565396, -0.7310975652582646], 'radius': 3.2997754044217484}, 'confidence': 0.07976292962263128, 'timestamp': 360236.153369, 'diameter_3d': 6.599550808843497, 'ellipse': {'center': [151.53520109407435, 115.76450408390646], 'axes': [23.401755034842033, 32.12490977514964], 'angle': -49.405259854837745}, 'location': [151.53520109407435, 115.76450408390646], 'diameter': 32.12490977514964, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.123507620807821, 'phi': -2.1082816367456547, 'norm_pos': [0.47354750341898233, 0.5176478996503897], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495139.582436,"{'circle_3d': {'center': [-1.869904441388873, -0.8394728264185352, 127.46408889263273], 'normal': [-0.4443962498771181, 0.5248132701947519, -0.7260048240353809], 'radius': 3.3279646604412596}, 'confidence': 0.15871319234411016, 'timestamp': 360236.161769, 'diameter_3d': 6.655929320882519, 'ellipse': {'center': [151.03803925730432, 115.7543047699888], 'axes': [23.410171651315654, 32.38425695290472], 'angle': -48.820947846286735}, 'location': [151.03803925730432, 115.7543047699888], 'diameter': 32.38425695290472, 'sphere': {'center': [3.4628505571365418, -7.137232068755555, 136.1761467810573], 'radius': 12.0}, 'projected_sphere': {'center': [175.76610438887312, 87.50470631436612], 'axes': [109.27023822992966, 109.27023822992966], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 2.1232920571111924, 'phi': -2.1200741268019776, 'norm_pos': [0.471993872679076, 0.5176903967917132], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
