eye_packets,771
norm_X,norm_Y,phi,theta,confidence,timestamp
1594969647.0177479,"{'circle_3d': {'center': [4.993895059592591, -0.28209586197085024, 143.40844724488818], 'normal': [0.1333064098042891, -0.41884575385936945, -0.8982191467448617], 'radius': 2.8320174653782195}, 'confidence': 0.5214778623845823, 'timestamp': 197542.173508, 'diameter_3d': 5.664034930756439, 'ellipse': {'center': [181.5628586102381, 118.87128967117235], 'axes': [21.8518603682173, 24.500661373947533], 'angle': -68.7571930342633}, 'location': [181.5628586102381, 118.87128967117235], 'diameter': 24.500661373947533, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.24303525344231414, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.1386224957602096, 'phi': -1.423459894311791, 'norm_pos': [0.5673839331569941, 0.5047029597034485], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969647.025398,"{'circle_3d': {'center': [4.927320046353518, -0.07963177745635175, 143.3067432820839], 'normal': [0.12775849203436648, -0.4019737468164947, -0.9066944769785539], 'radius': 2.9605452498386327}, 'confidence': 0.9804544543766825, 'timestamp': 197542.181908, 'diameter_3d': 5.921090499677265, 'ellipse': {'center': [181.28844338513554, 119.75190424869751], 'axes': [23.098542771299158, 25.63083078187805], 'angle': -68.57726894302455}, 'location': [181.28844338513554, 119.75190424869751], 'diameter': 25.63083078187805, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.24288833387666742, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.1571249317449, 'phi': -1.4308121285368638, 'norm_pos': [0.5665263855785485, 0.5010337322970937], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969647.038435,"{'circle_3d': {'center': [5.0094200677124245, -0.5241976800995385, 143.52702749523326], 'normal': [0.1346001604809421, -0.439020905370094, -0.8883374592161064], 'radius': 2.9116750109549256}, 'confidence': 0.38953387888319113, 'timestamp': 197542.190308, 'diameter_3d': 5.823350021909851, 'ellipse': {'center': [181.61077765021633, 117.8349238978109], 'axes': [22.178930757342652, 25.168893311675376], 'angle': -69.59633637990899}, 'location': [181.61077765021633, 117.8349238978109], 'diameter': 25.168893311675376, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.2412979381041791, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.116287671061603, 'phi': -1.4204209639054208, 'norm_pos': [0.5675336801569261, 0.509021150425788], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969647.0470111,"{'circle_3d': {'center': [4.9446076370918615, -0.23700884183762838, 143.38035162277538], 'normal': [0.129199124595895, -0.4150885021816011, -0.9005604485875944], 'radius': 3.017524454610417}, 'confidence': 0.9599934180831584, 'timestamp': 197542.198708, 'diameter_3d': 6.035048909220834, 'ellipse': {'center': [181.35112509815778, 119.07770999021976], 'axes': [23.3576126152409, 26.110666044020448], 'angle': -69.08293549831022}, 'location': [181.35112509815778, 119.07770999021976], 'diameter': 26.110666044020448, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.2408955426089654, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.1427562474282706, 'phi': -1.4283033837601689, 'norm_pos': [0.566722265931743, 0.503842875040751], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969647.052771,"{'circle_3d': {'center': [4.866840735287545, -0.11288867190611551, 143.313186326654], 'normal': [0.12271854944553537, -0.4047451546873084, -0.9061575565977091], 'radius': 2.979171982589152}, 'confidence': 0.9551695821215103, 'timestamp': 197542.207108, 'diameter_3d': 5.958343965178304, 'ellipse': {'center': [181.02670687592484, 119.60985638950008], 'axes': [23.232585525630775, 25.790708104822464], 'angle': -69.38564021046312}, 'location': [181.02670687592484, 119.60985638950008], 'diameter': 25.790708104822464, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.24188408630284597, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.1540962065937532, 'phi': -1.4361878860716581, 'norm_pos': [0.5657084589872652, 0.501625598377083], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969647.06092,"{'circle_3d': {'center': [5.080486706829621, -0.22723278318653062, 143.3962098415933], 'normal': [0.1405223804073751, -0.41427383062734324, -0.8992389303527689], 'radius': 2.8416749728688915}, 'confidence': 0.2733865479697515, 'timestamp': 197542.215508, 'diameter_3d': 5.683349945737783, 'ellipse': {'center': [181.93730430509402, 119.1081543384887], 'axes': [21.94885162158944, 24.586628892319084], 'angle': -67.61191236172652}, 'location': [181.93730430509402, 119.1081543384887], 'diameter': 24.586628892319084, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.23974595903388796, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.1436515236311757, 'phi': -1.4157818931444675, 'norm_pos': [0.5685540759534188, 0.5037160235896304], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969647.0692532,"{'circle_3d': {'center': [4.923816868995852, -0.10541678744272964, 143.31771783764395], 'normal': [0.12746656058789424, -0.4041224976486929, -0.905779930681882], 'radius': 3.0524979768202463}, 'confidence': 0.9846675182623075, 'timestamp': 197542.223908, 'diameter_3d': 6.1049959536404925, 'ellipse': {'center': [181.2699508915034, 119.64688551811275], 'axes': [23.78858114806052, 26.42491194258716], 'angle': -68.7309990482006}, 'location': [181.2699508915034, 119.64688551811275], 'diameter': 26.42491194258716, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.23735984318707937, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.1547770280950835, 'phi': -1.4309886570637036, 'norm_pos': [0.5664685965359482, 0.5014713103411969], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969647.077261,"{'circle_3d': {'center': [4.8803481313861115, -0.11148583451171845, 143.31439755268042], 'normal': [0.12384416578708256, -0.4046282515711086, -0.9060566210955081], 'radius': 3.1142632165844275}, 'confidence': 0.7973081090090973, 'timestamp': 197542.232308, 'diameter_3d': 6.228526433168855, 'ellipse': {'center': [181.082063529613, 119.62499675783546], 'axes': [24.282046962183188, 26.960112417722275], 'angle': -69.2315873048726}, 'location': [181.082063529613, 119.62499675783546], 'diameter': 26.960112417722275, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.23699404142217828, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.1542240456515849, 'phi': -1.434953328211541, 'norm_pos': [0.5658814485300406, 0.5015625135090189], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969647.084616,"{'circle_3d': {'center': [4.872307944739905, -0.06882027511047095, 143.29435009296563], 'normal': [0.12317415023323203, -0.4010727882876713, -0.9077272427384087], 'radius': 2.993204509881339}, 'confidence': 0.8697984222833998, 'timestamp': 197542.240708, 'diameter_3d': 5.986409019762678, 'ellipse': {'center': [181.052668284508, 119.80070436459508], 'axes': [23.388375631715792, 25.91566351927961], 'angle': -69.13209777804161}, 'location': [181.052668284508, 119.80070436459508], 'diameter': 25.91566351927961, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.23309808314604386, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.158108673345041, 'phi': -1.4359249911305814, 'norm_pos': [0.5657895883890875, 0.5008303984808539], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969647.093227,"{'circle_3d': {'center': [4.942753296930133, -0.6079498884791299, 143.55890209278144], 'normal': [0.12904459624908424, -0.44600025606839266, -0.8856812427537568], 'radius': 2.9474345701163283}, 'confidence': 0.14619527178145103, 'timestamp': 197542.249108, 'diameter_3d': 5.8948691402326565, 'ellipse': {'center': [181.31875474204654, 117.47740233257224], 'axes': [22.378314625592548, 25.472102400061047], 'angle': -70.5883924373251}, 'location': [181.31875474204654, 117.47740233257224], 'diameter': 25.472102400061047, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.23279022372061364, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.1085048131855058, 'phi': -1.4261134599765333, 'norm_pos': [0.5666211085688955, 0.5105108236142823], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969647.101214,"{'circle_3d': {'center': [4.8427730978895775, -0.3469252627568853, 143.41750751625193], 'normal': [0.12071291299570473, -0.42424820392487256, -0.8974641241312162], 'radius': 2.946059487354297}, 'confidence': 0.30349230799923377, 'timestamp': 197542.257508, 'diameter_3d': 5.892118974708594, 'ellipse': {'center': [180.90888844894846, 118.5997233798722], 'axes': [22.721054744465327, 25.48519743537962], 'angle': -70.61412922267903}, 'location': [180.90888844894846, 118.5997233798722], 'diameter': 25.48519743537962, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.23279022372061364, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.1326648158652781, 'phi': -1.4370943169611037, 'norm_pos': [0.5653402764029639, 0.5058344859171992], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969647.109626,"{'circle_3d': {'center': [4.962494827604461, -0.2529902615842614, 143.39031522107206], 'normal': [0.1306897238052783, -0.41642028716048707, -0.8997301487295386], 'radius': 2.896952713218756}, 'confidence': 0.3618533877243426, 'timestamp': 197542.265908, 'diameter_3d': 5.793905426437512, 'ellipse': {'center': [181.42905422186715, 119.00084265106943], 'axes': [22.398889811908777, 25.065576108371847], 'angle': -68.96221867549048}, 'location': [181.42905422186715, 119.00084265106943], 'diameter': 25.065576108371847, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.23156393819729892, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.141291905529242, 'phi': -1.4265507952814673, 'norm_pos': [0.5669657944433348, 0.504163155620544], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969647.120919,"{'circle_3d': {'center': [4.9443542572013675, -0.36633533585137457, 143.44086803722527], 'normal': [0.1291780096050205, -0.4258657100160798, -0.8955174140501041], 'radius': 2.8892282284461372}, 'confidence': 0.43115249991231414, 'timestamp': 197542.274308, 'diameter_3d': 5.7784564568922745, 'ellipse': {'center': [181.34378961349776, 118.51238551535717], 'axes': [22.21928848120596, 24.989770986105587], 'angle': -69.62664726770356}, 'location': [181.34378961349776, 118.51238551535717], 'diameter': 24.989770986105587, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.23013369573079423, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.1308778448929264, 'phi': -1.4275349519720846, 'norm_pos': [0.5666993425421805, 0.5061983936860118], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969647.129233,"{'circle_3d': {'center': [4.902314104818525, -0.2060880760661732, 143.3601777235407], 'normal': [0.12567466357311702, -0.4125117717006465, -0.902241606857153], 'radius': 3.002871054388747}, 'confidence': 0.9953733368989341, 'timestamp': 197542.282708, 'diameter_3d': 6.005742108777494, 'ellipse': {'center': [181.1722708355693, 119.20989522304164], 'axes': [23.297662057293092, 25.987402062058106], 'angle': -69.4021794703332}, 'location': [181.1722708355693, 119.20989522304164], 'diameter': 25.987402062058106, 'sphere': {'center': [3.394218141941121, 4.744053184341585, 154.18707700582652], 'radius': 12.0}, 'projected_sphere': {'center': [173.6484541303288, 139.07626132753418], 'axes': [96.50614233667395, 96.50614233667395], 'angle': 90.0}, 'model_confidence': 0.2317903585675296, 'model_id': 12, 'model_birth_timestamp': 197530.967908, 'theta': 1.145586677069719, 'phi': -1.4323952496609167, 'norm_pos': [0.5661633463611541, 0.5032921032373265], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
