eye_packets,773
norm_X,norm_Y,phi,theta,confidence,timestamp
1594969613.8978739,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 197509.052308, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.3877230530341066, -20.313323252530715, 214.06244479573544], 'radius': 12.0}, 'projected_sphere': {'center': [158.8770179042357, 61.16548361116379], 'axes': [69.51242668558199, 69.51242668558199], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 197476.159797, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969613.914262,"{'circle_3d': {'center': [6.9859343704857615, -10.979250243918571, 212.47996027117648], 'normal': [0.614471451959989, 0.7778394173843453, -0.13187371037991347], 'radius': 3.461104076898617}, 'confidence': 0.1385422289051404, 'timestamp': 197509.060708, 'diameter_3d': 6.922208153797234, 'ellipse': {'center': [180.37639529024824, 87.93816787011527], 'axes': [3.0630619139094617, 20.235051800951727], 'angle': 51.18331187621281}, 'location': [180.37639529024824, 87.93816787011527], 'diameter': 20.235051800951727, 'sphere': {'center': [-0.3877230530341066, -20.313323252530715, 214.06244479573544], 'radius': 12.0}, 'projected_sphere': {'center': [158.8770179042357, 61.16548361116379], 'axes': [69.51242668558199, 69.51242668558199], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 197476.159797, 'theta': 2.462016908646387, 'phi': -0.21140646058460405, 'norm_pos': [0.5636762352820257, 0.633590967207853], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969613.918112,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 197509.069108, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.3877230530341066, -20.313323252530715, 214.06244479573544], 'radius': 12.0}, 'projected_sphere': {'center': [158.8770179042357, 61.16548361116379], 'axes': [69.51242668558199, 69.51242668558199], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 197476.159797, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969613.9234061,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 197509.077508, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.3877230530341066, -20.313323252530715, 214.06244479573544], 'radius': 12.0}, 'projected_sphere': {'center': [158.8770179042357, 61.16548361116379], 'axes': [69.51242668558199, 69.51242668558199], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 197476.159797, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969613.9279418,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 197509.085908, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.3877230530341066, -20.313323252530715, 214.06244479573544], 'radius': 12.0}, 'projected_sphere': {'center': [158.8770179042357, 61.16548361116379], 'axes': [69.51242668558199, 69.51242668558199], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 197476.159797, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969613.941277,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 197509.094308, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.3877230530341066, -20.313323252530715, 214.06244479573544], 'radius': 12.0}, 'projected_sphere': {'center': [158.8770179042357, 61.16548361116379], 'axes': [69.51242668558199, 69.51242668558199], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 197476.159797, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969613.948323,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 197509.102708, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.3877230530341066, -20.313323252530715, 214.06244479573544], 'radius': 12.0}, 'projected_sphere': {'center': [158.8770179042357, 61.16548361116379], 'axes': [69.51242668558199, 69.51242668558199], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 197476.159797, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969613.955505,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 197509.111108, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.3877230530341066, -20.313323252530715, 214.06244479573544], 'radius': 12.0}, 'projected_sphere': {'center': [158.8770179042357, 61.16548361116379], 'axes': [69.51242668558199, 69.51242668558199], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 197476.159797, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969613.964094,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 197509.119508, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.3877230530341066, -20.313323252530715, 214.06244479573544], 'radius': 12.0}, 'projected_sphere': {'center': [158.8770179042357, 61.16548361116379], 'axes': [69.51242668558199, 69.51242668558199], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 197476.159797, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969613.9720929,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 197509.127908, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-0.3877230530341066, -20.313323252530715, 214.06244479573544], 'radius': 12.0}, 'projected_sphere': {'center': [158.8770179042357, 61.16548361116379], 'axes': [69.51242668558199, 69.51242668558199], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 197476.159797, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
