eye_packets,722
norm_X,norm_Y,phi,theta,confidence,timestamp
1594969634.773501,"{'circle_3d': {'center': [-0.045916543713455216, 1.1997707631031669, 2.1397442184450632], 'normal': [-0.17425501845155464, 0.41211094457025715, -0.8943152452630218], 'radius': 1.0553938213701581}, 'confidence': 0.026345531215797472, 'timestamp': 197529.926308, 'diameter_3d': 2.1107876427403163, 'ellipse': {'center': [170.72345677523606, 427.00035560335107], 'axes': [420.8429136677756, 631.7887341527813], 'angle': -73.3810391341954}, 'location': [170.72345677523606, 427.00035560335107], 'diameter': 631.7887341527813, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.9955660114069573, 'phi': -1.763232609627467, 'norm_pos': [0.5335108024226127, -0.7791681483472961], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.780698,"{'circle_3d': {'center': [0.274756584210726, 1.2184814168717168, 2.0908028503832323], 'normal': [-0.14753225779120618, 0.4136701657176363, -0.8983936926015077], 'radius': 1.0550934573007709}, 'confidence': 0.0381360982536528, 'timestamp': 197529.934708, 'diameter_3d': 2.1101869146015417, 'ellipse': {'center': [267.6920405129174, 438.2816880342305], 'axes': [436.96141960290817, 653.9809407596034], 'angle': -80.53647358810542}, 'location': [267.6920405129174, 438.2816880342305], 'diameter': 653.9809407596034, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.997277972962076, 'phi': -1.733561404980321, 'norm_pos': [0.8365376266028669, -0.826173700142627], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.7893262,"{'circle_3d': {'center': [0.13239453683776858, 1.2281874808647744, 2.119633326870538], 'normal': [-0.15939576173895267, 0.41447900438372454, -0.8959911528942324], 'radius': 1.0554248880072459}, 'confidence': 0.03422292893288315, 'timestamp': 197529.943108, 'diameter_3d': 2.1108497760144918, 'ellipse': {'center': [223.79869559664047, 437.6956887426718], 'axes': [426.5049436222297, 641.565829989514], 'angle': -77.36017777309736}, 'location': [223.79869559664047, 437.6956887426718], 'diameter': 641.565829989514, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.9981665694673751, 'phi': -1.7468532760194828, 'norm_pos': [0.6993709237395015, -0.8237320364277991], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.797141,"{'circle_3d': {'center': [0.5634650951877402, 1.2379461143229764, 2.0562930130460817], 'normal': [-0.12347321520978836, 0.41529222383857467, -0.9012695123796037], 'radius': 1.0558488391926557}, 'confidence': 0.02701593705331396, 'timestamp': 197529.951508, 'diameter_3d': 2.1116976783853114, 'ellipse': {'center': [357.8762845750853, 448.3231186096981], 'axes': [443.8127565252885, 675.2864419048432], 'angle': -86.70199719329209}, 'location': [357.8762845750853, 448.3231186096981], 'diameter': 675.2864419048432, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.999060341436171, 'phi': -1.7069479628590014, 'norm_pos': [1.1183633892971416, -0.8680129942070753], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.8048708,"{'circle_3d': {'center': [0.5233767023304092, 1.2477572403952952, 2.0663893790613983], 'normal': [-0.12681391461456593, 0.41610981767793453, -0.9004281485449939], 'radius': 1.0555422890847939}, 'confidence': 0.02382629206601049, 'timestamp': 197529.959908, 'diameter_3d': 2.1110845781695877, 'ellipse': {'center': [344.62288058446137, 450.06003257647245], 'axes': [440.0105144199095, 670.2296394952617], 'angle': -85.80596254929837}, 'location': [344.62288058446137, 450.06003257647245], 'diameter': 670.2296394952617, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.9999592888715332, 'phi': -1.7107134274474607, 'norm_pos': [1.0769465018264417, -0.875250135735302], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.813531,"{'circle_3d': {'center': [0.19589168935793344, 1.25762078156183, 2.122180975457381], 'normal': [-0.15410433236227225, 0.4169317794418124, -0.8957788488453287], 'radius': 1.0554799527487577}, 'confidence': 0.020100119089656296, 'timestamp': 197529.968308, 'diameter_3d': 2.1109599054975154, 'ellipse': {'center': [242.42994554694621, 446.0747470370561], 'axes': [423.1172790199459, 642.4306790947935], 'angle': -78.73385477848707}, 'location': [242.42994554694621, 446.0747470370561], 'diameter': 642.4306790947935, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 2.0008634117766033, 'phi': -1.7411625923555643, 'norm_pos': [0.7575935798342069, -0.8586447793210672], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.821014,"{'circle_3d': {'center': [0.00017585713893497612, 1.2675366595267188, 2.16232724924955], 'normal': [-0.17041398504718874, 0.4177581026055531, -0.8924333260293144], 'radius': 1.054851441425994}, 'confidence': 0.028625856413242144, 'timestamp': 197529.976708, 'diameter_3d': 2.109702882851988, 'ellipse': {'center': [183.6348477576817, 444.13176554588614], 'axes': [407.90389347223237, 625.8271526754462], 'angle': -74.5206512846204}, 'location': [183.6348477576817, 444.13176554588614], 'diameter': 625.8271526754462, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 2.0017727101451164, 'phi': -1.7594791662860405, 'norm_pos': [0.5738588992427553, -0.850549023107859], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.828587,"{'circle_3d': {'center': [0.22216962692041697, 1.2775047954194219, 2.1269666807156735], 'normal': [-0.1519145042320653, 0.4185887805966118, -0.8953800400738045], 'radius': 1.0548226605752307}, 'confidence': 0.03265288349824158, 'timestamp': 197529.985108, 'diameter_3d': 2.1096453211504613, 'ellipse': {'center': [249.88632641435612, 451.3971975924153], 'axes': [419.4263665647094, 641.2557561470439], 'angle': -79.27490017511292}, 'location': [249.88632641435612, 451.3971975924153], 'diameter': 641.2557561470439, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 2.002687183980196, 'phi': -1.7388607123659674, 'norm_pos': [0.7808947700448629, -0.8808216566350637], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.837429,"{'circle_3d': {'center': [0.0803528692766089, 1.1783404078917266, 2.106082617974849], 'normal': [-0.16373256736904926, 0.4103250816359704, -0.8971203786355395], 'radius': 1.0558686480721189}, 'confidence': 0.03386268383090899, 'timestamp': 197529.993508, 'diameter_3d': 2.1117372961442378, 'ellipse': {'center': [208.94584122159853, 424.4577393858914], 'axes': [435.5673213396994, 644.690286310855], 'angle': -76.18127539210164}, 'location': [208.94584122159853, 424.4577393858914], 'diameter': 644.690286310855, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.993606833285037, 'phi': -1.7513184832820172, 'norm_pos': [0.6529557538174954, -0.7685739141078807], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.845449,"{'circle_3d': {'center': [-0.5606975370447871, 1.1962159150589948, 2.2513371106638314], 'normal': [-0.21715343456249891, 0.41181470723324276, -0.8850158375781243], 'radius': 1.055292541381225}, 'confidence': 0.0395465967652009, 'timestamp': 197530.001908, 'diameter_3d': 2.11058508276245, 'ellipse': {'center': [25.356572407040915, 413.7695306859258], 'axes': [373.52631425427575, 595.6777013754022], 'angle': -62.97475333272392}, 'location': [25.356572407040915, 413.7695306859258], 'diameter': 595.6777013754022, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.9952409048147537, 'phi': -1.8114095257832776, 'norm_pos': [0.07923928877200286, -0.7240397111913575], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.85791,"{'circle_3d': {'center': [-0.4179500401299725, 1.205075350342073, 2.2214392134127134], 'normal': [-0.20525780981959774, 0.41255299350683267, -0.8875073290157176], 'radius': 1.0557522378138235}, 'confidence': 0.023480725309466217, 'timestamp': 197530.010308, 'diameter_3d': 2.111504475627647, 'ellipse': {'center': [64.27022615170557, 419.42019812500246], 'axes': [386.54208151334274, 604.5892288804869], 'angle': -65.69194963392088}, 'location': [64.27022615170557, 419.42019812500246], 'diameter': 604.5892288804869, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.996051228318564, 'phi': -1.7980748394011579, 'norm_pos': [0.2008444567240799, -0.747584158854177], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
