eye_packets,722
norm_X,norm_Y,phi,theta,confidence,timestamp
1594969634.773501,"{'circle_3d': {'center': [-0.045916543713455216, 1.1997707631031669, 2.1397442184450632], 'normal': [-0.17425501845155464, 0.41211094457025715, -0.8943152452630218], 'radius': 1.0553938213701581}, 'confidence': 0.026345531215797472, 'timestamp': 197529.926308, 'diameter_3d': 2.1107876427403163, 'ellipse': {'center': [170.72345677523606, 427.00035560335107], 'axes': [420.8429136677756, 631.7887341527813], 'angle': -73.3810391341954}, 'location': [170.72345677523606, 427.00035560335107], 'diameter': 631.7887341527813, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.9955660114069573, 'phi': -1.763232609627467, 'norm_pos': [0.5335108024226127, -0.7791681483472961], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.865085,"{'circle_3d': {'center': [0.308284009619451, 1.2139818549281007, 2.0832808995132677], 'normal': [-0.14473830567381243, 0.413295202222335, -0.8990205218406714], 'radius': 1.0551554751073118}, 'confidence': 0.016662163931884053, 'timestamp': 197530.018708, 'diameter_3d': 2.1103109502146236, 'ellipse': {'center': [278.2609903071433, 437.8288160892386], 'axes': [439.8212738855505, 657.3847514311851], 'angle': -81.29477939833826}, 'location': [278.2609903071433, 437.8288160892386], 'diameter': 657.3847514311851, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.9968661568554826, 'phi': -1.730422140508977, 'norm_pos': [0.8695655947098228, -0.8242867337051609], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.875386,"{'circle_3d': {'center': [0.2390744894465724, 1.2229353671470498, 2.098776250506866], 'normal': [-0.15050576568821902, 0.4140413282405808, -0.897729242591205], 'radius': 1.0550956930361113}, 'confidence': 0.04940598182252669, 'timestamp': 197530.027108, 'diameter_3d': 2.1101913860722226, 'ellipse': {'center': [256.5308841938606, 438.656202909976], 'axes': [433.9430851081749, 650.485615599055], 'angle': -79.7333136224407}, 'location': [256.5308841938606, 438.656202909976], 'diameter': 650.485615599055, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.9976856904283569, 'phi': -1.7369031880141748, 'norm_pos': [0.8016590131058143, -0.8277341787915666], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.8819351,"{'circle_3d': {'center': [0.12482915539188877, 1.231935824720789, 2.1227169130848296], 'normal': [-0.160026210192776, 0.41479136637172576, -0.8957341873763748], 'radius': 1.0565473444114175}, 'confidence': 0.031308152590288185, 'timestamp': 197530.035508, 'diameter_3d': 2.113094688822835, 'ellipse': {'center': [221.48772798647468, 438.34238348470603], 'axes': [425.6049882319628, 641.1780995491547], 'angle': -77.1940355794237}, 'location': [221.48772798647468, 438.34238348470603], 'diameter': 641.1780995491547, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.9985098290315078, 'phi': -1.7475848928203939, 'norm_pos': [0.6921491499577334, -0.8264265978529417], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.890319,"{'circle_3d': {'center': [0.018501666728592436, 1.240983164946504, 2.14645822375957], 'normal': [-0.16888683424805068, 0.4155453113905353, -0.8937557448201464], 'radius': 1.0558415751791224}, 'confidence': 0.03488555350064182, 'timestamp': 197530.043908, 'diameter_3d': 2.1116831503582447, 'ellipse': {'center': [189.42077892479244, 438.2318504043441], 'axes': [415.94410185063873, 631.3785865854697], 'angle': -74.87233358122289}, 'location': [189.42077892479244, 438.2318504043441], 'diameter': 631.3785865854697, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.9993385726677666, 'phi': -1.7575572874894088, 'norm_pos': [0.5919399341399764, -0.8259660433514335], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.897658,"{'circle_3d': {'center': [0.1255935694096877, 1.2500773246016217, 2.1309997355212182], 'normal': [-0.15996250902462605, 0.41630315802846174, -0.8950439521733422], 'radius': 1.0555657390127078}, 'confidence': 0.030341510893803922, 'timestamp': 197530.052308, 'diameter_3d': 2.1111314780254156, 'ellipse': {'center': [221.31274594390118, 442.77058893063156], 'axes': [420.7901123035822, 638.1030265658327], 'angle': -77.20794036933849}, 'location': [221.31274594390118, 442.77058893063156], 'diameter': 638.1030265658327, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 2.0001719213400286, 'phi': -1.7476494342691489, 'norm_pos': [0.6916023310746912, -0.8448774538776316], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.910997,"{'circle_3d': {'center': [-0.007651661354079575, 1.1499046159044233, 2.109536086874547], 'normal': [-0.17106627825494, 0.4079554323036952, -0.8968325895605648], 'radius': 1.055845967593419}, 'confidence': 0.031020825972271366, 'timestamp': 197530.060708, 'diameter_3d': 2.111691935186838, 'ellipse': {'center': [182.6919648977557, 415.6280393651133], 'axes': [436.13799227688924, 641.720541450189], 'angle': -74.12633295645878}, 'location': [182.6919648977557, 415.6280393651133], 'diameter': 641.720541450189, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.9910098750425191, 'phi': -1.759277159385307, 'norm_pos': [0.5709123903054866, -0.7317834973546387], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.9226298,"{'circle_3d': {'center': [0.2166049589795649, 1.2761156487109226, 2.1272629201057836], 'normal': [-0.15237822656046962, 0.4184730183709035, -0.8953553534579618], 'radius': 1.0563245781063282}, 'confidence': 0.027866792126396218, 'timestamp': 197530.069108, 'diameter_3d': 2.1126491562126564, 'ellipse': {'center': [248.3066703023616, 450.82832308086836], 'axes': [420.1190217768896, 641.9827609146723], 'angle': -79.15968294109375}, 'location': [248.3066703023616, 450.82832308086836], 'diameter': 641.9827609146723, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 2.0025597209766737, 'phi': -1.7393686437389622, 'norm_pos': [0.77595834469488, -0.8784513461702848], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.9335759,"{'circle_3d': {'center': [-0.12976114995054466, 1.2763186077440136, 2.192083426213909], 'normal': [-0.1812420689713121, 0.41848993162366105, -0.889953644615618], 'radius': 1.055867240726224}, 'confidence': 0.02859083573534453, 'timestamp': 197530.077508, 'diameter_3d': 2.111734481452448, 'ellipse': {'center': [145.8163124550514, 443.00150851095646], 'axes': [396.51874817562816, 615.8305717278663], 'angle': -71.82874218734635}, 'location': [145.8163124550514, 443.00150851095646], 'diameter': 615.8305717278663, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 2.00257834328564, 'phi': -1.7717022725950577, 'norm_pos': [0.4556759764220356, -0.8458396187956518], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.943624,"{'circle_3d': {'center': [-0.23050599670616645, 1.1764023725535897, 2.1665890798395715], 'normal': [-0.1896374728676139, 0.41016357869112574, -0.8920781734801461], 'radius': 1.0557493822748272}, 'confidence': 0.025632069592481162, 'timestamp': 197530.085908, 'diameter_3d': 2.1114987645496544, 'ellipse': {'center': [116.85034885665084, 417.1868519819845], 'axes': [410.89941453392106, 621.481570326974], 'angle': -69.29429367475805}, 'location': [116.85034885665084, 417.1868519819845], 'diameter': 621.481570326974, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.993429741994435, 'phi': -1.7802577201951808, 'norm_pos': [0.3651573401770339, -0.7382785499249354], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.94957,"{'circle_3d': {'center': [-1.2535185837580038, 0.6407312629011792, 2.2001040500309053], 'normal': [-0.27488852178860035, 0.36552431955342485, -0.889285259297535], 'radius': 1.0558191089349942}, 'confidence': 0.023134708204015784, 'timestamp': 197530.094308, 'diameter_3d': 2.1116382178699884, 'ellipse': {'center': [-174.4544490536848, 260.93720569876393], 'axes': [385.9823751524269, 618.6637839408506], 'angle': -45.26872280026906}, 'location': [-174.4544490536848, 260.93720569876393], 'diameter': 618.6637839408506, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.9449923664349142, 'phi': -1.8705914192566055, 'norm_pos': [-0.5451701532927651, -0.08723835707818295], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.955088,"{'circle_3d': {'center': [0.3280878724365226, 0.6883914428341869, 1.8537329679322774], 'normal': [-0.14308798377238982, 0.3694960012145088, -0.9181495161390872], 'radius': 1.0556088951804437}, 'confidence': 0.007647052730726639, 'timestamp': 197530.102708, 'diameter_3d': 2.1112177903608873, 'ellipse': {'center': [303.44867055569637, 290.7247959386549], 'axes': [587.3281684614726, 740.2689401328876], 'angle': -84.53300187269394}, 'location': [303.44867055569637, 290.7247959386549], 'diameter': 740.2689401328876, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.9492629070701395, 'phi': -1.725396603727708, 'norm_pos': [0.9482770954865511, -0.21135331641106214], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.9634838,"{'circle_3d': {'center': [-0.3021294601007707, 1.241587961147442, 2.2123218287702713], 'normal': [-0.19560609481716423, 0.4155957110739467, -0.8882671110692543], 'radius': 1.0557299661231934}, 'confidence': 0.029637236355808946, 'timestamp': 197530.111108, 'diameter_3d': 2.1114599322463867, 'ellipse': {'center': [96.82502479454811, 430.76269034848906], 'axes': [389.58187553504416, 608.0049965431765], 'angle': -68.18788982224159}, 'location': [96.82502479454811, 430.76269034848906], 'diameter': 608.0049965431765, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.9993939836685972, 'phi': -1.7875477810123652, 'norm_pos': [0.30257820248296285, -0.7948445431187043], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.9701061,"{'circle_3d': {'center': [0.3707472711180184, 1.2044742643156527, 2.06904819631543], 'normal': [-0.13953303388226515, 0.412502903004631, -0.9002065804404912], 'radius': 1.0556289383555877}, 'confidence': 0.03181929692991702, 'timestamp': 197530.119508, 'diameter_3d': 2.1112578767111754, 'ellipse': {'center': [298.1891121874212, 436.6256069773905], 'axes': [445.3793874598027, 664.2159436440642], 'angle': -82.71750561051357}, 'location': [298.1891121874212, 436.6256069773905], 'diameter': 664.2159436440642, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.9959962409095946, 'phi': -1.7245737268019856, 'norm_pos': [0.9318409755856912, -0.8192733624057937], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.977891,"{'circle_3d': {'center': [0.31300290553992927, 1.212635350806344, 2.0819033711696893], 'normal': [-0.1443450643471059, 0.4131829935455219, -0.8991353158693028], 'radius': 1.0555722380698596}, 'confidence': 0.029833610611289786, 'timestamp': 197530.127908, 'diameter_3d': 2.111144476139719, 'ellipse': {'center': [279.79882521342904, 437.55303025343966], 'axes': [440.58488821958986, 658.2389860684509], 'angle': -81.40454471878324}, 'location': [279.79882521342904, 437.55303025343966], 'diameter': 658.2389860684509, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.9967429349172443, 'phi': -1.7299757678606862, 'norm_pos': [0.8743713287919658, -0.8231376260559986], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1594969634.987925,"{'circle_3d': {'center': [-0.12096085101041254, 1.2208377325465505, 2.164385663803783], 'normal': [-0.18050871072630106, 0.4138665253572058, -0.8922617914831285], 'radius': 1.0560252476987053}, 'confidence': 0.028631734574428302, 'timestamp': 197530.136308, 'diameter_3d': 2.1120504953974106, 'ellipse': {'center': [148.56700665709064, 430.27029356585166], 'axes': [410.14180623302195, 623.8224372412368], 'angle': -71.81961266214533}, 'location': [148.56700665709064, 430.27029356585166], 'diameter': 623.8224372412368, 'sphere': {'center': [2.0451436777052003, -3.745560571739919, 12.871527161601325], 'radius': 12.0}, 'projected_sphere': {'center': [258.5111606616441, -60.41740698854596], 'axes': [1156.0399798083326, 1156.0399798083326], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 197484.163108, 'theta': 1.9974936621961767, 'phi': -1.770406912323978, 'norm_pos': [0.4642718958034083, -0.7927928898577152], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
