Processing_2/T6_EU_PW_B1_C6_P1331905_S2_0813131250.csv
UDPSynch,1565670899982,pupilPackets,776,imuPackets,1162,logDataStart,1332531,logDataEnd,1339059,logDataDur,6527
1332534,1332533,1,169632.773872,142,113,{"topic":"pupil.1","circle_3d":{"center":[-2.226083957259962,0.8375391428898942,78.67321850590248],"normal":[-0.4203548134909788,0.580691573935024,-0.6972080942845034],"radius":2.582504628949304},"confidence":0.994226249957296,"timestamp":169632.773872,"diameter_3d":5.165009257898608,"ellipse":{"center":[142.64308344579192,126.33342590482992],"axes":[27.654960103293885,40.72056568553775],"angle":-53.23586269540641},"norm_pos":[0.44575963576809974,0.47361072539654203],"diameter":40.72056568553775,"sphere":{"center":[2.818173804631784,-6.130759744330394,87.03971563731652],"radius":12.0},"projected_sphere":{"center":[180.07437347511967,76.32946392743943],"axes":[170.9564408735327,170.9564408735327],"angle":90.0},"model_confidence":0.4340933886439635,"model_id":19,"model_birth_timestamp":169550.108934,"theta":2.190374230780937,"phi":-2.113353923720878,"method":"3d c++","id":1}
1332540,1332539,1,169632.782272,142,113,{"topic":"pupil.1","circle_3d":{"center":[-2.2303453613064663,0.8349456139203566,78.67362915119944],"normal":[-0.42070993049485417,0.5804754465208959,-0.6971738738430905],"radius":2.5759174510117306},"confidence":0.9951848851501761,"timestamp":169632.782272,"diameter_3d":5.151834902023461,"ellipse":{"center":[142.6087770374835,126.31441889156304],"axes":[27.58232984181209,40.616462863620626],"angle":-53.20035451796031},"norm_pos":[0.4456524282421359,0.47368992128515397],"diameter":40.616462863620626,"sphere":{"center":[2.818173804631784,-6.130759744330394,87.03971563731652],"radius":12.0},"projected_sphere":{"center":[180.07437347511967,76.32946392743943],"axes":[170.9564408735327,170.9564408735327],"angle":90.0},"model_confidence":0.43558910866524636,"model_id":19,"model_birth_timestamp":169550.108934,"theta":2.190108783435505,"phi":-2.1137491057809825,"method":"3d c++","id":1}
1332549,1332544,1,169632.790672,142,113,{"topic":"pupil.1","circle_3d":{"center":[-2.2314393956669143,0.8324648655849742,78.67222440282825],"normal":[-0.4208011000248915,0.5802687174929474,-0.6972909362073562],"radius":2.575678749441299},"confidence":0.9950595158908566,"timestamp":169632.790672,"diameter_3d":5.151357498882598,"ellipse":{"center":[142.59988671834876,126.29506470050245],"axes":[27.585479816209407,40.6134340946084],"angle":-53.18324815647202},"norm_pos":[0.44562464599483986,0.4737705637479065],"diameter":40.6134340946084,"sphere":{"center":[2.818173804631784,-6.130759744330394,87.03971563731652],"radius":12.0},"projected_sphere":{"center":[180.07437347511967,76.32946392743943],"axes":[170.9564408735327,170.9564408735327],"angle":90.0},"model_confidence":0.4371681501438296,"model_id":19,"model_birth_timestamp":169550.108934,"theta":2.1898549261663565,"phi":-2.1137706866028054,"method":"3d c++","id":1}
1332560,1332558,1,169632.799072,142,113,{"topic":"pupil.1","circle_3d":{"center":[-2.234981657771651,0.8281518733930735,78.67077490568892],"normal":[-0.4210962885336196,0.5799093014769556,-0.6974117276356342],"radius":2.5780186940576537},"confidence":0.9947174100933115,"timestamp":169632.799072,"diameter_3d":5.156037388115307,"ellipse":{"center":[142.57214897620625,126.26080303007777],"axes":[27.6162817397867,40.65113108382147],"angle":-53.14421935807081},"norm_pos":[0.4455379655506445,0.4739133207080093],"diameter":40.65113108382147,"sphere":{"center":[2.818173804631784,-6.130759744330394,87.03971563731652],"radius":12.0},"projected_sphere":{"center":[180.07437347511967,76.32946392743943],"axes":[170.9564408735327,170.9564408735327],"angle":90.0},"model_confidence":0.4387923614031841,"model_id":19,"model_birth_timestamp":169550.108934,"theta":2.189413682953977,"phi":-2.1140043021019137,"method":"3d c++","id":1}
1332569,1332568,1,169632.807472,142,113,{"topic":"pupil.1","circle_3d":{"center":[-2.2306509182036267,0.8244586228574367,78.66509287668909],"normal":[-0.42073539356961753,0.5796015305989859,-0.6978852300522858],"radius":2.569296219980984},"confidence":0.9955504220879692,"timestamp":169632.807472,"diameter_3d":5.138592439961968,"ellipse":{"center":[142.60377514352814,126.23386488234802],"axes":[27.546437458952123,40.5164227105611],"angle":-53.15242844766658},"norm_pos":[0.44563679732352546,0.4740255629902166],"diameter":40.5164227105611,"sphere":{"center":[2.818173804631784,-6.130759744330394,87.03971563731652],"radius":12.0},"projected_sphere":{"center":[180.07437347511967,76.32946392743943],"axes":[170.9564408735327,170.9564408735327],"angle":90.0},"model_confidence":0.4412492759902076,"model_id":19,"model_birth_timestamp":169550.108934,"theta":2.189035952899805,"phi":-2.1133248418492814,"method":"3d c++","id":1}
1332577,1332573,1,169632.815872,142,113,{"topic":"pupil.1","circle_3d":{"center":[-2.2360259835536445,0.8434529368238479,78.68415329961992],"normal":[-0.42118331568211903,0.5811843900961868,-0.6962968614747159],"radius":2.5781754079967243},"confidence":0.9953285954637531,"timestamp":169632.815872,"diameter_3d":5.156350815993449,"ellipse":{"center":[142.56656997011663,126.38023360342265],"axes":[27.562686047743277,40.64666730724911],"angle":-53.20566357688023},"norm_pos":[0.4455205311566145,0.4734156933190723],"diameter":40.64666730724911,"sphere":{"center":[2.818173804631784,-6.130759744330394,87.03971563731652],"radius":12.0},"projected_sphere":{"center":[180.07437347511967,76.32946392743943],"axes":[170.9564408735327,170.9564408735327],"angle":90.0},"model_confidence":0.44305609889272457,"model_id":19,"model_birth_timestamp":169550.108934,"theta":2.1909796948725457,"phi":-2.1148039825991165,"method":"3d c++","id":1}
1332584,1332579,1,169632.824272,142,113,{"topic":"pupil.1","circle_3d":{"center":[-2.2315130550009457,0.8436438713190997,78.68158445710237],"normal":[-0.4208072383027275,0.5812003013041245,-0.6965109316845117],"radius":2.5614815120269014},"confidence":0.9966652590812404,"timestamp":169632.824272,"diameter_3d":5.122963024053803,"ellipse":{"center":[142.59908294046082,126.38528124462971],"axes":[27.39488559724587,40.384622202453926],"angle":-53.23200821227206},"norm_pos":[0.44562213418894003,0.4733946614807095],"diameter":40.384622202453926,"sphere":{"center":[2.818173804631784,-6.130759744330394,87.03971563731652],"radius":12.0},"projected_sphere":{"center":[180.07437347511967,76.32946392743943],"axes":[170.9564408735327,170.9564408735327],"angle":90.0},"model_confidence":0.44585460219340733,"model_id":19,"model_birth_timestamp":169550.108934,"theta":2.190999247426571,"phi":-2.1142723968252426,"method":"3d c++","id":1}
1332592,1332591,1,169632.832672,142,113,{"topic":"pupil.1","circle_3d":{"center":[-2.2318629389815383,0.8440892824964061,78.682167555425],"normal":[-0.4208363953011102,0.5812374189022333,-0.6964623401576264],"radius":2.579412425419984},"confidence":0.9942402689378507,"timestamp":169632.832672,"diameter_3d":5.158824850839968,"ellipse":{"center":[142.5990245004224,126.38505941585417],"axes":[27.584434126046204,40.667179126162786],"angle":-53.231975335207466},"norm_pos":[0.44562195156381995,0.47339558576727425],"diameter":40.667179126162786,"sphere":{"center":[2.818173804631784,-6.130759744330394,87.03971563731652],"radius":12.0},"projected_sphere":{"center":[180.07437347511967,76.32946392743943],"axes":[170.9564408735327,170.9564408735327],"angle":90.0},"model_confidence":0.4474505268831086,"model_id":19,"model_birth_timestamp":169550.108934,"theta":2.191044860602802,"phi":-2.11433394436373,"method":"3d c++","id":1}
1332600,1332596,1,169632.841072,142,113,{"topic":"pupil.1","circle_3d":{"center":[-2.236089764909635,0.8273748266794865,78.6707979616954],"normal":[-0.42118863079511826,0.5798445475841567,-0.69740980630176],"radius":2.567954959930243},"confidence":0.9955084730351356,"timestamp":169632.841072,"diameter_3d":5.135909919860486,"ellipse":{"center":[142.56200884243782,126.25677705893094],"axes":[27.508180295544403,40.49235212812905],"angle":-53.13453788753648},"norm_pos":[0.4455062776326182,0.47393009558778776],"diameter":40.49235212812905,"sphere":{"center":[2.818173804631784,-6.130759744330394,87.03971563731652],"radius":12.0},"projected_sphere":{"center":[180.07437347511967,76.32946392743943],"axes":[170.9564408735327,170.9564408735327],"angle":90.0},"model_confidence":0.44894783171315344,"model_id":19,"model_birth_timestamp":169550.108934,"theta":2.1893342014664925,"phi":-2.114102547457913,"method":"3d c++","id":1}
1332609,1332609,1,169632.849472,142,113,{"topic":"pupil.1","circle_3d":{"center":[-2.2458157707887487,0.8427615875281829,78.6895054714497],"normal":[-0.4219991312850444,0.5811267776548814,-0.6958508471555681],"radius":2.587116565332516},"confidence":0.9948661623148196,"timestamp":169632.849472,"diameter_3d":5.174233130665032,"ellipse":{"center":[142.492099215088,126.3727243846964],"axes":[27.6354866460859,40.78499884110245],"angle":-53.147378801885395},"norm_pos":[0.44528781004714996,0.47344698173043165],"diameter":40.78499884110245,"sphere":{"center":[2.818173804631784,-6.130759744330394,87.03971563731652],"radius":12.0},"projected_sphere":{"center":[180.07437347511967,76.32946392743943],"axes":[170.9564408735327,170.9564408735327],"angle":90.0},"model_confidence":0.45010807821205256,"model_id":19,"model_birth_timestamp":169550.108934,"theta":2.1909088998685062,"phi":-2.1159453860791277,"method":"3d c++","id":1}
