Processing_2/T3_EW_PS_B4_C0_P744869_S2_0813131250.csv
UDPSynch,1565670315662,pupilPackets,776,imuPackets,1165,logDataStart,748211,logDataEnd,754726,logDataDur,6514
748406,748404,1,169048.646462,160,120,{"topic":"pupil.1","circle_3d":{"center":[0.0,-0.0,0.0],"normal":[0.0,-0.0,0.0],"radius":0.0},"confidence":0.0,"timestamp":169048.646462,"diameter_3d":0.0,"ellipse":{"center":[160.0,120.0],"axes":[0.0,0.0],"angle":90.0},"norm_pos":[0.5,0.5],"diameter":0.0,"sphere":{"center":[-4.165418366873295,-8.232990169280159,82.08302776758624],"radius":12.0},"projected_sphere":{"center":[128.5372304397223,57.813528036432935],"axes":[181.2798626548223,181.2798626548223],"angle":90.0},"model_confidence":1.0,"model_id":33,"model_birth_timestamp":168226.420786,"theta":0.0,"phi":0.0,"method":"3d c++","id":1}
748414,748409,1,169048.654862,160,120,{"topic":"pupil.1","circle_3d":{"center":[0.0,-0.0,0.0],"normal":[0.0,-0.0,0.0],"radius":0.0},"confidence":0.0,"timestamp":169048.654862,"diameter_3d":0.0,"ellipse":{"center":[160.0,120.0],"axes":[0.0,0.0],"angle":90.0},"norm_pos":[0.5,0.5],"diameter":0.0,"sphere":{"center":[-4.165418366873295,-8.232990169280159,82.08302776758624],"radius":12.0},"projected_sphere":{"center":[128.5372304397223,57.813528036432935],"axes":[181.2798626548223,181.2798626548223],"angle":90.0},"model_confidence":1.0,"model_id":33,"model_birth_timestamp":168226.420786,"theta":0.0,"phi":0.0,"method":"3d c++","id":1}
748423,748422,1,169048.663262,160,120,{"topic":"pupil.1","circle_3d":{"center":[0.0,-0.0,0.0],"normal":[0.0,-0.0,0.0],"radius":0.0},"confidence":0.0,"timestamp":169048.663262,"diameter_3d":0.0,"ellipse":{"center":[160.0,120.0],"axes":[0.0,0.0],"angle":90.0},"norm_pos":[0.5,0.5],"diameter":0.0,"sphere":{"center":[-4.165418366873295,-8.232990169280159,82.08302776758624],"radius":12.0},"projected_sphere":{"center":[128.5372304397223,57.813528036432935],"axes":[181.2798626548223,181.2798626548223],"angle":90.0},"model_confidence":1.0,"model_id":33,"model_birth_timestamp":168226.420786,"theta":0.0,"phi":0.0,"method":"3d c++","id":1}
748429,748428,1,169048.671662,160,120,{"topic":"pupil.1","circle_3d":{"center":[0.0,-0.0,0.0],"normal":[0.0,-0.0,0.0],"radius":0.0},"confidence":0.0,"timestamp":169048.671662,"diameter_3d":0.0,"ellipse":{"center":[160.0,120.0],"axes":[0.0,0.0],"angle":90.0},"norm_pos":[0.5,0.5],"diameter":0.0,"sphere":{"center":[-4.165418366873295,-8.232990169280159,82.08302776758624],"radius":12.0},"projected_sphere":{"center":[128.5372304397223,57.813528036432935],"axes":[181.2798626548223,181.2798626548223],"angle":90.0},"model_confidence":1.0,"model_id":33,"model_birth_timestamp":168226.420786,"theta":0.0,"phi":0.0,"method":"3d c++","id":1}
748437,748433,1,169048.680062,160,120,{"topic":"pupil.1","circle_3d":{"center":[0.0,-0.0,0.0],"normal":[0.0,-0.0,0.0],"radius":0.0},"confidence":0.0,"timestamp":169048.680062,"diameter_3d":0.0,"ellipse":{"center":[160.0,120.0],"axes":[0.0,0.0],"angle":90.0},"norm_pos":[0.5,0.5],"diameter":0.0,"sphere":{"center":[-4.165418366873295,-8.232990169280159,82.08302776758624],"radius":12.0},"projected_sphere":{"center":[128.5372304397223,57.813528036432935],"axes":[181.2798626548223,181.2798626548223],"angle":90.0},"model_confidence":1.0,"model_id":33,"model_birth_timestamp":168226.420786,"theta":0.0,"phi":0.0,"method":"3d c++","id":1}
748445,748444,1,169048.688462,160,120,{"topic":"pupil.1","circle_3d":{"center":[0.0,-0.0,0.0],"normal":[0.0,-0.0,0.0],"radius":0.0},"confidence":0.0,"timestamp":169048.688462,"diameter_3d":0.0,"ellipse":{"center":[160.0,120.0],"axes":[0.0,0.0],"angle":90.0},"norm_pos":[0.5,0.5],"diameter":0.0,"sphere":{"center":[-4.165418366873295,-8.232990169280159,82.08302776758624],"radius":12.0},"projected_sphere":{"center":[128.5372304397223,57.813528036432935],"axes":[181.2798626548223,181.2798626548223],"angle":90.0},"model_confidence":1.0,"model_id":33,"model_birth_timestamp":168226.420786,"theta":0.0,"phi":0.0,"method":"3d c++","id":1}
748453,748448,1,169048.696862,160,120,{"topic":"pupil.1","circle_3d":{"center":[0.0,-0.0,0.0],"normal":[0.0,-0.0,0.0],"radius":0.0},"confidence":0.0,"timestamp":169048.696862,"diameter_3d":0.0,"ellipse":{"center":[160.0,120.0],"axes":[0.0,0.0],"angle":90.0},"norm_pos":[0.5,0.5],"diameter":0.0,"sphere":{"center":[-4.165418366873295,-8.232990169280159,82.08302776758624],"radius":12.0},"projected_sphere":{"center":[128.5372304397223,57.813528036432935],"axes":[181.2798626548223,181.2798626548223],"angle":90.0},"model_confidence":1.0,"model_id":33,"model_birth_timestamp":168226.420786,"theta":0.0,"phi":0.0,"method":"3d c++","id":1}
748468,748466,1,169048.705262,160,120,{"topic":"pupil.1","circle_3d":{"center":[0.0,-0.0,0.0],"normal":[0.0,-0.0,0.0],"radius":0.0},"confidence":0.0,"timestamp":169048.705262,"diameter_3d":0.0,"ellipse":{"center":[160.0,120.0],"axes":[0.0,0.0],"angle":90.0},"norm_pos":[0.5,0.5],"diameter":0.0,"sphere":{"center":[-4.165418366873295,-8.232990169280159,82.08302776758624],"radius":12.0},"projected_sphere":{"center":[128.5372304397223,57.813528036432935],"axes":[181.2798626548223,181.2798626548223],"angle":90.0},"model_confidence":1.0,"model_id":33,"model_birth_timestamp":168226.420786,"theta":0.0,"phi":0.0,"method":"3d c++","id":1}
748473,748471,1,169048.713662,160,120,{"topic":"pupil.1","circle_3d":{"center":[0.0,-0.0,0.0],"normal":[0.0,-0.0,0.0],"radius":0.0},"confidence":0.0,"timestamp":169048.713662,"diameter_3d":0.0,"ellipse":{"center":[160.0,120.0],"axes":[0.0,0.0],"angle":90.0},"norm_pos":[0.5,0.5],"diameter":0.0,"sphere":{"center":[-4.165418366873295,-8.232990169280159,82.08302776758624],"radius":12.0},"projected_sphere":{"center":[128.5372304397223,57.813528036432935],"axes":[181.2798626548223,181.2798626548223],"angle":90.0},"model_confidence":1.0,"model_id":33,"model_birth_timestamp":168226.420786,"theta":0.0,"phi":0.0,"method":"3d c++","id":1}
748482,748482,1,169048.722062,160,120,{"topic":"pupil.1","circle_3d":{"center":[0.0,-0.0,0.0],"normal":[0.0,-0.0,0.0],"radius":0.0},"confidence":0.0,"timestamp":169048.722062,"diameter_3d":0.0,"ellipse":{"center":[160.0,120.0],"axes":[0.0,0.0],"angle":90.0},"norm_pos":[0.5,0.5],"diameter":0.0,"sphere":{"center":[-4.165418366873295,-8.232990169280159,82.08302776758624],"radius":12.0},"projected_sphere":{"center":[128.5372304397223,57.813528036432935],"axes":[181.2798626548223,181.2798626548223],"angle":90.0},"model_confidence":1.0,"model_id":33,"model_birth_timestamp":168226.420786,"theta":0.0,"phi":0.0,"method":"3d c++","id":1}
