eye_packets,771
norm_X,norm_Y,phi,theta,confidence,timestamp
1596008018.820412,"{'circle_3d': {'center': [14.693876871972348, 1.745823849729046, 84.83640393874025], 'normal': [0.6992855652143845, 0.6898470157277026, -0.1873787425893928], 'radius': 5.323076760905084}, 'confidence': 0.012714421326583559, 'timestamp': 16738.758432, 'diameter_3d': 10.646153521810168, 'ellipse': {'center': [267.47397567309275, 132.49073063659296], 'axes': [4.043866358415019, 78.38432508557153], 'angle': 44.298633486818254}, 'location': [267.47397567309275, 132.49073063659296], 'diameter': 78.38432508557153, 'sphere': {'center': [6.302450089399736, -6.532340339003383, 87.08494884981296], 'radius': 12.0}, 'projected_sphere': {'center': [204.87019981106906, 73.4930999710773], 'axes': [170.86764356561898, 170.86764356561898], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 16726.48603, 'theta': 2.3320740409341996, 'phi': -0.26180704645274655, 'norm_pos': [0.8358561739784148, 0.447955289014196], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596008018.8249679,"{'circle_3d': {'center': [15.163789421251046, 0.9804911484649779, 84.07928281934835], 'normal': [0.7384449443209427, 0.6260692906223635, -0.25047216920538423], 'radius': 5.374538665066601}, 'confidence': 0.03691379868785393, 'timestamp': 16738.766832, 'diameter_3d': 10.749077330133202, 'ellipse': {'center': [271.777174618221, 126.85914004902506], 'axes': [8.703902913531513, 79.85352741069858], 'angle': 39.631454897673784}, 'location': [271.777174618221, 126.85914004902506], 'diameter': 79.85352741069858, 'sphere': {'center': [6.302450089399736, -6.532340339003383, 87.08494884981296], 'radius': 12.0}, 'projected_sphere': {'center': [204.87019981106906, 73.4930999710773], 'axes': [170.86764356561898, 170.86764356561898], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 16726.48603, 'theta': 2.247298400381271, 'phi': -0.32701108112438204, 'norm_pos': [0.8493036706819407, 0.47142024979572894], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596008018.835831,"{'circle_3d': {'center': [15.19453799360147, -0.158680424056989, 82.15471234508473], 'normal': [0.7410073253501442, 0.5311383262455327, -0.4108530420606855], 'radius': 5.399602089987651}, 'confidence': 0.022502649035550045, 'timestamp': 16738.775232, 'diameter_3d': 10.799204179975302, 'ellipse': {'center': [274.26407592204293, 118.21161324875504], 'axes': [22.358806068752013, 82.08423869919268], 'angle': 33.948050493739174}, 'location': [274.26407592204293, 118.21161324875504], 'diameter': 82.08423869919268, 'sphere': {'center': [6.302450089399736, -6.532340339003383, 87.08494884981296], 'radius': 12.0}, 'projected_sphere': {'center': [204.87019981106906, 73.4930999710773], 'axes': [170.86764356561898, 170.86764356561898], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 16726.48603, 'theta': 2.1307398257164354, 'phi': -0.5062548763858028, 'norm_pos': [0.8570752372563841, 0.5074516114635206], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596008018.843942,"{'circle_3d': {'center': [14.399246021698035, 0.48231490448618786, 81.67786946758618], 'normal': [0.6747329943581916, 0.5845546036241309, -0.4505899485188986], 'radius': 5.403764531046065}, 'confidence': 0.05454182718344977, 'timestamp': 16738.783632, 'diameter_3d': 10.80752906209213, 'ellipse': {'center': [268.85639809295844, 122.9566714969009], 'axes': [26.870241677609517, 82.63310756058597], 'angle': 38.83458575938447}, 'location': [268.85639809295844, 122.9566714969009], 'diameter': 82.63310756058597, 'sphere': {'center': [6.302450089399736, -6.532340339003383, 87.08494884981296], 'radius': 12.0}, 'projected_sphere': {'center': [204.87019981106906, 73.4930999710773], 'axes': [170.86764356561898, 170.86764356561898], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 16726.48603, 'theta': 2.195127321745936, 'phi': -0.5887901447374199, 'norm_pos': [0.8401762440404952, 0.48768053542957956], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596008018.852692,"{'circle_3d': {'center': [14.385903823588123, 0.5813136372088845, 81.78837421766104], 'normal': [0.6736211445156989, 0.592804498017689, -0.441381219345993], 'radius': 5.3882198163930655}, 'confidence': 0.0715210738267011, 'timestamp': 16738.792032, 'diameter_3d': 10.776439632786131, 'ellipse': {'center': [268.6324714612991, 123.71557152433229], 'axes': [25.981849712543504, 82.28501578706664], 'angle': 39.34442764752271}, 'location': [268.6324714612991, 123.71557152433229], 'diameter': 82.28501578706664, 'sphere': {'center': [6.302450089399736, -6.532340339003383, 87.08494884981296], 'radius': 12.0}, 'projected_sphere': {'center': [204.87019981106906, 73.4930999710773], 'axes': [170.86764356561898, 170.86764356561898], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 16726.48603, 'theta': 2.2053330727718343, 'phi': -0.5800476724464485, 'norm_pos': [0.8394764733165596, 0.48451845198194876], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596008018.859585,"{'circle_3d': {'center': [15.083696804153446, 0.8086419914260574, 83.47944131841743], 'normal': [0.7317705595628092, 0.6117485275357868, -0.30045896094962765], 'radius': 5.420681562588228}, 'confidence': 0.10719846650223355, 'timestamp': 16738.800432, 'diameter_3d': 10.841363125176455, 'ellipse': {'center': [271.8806649503646, 125.54653640499417], 'axes': [13.047629142181787, 81.1171765326025], 'angle': 38.91432666958757}, 'location': [271.8806649503646, 125.54653640499417], 'diameter': 81.1171765326025, 'sphere': {'center': [6.302450089399736, -6.532340339003383, 87.08494884981296], 'radius': 12.0}, 'projected_sphere': {'center': [204.87019981106906, 73.4930999710773], 'axes': [170.86764356561898, 170.86764356561898], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 16726.48603, 'theta': 2.2290654152740608, 'phi': -0.3896037250822443, 'norm_pos': [0.8496270779698893, 0.4768894316458576], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596008018.8676548,"{'circle_3d': {'center': [15.185570140236964, 0.648599552067191, 83.40741157015896], 'normal': [0.7402600042364356, 0.5984116575892144, -0.306461439971167], 'radius': 5.434116776126857}, 'confidence': 0.065183497604943, 'timestamp': 16738.808832, 'diameter_3d': 10.868233552253715, 'ellipse': {'center': [272.71677753360507, 124.35541388919026], 'axes': [13.4724427631946, 81.38740279085222], 'angle': 37.94293930637146}, 'location': [272.71677753360507, 124.35541388919026], 'diameter': 81.38740279085222, 'sphere': {'center': [6.302450089399736, -6.532340339003383, 87.08494884981296], 'radius': 12.0}, 'projected_sphere': {'center': [204.87019981106906, 73.4930999710773], 'axes': [170.86764356561898, 170.86764356561898], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 16726.48603, 'theta': 2.2123134822992134, 'phi': -0.39250962901039593, 'norm_pos': [0.8522399297925158, 0.48185244212837397], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596008018.875802,"{'circle_3d': {'center': [15.203107982994796, 0.12320061335075039, 82.55923744797556], 'normal': [0.7417214911329215, 0.5546284126961777, -0.3771426168197831], 'radius': 5.405398507005095}, 'confidence': 0.017198574431532023, 'timestamp': 16738.817232, 'diameter_3d': 10.81079701401019, 'ellipse': {'center': [273.846826235216, 120.37063542872107], 'axes': [19.429289402475906, 81.77678136407593], 'angle': 35.32674768300998}, 'location': [273.846826235216, 120.37063542872107], 'diameter': 81.77678136407593, 'sphere': {'center': [6.302450089399736, -6.532340339003383, 87.08494884981296], 'radius': 12.0}, 'projected_sphere': {'center': [204.87019981106906, 73.4930999710773], 'axes': [170.86764356561898, 170.86764356561898], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 16726.48603, 'theta': 2.158712659758319, 'phi': -0.4704000806745808, 'norm_pos': [0.85577133198505, 0.49845568571366217], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596008018.8834481,"{'circle_3d': {'center': [15.334370761903388, 0.11364702407577632, 82.81233127560938], 'normal': [0.7526600560419712, 0.5538322802565967, -0.356051464516965], 'radius': 5.441080074494553}, 'confidence': 0.06922226551079153, 'timestamp': 16738.825632, 'diameter_3d': 10.882160148989106, 'ellipse': {'center': [274.5199202364214, 120.32428369868182], 'axes': [17.563238469773456, 82.0681711569989], 'angle': 35.03938544617665}, 'location': [274.5199202364214, 120.32428369868182], 'diameter': 82.0681711569989, 'sphere': {'center': [6.302450089399736, -6.532340339003383, 87.08494884981296], 'radius': 12.0}, 'projected_sphere': {'center': [204.87019981106906, 73.4930999710773], 'axes': [170.86764356561898, 170.86764356561898], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 16726.48603, 'theta': 2.1577561874151714, 'phi': -0.4418622163730022, 'norm_pos': [0.8578747507388169, 0.4986488179221591], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596008018.891722,"{'circle_3d': {'center': [14.840209826079816, 0.5551090366002853, 82.51606276817559], 'normal': [0.7114799780566732, 0.5906207813003056, -0.3807405068031144], 'radius': 5.4177033504707435}, 'confidence': 0.05694634870312343, 'timestamp': 16738.834032, 'diameter_3d': 10.835406700941487, 'ellipse': {'center': [271.1905503279995, 123.58311154219511], 'axes': [20.220596862983413, 82.01183864595937], 'angle': 38.16785171793579}, 'location': [271.1905503279995, 123.58311154219511], 'diameter': 82.01183864595937, 'sphere': {'center': [6.302450089399736, -6.532340339003383, 87.08494884981296], 'radius': 12.0}, 'projected_sphere': {'center': [204.87019981106906, 73.4930999710773], 'axes': [170.86764356561898, 170.86764356561898], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 16726.48603, 'theta': 2.2026242452947797, 'phi': -0.4913618743762696, 'norm_pos': [0.8474704697749985, 0.48507036857418706], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
