eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1603857129.875556,"{'circle_3d': {'center': [0.03588260675676991, 3.51438677091809, 33.75565171857511], 'normal': [-0.131004551792607, 0.4955588511147765, -0.8586380101599398], 'radius': 2.0057659196713287}, 'confidence': 0.9999542695300987, 'timestamp': 182319.456762, 'diameter_3d': 4.011531839342657, 'ellipse': {'center': [160.49569628175254, 154.8339746631077], 'axes': [32.55541880368803, 40.33666399049896], 'angle': -77.0735754419471}, 'location': [160.49569628175254, 154.8339746631077], 'diameter': 40.33666399049896, 'sphere': {'center': [1.607937228268054, -2.4323194424592285, 44.059307840494384], 'radius': 12.0}, 'projected_sphere': {'center': [172.37772696720222, 101.27626786264142], 'axes': [184.7494056299878, 184.7494056299878], 'angle': 90.0}, 'model_confidence': 0.9079572993654028, 'model_id': 37, 'model_birth_timestamp': 182270.820762, 'theta': 2.089274452356852, 'phi': -1.7222012169619516, 'norm_pos': [0.5015490508804767, 0.3548584389037178], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603857129.8870249,"{'circle_3d': {'center': [0.022413068337365782, 3.5167443649341865, 33.75907711716406], 'normal': [-0.13212701332755736, 0.49575531728278455, -0.8583525602775267], 'radius': 1.982745926065517}, 'confidence': 0.9509236832105494, 'timestamp': 182319.465162, 'diameter_3d': 3.965491852131034, 'ellipse': {'center': [160.3581846455118, 154.86511896688316], 'axes': [32.16257592113258, 39.86914664136058], 'angle': -76.94400230046243}, 'location': [160.3581846455118, 154.86511896688316], 'diameter': 39.86914664136058, 'sphere': {'center': [1.607937228268054, -2.4323194424592285, 44.059307840494384], 'radius': 12.0}, 'projected_sphere': {'center': [172.37772696720222, 101.27626786264142], 'axes': [184.7494056299878, 184.7494056299878], 'angle': 90.0}, 'model_confidence': 0.9080625722145075, 'model_id': 37, 'model_birth_timestamp': 182270.820762, 'theta': 2.0895006607931785, 'phi': -1.7235284763558085, 'norm_pos': [0.5011193270172244, 0.3547286709713202], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603857129.894624,"{'circle_3d': {'center': [0.030707882372135398, 3.510844050484167, 33.75439855964239], 'normal': [-0.13143577882465987, 0.49526362441194965, -0.8587424400709996], 'radius': 2.0325641866568698}, 'confidence': 0.9989257961482592, 'timestamp': 182319.473562, 'diameter_3d': 4.0651283733137396, 'ellipse': {'center': [160.44778652198798, 154.7869954138983], 'axes': [32.99922726704663, 40.8775386281678], 'angle': -77.01457407279882}, 'location': [160.44778652198798, 154.7869954138983], 'diameter': 40.8775386281678, 'sphere': {'center': [1.607937228268054, -2.4323194424592285, 44.059307840494384], 'radius': 12.0}, 'projected_sphere': {'center': [172.37772696720222, 101.27626786264142], 'axes': [184.7494056299878, 184.7494056299878], 'angle': 90.0}, 'model_confidence': 0.9078415316052024, 'model_id': 37, 'model_birth_timestamp': 182270.820762, 'theta': 2.088934587285635, 'phi': -1.7226737884153904, 'norm_pos': [0.5013993328812124, 0.3550541857754238], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603857129.90208,"{'circle_3d': {'center': [0.05081427241714076, 3.531194269158418, 33.76310114522498], 'normal': [-0.12976024632090943, 0.4969594759681372, -0.8580172246057834], 'radius': 2.0330615128932674}, 'confidence': 0.9922835945925557, 'timestamp': 182319.481962, 'diameter_3d': 4.066123025786535, 'ellipse': {'center': [160.6479883545535, 154.98133678195427], 'axes': [32.953270495612195, 40.87736205840634], 'angle': -77.25762048701047}, 'location': [160.6479883545535, 154.98133678195427], 'diameter': 40.87736205840634, 'sphere': {'center': [1.607937228268054, -2.4323194424592285, 44.059307840494384], 'radius': 12.0}, 'projected_sphere': {'center': [172.37772696720222, 101.27626786264142], 'axes': [184.7494056299878, 184.7494056299878], 'angle': 90.0}, 'model_confidence': 0.9073972803331554, 'model_id': 37, 'model_birth_timestamp': 182270.820762, 'theta': 2.0908877516019926, 'phi': -1.720891613098423, 'norm_pos': [0.5020249636079797, 0.3542444300751906], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603857129.9103842,"{'circle_3d': {'center': [0.03670167115403844, 3.4864662800497794, 33.73946315197876], 'normal': [-0.13093629642616797, 0.49323214354241735, -0.8599870573763019], 'radius': 2.0292018233759106}, 'confidence': 0.999692273143863, 'timestamp': 182319.490362, 'diameter_3d': 4.058403646751821, 'ellipse': {'center': [160.5075644580419, 154.55964634414065], 'axes': [33.032874344894005, 40.82778516355253], 'angle': -77.02307408218039}, 'location': [160.5075644580419, 154.55964634414065], 'diameter': 40.82778516355253, 'sphere': {'center': [1.607937228268054, -2.4323194424592285, 44.059307840494384], 'radius': 12.0}, 'projected_sphere': {'center': [172.37772696720222, 101.27626786264142], 'axes': [184.7494056299878, 184.7494056299878], 'angle': 90.0}, 'model_confidence': 0.9073804485475345, 'model_id': 37, 'model_birth_timestamp': 182270.820762, 'theta': 2.0865977269748943, 'phi': -1.721889746531817, 'norm_pos': [0.5015861389313809, 0.3560014735660807], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603857129.918376,"{'circle_3d': {'center': [0.005780989133478576, 3.4959005082587473, 33.74963744802734], 'normal': [-0.13351301992788128, 0.494018329226498, -0.8591391993722535], 'radius': 2.032528424281783}, 'confidence': 0.9998595723063415, 'timestamp': 182319.498762, 'diameter_3d': 4.065056848563566, 'ellipse': {'center': [160.19938639375528, 154.64252841953459], 'axes': [33.029681952185754, 40.88223326574628], 'angle': -76.7335722018354}, 'location': [160.19938639375528, 154.64252841953459], 'diameter': 40.88223326574628, 'sphere': {'center': [1.607937228268054, -2.4323194424592285, 44.059307840494384], 'radius': 12.0}, 'projected_sphere': {'center': [172.37772696720222, 101.27626786264142], 'axes': [184.7494056299878, 184.7494056299878], 'angle': 90.0}, 'model_confidence': 0.9073742272878493, 'model_id': 37, 'model_birth_timestamp': 182270.820762, 'theta': 2.0875017267288247, 'phi': -1.7249663876903347, 'norm_pos': [0.5006230824804853, 0.35565613158527254], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603857129.927944,"{'circle_3d': {'center': [-0.0029804329480258573, 3.5070320032270135, 33.75741244724723], 'normal': [-0.1342431384346733, 0.49494595380718687, -0.8584912827705959], 'radius': 2.045560748204226}, 'confidence': 0.9998123586072099, 'timestamp': 182319.507162, 'diameter_3d': 4.091121496408452, 'ellipse': {'center': [160.11368890698134, 154.73985325152648], 'axes': [33.196132653447656, 41.13514730986365], 'angle': -76.67029207039921}, 'location': [160.11368890698134, 154.73985325152648], 'diameter': 41.13514730986365, 'sphere': {'center': [1.607937228268054, -2.4323194424592285, 44.059307840494384], 'radius': 12.0}, 'projected_sphere': {'center': [172.37772696720222, 101.27626786264142], 'axes': [184.7494056299878, 184.7494056299878], 'angle': 90.0}, 'model_confidence': 0.9075865705715613, 'model_id': 37, 'model_birth_timestamp': 182270.820762, 'theta': 2.08856895832101, 'phi': -1.7259111806298908, 'norm_pos': [0.5003552778343167, 0.355250611451973], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603857129.934935,"{'circle_3d': {'center': [0.04962173305314521, 3.523440503779646, 33.75879444163169], 'normal': [-0.1298596246012424, 0.49631332885323953, -0.858376116571891], 'radius': 1.9956542960637453}, 'confidence': 0.9990175825212391, 'timestamp': 182319.515562, 'diameter_3d': 3.9913085921274907, 'ellipse': {'center': [160.63123100978495, 154.9260605690843], 'axes': [32.37115237626367, 40.129589145743], 'angle': -77.2295503779529}, 'location': [160.63123100978495, 154.9260605690843], 'diameter': 40.129589145743, 'sphere': {'center': [1.607937228268054, -2.4323194424592285, 44.059307840494384], 'radius': 12.0}, 'projected_sphere': {'center': [172.37772696720222, 101.27626786264142], 'axes': [184.7494056299878, 184.7494056299878], 'angle': 90.0}, 'model_confidence': 0.9074206650693251, 'model_id': 37, 'model_birth_timestamp': 182270.820762, 'theta': 2.090143307017793, 'phi': -1.7209429813308879, 'norm_pos': [0.5019725969055779, 0.35447474762881537], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603857129.942139,"{'circle_3d': {'center': [0.040169390212043465, 3.5304724743495375, 33.76429853681732], 'normal': [-0.13064731983800087, 0.4968993264007305, -0.8579174419730884], 'radius': 2.031741242354181}, 'confidence': 0.9997580806696648, 'timestamp': 182319.523962, 'diameter_3d': 4.063482484708362, 'ellipse': {'center': [160.54167114575353, 154.97363913064254], 'axes': [32.925838148860414, 40.8492346876229], 'angle': -77.15002959254318}, 'location': [160.54167114575353, 154.97363913064254], 'diameter': 40.8492346876229, 'sphere': {'center': [1.607937228268054, -2.4323194424592285, 44.059307840494384], 'radius': 12.0}, 'projected_sphere': {'center': [172.37772696720222, 101.27626786264142], 'axes': [184.7494056299878, 184.7494056299878], 'angle': 90.0}, 'model_confidence': 0.9074365635417303, 'model_id': 37, 'model_birth_timestamp': 182270.820762, 'theta': 2.090818438173523, 'phi': -1.7219195140772494, 'norm_pos': [0.5016927223304798, 0.35427650362232277], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603857129.950432,"{'circle_3d': {'center': [-0.017048876335665764, 3.483082078615418, 33.745848430368575], 'normal': [-0.13541550871697663, 0.4929501267562206, -0.8594549508438174], 'radius': 2.0226789969324113}, 'confidence': 0.9928700286989405, 'timestamp': 182319.532362, 'diameter_3d': 4.0453579938648225, 'ellipse': {'center': [159.970434340839, 154.52301070235382], 'axes': [32.89419672888565, 40.68819198015062], 'angle': -76.47723251216539}, 'location': [159.970434340839, 154.52301070235382], 'diameter': 40.68819198015062, 'sphere': {'center': [1.607937228268054, -2.4323194424592285, 44.059307840494384], 'radius': 12.0}, 'projected_sphere': {'center': [172.37772696720222, 101.27626786264142], 'axes': [184.7494056299878, 184.7494056299878], 'angle': 90.0}, 'model_confidence': 0.9074930548283344, 'model_id': 37, 'model_birth_timestamp': 182270.820762, 'theta': 2.086273561423376, 'phi': -1.727071350139577, 'norm_pos': [0.4999076073151219, 0.3561541220735258], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603857129.958792,"{'circle_3d': {'center': [-0.015383795893102903, 3.4859893244525835, 33.74725420448127], 'normal': [-0.13527675201342973, 0.49319239724265096, -0.8593378030010924], 'radius': 2.0578990021336696}, 'confidence': 0.9995805979229926, 'timestamp': 182319.540762, 'diameter_3d': 4.115798004267339, 'ellipse': {'center': [159.99199471187023, 154.53366291504503], 'axes': [33.459404712873805, 41.39567625628295], 'angle': -76.50048093634983}, 'location': [159.99199471187023, 154.53366291504503], 'diameter': 41.39567625628295, 'sphere': {'center': [1.607937228268054, -2.4323194424592285, 44.059307840494384], 'radius': 12.0}, 'projected_sphere': {'center': [172.37772696720222, 101.27626786264142], 'axes': [184.7494056299878, 184.7494056299878], 'angle': 90.0}, 'model_confidence': 0.9075592799275167, 'model_id': 37, 'model_birth_timestamp': 182270.820762, 'theta': 2.0865520367934076, 'phi': -1.7269347480297021, 'norm_pos': [0.49997498347459446, 0.35610973785397904], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
