eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1603857059.938006,"{'circle_3d': {'center': [0.10121779127338848, 3.121355635242027, 31.737493463667366], 'normal': [-0.10122334078925796, 0.478706833831139, -0.8721201766516057], 'radius': 2.0086440643112646}, 'confidence': 0.9987982359248541, 'timestamp': 182249.518362, 'diameter_3d': 4.017288128622529, 'ellipse': {'center': [161.20275052775375, 152.8207714615531], 'axes': [35.46021012109051, 42.96038311223009], 'angle': -79.76631590976895}, 'location': [161.20275052775375, 152.8207714615531], 'diameter': 42.96038311223009, 'sphere': {'center': [1.3158978807444839, -2.6231263707316406, 42.202935583486635], 'radius': 12.0}, 'projected_sphere': {'center': [170.57521011275344, 98.91925131219365], 'axes': [192.87594153012023, 192.87594153012023], 'angle': 90.0}, 'model_confidence': 0.9024772207824494, 'model_id': 35, 'model_birth_timestamp': 182236.783962, 'theta': 2.069977550098262, 'phi': -1.6863451314501803, 'norm_pos': [0.5037585953992305, 0.3632467855768621], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603857059.946622,"{'circle_3d': {'center': [0.11798073280675525, 3.1205195013165112, 31.735102636635553], 'normal': [-0.09982642899481073, 0.47863715600401263, -0.87231941223759], 'radius': 2.013357945175323}, 'confidence': 0.9991841155726977, 'timestamp': 182249.526762, 'diameter_3d': 4.026715890350646, 'ellipse': {'center': [161.3811045497563, 152.81164806568606], 'axes': [35.557411212348185, 43.064706138429074], 'angle': -79.94450080993687}, 'location': [161.3811045497563, 152.81164806568606], 'diameter': 43.064706138429074, 'sphere': {'center': [1.3158978807444839, -2.6231263707316406, 42.202935583486635], 'radius': 12.0}, 'projected_sphere': {'center': [170.57521011275344, 98.91925131219365], 'axes': [192.87594153012023, 192.87594153012023], 'angle': 90.0}, 'model_confidence': 0.9023368157040079, 'model_id': 35, 'model_birth_timestamp': 182236.783962, 'theta': 2.069898189826265, 'phi': -1.6847385858926676, 'norm_pos': [0.5043159517179884, 0.3632847997263081], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603857059.956267,"{'circle_3d': {'center': [0.12121636212255038, 3.106071324376345, 31.726818466948057], 'normal': [-0.09955679321849446, 0.47743314125899877, -0.8730097597115482], 'radius': 2.037172403959629}, 'confidence': 0.9989811060654531, 'timestamp': 182249.535162, 'diameter_3d': 4.074344807919258, 'ellipse': {'center': [161.4187450399043, 152.65349300791812], 'axes': [36.032640086788476, 43.58587580076832], 'angle': -79.95441459550236}, 'location': [161.4187450399043, 152.65349300791812], 'diameter': 43.58587580076832, 'sphere': {'center': [1.3158978807444839, -2.6231263707316406, 42.202935583486635], 'radius': 12.0}, 'projected_sphere': {'center': [170.57521011275344, 98.91925131219365], 'axes': [192.87594153012023, 192.87594153012023], 'angle': 90.0}, 'model_confidence': 0.9020432014337443, 'model_id': 35, 'model_birth_timestamp': 182236.783962, 'theta': 2.0685274063544816, 'phi': -1.684344378997352, 'norm_pos': [0.5044335782497009, 0.3639437791336745], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603857059.962452,"{'circle_3d': {'center': [0.14409843087715335, 3.1329833560681855, 31.73899335971977], 'normal': [-0.09764995415561087, 0.4796758105666522, -0.8719951853139054], 'radius': 2.034314663218612}, 'confidence': 0.9999538831278624, 'timestamp': 182249.543562, 'diameter_3d': 4.068629326437224, 'ellipse': {'center': [161.66011814401847, 152.92876292715835], 'axes': [35.900292508877754, 43.50843826678658], 'angle': -80.24566206118557}, 'location': [161.66011814401847, 152.92876292715835], 'diameter': 43.50843826678658, 'sphere': {'center': [1.3158978807444839, -2.6231263707316406, 42.202935583486635], 'radius': 12.0}, 'projected_sphere': {'center': [170.57521011275344, 98.91925131219365], 'axes': [192.87594153012023, 192.87594153012023], 'angle': 90.0}, 'model_confidence': 0.9024129834129369, 'model_id': 35, 'model_birth_timestamp': 182236.783962, 'theta': 2.0710815323988867, 'phi': -1.6823162134281293, 'norm_pos': [0.5051878692000578, 0.3627968211368402], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603857059.969923,"{'circle_3d': {'center': [0.10673244918916214, 3.113899913203262, 31.73276613038934], 'normal': [-0.10076378596294348, 0.4780855236612419, -0.8725141210914412], 'radius': 2.015358830029891}, 'confidence': 0.9999811922616038, 'timestamp': 182249.551962, 'diameter_3d': 4.030717660059782, 'ellipse': {'center': [161.26226022323314, 152.74262208131063], 'axes': [35.60900509273286, 43.11055177353641], 'angle': -79.81236242186252}, 'location': [161.26226022323314, 152.74262208131063], 'diameter': 43.11055177353641, 'sphere': {'center': [1.3158978807444839, -2.6231263707316406, 42.202935583486635], 'radius': 12.0}, 'projected_sphere': {'center': [170.57521011275344, 98.91925131219365], 'axes': [192.87594153012023, 192.87594153012023], 'angle': 90.0}, 'model_confidence': 0.9025251475081042, 'model_id': 35, 'model_birth_timestamp': 182236.783962, 'theta': 2.069270023645628, 'phi': -1.6857736850463543, 'norm_pos': [0.5039445631976036, 0.36357240799453905], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603857059.9783318,"{'circle_3d': {'center': [0.11821289622019138, 3.132947104724719, 31.741904619810406], 'normal': [-0.09980708204369104, 0.4796727896213633, -0.8717525803063524], 'radius': 1.9987604145242654}, 'confidence': 0.999395864847859, 'timestamp': 182249.560362, 'diameter_3d': 3.997520829048531, 'ellipse': {'center': [161.38143448235508, 152.94470327438566], 'axes': [35.255502212254584, 42.74311422966285], 'angle': -79.96829985570433}, 'location': [161.38143448235508, 152.94470327438566], 'diameter': 42.74311422966285, 'sphere': {'center': [1.3158978807444839, -2.6231263707316406, 42.202935583486635], 'radius': 12.0}, 'projected_sphere': {'center': [170.57521011275344, 98.91925131219365], 'axes': [192.87594153012023, 192.87594153012023], 'angle': 90.0}, 'model_confidence': 0.9031417227571725, 'model_id': 35, 'model_birth_timestamp': 182236.783962, 'theta': 2.071078089516744, 'phi': -1.684790127386405, 'norm_pos': [0.5043169827573596, 0.3627304030233931], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603857059.990289,"{'circle_3d': {'center': [0.13598075082132888, 3.1133248803365423, 31.729114761521416], 'normal': [-0.09832642749359626, 0.4780376042556819, -0.872818401830435], 'radius': 1.9947083487344714}, 'confidence': 0.9997467961305937, 'timestamp': 182249.568762, 'diameter_3d': 3.989416697468943, 'ellipse': {'center': [161.57006399319621, 152.7509759071446], 'axes': [35.26400384627987, 42.67359931527933], 'angle': -80.12534310729986}, 'location': [161.57006399319621, 152.7509759071446], 'diameter': 42.67359931527933, 'sphere': {'center': [1.3158978807444839, -2.6231263707316406, 42.202935583486635], 'radius': 12.0}, 'projected_sphere': {'center': [170.57521011275344, 98.91925131219365], 'axes': [192.87594153012023, 192.87594153012023], 'angle': 90.0}, 'model_confidence': 0.903232522689934, 'model_id': 35, 'model_birth_timestamp': 182236.783962, 'theta': 2.0692154660125905, 'phi': -1.682977297714852, 'norm_pos': [0.5049064499787381, 0.3635376003868974], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603857059.998985,"{'circle_3d': {'center': [0.12131076674735275, 3.0979421566756957, 31.722366107938978], 'normal': [-0.09954892616642759, 0.476755710617278, -0.8733807896289714], 'radius': 2.0139353384501995}, 'confidence': 0.9995498125062782, 'timestamp': 182249.577162, 'diameter_3d': 4.027870676900399, 'ellipse': {'center': [161.41721758076216, 152.58399712470103], 'axes': [35.64961304905682, 43.094214627609816], 'angle': -79.9412325313117}, 'location': [161.41721758076216, 152.58399712470103], 'diameter': 43.094214627609816, 'sphere': {'center': [1.3158978807444839, -2.6231263707316406, 42.202935583486635], 'radius': 12.0}, 'projected_sphere': {'center': [170.57521011275344, 98.91925131219365], 'axes': [192.87594153012023, 192.87594153012023], 'angle': 90.0}, 'model_confidence': 0.9033551538422002, 'model_id': 35, 'model_birth_timestamp': 182236.783962, 'theta': 2.0677565932457274, 'phi': -1.6842876627167302, 'norm_pos': [0.5044288049398817, 0.36423334531374574], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603857060.006538,"{'circle_3d': {'center': [0.1089230101462022, 3.1115231384988564, 31.7312114337572], 'normal': [-0.10058123921652347, 0.47788745910254143, -0.8726436791441197], 'radius': 2.0115704207986695}, 'confidence': 0.9993008535518985, 'timestamp': 182249.585562, 'diameter_3d': 4.023140841597339, 'ellipse': {'center': [161.28510721205018, 152.72092119239528], 'axes': [35.551761869782034, 43.0315470156126], 'angle': -79.83168575408858}, 'location': [161.28510721205018, 152.72092119239528], 'diameter': 43.0315470156126, 'sphere': {'center': [1.3158978807444839, -2.6231263707316406, 42.202935583486635], 'radius': 12.0}, 'projected_sphere': {'center': [170.57521011275344, 98.91925131219365], 'axes': [192.87594153012023, 192.87594153012023], 'angle': 90.0}, 'model_confidence': 0.9041783873245945, 'model_id': 35, 'model_birth_timestamp': 182236.783962, 'theta': 2.069044531889366, 'phi': -1.6855503241642384, 'norm_pos': [0.5040159600376568, 0.3636628283650196], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603857060.0150871,"{'circle_3d': {'center': [0.12308691959678364, 3.1030386281967854, 31.72494739796109], 'normal': [-0.09940091342897503, 0.4771804165773688, -0.8731656821271289], 'radius': 2.009897085454631}, 'confidence': 0.9998447019837443, 'timestamp': 182249.593962, 'diameter_3d': 4.019794170909262, 'ellipse': {'center': [161.43541380742138, 152.63776530047392], 'axes': [35.56116744224641, 43.00428137276196], 'angle': -79.96915411789666}, 'location': [161.43541380742138, 152.63776530047392], 'diameter': 43.00428137276196, 'sphere': {'center': [1.3158978807444839, -2.6231263707316406, 42.202935583486635], 'radius': 12.0}, 'projected_sphere': {'center': [170.57521011275344, 98.91925131219365], 'axes': [192.87594153012023, 192.87594153012023], 'angle': 90.0}, 'model_confidence': 0.904256044194196, 'model_id': 35, 'model_birth_timestamp': 182236.783962, 'theta': 2.068239806354451, 'phi': -1.6841480412716565, 'norm_pos': [0.5044856681481918, 0.3640093112480254], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603857060.0222368,"{'circle_3d': {'center': [0.10511982283741172, 3.094750777938756, 31.722482472709235], 'normal': [-0.10089817149225601, 0.4764897623891997, -0.8733710925647833], 'radius': 1.9937445532053129}, 'confidence': 0.9990697721198776, 'timestamp': 182249.602362, 'diameter_3d': 3.9874891064106257, 'ellipse': {'center': [161.2431211856364, 152.56079084860343], 'axes': [35.292332426031116, 42.661419332953855], 'angle': -79.76118776286756}, 'location': [161.2431211856364, 152.56079084860343], 'diameter': 42.661419332953855, 'sphere': {'center': [1.3158978807444839, -2.6231263707316406, 42.202935583486635], 'radius': 12.0}, 'projected_sphere': {'center': [170.57521011275344, 98.91925131219365], 'axes': [192.87594153012023, 192.87594153012023], 'angle': 90.0}, 'model_confidence': 0.9042612685144613, 'model_id': 35, 'model_birth_timestamp': 182236.783962, 'theta': 2.067454072680933, 'phi': -1.6858137028684526, 'norm_pos': [0.5038847537051138, 0.364330038130819], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
