eye_packets,765
norm_X,norm_Y,phi,theta,confidence,timestamp
1595229711.637704,"{'circle_3d': {'center': [0.8282243254142345, 0.901673285775066, 31.142798854423848], 'normal': [0.10754300824727342, 0.195348199816653, -0.9748197690883788], 'radius': 2.727251078575994}, 'confidence': 0.047687536513130395, 'timestamp': 245075.706728, 'diameter_3d': 5.454502157151988, 'ellipse': {'center': [175.99617033424076, 137.05183819228958], 'axes': [104.96735442478578, 108.61411280949004], 'angle': 59.41924935721897}, 'location': [175.99617033424076, 137.05183819228958], 'diameter': 108.61411280949004, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.7674088044485807, 'phi': -1.4609197333857693, 'norm_pos': [0.5499880322945023, 0.4289506741987934], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229711.6503959,"{'circle_3d': {'center': [0.7452195177434342, 0.8824739231803465, 31.130111374179165], 'normal': [0.10062594094137337, 0.19374825293375963, -0.9758770591087687], 'radius': 2.723643347703615}, 'confidence': 0.0506723583894758, 'timestamp': 245075.715128, 'diameter_3d': 5.44728669540723, 'ellipse': {'center': [174.38128956523974, 136.68444442759144], 'axes': [105.05172950959691, 108.51294049623426], 'angle': 60.97544107720049}, 'location': [174.38128956523974, 136.68444442759144], 'diameter': 108.51294049623426, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.765777691619883, 'phi': -1.468046121184713, 'norm_pos': [0.5449415298913742, 0.4304814815517023], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229711.656659,"{'circle_3d': {'center': [0.7849959309353114, 0.9808555258379839, 31.154250987951656], 'normal': [0.10394064204069646, 0.2019467198218961, -0.9738654246277277], 'radius': 2.716407487801832}, 'confidence': 0.047929330060012175, 'timestamp': 245075.723528, 'diameter_3d': 5.432814975603664, 'ellipse': {'center': [175.1510031331739, 138.60027071924134], 'axes': [104.36053176013671, 108.14212524389247], 'angle': 61.3032153248406}, 'location': [175.1510031331739, 138.60027071924134], 'diameter': 108.14212524389247, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.7741415145579778, 'phi': -1.4644688584296826, 'norm_pos': [0.5473468847911684, 0.42249887200316105], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229711.679044,"{'circle_3d': {'center': [0.8505889103380968, 0.9356065006788956, 31.152140480226052], 'normal': [0.10940672365759524, 0.1981759677253054, -0.9740413002715281], 'radius': 2.733535637023611}, 'confidence': 0.07440711249313292, 'timestamp': 245075.740328, 'diameter_3d': 5.467071274047222, 'ellipse': {'center': [176.4264481677894, 137.70623347342072], 'axes': [105.04824880124544, 108.83249802384984], 'angle': 59.376952950083854}, 'location': [176.4264481677894, 137.70623347342072], 'diameter': 108.83249802384984, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.7702929549505673, 'phi': -1.4589426801279197, 'norm_pos': [0.5513326505243419, 0.42622402719408037], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229711.683083,"{'circle_3d': {'center': [0.8834425799244121, 0.9177565690649425, 31.15225878607265], 'normal': [0.11214452945645485, 0.19668847342414264, -0.9740314414509782], 'radius': 2.736838748488743}, 'confidence': 0.06540091930314229, 'timestamp': 245075.748728, 'diameter_3d': 5.473677496977486, 'ellipse': {'center': [177.06653486653371, 137.355510978482], 'axes': [105.16944729053955, 108.96417054878074], 'angle': 58.47066580211122}, 'location': [177.06653486653371, 137.355510978482], 'diameter': 108.96417054878074, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.7687755935669955, 'phi': -1.4561666523768018, 'norm_pos': [0.5533329214579179, 0.42768537092299175], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229711.688378,"{'circle_3d': {'center': [0.6775966717124113, 1.1347483892549124, 31.176227880643925], 'normal': [0.09499070377212146, 0.21477112510664015, -0.972034016903372], 'radius': 2.7170749321059495}, 'confidence': 0.0480166652606344, 'timestamp': 245075.757128, 'diameter_3d': 5.434149864211899, 'ellipse': {'center': [173.04597327270366, 141.59260946907202], 'axes': [104.02103739726725, 108.09236550473368], 'angle': 65.23743064807364}, 'location': [173.04597327270366, 141.59260946907202], 'diameter': 108.09236550473368, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.7872538071597461, 'phi': -1.4733819988890116, 'norm_pos': [0.5407686664771989, 0.41003079387886665], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229711.696528,"{'circle_3d': {'center': [0.8438101012098869, 1.1004980500227988, 31.186141979896846], 'normal': [0.10884182289691108, 0.21191693017063068, -0.9712078419656286], 'radius': 2.729043025310317}, 'confidence': 0.12860691744656036, 'timestamp': 245075.765528, 'diameter_3d': 5.458086050620634, 'ellipse': {'center': [176.28067135121958, 140.91051433490009], 'axes': [104.29779748356049, 108.53629288557504], 'angle': 61.45279725124098}, 'location': [176.28067135121958, 140.91051433490009], 'diameter': 108.53629288557504, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.7843323507728388, 'phi': -1.4591934747085686, 'norm_pos': [0.5508770979725612, 0.4128728569379163], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229711.714174,"{'circle_3d': {'center': [0.8972330785776632, 1.0706650233111739, 31.185780097789223], 'normal': [0.11329373767755913, 0.20943084461132863, -0.9712379988079306], 'radius': 2.7488537888773843}, 'confidence': 0.12470851271003441, 'timestamp': 245075.782328, 'diameter_3d': 5.497707577754769, 'ellipse': {'center': [177.31534328516452, 140.31486182034928], 'axes': [105.05647690401558, 109.32647287820029], 'angle': 60.051884685334045}, 'location': [177.31534328516452, 140.31486182034928], 'diameter': 109.32647287820029, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.7817891866902007, 'phi': -1.4546723362444038, 'norm_pos': [0.5541104477661392, 0.4153547424152113], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229711.721071,"{'circle_3d': {'center': [0.9289154557981563, 1.0556865942311284, 31.18629866586192], 'normal': [0.11593393577926686, 0.20818264218799148, -0.9711947848018725], 'radius': 2.735360318956021}, 'confidence': 0.08653879825088115, 'timestamp': 245075.790728, 'diameter_3d': 5.470720637912042, 'ellipse': {'center': [177.93811875540257, 140.0319838139209], 'axes': [104.52802040666178, 108.78823767111851], 'angle': 59.25387410603266}, 'location': [177.93811875540257, 140.0319838139209], 'diameter': 108.78823767111851, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.7805128497781582, 'phi': -1.4519860527682869, 'norm_pos': [0.556056621110633, 0.4165334007753295], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595229711.7322922,"{'circle_3d': {'center': [0.9606966632941061, 1.040666879817901, 31.186925911718173], 'normal': [0.1185823697372627, 0.20693099932022255, -0.9711425143138515], 'radius': 2.741138828518421}, 'confidence': 0.10125283519742169, 'timestamp': 245075.799128, 'diameter_3d': 5.482277657036842, 'ellipse': {'center': [178.55533998339126, 139.73472389742543], 'axes': [104.73459735841462, 109.01646390434361], 'angle': 58.455670523127665}, 'location': [178.55533998339126, 139.73472389742543], 'diameter': 109.01646390434361, 'sphere': {'center': [-0.4622917735530463, -1.4425051120247696, 42.84063608348439], 'radius': 12.0}, 'projected_sphere': {'center': [153.3096021486622, 99.12371871154029], 'axes': [347.33377840149365, 347.33377840149365], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 59, 'model_birth_timestamp': 245065.702328, 'theta': 1.7792333429463962, 'phi': -1.4492917742569031, 'norm_pos': [0.5579854374480977, 0.41777198376072744], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
