eye_packets,761
norm_X,norm_Y,phi,theta,confidence,timestamp
1596587934.633012,"{'circle_3d': {'center': [-0.5077822484263625, -0.47741285426430835, 5.6261328751440285], 'normal': [0.09861337368525198, -0.7610322307204921, -0.6411749732600334], 'radius': 0.9288031349156621}, 'confidence': 0.020951851960799274, 'timestamp': 160802.769495, 'diameter_3d': 1.8576062698313243, 'ellipse': {'center': [102.04381274993568, 74.9105737888024], 'axes': [121.25363697433552, 207.31978648386945], 'angle': -86.5859605058124}, 'location': [102.04381274993568, 74.9105737888024], 'diameter': 207.31978648386945, 'sphere': {'center': [-1.6911427326493864, 8.654973914381596, 13.320232554264429], 'radius': 12.0}, 'projected_sphere': {'center': [81.28452037371201, 522.8521127582458], 'axes': [1117.0976136776394, 1117.0976136776394], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 11, 'model_birth_timestamp': 160672.759298, 'theta': 0.705893498271353, 'phi': -1.4181910755809792, 'norm_pos': [0.31888691484354903, 0.6878726092133234], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596587934.639376,"{'circle_3d': {'center': [0.8744658200612652, 0.3404765653532813, 5.056650607719755], 'normal': [0.21380071272588766, -0.6928747790856931, -0.688631828878723], 'radius': 0.9290019078225068}, 'confidence': 0.02407734577754525, 'timestamp': 160802.777895, 'diameter_3d': 1.8580038156450136, 'ellipse': {'center': [266.0194227903394, 172.66557757200826], 'axes': [159.17717979781995, 233.87496732626084], 'angle': -62.80845011790693}, 'location': [266.0194227903394, 172.66557757200826], 'diameter': 233.87496732626084, 'sphere': {'center': [-1.6911427326493864, 8.654973914381596, 13.320232554264429], 'radius': 12.0}, 'projected_sphere': {'center': [81.28452037371201, 522.8521127582458], 'axes': [1117.0976136776394, 1117.0976136776394], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 11, 'model_birth_timestamp': 160672.759298, 'theta': 0.8053279808692873, 'phi': -1.269760346209531, 'norm_pos': [0.8313106962198106, 0.2805600934499656], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596587934.6501188,"{'circle_3d': {'center': [-0.4628290327387117, 0.4559352982340492, 4.644576312484613], 'normal': [0.10235947499255621, -0.6832532180122954, -0.7229713534816512], 'radius': 0.9287818053462049}, 'confidence': 0.028026934279664455, 'timestamp': 160802.786295, 'diameter_3d': 1.8575636106924098, 'ellipse': {'center': [95.14476106372722, 194.5319525095727], 'axes': [201.31730156678367, 251.57856415562986], 'angle': -89.03746771446005}, 'location': [95.14476106372722, 194.5319525095727], 'diameter': 251.57856415562986, 'sphere': {'center': [-1.6911427326493864, 8.654973914381596, 13.320232554264429], 'radius': 12.0}, 'projected_sphere': {'center': [81.28452037371201, 522.8521127582458], 'axes': [1117.0976136776394, 1117.0976136776394], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 11, 'model_birth_timestamp': 160672.759298, 'theta': 0.8185875710063928, 'phi': -1.4301494806840112, 'norm_pos': [0.2973273783241476, 0.1894501978767804], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596587934.6578848,"{'circle_3d': {'center': [1.0821246187795197, 0.4499668787833322, 5.014400401898147], 'normal': [0.2311056126190755, -0.6837505862998553, -0.6921526793638568], 'radius': 0.9284436291732027}, 'confidence': 0.0380145137187585, 'timestamp': 160802.794695, 'diameter_3d': 1.8568872583464053, 'ellipse': {'center': [292.76919232267755, 186.88943241728992], 'axes': [160.12580169422668, 237.98079875569408], 'angle': -58.98428407475483}, 'location': [292.76919232267755, 186.88943241728992], 'diameter': 237.98079875569408, 'sphere': {'center': [-1.6911427326493864, 8.654973914381596, 13.320232554264429], 'radius': 12.0}, 'projected_sphere': {'center': [81.28452037371201, 522.8521127582458], 'axes': [1117.0976136776394, 1117.0976136776394], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 11, 'model_birth_timestamp': 160672.759298, 'theta': 0.8179061966831952, 'phi': -1.2485412756342127, 'norm_pos': [0.9149037260083673, 0.22129403159462535], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596587934.6678221,"{'circle_3d': {'center': [-0.8191778735548823, 0.45853140417191085, 4.599108345692931], 'normal': [0.07266373825787535, -0.6830368758508072, -0.7267603507142916], 'radius': 0.9271220104066762}, 'confidence': 0.03729857551172879, 'timestamp': 160802.803095, 'diameter_3d': 1.8542440208133524, 'ellipse': {'center': [46.05234580943305, 195.7739067496916], 'axes': [202.14440941329002, 257.0541919800187], 'angle': 81.85492865164859}, 'location': [46.05234580943305, 195.7739067496916], 'diameter': 257.0541919800187, 'sphere': {'center': [-1.6911427326493864, 8.654973914381596, 13.320232554264429], 'radius': 12.0}, 'projected_sphere': {'center': [81.28452037371201, 522.8521127582458], 'axes': [1117.0976136776394, 1117.0976136776394], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 11, 'model_birth_timestamp': 160672.759298, 'theta': 0.8188838154055887, 'phi': -1.4711444268457627, 'norm_pos': [0.1439135806544783, 0.18427538854295167], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596587934.6782248,"{'circle_3d': {'center': [-0.6440527120769177, 0.038928566424536015, 5.03365515157488], 'normal': [0.08725750171437238, -0.7180037789964215, -0.6905481168907956], 'radius': 0.9292121752163764}, 'confidence': 0.033470563012065004, 'timestamp': 160802.811495, 'diameter_3d': 1.858424350432753, 'ellipse': {'center': [77.93537590186439, 135.54754863857977], 'axes': [163.453924120241, 232.92252164432588], 'angle': 89.55844051771138}, 'location': [77.93537590186439, 135.54754863857977], 'diameter': 232.92252164432588, 'sphere': {'center': [-1.6911427326493864, 8.654973914381596, 13.320232554264429], 'radius': 12.0}, 'projected_sphere': {'center': [81.28452037371201, 522.8521127582458], 'axes': [1117.0976136776394, 1117.0976136776394], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 11, 'model_birth_timestamp': 160672.759298, 'theta': 0.7698662389101594, 'phi': -1.4451027059151458, 'norm_pos': [0.24354804969332622, 0.4352185473392509], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596587934.684136,"{'circle_3d': {'center': [-0.5846549086712531, 0.6841354338705319, 4.418467638642797], 'normal': [0.09220731866484444, -0.6642365400425887, -0.7418137429684694], 'radius': 0.9295988740409312}, 'confidence': 0.025835600921087398, 'timestamp': 160802.819895, 'diameter_3d': 1.8591977480818624, 'ellipse': {'center': [74.37963385757122, 231.74487167366618], 'axes': [225.74767111192617, 266.24237806649495], 'angle': 84.57448844804526}, 'location': [74.37963385757122, 231.74487167366618], 'diameter': 266.24237806649495, 'sphere': {'center': [-1.6911427326493864, 8.654973914381596, 13.320232554264429], 'radius': 12.0}, 'projected_sphere': {'center': [81.28452037371201, 522.8521127582458], 'axes': [1117.0976136776394, 1117.0976136776394], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 11, 'model_birth_timestamp': 160672.759298, 'theta': 0.8443242932661396, 'phi': -1.4471307943234888, 'norm_pos': [0.23243635580491007, 0.0343963680263909], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596587934.6916108,"{'circle_3d': {'center': [-0.8023656776741988, 0.379161859539888, 4.676101008557463], 'normal': [0.07406475458126564, -0.6896510045701424, -0.7203442954755804], 'radius': 0.9265642359853782}, 'confidence': 0.03549367530121724, 'timestamp': 160802.828295, 'diameter_3d': 1.8531284719707564, 'ellipse': {'center': [50.243044651801696, 183.56676785095834], 'axes': [194.37503112679846, 252.1573861470818], 'angle': 83.3687689172089}, 'location': [50.243044651801696, 183.56676785095834], 'diameter': 252.1573861470818, 'sphere': {'center': [-1.6911427326493864, 8.654973914381596, 13.320232554264429], 'radius': 12.0}, 'projected_sphere': {'center': [81.28452037371201, 522.8521127582458], 'axes': [1117.0976136776394, 1117.0976136776394], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 11, 'model_birth_timestamp': 160672.759298, 'theta': 0.8097893281480052, 'phi': -1.4683378184255198, 'norm_pos': [0.1570095145368803, 0.23513846728767362], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596587934.699151,"{'circle_3d': {'center': [-0.1367703286944606, -0.1812580833796531, 5.3512344672045735], 'normal': [0.12953103366291047, -0.736352666480104, -0.6640831739216545], 'radius': 0.9285404123128838}, 'confidence': 0.03871720331430143, 'timestamp': 160802.836695, 'diameter_3d': 1.8570808246257675, 'ellipse': {'center': [142.24911460144176, 107.9243752297758], 'axes': [140.5322560257916, 217.09965843909282], 'angle': -81.51806177337178}, 'location': [142.24911460144176, 107.9243752297758], 'diameter': 217.09965843909282, 'sphere': {'center': [-1.6911427326493864, 8.654973914381596, 13.320232554264429], 'radius': 12.0}, 'projected_sphere': {'center': [81.28452037371201, 522.8521127582458], 'axes': [1117.0976136776394, 1117.0976136776394], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 11, 'model_birth_timestamp': 160672.759298, 'theta': 0.7431325970908914, 'phi': -1.3781625449960253, 'norm_pos': [0.4445284831295055, 0.5503151032092675], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596587934.7075279,"{'circle_3d': {'center': [0.14808624061472853, -0.37572604312812174, 5.6349417294914455], 'normal': [0.1532690811053429, -0.7525583297924765, -0.6404409020644153], 'radius': 0.9289451498291323}, 'confidence': 0.08212809756125247, 'timestamp': 160802.845095, 'diameter_3d': 1.8578902996582647, 'ellipse': {'center': [174.87812649293312, 86.23957865204122], 'axes': [121.78126097225929, 206.09258269125507], 'angle': -77.9871033708787}, 'location': [174.87812649293312, 86.23957865204122], 'diameter': 206.09258269125507, 'sphere': {'center': [-1.6911427326493864, 8.654973914381596, 13.320232554264429], 'radius': 12.0}, 'projected_sphere': {'center': [81.28452037371201, 522.8521127582458], 'axes': [1117.0976136776394, 1117.0976136776394], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 11, 'model_birth_timestamp': 160672.759298, 'theta': 0.7188578879940395, 'phi': -1.335896235171512, 'norm_pos': [0.546494145290416, 0.6406684222831616], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596587934.7157178,"{'circle_3d': {'center': [0.45422943385549686, -0.28010785679189176, 5.602610380976247], 'normal': [0.17878101387540693, -0.7445901475977906, -0.6431351811073485], 'radius': 0.9300033693676618}, 'confidence': 0.035910852001720436, 'timestamp': 160802.853495, 'diameter_3d': 1.8600067387353236, 'ellipse': {'center': [209.09521513785924, 96.80867075554372], 'axes': [123.47523598568984, 207.94801576429649], 'angle': -73.76976587537807}, 'location': [209.09521513785924, 96.80867075554372], 'diameter': 207.94801576429649, 'sphere': {'center': [-1.6911427326493864, 8.654973914381596, 13.320232554264429], 'radius': 12.0}, 'projected_sphere': {'center': [81.28452037371201, 522.8521127582458], 'axes': [1117.0976136776394, 1117.0976136776394], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 11, 'model_birth_timestamp': 160672.759298, 'theta': 0.7308756870621249, 'phi': -1.2996584355938556, 'norm_pos': [0.6534225473058102, 0.5966305385185678], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
