eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1596175467.6973891,"{'circle_3d': {'center': [-2.3410296387694745, 1.9997331465270847, 93.10839508616532], 'normal': [-0.599735549250765, -0.39275202132522535, -0.6971822722285994], 'radius': 7.242863831194033}, 'confidence': 0.06180446220151935, 'timestamp': 50856.186169, 'diameter_3d': 14.485727662388067, 'ellipse': {'center': [145.9362707172292, 134.38808514237235], 'axes': [66.78329232442168, 96.65747566856706], 'angle': 31.492368233797805}, 'location': [145.9362707172292, 134.38808514237235], 'diameter': 96.65747566856706, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.1671741552559824, 'phi': -2.2811982502295023, 'norm_pos': [0.45605084599134127, 0.44004964524011525], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.7036579,"{'circle_3d': {'center': [-1.9871943925626363, 1.840091982891562, 92.90541663131131], 'normal': [-0.5702492787335288, -0.4060554516281858, -0.7140971434664336], 'radius': 7.276778259599159}, 'confidence': 0.05316743344895663, 'timestamp': 50856.194569, 'diameter_3d': 14.553556519198318, 'ellipse': {'center': [148.25208301305048, 133.4230097677464], 'axes': [69.13131265734484, 97.30815320820624], 'angle': 33.8079664908077}, 'location': [148.25208301305048, 133.4230097677464], 'diameter': 97.30815320820624, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.1526628395230427, 'phi': -2.244658486832498, 'norm_pos': [0.46328775941578276, 0.44407079263439], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.710855,"{'circle_3d': {'center': [-1.81523748321922, 1.5967496050571146, 92.91165272700692], 'normal': [-0.5559195362882441, -0.42633398311438975, -0.7135774688251325], 'radius': 7.394923511009653}, 'confidence': 0.029894901151286575, 'timestamp': 50856.202969, 'diameter_3d': 14.789847022019305, 'ellipse': {'center': [149.41200575663277, 131.88691735844225], 'axes': [70.27187113327906, 98.8785701116289], 'angle': 36.010273669717385}, 'location': [149.41200575663277, 131.88691735844225], 'diameter': 98.8785701116289, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.130360230814689, 'phi': -2.2326378120382695, 'norm_pos': [0.4669125179894774, 0.45047117767315725], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.720831,"{'circle_3d': {'center': [0.834031694136125, 11.22769630597903, 91.10922027983415], 'normal': [-0.3351471048419653, 0.37624490862910326, -0.8637801727561976], 'radius': 3.365992602605108}, 'confidence': 0.9799776007753508, 'timestamp': 50856.211369, 'diameter_3d': 6.731985205210216, 'ellipse': {'center': [165.92263490351678, 196.15605800990056], 'axes': [37.48700801816334, 45.957798358235436], 'angle': -54.60679798022287}, 'location': [165.92263490351678, 196.15605800990056], 'diameter': 45.957798358235436, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.956536374211134, 'phi': -1.940915666174079, 'norm_pos': [0.5185082340734899, 0.1826830916254143], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.727981,"{'circle_3d': {'center': [-1.6399121780082302, 8.066555440791408, 91.47593275576082], 'normal': [-0.5413090941873284, 0.11281650319680149, -0.8332207997623079], 'radius': 7.184286223236626}, 'confidence': 0.07894673404194907, 'timestamp': 50856.219769, 'diameter_3d': 14.368572446473252, 'ellipse': {'center': [150.5922087998285, 174.4161463950558], 'axes': [79.1375875285432, 97.77724079624443], 'angle': -17.972427904484423}, 'location': [150.5922087998285, 174.4161463950558], 'diameter': 97.77724079624443, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.6838535243090327, 'phi': -2.1469315402623983, 'norm_pos': [0.4706006524994641, 0.27326605668726756], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.735768,"{'circle_3d': {'center': [1.140485702553863, 7.115780329425961, 90.07133567320044], 'normal': [-0.3096092708071538, 0.03358524391634754, -0.9502705566423396], 'radius': 7.20110919243968}, 'confidence': 0.09535584838066705, 'timestamp': 50856.228169, 'diameter_3d': 14.40221838487936, 'ellipse': {'center': [169.02199594676668, 168.8848239299981], 'axes': [94.0986023842873, 99.47539685668077], 'angle': -19.490503947178308}, 'location': [169.02199594676668, 168.8848239299981], 'diameter': 99.47539685668077, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.6043878877683622, 'phi': -1.8857622105396714, 'norm_pos': [0.5281937373336458, 0.29631323362500794], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.743406,"{'circle_3d': {'center': [1.70520898318934, 7.35697972867244, 89.91349360471332], 'normal': [-0.26254899742086424, 0.05368519385355412, -0.9634240623495998], 'radius': 7.185352607742674}, 'confidence': 0.085003631222032, 'timestamp': 50856.236569, 'diameter_3d': 14.370705215485348, 'ellipse': {'center': [172.76568634682476, 170.54856894328657], 'axes': [95.25564593243546, 99.44426111004115], 'angle': -27.317432111021088}, 'location': [172.76568634682476, 170.54856894328657], 'diameter': 99.44426111004115, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.6245073418343645, 'phi': -1.8368522271311218, 'norm_pos': [0.5398927698338274, 0.289380962736306], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.752118,"{'circle_3d': {'center': [0.1695197750658366, 7.011192931136937, 90.43149662228483], 'normal': [-0.3905230980978227, 0.024869627392262176, -0.9202571442186408], 'radius': 7.242998202481722}, 'confidence': 0.07672042808418189, 'timestamp': 50856.244969, 'diameter_3d': 14.485996404963444, 'ellipse': {'center': [162.59414983058466, 168.02501639257622], 'axes': [91.10471350046328, 99.65163668025794], 'angle': -13.51782781138777}, 'location': [162.59414983058466, 168.02501639257622], 'diameter': 99.65163668025794, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.5956685185382642, 'phi': -1.972127320175792, 'norm_pos': [0.5081067182205771, 0.2998957650309324], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.75943,"{'circle_3d': {'center': [1.5228582013149943, 7.299923082280362, 89.96168715895361], 'normal': [-0.2777448959103929, 0.04893047332088094, -0.9594079328295756], 'radius': 7.22068335668537}, 'confidence': 0.058703893695928676, 'timestamp': 50856.253369, 'diameter_3d': 14.44136671337074, 'ellipse': {'center': [171.56554010314048, 170.14796522740608], 'axes': [95.29841263664328, 99.87738480332445], 'angle': -24.919596111407717}, 'location': [171.56554010314048, 170.14796522740608], 'diameter': 99.87738480332445, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.619746345999836, 'phi': -1.8525889161036153, 'norm_pos': [0.536142312822314, 0.29105014488580805], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.771596,"{'circle_3d': {'center': [0.8473495879429871, 6.94270908602184, 90.16620174599242], 'normal': [-0.33403728035806, 0.01916264029933745, -0.9423650505763406], 'radius': 7.26211164113464}, 'confidence': 0.08845437978158255, 'timestamp': 50856.261769, 'diameter_3d': 14.52422328226928, 'ellipse': {'center': [167.09772200225368, 167.70140440808342], 'axes': [94.07190128745012, 100.20287658456986], 'angle': -15.388904005172}, 'location': [167.09772200225368, 167.70140440808342], 'diameter': 100.20287658456986, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.5899601400633199, 'phi': -1.9114450700289147, 'norm_pos': [0.5221803812570427, 0.3012441482996524], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.77982,"{'circle_3d': {'center': [1.116227931503114, 6.870201314968669, 90.07323002287539], 'normal': [-0.3116307517280495, 0.0131203260449065, -0.9501126941694266], 'radius': 7.284732962343149}, 'confidence': 0.06496170328931135, 'timestamp': 50856.270169, 'diameter_3d': 14.569465924686298, 'ellipse': {'center': [168.88969859599817, 167.26910147068713], 'axes': [95.34827229674485, 100.6148264390881], 'angle': -15.624385771542999}, 'location': [168.88969859599817, 167.26910147068713], 'diameter': 100.6148264390881, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.583917029297583, 'phi': -1.887733322858506, 'norm_pos': [0.5277803081124943, 0.30304541053880363], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
