eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1596175467.6973891,"{'circle_3d': {'center': [-2.3410296387694745, 1.9997331465270847, 93.10839508616532], 'normal': [-0.599735549250765, -0.39275202132522535, -0.6971822722285994], 'radius': 7.242863831194033}, 'confidence': 0.06180446220151935, 'timestamp': 50856.186169, 'diameter_3d': 14.485727662388067, 'ellipse': {'center': [145.9362707172292, 134.38808514237235], 'axes': [66.78329232442168, 96.65747566856706], 'angle': 31.492368233797805}, 'location': [145.9362707172292, 134.38808514237235], 'diameter': 96.65747566856706, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.1671741552559824, 'phi': -2.2811982502295023, 'norm_pos': [0.45605084599134127, 0.44004964524011525], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.787503,"{'circle_3d': {'center': [1.097475419191717, 6.29638295399862, 90.08591906115555], 'normal': [-0.3131934610873326, -0.034697870702597555, -0.9490552743127468], 'radius': 7.262577289549919}, 'confidence': 0.04231083086306738, 'timestamp': 50856.278569, 'diameter_3d': 14.525154579099839, 'ellipse': {'center': [168.75656939064893, 163.4944774062232], 'axes': [95.31934282817355, 100.25094960803442], 'angle': -6.270136387197942}, 'location': [168.75656939064893, 163.4944774062232], 'diameter': 100.25094960803442, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.5360914899455824, 'phi': -1.8895488477998275, 'norm_pos': [0.5273642793457779, 0.3187730108074033], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.7969038,"{'circle_3d': {'center': [1.1000891018988015, 5.994591454330208, 90.10009791563058], 'normal': [-0.3129756541950757, -0.059847162341631926, -0.9478737031064944], 'radius': 7.282542966659307}, 'confidence': 0.032456352789598186, 'timestamp': 50856.286969, 'diameter_3d': 14.565085933318613, 'ellipse': {'center': [168.77741784995013, 161.50750366180418], 'axes': [95.63301458548393, 100.48342362430886], 'angle': -1.1541023436071127}, 'location': [168.77741784995013, 161.50750366180418], 'diameter': 100.48342362430886, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.5109133811568207, 'phi': -1.8897125893150317, 'norm_pos': [0.5274294307810942, 0.3270520680758159], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.80398,"{'circle_3d': {'center': [1.1026390653854987, 5.788313702912431, 90.1141593976323], 'normal': [-0.3127631572378509, -0.07703697495978001, -0.9467019129396843], 'radius': 7.28637167659407}, 'confidence': 0.022713256296083246, 'timestamp': 50856.295368, 'diameter_3d': 14.57274335318814, 'ellipse': {'center': [168.79250914303896, 160.147393318208], 'axes': [95.66940909646166, 100.5007338917039], 'angle': 2.402833289253949}, 'location': [168.79250914303896, 160.147393318208], 'diameter': 100.5007338917039, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.493682949118393, 'phi': -1.8898787013400375, 'norm_pos': [0.5274765910719967, 0.3327191945074667], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.812782,"{'circle_3d': {'center': [2.382810604673891, 2.876073040009029, 90.37664598492059], 'normal': [-0.20608219563048477, -0.3197236968683968, -0.9248280306656605], 'radius': 7.306615860818786}, 'confidence': 0.022887112238981655, 'timestamp': 50856.303768, 'diameter_3d': 14.613231721637572, 'ellipse': {'center': [177.13506167443106, 140.9484389425822], 'axes': [94.36594925806484, 100.29836031567413], 'angle': 58.07500238504624}, 'location': [177.13506167443106, 140.9484389425822], 'diameter': 100.29836031567413, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.2453584633260744, 'phi': -1.7900472234300489, 'norm_pos': [0.5535470677325971, 0.4127148377392409], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.8194702,"{'circle_3d': {'center': [2.629161411949177, 1.6224824181647008, 90.83826744805165], 'normal': [-0.1855529616908776, -0.4241895820220908, -0.8863595754047382], 'radius': 7.31965795594707}, 'confidence': 0.07032449659434276, 'timestamp': 50856.312168, 'diameter_3d': 14.63931591189414, 'ellipse': {'center': [178.632880101446, 132.60508256628762], 'axes': [89.96314537327186, 100.00870124028744], 'angle': 68.79978829943077}, 'location': [178.632880101446, 132.60508256628762], 'diameter': 100.00870124028744, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.1327295514141411, 'phi': -1.7771589599111888, 'norm_pos': [0.5582277503170188, 0.44747882264046823], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.829207,"{'circle_3d': {'center': [2.0124834091248247, 1.4675968359592577, 91.06286497643877], 'normal': [-0.23694279525957374, -0.4370967138725446, -0.8676431147058119], 'radius': 7.333898217278436}, 'confidence': 0.04736969640425684, 'timestamp': 50856.320568, 'diameter_3d': 14.667796434556871, 'ellipse': {'center': [174.55202127152918, 131.5357014480183], 'axes': [88.00842000867691, 99.95320673710262], 'angle': 62.851414206274}, 'location': [174.55202127152918, 131.5357014480183], 'diameter': 99.95320673710262, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.118428168321579, 'phi': -1.8373839621261074, 'norm_pos': [0.5454750664735287, 0.4519345772999237], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.8360078,"{'circle_3d': {'center': [0.8898841640530697, 1.2133852192650636, 91.57365101552759], 'normal': [-0.33049273234888665, -0.4582810152637274, -0.8250776114484106], 'radius': 7.415556574948141}, 'confidence': 0.024108017666835537, 'timestamp': 50856.328968, 'diameter_3d': 14.831113149896282, 'ellipse': {'center': [167.1485830846675, 129.77301420311892], 'axes': [83.95747676519886, 100.51942287914493], 'angle': 54.21423205409157}, 'location': [167.1485830846675, 129.77301420311892], 'diameter': 100.51942287914493, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.0947361300041247, 'phi': -1.951784997789685, 'norm_pos': [0.522339322139586, 0.4592791074870045], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.843356,"{'circle_3d': {'center': [0.8384475202872244, 11.24354044655771, 91.11442267515093], 'normal': [-0.33477911932937365, 0.3775652536773266, -0.8633466398131315], 'radius': 3.338867599526257}, 'confidence': 0.9837599860481695, 'timestamp': 50856.337368, 'diameter_3d': 6.677735199052514, 'ellipse': {'center': [165.9479948922472, 196.26282787255604], 'axes': [37.15347468907523, 45.584550671574576], 'angle': -54.718664755981294}, 'location': [165.9479948922472, 196.26282787255604], 'diameter': 45.584550671574576, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.9579618452226555, 'phi': -1.9407145321997852, 'norm_pos': [0.5185874840382725, 0.18223821719768318], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.8555121,"{'circle_3d': {'center': [2.231681990952754, 7.567687731030893, 89.79626420331232], 'normal': [-0.21867624677391292, 0.07124419405009189, -0.9731931791330166], 'radius': 7.218799967832728}, 'confidence': 0.09061494357858717, 'timestamp': 50856.345768, 'diameter_3d': 14.437599935665457, 'ellipse': {'center': [176.26696996702455, 171.99120185756692], 'axes': [96.66097321290675, 100.03990195750117], 'angle': -36.04893781305977}, 'location': [176.26696996702455, 171.99120185756692], 'diameter': 100.03990195750117, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.6421009283663754, 'phi': -1.7918249515991673, 'norm_pos': [0.5508342811469518, 0.2833699922601378], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.863978,"{'circle_3d': {'center': [1.6322778619399756, 7.3670090331993965, 89.93418030280175], 'normal': [-0.26862659085831114, 0.054520969230800506, -0.9617001708422307], 'radius': 7.22553349279214}, 'confidence': 0.09439442391781014, 'timestamp': 50856.354168, 'diameter_3d': 14.45106698558428, 'ellipse': {'center': [172.29265322793583, 170.60235157498883], 'axes': [95.5807744524331, 99.97781340004795], 'angle': -26.84493329134512}, 'location': [172.29265322793583, 170.60235157498883], 'diameter': 99.97781340004795, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.6253443431454282, 'phi': -1.8431786945440072, 'norm_pos': [0.5384145413372995, 0.2891568684375465], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.872563,"{'circle_3d': {'center': [0.6456293894434175, 6.951552778635844, 90.23992766923085], 'normal': [-0.350847296899691, 0.019899614683837802, -0.9362212236398055], 'radius': 7.238620148853537}, 'confidence': 0.06601222520556715, 'timestamp': 50856.362568, 'diameter_3d': 14.477240297707073, 'ellipse': {'center': [165.7508088669659, 167.72474783478106], 'axes': [93.02225348521371, 99.79757929170472], 'angle': -14.608110243001665}, 'location': [165.7508088669659, 167.72474783478106], 'diameter': 99.79757929170472, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.5906972550697003, 'phi': -1.9293462961870718, 'norm_pos': [0.5179712777092684, 0.3011468840217456], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.8795788,"{'circle_3d': {'center': [0.8342770869875062, 6.889506127947211, 90.16988696287655], 'normal': [-0.33512665543768333, 0.014729060459785016, -0.9420579491693302], 'radius': 7.266606882693189}, 'confidence': 0.05566109341691041, 'timestamp': 50856.370968, 'diameter_3d': 14.533213765386378, 'ellipse': {'center': [167.0127524954619, 167.35035467760565], 'axes': [94.13037698735589, 100.25761962728271], 'angle': -14.558620231691902}, 'location': [167.0127524954619, 167.35035467760565], 'diameter': 100.25761962728271, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.585525919873229, 'phi': -1.9125745724935612, 'norm_pos': [0.5219148515483185, 0.30270685550997645], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.887452,"{'circle_3d': {'center': [0.9316433333205394, 6.796147182260587, 90.13465005506197], 'normal': [-0.32701280157659757, 0.006949148319232993, -0.9449943581538791], 'radius': 7.274853892380135}, 'confidence': 0.05220786609604356, 'timestamp': 50856.379368, 'diameter_3d': 14.54970778476027, 'ellipse': {'center': [167.66184317032867, 166.75402434018244], 'axes': [94.65598528772406, 100.40475285383452], 'angle': -13.612980587381518}, 'location': [167.66184317032867, 166.75402434018244], 'diameter': 100.40475285383452, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.5777455310451742, 'phi': -1.903945531574707, 'norm_pos': [0.5239432599072771, 0.30519156524923985], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.895082,"{'circle_3d': {'center': [0.8045544640796312, 6.581244599688613, 90.17988719611735], 'normal': [-0.33760354068000636, -0.010959400228431447, -0.9412245963992635], 'radius': 7.314495940312336}, 'confidence': 0.04877166305766135, 'timestamp': 50856.387768, 'diameter_3d': 14.628991880624673, 'ellipse': {'center': [166.83266769189248, 165.32312066881332], 'axes': [94.86278235637762, 100.88686885559721], 'angle': -9.88238586439984}, 'location': [166.83266769189248, 165.32312066881332], 'diameter': 100.88686885559721, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.5598367071685049, 'phi': -1.9151876640043202, 'norm_pos': [0.521352086537164, 0.3111536638799445], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.9043992,"{'circle_3d': {'center': [0.5840296418860786, 6.373161459356586, 90.26580549539001], 'normal': [-0.35598060919613583, -0.028299661922767047, -0.9340647381265419], 'radius': 7.313814701946794}, 'confidence': 0.039187808763631544, 'timestamp': 50856.396168, 'diameter_3d': 14.627629403893588, 'ellipse': {'center': [165.36939497682584, 163.91908109498502], 'axes': [94.12017050852783, 100.76737642573866], 'angle': -6.173500864016418}, 'location': [165.36939497682584, 163.91908109498502], 'diameter': 100.76737642573866, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.5424928861143505, 'phi': -1.93491216885462, 'norm_pos': [0.5167793593025808, 0.3170038287708957], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175467.9121192,"{'circle_3d': {'center': [0.8231388358166098, 6.04217935146797, 90.19238426948456], 'normal': [-0.33605484303525834, -0.0558815042468184, -0.9401831736186629], 'radius': 7.319887911251988}, 'confidence': 0.029216893783094517, 'timestamp': 50856.404568, 'diameter_3d': 14.639775822503976, 'ellipse': {'center': [166.95401081962967, 161.7816118962106], 'axes': [95.15915572050044, 100.90372916258801], 'angle': -1.5804011784590704}, 'location': [166.95401081962967, 161.7816118962106], 'diameter': 100.90372916258801, 'sphere': {'center': [4.855796952239708, 6.712757402429791, 101.47458235290851], 'radius': 12.0}, 'projected_sphere': {'center': [189.66845529768597, 161.01430617405424], 'axes': [146.63770626076888, 146.63770626076888], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 23, 'model_birth_timestamp': 50837.023859, 'theta': 1.5148856976773548, 'phi': -1.9140797818816109, 'norm_pos': [0.5217312838113427, 0.32590995043245585], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
