eye_packets,523
norm_X,norm_Y,phi,theta,confidence,timestamp
1580951769.0180101,"{'circle_3d': {'center': [-4.682989320349977, 8.910767521758265, 56.22313763612806], 'normal': [-0.22952561448134823, 0.6581594347517896, -0.7170384583438774], 'radius': 1.8807920047454998}, 'confidence': 0.9990516907024435, 'timestamp': 2798.991141, 'diameter_3d': 3.7615840094909996, 'ellipse': {'center': [108.44454577115518, 217.9892338500453], 'axes': [24.630329489321745, 41.50300565927484], 'angle': -69.8058797397984}, 'location': [108.44454577115518, 217.9892338500453], 'diameter': 41.50300565927484, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.8843994525151722, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.2891677633278125, 'phi': -1.8805920089068433, 'norm_pos': [0.3388892055348599, 0.09171152562481122], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951769.0237062,"{'circle_3d': {'center': [-4.70522250789403, 8.884931595061444, 56.206623457916415], 'normal': [-0.23137838011001932, 0.6560064408603878, -0.7184146398615147], 'radius': 1.8986900050280051}, 'confidence': 0.9992793352713668, 'timestamp': 2798.999541, 'diameter_3d': 3.7973800100560102, 'ellipse': {'center': [108.18696294445897, 217.72779717104225], 'axes': [24.945060095228605, 41.910358170200276], 'angle': -69.60281002699936}, 'location': [108.18696294445897, 217.72779717104225], 'diameter': 41.910358170200276, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.8847092474628115, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.286311642267006, 'phi': -1.8823740683428636, 'norm_pos': [0.33808425920143426, 0.09280084512065723], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951769.0380049,"{'circle_3d': {'center': [-4.6943430424389065, 8.864991881569093, 56.18496908647713], 'normal': [-0.23047175798875902, 0.6543447980693586, -0.7202191708147884], 'radius': 1.9160313645096985}, 'confidence': 0.9995837332863203, 'timestamp': 2799.007941, 'diameter_3d': 3.832062729019397, 'ellipse': {'center': [108.28876053019167, 217.5397973768948], 'axes': [25.283140097958288, 42.30960738291117], 'angle': -69.6214111871223}, 'location': [108.28876053019167, 217.5397973768948], 'diameter': 42.30960738291117, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.8860329958990554, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.2841121779016618, 'phi': -1.8805013159079966, 'norm_pos': [0.33840237665684897, 0.09358417759627169], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951769.0449998,"{'circle_3d': {'center': [-4.659124714203946, 8.787028371670932, 56.103672275619815], 'normal': [-0.22753689730251234, 0.6478478389111786, -0.7269939050528977], 'radius': 1.8659634026138205}, 'confidence': 0.9989626593737185, 'timestamp': 2799.016341, 'diameter_3d': 3.731926805227641, 'ellipse': {'center': [108.59879304634212, 216.83267671002704], 'axes': [25.02485458401296, 41.26294109248579], 'angle': -69.64891165848744}, 'location': [108.59879304634212, 216.83267671002704], 'diameter': 41.26294109248579, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.8866173073624695, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.2755521454842325, 'phi': -1.8741213684681164, 'norm_pos': [0.33937122826981914, 0.09653051370822063], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951769.0524569,"{'circle_3d': {'center': [-4.583593096937646, 8.726606414332661, 56.02706079048398], 'normal': [-0.22124259586365397, 0.642812675799656, -0.7333781954808843], 'radius': 1.888668439456907}, 'confidence': 0.9997377231073704, 'timestamp': 2799.024741, 'diameter_3d': 3.777336878913814, 'ellipse': {'center': [109.36531007679076, 216.28776354535012], 'axes': [25.720411746537255, 41.822354624940886], 'angle': -69.9797773826831}, 'location': [109.36531007679076, 216.28776354535012], 'diameter': 41.822354624940886, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.8872914156700551, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.2689607495286346, 'phi': -1.8637900199965098, 'norm_pos': [0.3417665939899711, 0.09880098522770786], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951769.059009,"{'circle_3d': {'center': [-4.549057872896485, 8.63934242897833, 55.94107513102334], 'normal': [-0.2183646605268906, 0.6355406770201283, -0.7405436671026043], 'radius': 1.8646433840324619}, 'confidence': 0.9999201206099282, 'timestamp': 2799.033141, 'diameter_3d': 3.7292867680649238, 'ellipse': {'center': [109.66851859910244, 215.47431560446682], 'axes': [25.823593724926305, 41.353330793919845], 'angle': -69.98412561836997}, 'location': [109.66851859910244, 215.47431560446682], 'diameter': 41.353330793919845, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.8882163768144213, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.2595049428634284, 'phi': -1.8575407621848974, 'norm_pos': [0.34271412062219514, 0.1021903516480549], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951769.068536,"{'circle_3d': {'center': [-4.55407265154064, 8.641526699826718, 55.94443071869846], 'normal': [-0.21878255874723684, 0.6357226995908274, -0.7402640347963438], 'radius': 1.8365081091337419}, 'confidence': 0.7325884452479354, 'timestamp': 2799.041541, 'diameter_3d': 3.6730162182674837, 'ellipse': {'center': [109.61349352438974, 215.50117111799403], 'axes': [25.416615952819534, 40.726605008916145], 'angle': -69.95710445046173}, 'location': [109.61349352438974, 215.50117111799403], 'diameter': 40.726605008916145, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.8881907965172298, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.2597407257002238, 'phi': -1.8581624919110535, 'norm_pos': [0.34254216726371794, 0.10207845367502488], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951769.0788329,"{'circle_3d': {'center': [-4.622885784388759, 8.730214965031715, 56.042178820798114], 'normal': [-0.2245169864845801, 0.6431133883579105, -0.7321183596213731], 'radius': 1.888193711822402}, 'confidence': 0.49323521201761084, 'timestamp': 2799.049941, 'diameter_3d': 3.776387423644804, 'ellipse': {'center': [108.9453665856706, 216.30255255197957], 'axes': [25.634340859569193, 41.80049247692891], 'angle': -69.73702251482527}, 'location': [108.9453665856706, 216.30255255197957], 'diameter': 41.80049247692891, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.8881907965172298, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.2693533773637413, 'phi': -1.8683589124061721, 'norm_pos': [0.3404542705802206, 0.09873936436675179], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951769.088177,"{'circle_3d': {'center': [-5.454919529893643, 7.0522036382188045, 55.07609114342841], 'normal': [-0.2938531319433204, 0.5032791111235013, -0.8126256660688487], 'radius': 1.8926945258759806}, 'confidence': 0.19849155096907195, 'timestamp': 2799.058341, 'diameter_3d': 3.7853890517519613, 'ellipse': {'center': [98.74340733666713, 199.12002124462813], 'axes': [30.649465674327946, 42.627845813063374], 'angle': -58.67769752659437}, 'location': [98.74340733666713, 199.12002124462813], 'diameter': 42.627845813063374, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.8881907965172298, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.098185650603354, 'phi': -1.917775985180794, 'norm_pos': [0.3085731479270848, 0.17033324481404943], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951769.092438,"{'circle_3d': {'center': [-5.464805304264373, 6.233008939964216, 54.61751504338304], 'normal': [-0.29467694647421455, 0.43501288626895224, -0.8508403410726295], 'radius': 1.8960401392403208}, 'confidence': 0.24932088578381564, 'timestamp': 2799.066741, 'diameter_3d': 3.7920802784806416, 'ellipse': {'center': [98.13208509140368, 190.50196611110277], 'axes': [33.22648954222694, 43.058821131164066], 'angle': -54.804324742831476}, 'location': [98.13208509140368, 190.50196611110277], 'diameter': 43.058821131164066, 'sphere': {'center': [-1.9286819465737979, 1.0128543047367888, 64.82759913625459], 'radius': 12.0}, 'projected_sphere': {'center': [141.55441782808492, 129.6867642378201], 'axes': [229.53186911527033, 229.53186911527033], 'angle': 90.0}, 'model_confidence': 0.8881907965172298, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.0208489148470647, 'phi': -1.9042036031303027, 'norm_pos': [0.3066627659106365, 0.20624180787040514], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
