eye_packets,714
norm_X,norm_Y,phi,theta,confidence,timestamp
1580953974.8141901,"{'circle_3d': {'center': [-6.030386388489855, 9.156964166123203, 66.76111402668441], 'normal': [0.004793739683388918, 0.6206068472717448, -0.7841072383158271], 'radius': 2.7962334727759988}, 'confidence': 0.9980868299698096, 'timestamp': 4981.593442, 'diameter_3d': 5.5924669455519975, 'ellipse': {'center': [103.95478852124478, 204.567155867777], 'axes': [36.236387373539806, 52.116489104337475], 'angle': -86.04996730111883}, 'location': [103.95478852124478, 204.567155867777], 'diameter': 52.116489104337475, 'sphere': {'center': [-6.087911264690522, 1.7096819988622665, 76.17040088647434], 'radius': 12.0}, 'projected_sphere': {'center': [110.44656533009837, 133.9162040235872], 'axes': [195.35147284018376, 195.35147284018376], 'angle': 90.0}, 'model_confidence': 0.8548322438003408, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2403127127571585, 'phi': -1.5646827753236565, 'norm_pos': [0.32485871412888995, 0.14763685055092923], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580953974.823364,"{'circle_3d': {'center': [-6.055544523678414, 9.12771554961834, 66.73791814681701], 'normal': [0.002697228417675682, 0.6181694625630062, -0.7860402283047776], 'radius': 2.8311478469758002}, 'confidence': 0.9980014444264492, 'timestamp': 4981.601842, 'diameter_3d': 5.6622956939516005, 'ellipse': {'center': [103.7024795149091, 204.31295295546417], 'axes': [36.82411243497976, 52.78543990152985], 'angle': -85.83478971856071}, 'location': [103.7024795149091, 204.31295295546417], 'diameter': 52.78543990152985, 'sphere': {'center': [-6.087911264690522, 1.7096819988622665, 76.17040088647434], 'radius': 12.0}, 'projected_sphere': {'center': [110.44656533009837, 133.9162040235872], 'axes': [195.35147284018376, 195.35147284018376], 'angle': 90.0}, 'model_confidence': 0.8545269327548621, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2372080963149052, 'phi': -1.5673649275682797, 'norm_pos': [0.32407024848409094, 0.14869602935223258], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580953974.8301,"{'circle_3d': {'center': [-6.096768623990395, 9.12861603614865, 66.738575013528], 'normal': [-0.0007381132749894281, 0.6182445031071986, -0.7859854894121941], 'radius': 2.8018636369509418}, 'confidence': 0.9982552933243295, 'timestamp': 4981.610242, 'diameter_3d': 5.6037272739018835, 'ellipse': {'center': [103.32359543509091, 204.33045465008695], 'axes': [36.42281881076834, 52.237928906811746], 'angle': -85.5296852178498}, 'location': [103.32359543509091, 204.33045465008695], 'diameter': 52.237928906811746, 'sphere': {'center': [-6.087911264690522, 1.7096819988622665, 76.17040088647434], 'radius': 12.0}, 'projected_sphere': {'center': [110.44656533009837, 133.9162040235872], 'axes': [195.35147284018376, 195.35147284018376], 'angle': 90.0}, 'model_confidence': 0.8544456829337577, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2373035658811427, 'phi': -1.571735419269189, 'norm_pos': [0.3228862357346591, 0.14862310562463776], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580953974.837787,"{'circle_3d': {'center': [-6.0983404976246955, 9.121267693198156, 66.73280115314087], 'normal': [-0.0008691027445144503, 0.6176321411946575, -0.7864666444444558], 'radius': 2.8270740969941186}, 'confidence': 0.9980183483347377, 'timestamp': 4981.618642, 'diameter_3d': 5.654148193988237, 'ellipse': {'center': [103.30358391345172, 204.2609075891836], 'axes': [36.78630676635127, 52.71276428493285], 'angle': -85.51039124552393}, 'location': [103.30358391345172, 204.2609075891836], 'diameter': 52.71276428493285, 'sphere': {'center': [-6.087911264690522, 1.7096819988622665, 76.17040088647434], 'radius': 12.0}, 'projected_sphere': {'center': [110.44656533009837, 133.9162040235872], 'axes': [195.35147284018376, 195.35147284018376], 'angle': 90.0}, 'model_confidence': 0.8541480801395607, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2365247039413445, 'phi': -1.5719013989513262, 'norm_pos': [0.3228236997295366, 0.14891288504506828], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580953974.84706,"{'circle_3d': {'center': [-6.130152107152354, 9.0756119059847, 66.69721281093254], 'normal': [-0.0035200702051526845, 0.6138274922602027, -0.7894323396284837], 'radius': 2.816106814964997}, 'confidence': 0.9985389689019774, 'timestamp': 4981.627042, 'diameter_3d': 5.632213629929994, 'ellipse': {'center': [102.98046529816723, 203.88528904651747], 'axes': [36.85201623955653, 52.53534166216658], 'angle': -85.22595610615235}, 'location': [102.98046529816723, 203.88528904651747], 'diameter': 52.53534166216658, 'sphere': {'center': [-6.087911264690522, 1.7096819988622665, 76.17040088647434], 'radius': 12.0}, 'projected_sphere': {'center': [110.44656533009837, 133.9162040235872], 'axes': [195.35147284018376, 195.35147284018376], 'angle': 90.0}, 'model_confidence': 0.8541346483089018, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2316961946591207, 'phi': -1.575255286352753, 'norm_pos': [0.3218139540567726, 0.15047796230617716], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580953974.85433,"{'circle_3d': {'center': [-6.1435500439859565, 9.073248674235378, 66.69544494232488], 'normal': [-0.0046365649412862305, 0.6136305562810926, -0.7895796620124547], 'radius': 2.810811182468161}, 'confidence': 0.9985070787721894, 'timestamp': 4981.635442, 'diameter_3d': 5.621622364936322, 'ellipse': {'center': [102.85544958703932, 203.86735710975677], 'axes': [36.78843566027098, 52.437644047146], 'angle': -85.12345582799244}, 'location': [102.85544958703932, 203.86735710975677], 'diameter': 52.437644047146, 'sphere': {'center': [-6.087911264690522, 1.7096819988622665, 76.17040088647434], 'radius': 12.0}, 'projected_sphere': {'center': [110.44656533009837, 133.9162040235872], 'axes': [195.35147284018376, 195.35147284018376], 'angle': 90.0}, 'model_confidence': 0.8545217777223169, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2314467560212194, 'phi': -1.5766684532841613, 'norm_pos': [0.3214232799594979, 0.15055267870934685], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580953974.865039,"{'circle_3d': {'center': [-6.155207117374363, 9.063039211327798, 66.68759492125008], 'normal': [-0.005607987723653435, 0.612779767705461, -0.7902338304353543], 'radius': 2.785876389031734}, 'confidence': 0.9989931923461807, 'timestamp': 4981.643842, 'diameter_3d': 5.571752778063468, 'ellipse': {'center': [102.74180860730371, 203.7907819667157], 'axes': [36.505482718599865, 51.97802314506227], 'angle': -85.02548578260706}, 'location': [102.74180860730371, 203.7907819667157], 'diameter': 51.97802314506227, 'sphere': {'center': [-6.087911264690522, 1.7096819988622665, 76.17040088647434], 'radius': 12.0}, 'projected_sphere': {'center': [110.44656533009837, 133.9162040235872], 'axes': [195.35147284018376, 195.35147284018376], 'angle': 90.0}, 'model_confidence': 0.8547897971067031, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2303697042674244, 'phi': -1.5778928257897198, 'norm_pos': [0.3210681518978241, 0.15087174180535123], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580953974.87136,"{'circle_3d': {'center': [-6.1833324236281255, 9.063037582525954, 66.68783496460335], 'normal': [-0.007951763244800281, 0.612779631971974, -0.7902138268225826], 'radius': 2.804864511976565}, 'confidence': 0.9988024380576307, 'timestamp': 4981.652242, 'diameter_3d': 5.60972902395313, 'ellipse': {'center': [102.48194019341535, 203.78406524923915], 'axes': [36.742360315196585, 52.33189640622522], 'angle': -84.81537967421438}, 'location': [102.48194019341535, 203.78406524923915], 'diameter': 52.33189640622522, 'sphere': {'center': [-6.087911264690522, 1.7096819988622665, 76.17040088647434], 'radius': 12.0}, 'projected_sphere': {'center': [110.44656533009837, 133.9162040235872], 'axes': [195.35147284018376, 195.35147284018376], 'angle': 90.0}, 'model_confidence': 0.8551355981130548, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2303695325080604, 'phi': -1.580858786591054, 'norm_pos': [0.320256063104423, 0.1508997281281702], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580953974.882813,"{'circle_3d': {'center': [-6.184852465996236, 9.070346346809039, 66.69352256287249], 'normal': [-0.00807843344214279, 0.6133886956622311, -0.7897398603001546], 'radius': 2.8342803372856795}, 'confidence': 0.9975826523039412, 'timestamp': 4981.660641, 'diameter_3d': 5.668560674571359, 'ellipse': {'center': [102.47208028357885, 203.83481662064293], 'axes': [37.092043042003745, 52.876615254919734], 'angle': -84.81205130166698}, 'location': [102.47208028357885, 203.83481662064293], 'diameter': 52.876615254919734, 'sphere': {'center': [-6.087911264690522, 1.7096819988622665, 76.17040088647434], 'radius': 12.0}, 'projected_sphere': {'center': [110.44656533009837, 133.9162040235872], 'axes': [195.35147284018376, 195.35147284018376], 'angle': 90.0}, 'model_confidence': 0.8549205044306452, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2311404820827354, 'phi': -1.581025203539821, 'norm_pos': [0.3202252508861839, 0.1506882640806545], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580953974.89065,"{'circle_3d': {'center': [-6.227844522702958, 9.059838488081716, 66.68590731711139], 'normal': [-0.011661104834369723, 0.6125130407682876, -0.7903744641135794], 'radius': 2.8155729494536925}, 'confidence': 0.9988768468703275, 'timestamp': 4981.669041, 'diameter_3d': 5.631145898907385, 'ellipse': {'center': [102.06918554376948, 203.75315855151314], 'axes': [36.87770729984033, 52.5325995133995], 'angle': -84.47960487840021}, 'location': [102.06918554376948, 203.75315855151314], 'diameter': 52.5325995133995, 'sphere': {'center': [-6.087911264690522, 1.7096819988622665, 76.17040088647434], 'radius': 12.0}, 'projected_sphere': {'center': [110.44656533009837, 133.9162040235872], 'axes': [195.35147284018376, 195.35147284018376], 'angle': 90.0}, 'model_confidence': 0.8553745042634731, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2300322277866806, 'phi': -1.585549155174514, 'norm_pos': [0.3189662048242796, 0.1510285060353619], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580953974.919317,"{'circle_3d': {'center': [-6.256438528559369, 9.054986910458638, 66.68261429965594], 'normal': [-0.014043938655737248, 0.612108742633031, -0.7906488822348663], 'radius': 2.789450748854772}, 'confidence': 0.9990418891683928, 'timestamp': 4981.677441, 'diameter_3d': 5.578901497709544, 'ellipse': {'center': [101.80290718425371, 203.7210901293565], 'axes': [36.544534906741845, 52.04696268558745], 'angle': -84.2608357475711}, 'location': [101.80290718425371, 203.7210901293565], 'diameter': 52.04696268558745, 'sphere': {'center': [-6.087911264690522, 1.7096819988622665, 76.17040088647434], 'radius': 12.0}, 'projected_sphere': {'center': [110.44656533009837, 133.9162040235872], 'axes': [195.35147284018376, 195.35147284018376], 'angle': 90.0}, 'model_confidence': 0.8559945520966727, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2295208574200513, 'phi': -1.5885570069888781, 'norm_pos': [0.3181340849507929, 0.15116212446101462], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
