eye_packets,766
norm_X,norm_Y,phi,theta,confidence,timestamp
1595911252.874379,"{'circle_3d': {'center': [7.948944467373316, 2.690985196899896, 59.080952541644336], 'normal': [-0.0659358581855569, 0.2859452932233909, -0.9559747652991283], 'radius': 1.5052855099146916}, 'confidence': 0.2476435162369341, 'timestamp': 1391.227711, 'diameter_3d': 3.010571019829383, 'ellipse': {'center': [243.44686012617058, 148.13095737019327], 'axes': [29.836422475717715, 31.844286706454863], 'angle': 83.22312474208364}, 'location': [243.44686012617058, 148.13095737019327], 'diameter': 31.844286706454863, 'sphere': {'center': [8.740174765599999, -0.7403583217807952, 70.55264972523388], 'radius': 12.0}, 'projected_sphere': {'center': [236.80658877839244, 113.49390616381174], 'axes': [210.90632397152925, 210.90632397152925], 'angle': 90.0}, 'model_confidence': 0.8653852976150289, 'model_id': 209, 'model_birth_timestamp': 1380.245808, 'theta': 1.8607890928598412, 'phi': -1.6396596499077083, 'norm_pos': [0.760771437894283, 0.38278767762419474], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595911252.891853,"{'circle_3d': {'center': [8.099700199252224, 3.159462994759564, 59.22210754805105], 'normal': [-0.053372880528981266, 0.3249851097116967, -0.9442118480985692], 'radius': 1.4877613896029842}, 'confidence': 0.2639436772130654, 'timestamp': 1391.236111, 'diameter_3d': 2.9755227792059684, 'ellipse': {'center': [244.8218001034606, 152.95880762240571], 'axes': [28.874075142890607, 31.39832039933192], 'angle': 82.17153878257405}, 'location': [244.8218001034606, 152.95880762240571], 'diameter': 31.39832039933192, 'sphere': {'center': [8.740174765599999, -0.7403583217807952, 70.55264972523388], 'radius': 12.0}, 'projected_sphere': {'center': [236.80658877839244, 113.49390616381174], 'axes': [210.90632397152925, 210.90632397152925], 'angle': 90.0}, 'model_confidence': 0.8653852976150289, 'model_id': 209, 'model_birth_timestamp': 1380.245808, 'theta': 1.901792309904453, 'phi': -1.6272626199531934, 'norm_pos': [0.7650681253233144, 0.3626716349066429], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595911252.892459,"{'circle_3d': {'center': [8.58408701746013, 3.5444110575207093, 59.344778028025665], 'normal': [-0.01300731234498912, 0.357064114941792, -0.9339893081006841], 'radius': 1.5025791867634286}, 'confidence': 0.2539001727794321, 'timestamp': 1391.244511, 'diameter_3d': 3.005158373526857, 'ellipse': {'center': [249.69375775423993, 156.90042870040344], 'axes': [28.494376177289812, 31.641150674079377], 'angle': 77.10020619518615}, 'location': [249.69375775423993, 156.90042870040344], 'diameter': 31.641150674079377, 'sphere': {'center': [8.740174765599999, -0.7403583217807952, 70.55264972523388], 'radius': 12.0}, 'projected_sphere': {'center': [236.80658877839244, 113.49390616381174], 'axes': [210.90632397152925, 210.90632397152925], 'angle': 90.0}, 'model_confidence': 0.8653852976150289, 'model_id': 209, 'model_birth_timestamp': 1380.245808, 'theta': 1.9359192475111942, 'phi': -1.5847220445780574, 'norm_pos': [0.7802929929819997, 0.34624821374831904], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595911252.899327,"{'circle_3d': {'center': [9.493660621342636, 3.2681879754340963, 59.2670918901829], 'normal': [0.06279048797855309, 0.33404552476790766, -0.940463152920915], 'radius': 1.506301346644305}, 'confidence': 0.2110712538385751, 'timestamp': 1391.25291, 'diameter_3d': 3.01260269328861, 'ellipse': {'center': [259.29805789316714, 154.06562399234718], 'axes': [28.545214691312843, 31.735307992547533], 'angle': 65.28732732327687}, 'location': [259.29805789316714, 154.06562399234718], 'diameter': 31.735307992547533, 'sphere': {'center': [8.740174765599999, -0.7403583217807952, 70.55264972523388], 'radius': 12.0}, 'projected_sphere': {'center': [236.80658877839244, 113.49390616381174], 'axes': [210.90632397152925, 210.90632397152925], 'angle': 90.0}, 'model_confidence': 0.8653852976150289, 'model_id': 209, 'model_birth_timestamp': 1380.245808, 'theta': 1.9113887303092782, 'phi': -1.5041297725778133, 'norm_pos': [0.8103064309161473, 0.3580599000318867], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595911252.9151192,"{'circle_3d': {'center': [10.256995265425848, 3.3830185732251774, 59.38586780056825], 'normal': [0.12640170831882075, 0.3436147412504977, -0.9305651603888022], 'radius': 1.499460023987065}, 'confidence': 0.23643536464747264, 'timestamp': 1391.26131, 'diameter_3d': 2.99892004797413, 'ellipse': {'center': [267.04767831675747, 155.195988850627], 'axes': [27.670066678364737, 31.50443576863243], 'angle': 57.992028830259954}, 'location': [267.04767831675747, 155.195988850627], 'diameter': 31.50443576863243, 'sphere': {'center': [8.740174765599999, -0.7403583217807952, 70.55264972523388], 'radius': 12.0}, 'projected_sphere': {'center': [236.80658877839244, 113.49390616381174], 'axes': [210.90632397152925, 210.90632397152925], 'angle': 90.0}, 'model_confidence': 0.8649297385824428, 'model_id': 209, 'model_birth_timestamp': 1380.245808, 'theta': 1.9215596380435094, 'phi': -1.4357893343388353, 'norm_pos': [0.834523994739867, 0.35335004645572077], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595911252.9201899,"{'circle_3d': {'center': [10.25932669537175, 3.358387679016208, 59.37712026863893], 'normal': [0.12659599414764586, 0.3415621667330837, -0.9312941213829121], 'radius': 1.5002155834488378}, 'confidence': 0.3005787268672722, 'timestamp': 1391.26971, 'diameter_3d': 3.0004311668976755, 'ellipse': {'center': [267.0875523098704, 154.94444781200093], 'axes': [27.718021757924227, 31.524269489690827], 'angle': 57.81472263415228}, 'location': [267.0875523098704, 154.94444781200093], 'diameter': 31.524269489690827, 'sphere': {'center': [8.740174765599999, -0.7403583217807952, 70.55264972523388], 'radius': 12.0}, 'projected_sphere': {'center': [236.80658877839244, 113.49390616381174], 'axes': [210.90632397152925, 210.90632397152925], 'angle': 90.0}, 'model_confidence': 0.8649297385824428, 'model_id': 209, 'model_birth_timestamp': 1380.245808, 'theta': 1.9193748518832394, 'phi': -1.4356888918815518, 'norm_pos': [0.8346486009683449, 0.35439813411666277], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595911252.925217,"{'circle_3d': {'center': [10.8498799700162, 3.791007552504361, 59.643210359995024], 'normal': [0.17580876703468343, 0.3776138228570964, -0.9091199471032377], 'radius': 1.4910567869083848}, 'confidence': 0.25428296895018176, 'timestamp': 1391.27811, 'diameter_3d': 2.9821135738167697, 'ellipse': {'center': [272.73640014424376, 159.27932077588338], 'axes': [26.29508355430535, 31.183456581069947], 'angle': 55.22592591959461}, 'location': [272.73640014424376, 159.27932077588338], 'diameter': 31.183456581069947, 'sphere': {'center': [8.740174765599999, -0.7403583217807952, 70.55264972523388], 'radius': 12.0}, 'projected_sphere': {'center': [236.80658877839244, 113.49390616381174], 'axes': [210.90632397152925, 210.90632397152925], 'angle': 90.0}, 'model_confidence': 0.8649297385824428, 'model_id': 209, 'model_birth_timestamp': 1380.245808, 'theta': 1.9580142972657535, 'phi': -1.3797708374663447, 'norm_pos': [0.8523012504507618, 0.3363361634338192], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595911252.944711,"{'circle_3d': {'center': [11.520019456572838, 3.8559089217319764, 59.82200245117433], 'normal': [0.23165372424773656, 0.383022270292731, -0.8942206061716291], 'radius': 1.4836158691483976}, 'confidence': 0.1922331939530501, 'timestamp': 1391.28651, 'diameter_3d': 2.967231738296795, 'ellipse': {'center': [279.33011136405617, 159.83724534975434], 'axes': [25.23826305708683, 30.917072719281027], 'angle': 50.467989250921335}, 'location': [279.33011136405617, 159.83724534975434], 'diameter': 30.917072719281027, 'sphere': {'center': [8.740174765599999, -0.7403583217807952, 70.55264972523388], 'radius': 12.0}, 'projected_sphere': {'center': [236.80658877839244, 113.49390616381174], 'axes': [210.90632397152925, 210.90632397152925], 'angle': 90.0}, 'model_confidence': 0.8649297385824428, 'model_id': 209, 'model_birth_timestamp': 1380.245808, 'theta': 1.9638621918939747, 'phi': -1.3173121622427932, 'norm_pos': [0.8729065980126756, 0.3340114777093569], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595911252.94493,"{'circle_3d': {'center': [11.655172915215806, 3.8388283686066513, 59.8506015547987], 'normal': [0.24291651246798385, 0.3815988908656205, -0.8918373475362645], 'radius': 1.476709318712063}, 'confidence': 0.18231824963667, 'timestamp': 1391.29491, 'diameter_3d': 2.953418637424126, 'ellipse': {'center': [280.67068305396873, 159.64339912229303], 'axes': [24.964144118824414, 30.754212705630344], 'angle': 49.40341043952244}, 'location': [280.67068305396873, 159.64339912229303], 'diameter': 30.754212705630344, 'sphere': {'center': [9.119087997856498, -0.4520751014222573, 74.24384060769891], 'radius': 12.0}, 'projected_sphere': {'center': [236.15223717406587, 116.22478362396659], 'axes': [200.42066625600964, 200.42066625600964], 'angle': 90.0}, 'model_confidence': 0.8649297385824428, 'model_id': 209, 'model_birth_timestamp': 1380.245808, 'theta': 1.962321794227012, 'phi': -1.3048697751525058, 'norm_pos': [0.8770958845436523, 0.33481917032377906], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595911252.951827,"{'circle_3d': {'center': [12.122170994289837, 5.518945106963719, 64.27747666754605], 'normal': [0.25025691636944486, 0.49758501736549804, -0.8305303283460717], 'radius': 1.5162514145804102}, 'confidence': 0.0869210539153262, 'timestamp': 1391.30331, 'diameter_3d': 3.0325028291608205, 'ellipse': {'center': [276.8750564261406, 173.10057353912197], 'axes': [21.544114434056453, 29.419955746880266], 'angle': 56.695103646061}, 'location': [276.8750564261406, 173.10057353912197], 'diameter': 29.419955746880266, 'sphere': {'center': [9.119087997856498, -0.4520751014222573, 74.24384060769891], 'radius': 12.0}, 'projected_sphere': {'center': [236.15223717406587, 116.22478362396659], 'axes': [200.42066625600964, 200.42066625600964], 'angle': 90.0}, 'model_confidence': 0.8649297385824428, 'model_id': 209, 'model_birth_timestamp': 1380.245808, 'theta': 2.0916087582292406, 'phi': -1.2781272881106391, 'norm_pos': [0.8652345513316894, 0.27874761025365846], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595911252.95898,"{'circle_3d': {'center': [6.073537204810144, 6.395176502258149, 64.87155348859768], 'normal': [-0.25379589942052955, 0.5706043003067005, -0.7810239265917691], 'radius': 1.6239795199179647}, 'confidence': 0.9977483471066817, 'timestamp': 1391.31171, 'diameter_3d': 3.2479590398359295, 'ellipse': {'center': [218.13813523274624, 180.9626676535657], 'axes': [23.083265095275454, 31.258588395834906], 'angle': -73.40315166454793}, 'location': [218.13813523274624, 180.9626676535657], 'diameter': 31.258588395834906, 'sphere': {'center': [9.119087997856498, -0.4520751014222573, 74.24384060769891], 'radius': 12.0}, 'projected_sphere': {'center': [236.15223717406587, 116.22478362396659], 'axes': [200.42066625600964, 200.42066625600964], 'angle': 90.0}, 'model_confidence': 0.8647587674608381, 'model_id': 209, 'model_birth_timestamp': 1380.245808, 'theta': 2.1780378462307057, 'phi': -1.884985520149681, 'norm_pos': [0.681681672602332, 0.24598888477680958], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
