#NEXT_T2_EW_PS_B0_C4_S2_0205092141
Timestamp,HeadPositionX,HeadPositionY,HeadPositionZ,HeadRotationX,HeadRotationY,HeadRotationZ,HeadForwardX,HeadForwardY,HeadForwardZ,TargetPositionX,TargetPositionY,TargetPositionZ,TargetEntered,TargetAngularDistance
415.4702,0.02940754,0.09960309,0.06042699,0.7309602,7.034278,359.0294,0.1224532,-0.01275732,0.9923923,1.5,-6.556709E-08,10,target_2,1.391142,
415.4837,0.02976759,0.09959108,0.0601747,0.7310525,7.380113,359.0029,0.1284409,-0.01275892,0.9916351,1.5,-6.556709E-08,10,target_2,1.046424,
415.5002,0.03010039,0.09954321,0.05993883,0.7599913,7.651524,358.9781,0.133136,-0.01326396,0.991009,1.5,-6.556709E-08,10,target_2,0.7843454,
415.5168,0.03026343,0.0995402,0.05971637,0.7767659,7.876247,358.966,0.1370213,-0.01355671,0.9904754,1.5,-6.556709E-08,10,target_2,0.5736903,
415.5336,0.0305004,0.09955363,0.05953737,0.7718031,8.092712,358.9716,0.1407625,-0.0134701,0.9899517,1.5,-6.556709E-08,10,target_2,0.3769049,
415.5505,0.03075781,0.09959083,0.05936312,0.745344,8.307248,358.982,0.1444692,-0.01300834,0.9894238,1.5,-6.556709E-08,10,target_2,0.2036718,
415.5674,0.03095394,0.09960535,0.05919565,0.7444807,8.484834,358.9678,0.1475352,-0.01299327,0.9889715,1.5,-6.556709E-08,10,target_2,0.1928145,
415.5838,0.03112716,0.09959318,0.05905295,0.7570862,8.628119,358.9623,0.1500075,-0.01321326,0.9885966,1.5,-6.556709E-08,10,target_2,0.2927522,
415.6003,0.03126112,0.09955999,0.05887909,0.7847935,8.735491,358.9607,0.1518589,-0.0136968,0.9883073,1.5,-6.556709E-08,10,target_2,0.3961419,
415.6171,0.03125292,0.09953727,0.05872399,0.8148324,8.802286,358.9467,0.1530098,-0.01422103,0.9881223,1.5,-6.556709E-08,10,target_2,0.4685547,
415.6334,0.03132629,0.09953448,0.05858669,0.8161801,8.875108,358.9291,0.1542655,-0.01424455,0.9879267,1.5,-6.556709E-08,10,target_2,0.533025,
415.6503,0.03130507,0.099547,0.05846308,0.8017765,8.91671,358.9285,0.1549833,-0.01399318,0.987818,1.5,-6.556709E-08,10,target_2,0.5637122,
415.6668,0.03130633,0.09955491,0.05835353,0.8089232,8.917129,358.9423,0.1549903,-0.0141179,0.9878151,1.5,-6.556709E-08,10,target_2,0.5671728,
415.6828,0.03132641,0.09948279,0.05823565,0.8464409,8.955542,358.9576,0.155651,-0.01477264,0.9877017,1.5,-6.556709E-08,10,target_2,0.618656,
415.7,0.03121714,0.09942283,0.05811489,0.9060394,8.890314,358.9694,0.154524,-0.01581271,0.9878625,1.5,-6.556709E-08,10,target_2,0.5931431,
415.7169,0.03101235,0.09944291,0.05803791,0.9139714,8.798259,359.0068,0.1529363,-0.01595113,0.9881073,1.5,-6.556709E-08,10,target_2,0.5241405,
415.7332,0.03095395,0.09946913,0.05791156,0.9199179,8.776983,359.0409,0.1525692,-0.01605491,0.9881624,1.5,-6.556709E-08,10,target_2,0.5124369,
415.7508,0.03092719,0.09949584,0.05775801,0.9209553,8.70345,359.0496,0.1513008,-0.01607301,0.9883571,1.5,-6.556709E-08,10,target_2,0.4622481,
415.7669,0.03083348,0.0994928,0.0576064,0.9453456,8.634831,359.0589,0.150116,-0.01649864,0.9885307,1.5,-6.556709E-08,10,target_2,0.4419051,
415.783,0.03080742,0.09939326,0.05755419,0.9647059,8.557144,359.0578,0.1487746,-0.0168365,0.9887278,1.5,-6.556709E-08,10,target_2,0.4261257,
415.8008,0.0307308,0.09939617,0.0573879,0.9733918,8.469119,359.0495,0.1472551,-0.01698807,0.9889526,1.5,-6.556709E-08,10,target_2,0.4121198,
415.817,0.03060641,0.09941985,0.05716324,0.9697393,8.403059,359.0414,0.1461149,-0.01692433,0.9891229,1.5,-6.556709E-08,10,target_2,0.403483,
415.8332,0.03056832,0.0994348,0.05698399,0.9488836,8.349812,359.0337,0.1451965,-0.01656039,0.9892642,1.5,-6.556709E-08,10,target_2,0.3856296,
415.8506,0.03050539,0.09945206,0.0567622,0.9371552,8.329189,359.0325,0.1448409,-0.01635571,0.9893197,1.5,-6.556709E-08,10,target_2,0.3779418,
415.8669,0.03047629,0.09949327,0.05655039,0.9315173,8.315243,359.0258,0.1446003,-0.01625733,0.9893566,1.5,-6.556709E-08,10,target_2,0.3758652,
415.8825,0.03047956,0.09948574,0.05632211,0.9226287,8.289676,359.0275,0.1441592,-0.01610221,0.9894235,1.5,-6.556709E-08,10,target_2,0.3743001,
415.9001,0.03045139,0.09949879,0.05610297,0.9063826,8.272571,359.0501,0.1438645,-0.0158187,0.989471,1.5,-6.556709E-08,10,target_2,0.364769,
415.9172,0.0303856,0.09951416,0.05588827,0.8790908,8.242713,359.0764,0.1433499,-0.01534243,0.9895532,1.5,-6.556709E-08,10,target_2,0.3522151,
415.9341,0.03037386,0.09965479,0.05571745,0.8130947,8.215039,359.0538,0.1428743,-0.0141907,0.9896391,1.5,-6.556709E-08,10,target_2,0.3109043,
415.9505,0.03033572,0.09970626,0.05553976,0.7659603,8.203312,359.0062,0.1426734,-0.01336813,0.9896795,1.5,-6.556709E-08,10,target_2,0.2832403,
415.9661,0.03030286,0.09972154,0.05534491,0.7855904,8.165933,358.9891,0.1420271,-0.01371071,0.9897678,1.5,-6.556709E-08,10,target_2,0.3238513,
415.983,0.03021181,0.09975895,0.05515866,0.7947153,8.092845,358.9958,0.1407641,-0.01386995,0.989946,1.5,-6.556709E-08,10,target_2,0.3876539,
416.0002,0.03010709,0.09980389,0.0549884,0.7900332,8.022023,359.0053,0.1395405,-0.01378824,0.9901204,1.5,-6.556709E-08,10,target_2,0.4445539,
416.0168,0.02990622,0.09965342,0.05479123,0.7839354,7.995427,359.0282,0.139081,-0.01368183,0.9901865,1.5,-6.556709E-08,10,target_2,0.4660423,
416.0331,0.02984768,0.09966329,0.05463909,0.7821531,7.987368,359.0575,0.1389418,-0.01365072,0.9902065,1.5,-6.556709E-08,10,target_2,0.4727124,
416.0496,0.02976759,0.09966014,0.05448417,0.7623628,7.980301,359.071,0.1388203,-0.01330535,0.9902282,1.5,-6.556709E-08,10,target_2,0.4706381,
416.0669,0.02969623,0.09972499,0.05437736,0.7369432,7.969866,359.1298,0.1386408,-0.01286173,0.9902592,1.5,-6.556709E-08,10,target_2,0.4710537,
416.0829,0.02962197,0.0997207,0.05425035,0.7034366,7.956757,359.1583,0.1384152,-0.01227698,0.9902982,1.5,-6.556709E-08,10,target_2,0.4722982,
416.0999,0.02957106,0.09974886,0.0541552,0.6792932,7.942811,359.1979,0.1381749,-0.01185563,0.9903369,1.5,-6.556709E-08,10,target_2,0.4796977,
416.1169,0.02953726,0.09972486,0.05402206,0.6788201,7.936041,359.2093,0.1380579,-0.01184737,0.9903533,1.5,-6.556709E-08,10,target_2,0.4865827,
416.1333,0.02950322,0.09974501,0.0539226,0.6926785,7.92167,359.2148,0.1378091,-0.01208923,0.9903851,1.5,-6.556709E-08,10,target_2,0.5035778,
416.1502,0.0295215,0.09970356,0.05382275,0.7025745,7.916314,359.2236,0.1377162,-0.01226193,0.9903958,1.5,-6.556709E-08,10,target_2,0.5112901,
416.1671,0.0295421,0.09977135,0.05375722,0.685556,7.904367,359.2117,0.1375102,-0.01196492,0.9904281,1.5,-6.556709E-08,10,target_2,0.5188877,
416.1827,0.02959241,0.09974696,0.05368178,0.6596667,7.898077,359.1865,0.1374022,-0.0115131,0.9904484,1.5,-6.556709E-08,10,target_2,0.5196414,
416.2007,0.02959893,0.09972371,0.05363072,0.6623707,7.891469,359.1516,0.1372879,-0.01156029,0.9904637,1.5,-6.556709E-08,10,target_2,0.5263757,
416.2166,0.02965777,0.09974803,0.05355667,0.6544566,7.892942,359.1253,0.1373136,-0.01142217,0.9904618,1.5,-6.556709E-08,10,target_2,0.5226451,
416.2336,0.02967982,0.09979443,0.05351202,0.6473646,7.883641,359.1241,0.137153,-0.0112984,0.9904854,1.5,-6.556709E-08,10,target_2,0.5308178,
416.2507,0.02973752,0.09973526,0.05341892,0.6354235,7.905898,359.1292,0.1375381,-0.01109001,0.9904344,1.5,-6.556709E-08,10,target_2,0.5066768,
416.2664,0.02976363,0.09972049,0.05338063,0.6215108,7.931851,359.1251,0.137987,-0.0108472,0.9903746,1.5,-6.556709E-08,10,target_2,0.4792896,
416.2828,0.0298855,0.09971681,0.05330344,0.6117766,7.955263,359.1166,0.138392,-0.01067731,0.99032,1.5,-6.556709E-08,10,target_2,0.4541341,
416.2996,0.02992575,0.09973914,0.05326056,0.5928469,7.98048,359.1224,0.1388283,-0.01034695,0.9902624,1.5,-6.556709E-08,10,target_2,0.427501,
416.3164,0.03005265,0.09974076,0.05319306,0.5755571,7.994845,359.1036,0.139077,-0.0100452,0.9902306,1.5,-6.556709E-08,10,target_2,0.4111691,
416.3332,0.03009792,0.09976433,0.05315516,0.5597833,8.01084,359.0946,0.1393538,-0.009769906,0.9901944,1.5,-6.556709E-08,10,target_2,0.3951527,
416.3493,0.03029222,0.09961388,0.05314725,0.5573372,8.024288,359.0831,0.1395863,-0.009727216,0.9901621,1.5,-6.556709E-08,10,target_2,0.3805216,
416.367,0.03032712,0.09959373,0.05309327,0.5824167,8.038064,359.0911,0.1398237,-0.01016491,0.9901242,1.5,-6.556709E-08,10,target_2,0.3669084,
416.384,0.03038353,0.09953436,0.05301486,0.614383,8.051297,359.1014,0.1400516,-0.0107228,0.9900861,1.5,-6.556709E-08,10,target_2,0.3566318,
416.3998,0.030442,0.09949011,0.05297465,0.6330206,8.068578,359.1073,0.1403497,-0.01104807,0.9900404,1.5,-6.556709E-08,10,target_2,0.3420692,
416.4163,0.03055514,0.09945552,0.05290253,0.6453305,8.088034,359.1099,0.1406855,-0.0112629,0.9899903,1.5,-6.556709E-08,10,target_2,0.324455,
416.4331,0.03061074,0.09940007,0.05287041,0.6609501,8.088134,359.1015,0.1406868,-0.0115355,0.989987,1.5,-6.556709E-08,10,target_2,0.3286494,
416.4494,0.03072977,0.09930758,0.05282918,0.688448,8.08501,359.094,0.140632,-0.0120154,0.989989,1.5,-6.556709E-08,10,target_2,0.3397734,
416.4672,0.03077826,0.09925743,0.05281328,0.7106224,8.067513,359.0602,0.1403291,-0.01240238,0.9900272,1.5,-6.556709E-08,10,target_2,0.3642322,
416.4826,0.03091799,0.09916423,0.05278741,0.7362596,8.060349,359.0382,0.1402045,-0.0128498,0.9900392,1.5,-6.556709E-08,10,target_2,0.3820612,
416.4997,0.03098254,0.09909122,0.05273492,0.8083081,8.056066,359.0164,0.1401281,-0.01410717,0.9900329,1.5,-6.556709E-08,10,target_2,0.4219727,
416.5158,0.03113515,0.09897883,0.05266159,0.8366231,8.050236,358.9986,0.1400264,-0.01460131,0.9900401,1.5,-6.556709E-08,10,target_2,0.4432315,
416.5328,0.03122074,0.09892917,0.05260498,0.8714783,8.055975,358.9926,0.1401243,-0.01520958,0.9900171,1.5,-6.556709E-08,10,target_2,0.4609765,
416.5492,0.03136115,0.09887413,0.05249303,0.9002737,8.0722,358.99,0.1404035,-0.01571209,0.9899697,1.5,-6.556709E-08,10,target_2,0.4689721,
