eye_packets,593
norm_X,norm_Y,phi,theta,confidence,timestamp
1603852268.444727,"{'circle_3d': {'center': [-11.894631467279034, -12.439028851871365, 48.90800569318523], 'normal': [0.3725995285101028, -0.08611711588651173, -0.9239877887209539], 'radius': 1.8055508893457135}, 'confidence': 0.3689811983656096, 'timestamp': 177458.026348, 'diameter_3d': 3.611101778691427, 'ellipse': {'center': [77.33833322727537, 33.75829151868915], 'axes': [23.544526091606368, 26.448297193492067], 'angle': -54.57260015107575}, 'location': [77.33833322727537, 33.75829151868915], 'diameter': 26.448297193492067, 'sphere': {'center': [-16.365825809400267, -11.405623461233224, 59.995859157836676], 'radius': 12.0}, 'projected_sphere': {'center': [67.48202343385974, 55.52264234032782], 'axes': [135.67487907099598, 135.67487907099598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 4, 'model_birth_timestamp': 177415.018348, 'theta': 1.4845724110851766, 'phi': -1.187490016884707, 'norm_pos': [0.24168229133523553, 0.8593404520054619], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603852268.447244,"{'circle_3d': {'center': [-11.87404266931712, -12.356983956814158, 48.90898415042757], 'normal': [0.37431526167359574, -0.0792800412984112, -0.9239062506174258], 'radius': 1.8547611364592356}, 'confidence': 0.45785372302976446, 'timestamp': 177458.034748, 'diameter_3d': 3.709522272918471, 'ellipse': {'center': [77.47231441257469, 34.32706320085454], 'axes': [24.236558751461295, 27.168051268049982], 'angle': -54.031953724233574}, 'location': [77.47231441257469, 34.32706320085454], 'diameter': 27.168051268049982, 'sphere': {'center': [-16.365825809400267, -11.405623461233224, 59.995859157836676], 'radius': 12.0}, 'projected_sphere': {'center': [67.48202343385974, 55.52264234032782], 'axes': [135.67487907099598, 135.67487907099598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 4, 'model_birth_timestamp': 177415.018348, 'theta': 1.4914329995782845, 'phi': -1.1858631732747698, 'norm_pos': [0.2421009825392959, 0.8569705699964394], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603852268.462827,"{'circle_3d': {'center': [-11.854101062750203, -12.293880603273639, 48.91184638898443], 'normal': [0.3759770622208386, -0.07402142850336786, -0.9236677307376872], 'radius': 1.850930482041231}, 'confidence': 0.5080985353299585, 'timestamp': 177458.043148, 'diameter_3d': 3.701860964082462, 'ellipse': {'center': [77.61547699572354, 34.767243136896184], 'axes': [24.22083138997377, 27.109290978170563], 'angle': -53.580398798355276}, 'location': [77.61547699572354, 34.767243136896184], 'diameter': 27.109290978170563, 'sphere': {'center': [-16.365825809400267, -11.405623461233224, 59.995859157836676], 'radius': 12.0}, 'projected_sphere': {'center': [67.48202343385974, 55.52264234032782], 'axes': [135.67487907099598, 135.67487907099598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 4, 'model_birth_timestamp': 177415.018348, 'theta': 1.496707135057759, 'phi': -1.1842289298481838, 'norm_pos': [0.24254836561163606, 0.8551364869295992], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603852268.465528,"{'circle_3d': {'center': [-11.837523219573644, -12.349504705761822, 48.92320979776044], 'normal': [0.37735854915221867, -0.07865677037738314, -0.9227207800063529], 'radius': 1.8564148594469343}, 'confidence': 0.321627561357528, 'timestamp': 177458.051548, 'diameter_3d': 3.7128297188938686, 'ellipse': {'center': [77.74785173505695, 34.403271125122274], 'axes': [24.237699397941906, 27.183702743200644], 'angle': -53.70115504963378}, 'location': [77.74785173505695, 34.403271125122274], 'diameter': 27.183702743200644, 'sphere': {'center': [-16.365825809400267, -11.405623461233224, 59.995859157836676], 'radius': 12.0}, 'projected_sphere': {'center': [67.48202343385974, 55.52264234032782], 'axes': [135.67487907099598, 135.67487907099598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 4, 'model_birth_timestamp': 177415.018348, 'theta': 1.4920582230078694, 'phi': -1.1825872866049487, 'norm_pos': [0.242962036672053, 0.8566530369786571], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603852268.481236,"{'circle_3d': {'center': [-11.914577721651284, -12.441265208322767, 48.90019168656681], 'normal': [0.3709373406457486, -0.08630347892412854, -0.924638955939156], 'radius': 1.8505011738857504}, 'confidence': 0.421950731298353, 'timestamp': 177458.068348, 'diameter_3d': 3.701002347771501, 'ellipse': {'center': [77.17863445122687, 33.73024437268758], 'axes': [24.143256710244124, 27.111392837809888], 'angle': -54.74572751147683}, 'location': [77.17863445122687, 33.73024437268758], 'diameter': 27.111392837809888, 'sphere': {'center': [-16.365825809400267, -11.405623461233224, 59.995859157836676], 'radius': 12.0}, 'projected_sphere': {'center': [67.48202343385974, 55.52264234032782], 'axes': [135.67487907099598, 135.67487907099598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 4, 'model_birth_timestamp': 177415.018348, 'theta': 1.4843853516177399, 'phi': -1.1892818006627797, 'norm_pos': [0.24118323266008396, 0.8594573151138017], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603852268.489342,"{'circle_3d': {'center': [-11.994585937490928, -12.248121399881743, 48.85214078354154], 'normal': [0.36426998932577825, -0.07020816155404323, -0.9286431978579279], 'radius': 1.8869594933042426}, 'confidence': 0.3392823163152668, 'timestamp': 177458.076748, 'diameter_3d': 3.7739189866084852, 'ellipse': {'center': [76.53735975960365, 34.98099615309886], 'axes': [24.82732825354851, 27.672526754578115], 'angle': -54.509505677848544}, 'location': [76.53735975960365, 34.98099615309886], 'diameter': 27.672526754578115, 'sphere': {'center': [-16.365825809400267, -11.405623461233224, 59.995859157836676], 'radius': 12.0}, 'projected_sphere': {'center': [67.48202343385974, 55.52264234032782], 'axes': [135.67487907099598, 135.67487907099598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 4, 'model_birth_timestamp': 177415.018348, 'theta': 1.5005303587457295, 'phi': -1.1969797384980654, 'norm_pos': [0.23917924924876138, 0.8542458493620881], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603852268.512276,"{'circle_3d': {'center': [-11.957025248746717, -12.356036991486995, 48.87564370408347], 'normal': [0.3674000467211291, -0.07920112752114755, -0.9266846211461002], 'radius': 1.8654561741778017}, 'confidence': 0.1474197505984959, 'timestamp': 177458.093548, 'diameter_3d': 3.7309123483556035, 'ellipse': {'center': [76.84103420437451, 34.27611369531837], 'axes': [24.435962560954767, 27.344183444356013], 'angle': -54.7004895924753}, 'location': [76.84103420437451, 34.27611369531837], 'diameter': 27.344183444356013, 'sphere': {'center': [-16.365825809400267, -11.405623461233224, 59.995859157836676], 'radius': 12.0}, 'projected_sphere': {'center': [67.48202343385974, 55.52264234032782], 'axes': [135.67487907099598, 135.67487907099598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 4, 'model_birth_timestamp': 177415.018348, 'theta': 1.4915121622810241, 'phi': -1.193339181681126, 'norm_pos': [0.24012823188867033, 0.8571828596028401], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603852268.527862,"{'circle_3d': {'center': [-11.924614560910019, -12.32498493557156, 48.88593489500814], 'normal': [0.37010093737418726, -0.07661345619486133, -0.9258270219023778], 'radius': 1.838916303373464}, 'confidence': 0.36144293386751414, 'timestamp': 177458.110348, 'diameter_3d': 3.677832606746928, 'ellipse': {'center': [77.08748781136202, 34.50773656690731], 'axes': [24.089523073581827, 26.94894836541961], 'angle': -54.294971286764024}, 'location': [77.08748781136202, 34.50773656690731], 'diameter': 26.94894836541961, 'sphere': {'center': [-16.365825809400267, -11.405623461233224, 59.995859157836676], 'radius': 12.0}, 'projected_sphere': {'center': [67.48202343385974, 55.52264234032782], 'axes': [135.67487907099598, 135.67487907099598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 4, 'model_birth_timestamp': 177415.018348, 'theta': 1.4941077232743472, 'phi': -1.1905040090570194, 'norm_pos': [0.24089839941050634, 0.8562177643045529], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603852268.530321,"{'circle_3d': {'center': [-11.906905076528009, -12.257388069661355, 48.88764044600933], 'normal': [0.3715767277393548, -0.07098038403567751, -0.9256848926522788], 'radius': 1.8567049830006455}, 'confidence': 0.5797683423727333, 'timestamp': 177458.118748, 'diameter_3d': 3.713409966001291, 'ellipse': {'center': [77.20907699254465, 34.97751385508886], 'axes': [24.361576793684602, 27.20790757586082], 'angle': -53.84152895668265}, 'location': [77.20907699254465, 34.97751385508886], 'diameter': 27.20790757586082, 'sphere': {'center': [-16.365825809400267, -11.405623461233224, 59.995859157836676], 'radius': 12.0}, 'projected_sphere': {'center': [67.48202343385974, 55.52264234032782], 'axes': [135.67487907099598, 135.67487907099598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 4, 'model_birth_timestamp': 177415.018348, 'theta': 1.4997562048172464, 'phi': -1.1890772985215818, 'norm_pos': [0.24127836560170204, 0.8542603589371298], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603852268.5480618,"{'circle_3d': {'center': [-11.892400560410548, -12.30871080265428, 48.8975304640438], 'normal': [0.37278543741580983, -0.07525727845175466, -0.9248607244827398], 'radius': 1.8557763481068648}, 'confidence': 0.28415090376002783, 'timestamp': 177458.127148, 'diameter_3d': 3.7115526962137295, 'ellipse': {'center': [77.32609750580983, 34.6403542345512], 'axes': [24.30022463836887, 27.189100967275838], 'angle': -53.95960214638501}, 'location': [77.32609750580983, 34.6403542345512], 'diameter': 27.189100967275838, 'sphere': {'center': [-16.365825809400267, -11.405623461233224, 59.995859157836676], 'radius': 12.0}, 'projected_sphere': {'center': [67.48202343385974, 55.52264234032782], 'axes': [135.67487907099598, 135.67487907099598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 4, 'model_birth_timestamp': 177415.018348, 'theta': 1.49546782809752, 'phi': -1.1876445051787903, 'norm_pos': [0.2416440547056557, 0.85566519068937], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603852268.549015,"{'circle_3d': {'center': [-11.877638350826487, -12.350211775309148, 48.90694910077461], 'normal': [0.374015621547815, -0.07871569283966033, -0.9240758380885055], 'radius': 1.8599024200973684}, 'confidence': 0.30845264842337, 'timestamp': 177458.135548, 'diameter_3d': 3.719804840194737, 'ellipse': {'center': [77.4430399188341, 34.37036027766885], 'axes': [24.31162831825785, 27.244505225736056], 'angle': -54.03025551651551}, 'location': [77.4430399188341, 34.37036027766885], 'diameter': 27.244505225736056, 'sphere': {'center': [-16.365825809400267, -11.405623461233224, 59.995859157836676], 'radius': 12.0}, 'projected_sphere': {'center': [67.48202343385974, 55.52264234032782], 'axes': [135.67487907099598, 135.67487907099598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 4, 'model_birth_timestamp': 177415.018348, 'theta': 1.4919991172842515, 'phi': -1.1862056290237117, 'norm_pos': [0.24200949974635658, 0.8567901655097131], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
