eye_packets,771
norm_X,norm_Y,phi,theta,confidence,timestamp
1603851099.8027651,"{'circle_3d': {'center': [-8.625459028427214, -2.6064844462844796, 29.918101123412676], 'normal': [0.35051611321310483, -0.04303657207655684, -0.9355673721554623], 'radius': 1.052901977582196}, 'confidence': 0.2884528424181834, 'timestamp': 176289.394575, 'diameter_3d': 2.105803955164392, 'ellipse': {'center': [62.065400740579534, 90.46418111088491], 'axes': [23.626675179955043, 24.919054744370698], 'angle': -70.14347466439243}, 'location': [62.065400740579534, 90.46418111088491], 'diameter': 24.919054744370698, 'sphere': {'center': [-12.831652386984471, -2.0900455813657977, 41.14490958927822], 'radius': 12.0}, 'projected_sphere': {'center': [54.226724857487, 102.77143428835113], 'axes': [197.83567438245507, 197.83567438245507], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5277464586272007, 'phi': -1.2123271073633421, 'norm_pos': [0.19395437731431103, 0.6230659120379796], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851099.809325,"{'circle_3d': {'center': [-8.641367636167052, -2.4906048832578223, 29.90742473043482], 'normal': [0.3491903959014516, -0.03337994182433539, -0.9364570715702837], 'radius': 1.0812194640320296}, 'confidence': 0.4208668091715768, 'timestamp': 176289.402975, 'diameter_3d': 2.1624389280640592, 'ellipse': {'center': [61.842224002029155, 91.76472429806108], 'axes': [24.317216386155067, 25.591750764118462], 'angle': -70.82685889452975}, 'location': [61.842224002029155, 91.76472429806108], 'diameter': 25.591750764118462, 'sphere': {'center': [-12.831652386984471, -2.0900455813657977, 41.14490958927822], 'radius': 12.0}, 'projected_sphere': {'center': [54.226724857487, 102.77143428835113], 'axes': [197.83567438245507, 197.83567438245507], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.537410183091105, 'phi': -1.2138815654833657, 'norm_pos': [0.1932569500063411, 0.6176469820914121], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851099.818818,"{'circle_3d': {'center': [-8.660633214169472, -2.6228757476545064, 29.90575076515342], 'normal': [0.34758493106791666, -0.0444025138573924, -0.9365965686770669], 'radius': 1.0606814353233505}, 'confidence': 0.23412095253080234, 'timestamp': 176289.411375, 'diameter_3d': 2.121362870646701, 'ellipse': {'center': [61.6248967199554, 90.26688259755397], 'axes': [23.809665984283793, 25.126921523614076], 'angle': -70.49418824534366}, 'location': [61.6248967199554, 90.26688259755397], 'diameter': 25.126921523614076, 'sphere': {'center': [-12.831652386984471, -2.0900455813657977, 41.14490958927822], 'radius': 12.0}, 'projected_sphere': {'center': [54.226724857487, 102.77143428835113], 'axes': [197.83567438245507, 197.83567438245507], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5263792094353823, 'phi': -1.2154361247304433, 'norm_pos': [0.19257780224986062, 0.6238879891768585], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851099.8257751,"{'circle_3d': {'center': [-8.678021327872578, -2.616999211649697, 29.899036172939603], 'normal': [0.34613592159265777, -0.04391280252365829, -0.9371561180282182], 'radius': 1.057641104370076}, 'confidence': 0.39115756567297716, 'timestamp': 176289.419775, 'diameter_3d': 2.115282208740152, 'ellipse': {'center': [61.40699715480977, 90.32665807901577], 'axes': [23.751415097163093, 25.065571149616183], 'angle': -70.71659675219287}, 'location': [61.40699715480977, 90.32665807901577], 'diameter': 25.065571149616183, 'sphere': {'center': [-12.831652386984471, -2.0900455813657977, 41.14490958927822], 'radius': 12.0}, 'projected_sphere': {'center': [54.226724857487, 102.77143428835113], 'axes': [197.83567438245507, 197.83567438245507], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.52686939891718, 'phi': -1.2169907851045747, 'norm_pos': [0.19189686610878054, 0.6236389246707676], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851099.8376808,"{'circle_3d': {'center': [-8.69557259192539, -2.621045603317751, 29.892759443390943], 'normal': [0.3446733162549233, -0.044250001829329436, -0.9376791788239397], 'radius': 1.0684064617666247}, 'confidence': 0.23224757528997775, 'timestamp': 176289.428175, 'diameter_3d': 2.1368129235332494, 'ellipse': {'center': [61.184605626874756, 90.27496082643944], 'axes': [23.999077164116184, 25.332176853921165], 'angle': -70.90224043802479}, 'location': [61.184605626874756, 90.27496082643944], 'diameter': 25.332176853921165, 'sphere': {'center': [-12.831652386984471, -2.0900455813657977, 41.14490958927822], 'radius': 12.0}, 'projected_sphere': {'center': [54.226724857487, 102.77143428835113], 'axes': [197.83567438245507, 197.83567438245507], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5265318715138696, 'phi': -1.2185455466111472, 'norm_pos': [0.19120189258398362, 0.6238543298898357], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851099.846113,"{'circle_3d': {'center': [-8.713135056656192, -2.625099501308259, 29.88651128834128], 'normal': [0.3432097775273566, -0.04458782666187178, -0.9381998584114118], 'radius': 1.0562517717710493}, 'confidence': 0.44358473492072303, 'timestamp': 176289.436575, 'diameter_3d': 2.1125035435420987, 'ellipse': {'center': [60.96871699703054, 90.22261338532087], 'axes': [23.731747267969556, 25.0550791172521], 'angle': -71.08464556596068}, 'location': [60.96871699703054, 90.22261338532087], 'diameter': 25.0550791172521, 'sphere': {'center': [-12.831652386984471, -2.0900455813657977, 41.14490958927822], 'radius': 12.0}, 'projected_sphere': {'center': [54.226724857487, 102.77143428835113], 'axes': [197.83567438245507, 197.83567438245507], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5261937129147825, 'phi': -1.2201004092393875, 'norm_pos': [0.19052724061572043, 0.6240724442278297], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851099.8536441,"{'circle_3d': {'center': [-8.73070867642105, -2.6291609048303397, 29.880291737313776], 'normal': [0.34174530921361834, -0.0449262769553785, -0.9387181543303703], 'radius': 1.0387862929331462}, 'confidence': 0.411104647576651, 'timestamp': 176289.444975, 'diameter_3d': 2.0775725858662923, 'ellipse': {'center': [60.754136580568485, 90.17004991039632], 'axes': [23.344867269931044, 24.651565405678042], 'angle': -71.26493705697507}, 'location': [60.754136580568485, 90.17004991039632], 'diameter': 24.651565405678042, 'sphere': {'center': [-12.831652386984471, -2.0900455813657977, 41.14490958927822], 'radius': 12.0}, 'projected_sphere': {'center': [54.226724857487, 102.77143428835113], 'axes': [197.83567438245507, 197.83567438245507], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5258549231187504, 'phi': -1.221655372994682, 'norm_pos': [0.1898566768142765, 0.624291458706682], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851099.861363,"{'circle_3d': {'center': [-8.859603250108929, -2.5133276522088033, 29.829271828075846], 'normal': [0.33100409473962855, -0.03527350590358381, -0.9429698134335314], 'radius': 1.037593439229856}, 'confidence': 0.34400243899466787, 'timestamp': 176289.453375, 'diameter_3d': 2.075186878459712, 'ellipse': {'center': [59.12322220550166, 91.43286566949548], 'axes': [23.413588849657977, 24.694158524436972], 'angle': -73.04748945861445}, 'location': [59.12322220550166, 91.43286566949548], 'diameter': 24.694158524436972, 'sphere': {'center': [-12.831652386984471, -2.0900455813657977, 41.14490958927822], 'radius': 12.0}, 'projected_sphere': {'center': [54.226724857487, 102.77143428835113], 'axes': [197.83567438245507, 197.83567438245507], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5355155021245959, 'phi': -1.2332104378824185, 'norm_pos': [0.1847600693921927, 0.6190297263771021], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851099.870315,"{'circle_3d': {'center': [-8.756508992912366, -2.525729131878497, 29.866461727911698], 'normal': [0.33959528283934215, -0.03630696254272496, -0.939870655113877], 'radius': 1.058837489179185}, 'confidence': 0.4417878465225245, 'timestamp': 176289.461775, 'diameter_3d': 2.11767497835837, 'ellipse': {'center': [60.41035035557901, 91.32814191773011], 'axes': [23.84781114181782, 25.13796197807368], 'angle': -71.94406184039265}, 'location': [60.41035035557901, 91.32814191773011], 'diameter': 25.13796197807368, 'sphere': {'center': [-12.831652386984471, -2.0900455813657977, 41.14490958927822], 'radius': 12.0}, 'projected_sphere': {'center': [54.226724857487, 102.77143428835113], 'axes': [197.83567438245507, 197.83567438245507], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5344813829042085, 'phi': -1.2240715368613586, 'norm_pos': [0.18878234486118442, 0.6194660753427912], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851099.877385,"{'circle_3d': {'center': [-8.783427553039662, -2.5282117607935035, 29.85686785950781], 'normal': [0.33735206949540086, -0.03651384828564216, -0.9406701441475346], 'radius': 1.0692161335745847}, 'confidence': 0.3986784117316114, 'timestamp': 176289.470175, 'diameter_3d': 2.1384322671491693, 'ellipse': {'center': [60.07048696056155, 91.29108131109257], 'axes': [24.091560282457237, 25.40135774712445], 'angle': -72.21810090759901}, 'location': [60.07048696056155, 91.29108131109257], 'diameter': 25.40135774712445, 'sphere': {'center': [-12.831652386984471, -2.0900455813657977, 41.14490958927822], 'radius': 12.0}, 'projected_sphere': {'center': [54.226724857487, 102.77143428835113], 'axes': [197.83567438245507, 197.83567438245507], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.534274359888379, 'phi': -1.2264545314168238, 'norm_pos': [0.18772027175175485, 0.6196204945371143], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851099.8855832,"{'circle_3d': {'center': [-8.80102732603664, -2.530694244892324, 29.85066811968888], 'normal': [0.33588542174565256, -0.03672072196054388, -0.9411867891324451], 'radius': 1.0493508236400224}, 'confidence': 0.510883285455787, 'timestamp': 176289.478575, 'diameter_3d': 2.098701647280045, 'ellipse': {'center': [59.85595396274961, 91.25663995493785], 'axes': [23.64988188471396, 24.940072385725525], 'angle': -72.38973832927816}, 'location': [59.85595396274961, 91.25663995493785], 'diameter': 24.940072385725525, 'sphere': {'center': [-12.831652386984471, -2.0900455813657977, 41.14490958927822], 'radius': 12.0}, 'projected_sphere': {'center': [54.226724857487, 102.77143428835113], 'axes': [197.83567438245507, 197.83567438245507], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5340673473827235, 'phi': -1.2280105414035685, 'norm_pos': [0.18704985613359254, 0.6197640001877589], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
