eye_packets,778
norm_X,norm_Y,phi,theta,confidence,timestamp
1603777155.707061,"{'circle_3d': {'center': [-0.7293042598126543, 3.9596654760716956, 32.9232102289466], 'normal': [-0.05775443122747483, 0.4285633229613365, -0.9016639639499452], 'radius': 2.4150066212126164}, 'confidence': 0.997751339920662, 'timestamp': 102345.449499, 'diameter_3d': 4.830013242425233, 'ellipse': {'center': [152.57451489904165, 160.12632815089722], 'axes': [42.27798947627897, 49.7827960374836], 'angle': -81.88004271222673}, 'location': [152.57451489904165, 160.12632815089722], 'diameter': 49.7827960374836, 'sphere': {'center': [-0.03625108508295633, -1.1830943994643426, 43.74317779634595], 'radius': 12.0}, 'projected_sphere': {'center': [159.71892633339675, 110.82684890578469], 'axes': [186.0845815522795, 186.0845815522795], 'angle': 90.0}, 'model_confidence': 0.7063550681203679, 'model_id': 24, 'model_birth_timestamp': 102324.525099, 'theta': 2.013698399621223, 'phi': -1.6347621081582597, 'norm_pos': [0.47679535905950515, 0.33280696603792825], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777155.717657,"{'circle_3d': {'center': [-0.7046019947904074, 3.977088455093329, 32.929953486778416], 'normal': [-0.055695909142287586, 0.430015237879806, -0.9011020257972945], 'radius': 2.3878011986449663}, 'confidence': 0.9981971871058712, 'timestamp': 102345.457899, 'diameter_3d': 4.775602397289933, 'ellipse': {'center': [152.82532155616772, 160.3110768133451], 'axes': [41.749824182257505, 49.21143652522419], 'angle': -82.19069648003467}, 'location': [152.82532155616772, 160.3110768133451], 'diameter': 49.21143652522419, 'sphere': {'center': [-0.03625108508295633, -1.1830943994643426, 43.74317779634595], 'radius': 12.0}, 'projected_sphere': {'center': [159.71892633339675, 110.82684890578469], 'axes': [186.0845815522795, 186.0845815522795], 'angle': 90.0}, 'model_confidence': 0.7071075581727371, 'model_id': 24, 'model_birth_timestamp': 102324.525099, 'theta': 2.015305981725278, 'phi': -1.632526457744596, 'norm_pos': [0.47757912986302414, 0.3320371799443954], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777155.7238789,"{'circle_3d': {'center': [-0.7499145862425353, 3.9650175024038217, 32.927095869282155], 'normal': [-0.05947195842996491, 0.42900932515568035, -0.9013401605886493], 'radius': 2.407056051855573}, 'confidence': 0.9990593974196553, 'timestamp': 102345.466299, 'diameter_3d': 4.814112103711146, 'ellipse': {'center': [152.36504864715477, 160.18087148060673], 'axes': [42.10802875168422, 49.61298199663192], 'angle': -81.65365115519785}, 'location': [152.36504864715477, 160.18087148060673], 'diameter': 49.61298199663192, 'sphere': {'center': [-0.03625108508295633, -1.1830943994643426, 43.74317779634595], 'radius': 12.0}, 'projected_sphere': {'center': [159.71892633339675, 110.82684890578469], 'axes': [186.0845815522795, 186.0845815522795], 'angle': 90.0}, 'model_confidence': 0.7083603478904132, 'model_id': 24, 'model_birth_timestamp': 102324.525099, 'theta': 2.014192089316314, 'phi': -1.6366825264345064, 'norm_pos': [0.47614077702235863, 0.3325797021641387], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777155.7240498,"{'circle_3d': {'center': [-0.7251848255376478, 3.9697335106701392, 32.927738146021866], 'normal': [-0.05741114503789096, 0.42940232584454013, -0.9012866375270066], 'radius': 2.406744476061717}, 'confidence': 0.9986937682571273, 'timestamp': 102345.474699, 'diameter_3d': 4.813488952123434, 'ellipse': {'center': [152.61677247743376, 160.22831573609093], 'axes': [42.09825820448278, 49.60556384405962], 'angle': -81.94380051201355}, 'location': [152.61677247743376, 160.22831573609093], 'diameter': 49.60556384405962, 'sphere': {'center': [-0.03625108508295633, -1.1830943994643426, 43.74317779634595], 'radius': 12.0}, 'projected_sphere': {'center': [159.71892633339675, 110.82684890578469], 'axes': [186.0845815522795, 186.0845815522795], 'angle': 90.0}, 'model_confidence': 0.7096873730309095, 'model_id': 24, 'model_birth_timestamp': 102324.525099, 'theta': 2.0146272064274937, 'phi': -1.6344094784145413, 'norm_pos': [0.47692741399198046, 0.33238201776628773], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777155.724148,"{'circle_3d': {'center': [-0.7427279497880944, 4.001897104487433, 32.9442540748085], 'normal': [-0.0588730720587615, 0.4320826253293147, -0.899910310128121], 'radius': 2.390473629755473}, 'confidence': 0.9986510461420006, 'timestamp': 102345.483099, 'diameter_3d': 4.780947259510946, 'ellipse': {'center': [152.44059571264643, 160.54609456323627], 'axes': [41.68628787471007, 49.24548486166316], 'angle': -81.79761006298304}, 'location': [152.44059571264643, 160.54609456323627], 'diameter': 49.24548486166316, 'sphere': {'center': [-0.03625108508295633, -1.1830943994643426, 43.74317779634595], 'radius': 12.0}, 'projected_sphere': {'center': [159.71892633339675, 110.82684890578469], 'axes': [186.0845815522795, 186.0845815522795], 'angle': 90.0}, 'model_confidence': 0.7105628780463391, 'model_id': 24, 'model_birth_timestamp': 102324.525099, 'theta': 2.01759715183525, 'phi': -1.6361242776817477, 'norm_pos': [0.4763768616020201, 0.33105793931984884], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777155.729378,"{'circle_3d': {'center': [-0.7669146566574211, 3.965142631429782, 32.928290546868745], 'normal': [-0.060888630964538726, 0.42901975257451036, -0.9012406041231], 'radius': 2.408665410426904}, 'confidence': 0.9968093496289461, 'timestamp': 102345.491499, 'diameter_3d': 4.817330820853808, 'ellipse': {'center': [152.19246573452682, 160.1799410206897], 'axes': [42.12657137525572, 49.64443056959609], 'angle': -81.46000198003428}, 'location': [152.19246573452682, 160.1799410206897], 'diameter': 49.64443056959609, 'sphere': {'center': [-0.03625108508295633, -1.1830943994643426, 43.74317779634595], 'radius': 12.0}, 'projected_sphere': {'center': [159.71892633339675, 110.82684890578469], 'axes': [186.0845815522795, 186.0845815522795], 'angle': 90.0}, 'model_confidence': 0.7119642166529161, 'model_id': 24, 'model_birth_timestamp': 102324.525099, 'theta': 2.014203633041232, 'phi': -1.638254719165691, 'norm_pos': [0.47560145542039634, 0.33258357908045955], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777155.740451,"{'circle_3d': {'center': [-0.7485983209078911, 3.998070986562182, 32.94280342050817], 'normal': [-0.059362269652077894, 0.431763782168877, -0.9000311979864812], 'radius': 2.4155267376839404}, 'confidence': 0.9563315571448263, 'timestamp': 102345.499899, 'diameter_3d': 4.831053475367881, 'ellipse': {'center': [152.38242751875305, 160.495011337591], 'axes': [42.135118548172, 49.764295452613474], 'angle': -81.72463479732443}, 'location': [152.38242751875305, 160.495011337591], 'diameter': 49.764295452613474, 'sphere': {'center': [-0.03625108508295633, -1.1830943994643426, 43.74317779634595], 'radius': 12.0}, 'projected_sphere': {'center': [159.71892633339675, 110.82684890578469], 'axes': [186.0845815522795, 186.0845815522795], 'angle': 90.0}, 'model_confidence': 0.7116834971134911, 'model_id': 24, 'model_birth_timestamp': 102324.525099, 'theta': 2.0172436320533973, 'phi': -1.636656727167098, 'norm_pos': [0.4761950859961033, 0.3312707860933709], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777155.752407,"{'circle_3d': {'center': [-0.7480086951661628, 3.9960245374403027, 32.94178306502146], 'normal': [-0.059313134173600526, 0.4315932447420538, -0.9001162276103737], 'radius': 2.421655615799632}, 'confidence': 0.9962243701621915, 'timestamp': 102345.508299, 'diameter_3d': 4.843311231599264, 'ellipse': {'center': [152.38866145672367, 160.4719413399231], 'axes': [42.25016474046893, 49.89221708816939], 'angle': -81.72786943759615}, 'location': [152.38866145672367, 160.4719413399231], 'diameter': 49.89221708816939, 'sphere': {'center': [-0.03625108508295633, -1.1830943994643426, 43.74317779634595], 'radius': 12.0}, 'projected_sphere': {'center': [159.71892633339675, 110.82684890578469], 'axes': [186.0845815522795, 186.0845815522795], 'angle': 90.0}, 'model_confidence': 0.7111020841046645, 'model_id': 24, 'model_birth_timestamp': 102324.525099, 'theta': 2.017054571939394, 'phi': -1.6365961718988653, 'norm_pos': [0.47621456705226145, 0.3313669110836538], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777155.757687,"{'circle_3d': {'center': [-0.7290135386979789, 3.98099847735744, 32.93335703268757], 'normal': [-0.057730204467918544, 0.43034107306848185, -0.9008183969715317], 'radius': 2.4076268904983587}, 'confidence': 0.9969821841171621, 'timestamp': 102345.516699, 'diameter_3d': 4.815253780996717, 'ellipse': {'center': [152.57905173526595, 160.33621427420684], 'axes': [42.07031251576617, 49.61540949526618], 'angle': -81.91872383939113}, 'location': [152.57905173526595, 160.33621427420684], 'diameter': 49.61540949526618, 'sphere': {'center': [-0.03625108508295633, -1.1830943994643426, 43.74317779634595], 'radius': 12.0}, 'projected_sphere': {'center': [159.71892633339675, 110.82684890578469], 'axes': [186.0845815522795, 186.0845815522795], 'angle': 90.0}, 'model_confidence': 0.7108051062206244, 'model_id': 24, 'model_birth_timestamp': 102324.525099, 'theta': 2.0156669203597617, 'phi': -1.6347952026259727, 'norm_pos': [0.4768095366727061, 0.3319324405241382], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777155.7748501,"{'circle_3d': {'center': [-0.7625532989258925, 3.9885042632536094, 32.939148345907526], 'normal': [-0.06052518448691135, 0.430966555226496, -0.9003357875365351], 'radius': 2.4131028861486286}, 'confidence': 0.9986076663499867, 'timestamp': 102345.525099, 'diameter_3d': 4.826205772297257, 'ellipse': {'center': [152.23953835500515, 160.40311865853278], 'axes': [42.12059501780806, 49.71977833583748], 'angle': -81.55008157091642}, 'location': [152.23953835500515, 160.40311865853278], 'diameter': 49.71977833583748, 'sphere': {'center': [-0.03625108508295633, -1.1830943994643426, 43.74317779634595], 'radius': 12.0}, 'projected_sphere': {'center': [159.71892633339675, 110.82684890578469], 'axes': [186.0845815522795, 186.0845815522795], 'angle': 90.0}, 'model_confidence': 0.7117861835998718, 'model_id': 24, 'model_birth_timestamp': 102324.525099, 'theta': 2.0163599621994, 'phi': -1.6379204556675913, 'norm_pos': [0.4757485573593911, 0.3316536722561134], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777155.786415,"{'circle_3d': {'center': [-0.7661324393258309, 3.9621527944451524, 32.92681498242855], 'normal': [-0.06082344618690621, 0.42877059949245794, -0.9013635678264497], 'radius': 2.4139122288263892}, 'confidence': 0.8213113876697494, 'timestamp': 102345.533499, 'diameter_3d': 4.8278244576527785, 'ellipse': {'center': [152.20050132445195, 160.14826398053776], 'axes': [42.229948740026735, 49.754882346141834], 'angle': -81.46369228850972}, 'location': [152.20050132445195, 160.14826398053776], 'diameter': 49.754882346141834, 'sphere': {'center': [-0.03625108508295633, -1.1830943994643426, 43.74317779634595], 'radius': 12.0}, 'projected_sphere': {'center': [159.71892633339675, 110.82684890578469], 'axes': [186.0845815522795, 186.0845815522795], 'angle': 90.0}, 'model_confidence': 0.7119256050550304, 'model_id': 24, 'model_birth_timestamp': 102324.525099, 'theta': 2.0139278242106906, 'phi': -1.6381735545938645, 'norm_pos': [0.47562656663891234, 0.3327155667477594], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
