eye_packets,578
norm_X,norm_Y,phi,theta,confidence,timestamp
1603849164.912745,"{'circle_3d': {'center': [-8.094240370798387, -5.017327673547759, 36.53104407962598], 'normal': [0.14897926875836762, 0.5265307900394884, -0.8370008988170886], 'radius': 2.273527167941141}, 'confidence': 0.20127399562428272, 'timestamp': 174354.512028, 'diameter_3d': 4.547054335882282, 'ellipse': {'center': [84.59969505088051, 72.78411295364866], 'axes': [38.7202738235967, 43.44841969913379], 'angle': -77.56072101036791}, 'location': [84.59969505088051, 72.78411295364866], 'diameter': 43.44841969913379, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 2.1253110368583097, 'phi': -1.3946492759238844, 'norm_pos': [0.2643740470340016, 0.6967328626931306], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849164.917068,"{'circle_3d': {'center': [-8.101175256131128, -4.89686167646312, 36.60660007760407], 'normal': [0.1484013616473058, 0.536569623129875, -0.8307045656522476], 'radius': 2.2796188435936027}, 'confidence': 0.10868177709645686, 'timestamp': 174354.520428, 'diameter_3d': 4.559237687187205, 'ellipse': {'center': [84.68914603115086, 73.98853171234276], 'axes': [38.4738287649885, 43.457463751812824], 'angle': -78.39330233017664}, 'location': [84.68914603115086, 73.98853171234276], 'diameter': 43.457463751812824, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 2.137163036608223, 'phi': -1.3940160051459898, 'norm_pos': [0.2646535813473464, 0.6917144511985718], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849164.928481,"{'circle_3d': {'center': [-8.342840020091787, -5.812363759757797, 36.03352743139659], 'normal': [0.12826263131725094, 0.46027778285531856, -0.8784606195028707], 'radius': 2.286534265785381}, 'confidence': 0.08189418996314966, 'timestamp': 174354.528828, 'diameter_3d': 4.573068531570762, 'ellipse': {'center': [81.24715713636687, 64.68836958521592], 'axes': [40.84800319595532, 44.62090764900745], 'angle': -67.45468479101085}, 'location': [81.24715713636687, 64.68836958521592], 'diameter': 44.62090764900745, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 2.049104397772809, 'phi': -1.4258124098414213, 'norm_pos': [0.25389736605114643, 0.7304651267282669], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849164.932767,"{'circle_3d': {'center': [-7.9052725550829805, -4.984551726248676, 36.58728566560694], 'normal': [0.1647265867346515, 0.5292621189810788, -0.8323140999853418], 'radius': 2.270961075213275}, 'confidence': 0.18653240777826582, 'timestamp': 174354.537228, 'diameter_3d': 4.54192215042655, 'ellipse': {'center': [86.45198621405669, 73.16220176788744], 'axes': [38.61596432464593, 43.22904711799031], 'angle': -80.08056114902233}, 'location': [86.45198621405669, 73.16220176788744], 'diameter': 43.22904711799031, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 2.1285269833791873, 'phi': -1.3754073685460524, 'norm_pos': [0.27016245691892715, 0.6951574926338023], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849164.9410439,"{'circle_3d': {'center': [-8.062162636992344, -6.067282911797596, 35.94810638843839], 'normal': [0.15165241324220452, 0.4390345201853354, -0.8855790397493878], 'radius': 2.256206551053519}, 'confidence': 0.16473668042259174, 'timestamp': 174354.545628, 'diameter_3d': 4.512413102107038, 'ellipse': {'center': [83.69069237248101, 62.187718574640414], 'axes': [40.937388094921715, 44.05238230580336], 'angle': -67.41144860661296}, 'location': [83.69069237248101, 62.187718574640414], 'diameter': 44.05238230580336, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 2.025320135801968, 'phi': -1.4011948195712223, 'norm_pos': [0.2615334136640032, 0.7408845059389984], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849164.962576,"{'circle_3d': {'center': [-8.282593428544777, -6.26564948855056, 35.81696292623866], 'normal': [0.1332831806128351, 0.4225039721225883, -0.8965076615993651], 'radius': 2.2803675046801843}, 'confidence': 0.25738562004986576, 'timestamp': 174354.562428, 'diameter_3d': 4.560735009360369, 'ellipse': {'center': [81.34226928219024, 60.099893440357675], 'axes': [41.661750947275785, 44.87766600428021], 'angle': -62.94233633605247}, 'location': [81.34226928219024, 60.099893440357675], 'diameter': 44.87766600428021, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 2.0070025388596373, 'phi': -1.4232080352386334, 'norm_pos': [0.25419459150684454, 0.749583777331843], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849164.978625,"{'circle_3d': {'center': [-7.635384205438017, -6.651921311619358, 35.75770772801995], 'normal': [0.18721728253839845, 0.3903146535335219, -0.9014455947842577], 'radius': 2.2761620418920927}, 'confidence': 0.18282614159167168, 'timestamp': 174354.579228, 'diameter_3d': 4.552324083784185, 'ellipse': {'center': [87.29082595937345, 56.37431632550651], 'axes': [42.42592318407463, 44.61295608104117], 'angle': -63.043421986745166}, 'location': [87.29082595937345, 56.37431632550651], 'diameter': 44.61295608104117, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 1.9717696562854858, 'phi': -1.3660217930107628, 'norm_pos': [0.27278383112304205, 0.7651070153103895], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849164.9857001,"{'circle_3d': {'center': [-7.477586416731382, -6.721870325519025, 35.76157079548473], 'normal': [0.20036709826395127, 0.38448556904188286, -0.9011236724955259], 'radius': 2.2684392229448216}, 'confidence': 0.19070673872439564, 'timestamp': 174354.587628, 'diameter_3d': 4.536878445889643, 'ellipse': {'center': [88.78208434823065, 55.72815291573579], 'axes': [42.411313045471154, 44.37116739999515], 'angle': -63.06562538102631}, 'location': [88.78208434823065, 55.72815291573579], 'diameter': 44.37116739999515, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 1.9654468170763661, 'phi': -1.3520032405917757, 'norm_pos': [0.2774440135882208, 0.7677993628511008], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849164.9944162,"{'circle_3d': {'center': [-7.615263264205275, -6.708759933018809, 35.73746313003167], 'normal': [0.18889402764112687, 0.38557810175023416, -0.903132644616614], 'radius': 2.292635458757604}, 'confidence': 0.20301008459206077, 'timestamp': 174354.596028, 'diameter_3d': 4.585270917515208, 'ellipse': {'center': [87.43472064634528, 55.79622476367747], 'axes': [42.82005168874041, 44.97202227438074], 'angle': -62.22861064970777}, 'location': [87.43472064634528, 55.79622476367747], 'diameter': 44.97202227438074, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 1.9666306169558823, 'phi': -1.3646143014814567, 'norm_pos': [0.273233502019829, 0.7675157301513439], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849165.000758,"{'circle_3d': {'center': [-7.726476655452355, -6.704820288013882, 35.7164760084449], 'normal': [0.1796262450372036, 0.3859064055006449, -0.904881571415512], 'radius': 2.2799092378952324}, 'confidence': 0.11655601336080726, 'timestamp': 174354.604428, 'diameter_3d': 4.559818475790465, 'ellipse': {'center': [86.35034308959459, 55.801010634688424], 'axes': [42.55174855887659, 44.82421612267562], 'angle': -61.4679717015371}, 'location': [86.35034308959459, 55.801010634688424], 'diameter': 44.82421612267562, 'sphere': {'center': [-9.881991595898798, -11.33569715402162, 46.57505486543104], 'radius': 12.0}, 'projected_sphere': {'center': [88.03843769556504, 37.45242149852898], 'axes': [174.77018458740716, 174.77018458740716], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 9, 'model_birth_timestamp': 174326.212428, 'theta': 1.966986460668462, 'phi': -1.3748357781395335, 'norm_pos': [0.26984482215498307, 0.7674957890221316], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
