eye_packets,924
norm_X,norm_Y,phi,theta,confidence,timestamp
1603777126.112263,"{'circle_3d': {'center': [-0.8262215060737192, 4.199613106200397, 35.254918263337245], 'normal': [0.008502638982791919, 0.4592274327817596, -0.8882780364902663], 'radius': 2.2997815273836903}, 'confidence': 0.9965414627872577, 'timestamp': 102312.605499, 'diameter_3d': 4.599563054767381, 'ellipse': {'center': [152.03342798676107, 159.84868262810684], 'axes': [36.91862742526748, 44.27925512397424], 'angle': -89.21327334557508}, 'location': [152.03342798676107, 159.84868262810684], 'diameter': 44.27925512397424, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.8041236919556827, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.047921633639309, 'phi': -1.5612245722702656, 'norm_pos': [0.47510446245862836, 0.33396382238288813], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777126.12371,"{'circle_3d': {'center': [-0.8294397657510605, 4.191784034320712, 35.250844075948805], 'normal': [0.008234450676346813, 0.45857501012511914, -0.8886175521059696], 'radius': 2.333488786901359}, 'confidence': 0.9362759519102504, 'timestamp': 102312.613899, 'diameter_3d': 4.666977573802718, 'ellipse': {'center': [152.00134908045837, 159.76201026250797], 'axes': [37.487743071679105, 44.933997136580004], 'angle': -89.17578995408876}, 'location': [152.00134908045837, 159.76201026250797], 'diameter': 44.933997136580004, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.803691069721546, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.047187326363864, 'phi': -1.5615300063484696, 'norm_pos': [0.4750042158764324, 0.33432495723955014], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777126.123874,"{'circle_3d': {'center': [-0.8032837670453978, 4.2290409636754, 35.27042820417495], 'normal': [0.010414117235152034, 0.4616797542380099, -0.8869855414204583], 'radius': 2.2962844455202065}, 'confidence': 0.9954015677977351, 'timestamp': 102312.622299, 'diameter_3d': 4.592568891040413, 'ellipse': {'center': [152.25526691106327, 160.11441649792346], 'axes': [36.76230324575662, 44.19249544158268], 'angle': -89.46975556953552}, 'location': [152.25526691106327, 160.11441649792346], 'diameter': 44.19249544158268, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.802309702832138, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.0506842422716645, 'phi': -1.5590558437157989, 'norm_pos': [0.47579770909707275, 0.33285659792531896], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777126.1239748,"{'circle_3d': {'center': [-0.800978977476265, 4.2004781637551405, 35.25563705670463], 'normal': [0.010606183032579777, 0.45929952091132153, -0.8882181370429845], 'radius': 2.2841495527060047}, 'confidence': 0.974807657786632, 'timestamp': 102312.630699, 'diameter_3d': 4.5682991054120095, 'ellipse': {'center': [152.2742222875557, 159.86367380699744], 'axes': [36.66499242294823, 43.97699474384443], 'angle': -89.48789384031139}, 'location': [152.2742222875557, 159.86367380699744], 'diameter': 43.97699474384443, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.8023198116918873, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.048002786540227, 'phi': -1.5588559277721257, 'norm_pos': [0.4758569446486115, 0.3339013591375106], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777126.1241002,"{'circle_3d': {'center': [-0.776518555072088, 4.210414425879999, 35.26110129958398], 'normal': [0.012644551566261193, 0.46012754275505974, -0.8877627834697054], 'radius': 2.267386818743829}, 'confidence': 0.9987167392689801, 'timestamp': 102312.639099, 'diameter_3d': 4.534773637487658, 'ellipse': {'center': [152.50864330546534, 159.9606090449589], 'axes': [36.36219180920726, 43.64715176974394], 'angle': -89.7556846039679}, 'location': [152.50864330546534, 159.9606090449589], 'diameter': 43.64715176974394, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.8031025648534529, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.04893517300429, 'phi': -1.5565541251070745, 'norm_pos': [0.4765895103295792, 0.3334974623126713], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777126.134333,"{'circle_3d': {'center': [-0.7720572403895402, 4.194531173548909, 35.25294844585073], 'normal': [0.013016327789806846, 0.4588039383941356, -0.8884421879474762], 'radius': 2.2555436961443522}, 'confidence': 0.9976363249091104, 'timestamp': 102312.647499, 'diameter_3d': 4.5110873922887045, 'ellipse': {'center': [152.5496617068491, 159.8234050708862], 'axes': [36.225235030933796, 43.42889438315218], 'angle': -89.8012877921641}, 'location': [152.5496617068491, 159.8234050708862], 'diameter': 43.42889438315218, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.8026783165854035, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.047444955374711, 'phi': -1.5561466435691533, 'norm_pos': [0.4767176928339034, 0.3340691455379742], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777126.140384,"{'circle_3d': {'center': [-0.8318347548801148, 4.2091061187942165, 35.25977910243374], 'normal': [0.00803486824892562, 0.46001851716457787, -0.8878729665655586], 'radius': 2.328880151857931}, 'confidence': 0.9976605026560937, 'timestamp': 102312.655899, 'diameter_3d': 4.657760303715862, 'ellipse': {'center': [151.9806211456399, 159.9199278616514], 'axes': [37.35350021430011, 44.833936218665656], 'angle': -89.15502603717637}, 'location': [151.9806211456399, 159.9199278616514], 'diameter': 44.833936218665656, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.8021574112010321, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.048812379993587, 'phi': -1.5617470041727148, 'norm_pos': [0.4749394410801247, 0.3336669672431192], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777126.1405172,"{'circle_3d': {'center': [-0.7961690672160384, 4.233079653284327, 35.272617262358914], 'normal': [0.01100700888759865, 0.4620163117054204, -0.8868031199051276], 'radius': 2.32120708960227}, 'confidence': 0.994351265078963, 'timestamp': 102312.664299, 'diameter_3d': 4.64241417920454, 'ellipse': {'center': [152.32299997334766, 160.13850363692677], 'axes': [37.1481501963573, 44.669797384734636], 'angle': -89.54745498524267}, 'location': [152.32299997334766, 160.13850363692677], 'diameter': 44.669797384734636, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.8006026906028807, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.051063693231582, 'phi': -1.5583849544693014, 'norm_pos': [0.47600937491671147, 0.3327562348461385], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777126.140604,"{'circle_3d': {'center': [-0.8153273477485741, 4.2114121318255995, 35.26113638646986], 'normal': [0.009410485509887353, 0.46021068491719314, -0.8877598595625488], 'radius': 2.316289399037033}, 'confidence': 0.979080357113217, 'timestamp': 102312.672699, 'diameter_3d': 4.632578798074066, 'ellipse': {'center': [152.13825402468123, 159.9465979601155], 'axes': [37.1437926081994, 44.58953934424085], 'angle': -89.33477055612383}, 'location': [152.13825402468123, 159.9465979601155], 'diameter': 44.58953934424085, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.7997815505269124, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.0490288193578277, 'phi': -1.5601964635988617, 'norm_pos': [0.47543204382712884, 0.33355584183285214], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777126.145812,"{'circle_3d': {'center': [-0.8392592319656494, 4.198557506702296, 35.25425578155947], 'normal': [0.0074161618251310695, 0.45913946615691786, -0.8883332433050809], 'radius': 2.313433444580573}, 'confidence': 0.9901099086621621, 'timestamp': 102312.681099, 'diameter_3d': 4.626866889161146, 'ellipse': {'center': [151.9089326919944, 159.83272673463836], 'axes': [37.14128645120547, 44.54324091941375], 'angle': -89.07119696999672}, 'location': [151.9089326919944, 159.83272673463836], 'diameter': 44.54324091941375, 'sphere': {'center': [-0.9282531738672223, -1.3111160871807177, 45.91425470122044], 'radius': 12.0}, 'projected_sphere': {'center': [153.14309105856586, 110.31492283081214], 'axes': [177.28548549833332, 177.28548549833332], 'angle': 90.0}, 'model_confidence': 0.7991547515991626, 'model_id': 15, 'model_birth_timestamp': 102293.251899, 'theta': 2.0478226102026014, 'phi': -1.5624481200870364, 'norm_pos': [0.4747154146624825, 0.33403030527234023], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
