eye_packets,589
norm_X,norm_Y,phi,theta,confidence,timestamp
1603849142.6646159,"{'circle_3d': {'center': [8.618415966427522, -30.917617559948503, 93.50299227523058], 'normal': [-0.5560901494657361, 0.06810210554893724, -0.8283271388086816], 'radius': 1.016071282676544}, 'confidence': 0.2704830862631204, 'timestamp': 174332.260428, 'diameter_3d': 2.032142565353088, 'ellipse': {'center': [191.28122333750775, 7.845982323325657], 'axes': [6.29365826260391, 7.788483804551345], 'angle': 20.92069428894313}, 'location': [191.28122333750775, 7.845982323325657], 'diameter': 7.788483804551345, 'sphere': {'center': [15.291497760016355, -31.73484282653575, 103.44291794093476], 'radius': 12.0}, 'projected_sphere': {'center': [210.13704585106075, 15.949285358393382], 'axes': [78.69007466173612, 78.69007466173612], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 174318.190428, 'theta': 1.6389511842702689, 'phi': -2.162028179211712, 'norm_pos': [0.5977538229297117, 0.9673084069861431], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849142.668075,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 174332.268828, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.291497760016355, -31.73484282653575, 103.44291794093476], 'radius': 12.0}, 'projected_sphere': {'center': [210.13704585106075, 15.949285358393382], 'axes': [78.69007466173612, 78.69007466173612], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 174318.190428, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849142.677824,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 174332.277228, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.291497760016355, -31.73484282653575, 103.44291794093476], 'radius': 12.0}, 'projected_sphere': {'center': [210.13704585106075, 15.949285358393382], 'axes': [78.69007466173612, 78.69007466173612], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 174318.190428, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849142.68095,"{'circle_3d': {'center': [8.319412442044882, -31.08503278760253, 93.69777693465741], 'normal': [-0.5810071098309558, 0.05415083657776844, -0.8120950838564455], 'radius': 1.07875986572439}, 'confidence': 0.30070342175966003, 'timestamp': 174332.285628, 'diameter_3d': 2.15751973144878, 'ellipse': {'center': [190.1368777138454, 7.4724783219582065], 'axes': [6.517086005609251, 8.251652438834316], 'angle': 20.726135545823997}, 'location': [190.1368777138454, 7.4724783219582065], 'diameter': 8.251652438834316, 'sphere': {'center': [15.291497760016355, -31.73484282653575, 103.44291794093476], 'radius': 12.0}, 'projected_sphere': {'center': [210.13704585106075, 15.949285358393382], 'axes': [78.69007466173612, 78.69007466173612], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 174318.190428, 'theta': 1.624973662889372, 'phi': -2.191811188446383, 'norm_pos': [0.5941777428557669, 0.9688646736585075], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849142.688226,"{'circle_3d': {'center': [-5.606752145232335, -5.502556278416562, 24.44518904615598], 'normal': [0.10637302692525927, -0.04311465085420675, -0.9933911143273217], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 174332.294028, 'diameter_3d': 2.0, 'ellipse': {'center': [82.1476516759471, 43.67763137796527], 'axes': [27.38281822195332, 28.348169326668664], 'angle': -73.308631896133}, 'location': [82.1476516759471, 43.67763137796527], 'diameter': 28.348169326668664, 'sphere': {'center': [15.291497760016355, -31.73484282653575, 103.44291794093476], 'radius': 12.0}, 'projected_sphere': {'center': [210.13704585106075, 15.949285358393382], 'axes': [78.69007466173612, 78.69007466173612], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 174318.190428, 'theta': 1.5276683073106576, 'phi': -1.4641220952758645, 'norm_pos': [0.2567114114873347, 0.8180098692584781], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849142.697268,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 174332.302428, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.291497760016355, -31.73484282653575, 103.44291794093476], 'radius': 12.0}, 'projected_sphere': {'center': [210.13704585106075, 15.949285358393382], 'axes': [78.69007466173612, 78.69007466173612], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 174318.190428, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849142.70435,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 174332.310828, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.291497760016355, -31.73484282653575, 103.44291794093476], 'radius': 12.0}, 'projected_sphere': {'center': [210.13704585106075, 15.949285358393382], 'axes': [78.69007466173612, 78.69007466173612], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 174318.190428, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849142.712405,"{'circle_3d': {'center': [-5.451411760364637, -5.376139502425298, 23.85325162556642], 'normal': [0.069788180559624, -0.12049442862328226, -0.9902578969768059], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 174332.319228, 'diameter_3d': 2.0, 'ellipse': {'center': [82.44381714157694, 43.62645721408052], 'axes': [27.463640213644823, 28.83053016727335], 'angle': 88.61408233703722}, 'location': [82.44381714157694, 43.62645721408052], 'diameter': 28.83053016727335, 'sphere': {'center': [15.291497760016355, -31.73484282653575, 103.44291794093476], 'radius': 12.0}, 'projected_sphere': {'center': [210.13704585106075, 15.949285358393382], 'axes': [78.69007466173612, 78.69007466173612], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 174318.190428, 'theta': 1.4500084019650255, 'phi': -1.500437902901961, 'norm_pos': [0.2576369285674279, 0.8182230949413312], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849142.727499,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 174332.327628, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.291497760016355, -31.73484282653575, 103.44291794093476], 'radius': 12.0}, 'projected_sphere': {'center': [210.13704585106075, 15.949285358393382], 'axes': [78.69007466173612, 78.69007466173612], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 174318.190428, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849142.7321951,"{'circle_3d': {'center': [-5.461540248433903, -5.408148585302956, 23.799071072628195], 'normal': [0.06968735556755541, -0.2863749681813111, -0.9555799548301305], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 174332.336028, 'diameter_3d': 2.0, 'ellipse': {'center': [82.11502838149227, 43.07981109618804], 'axes': [25.430021287168913, 28.965291978246427], 'angle': 84.34230804445886}, 'location': [82.11502838149227, 43.07981109618804], 'diameter': 28.965291978246427, 'sphere': {'center': [15.291497760016355, -31.73484282653575, 103.44291794093476], 'radius': 12.0}, 'projected_sphere': {'center': [210.13704585106075, 15.949285358393382], 'axes': [78.69007466173612, 78.69007466173612], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 174318.190428, 'theta': 1.2803551333455756, 'phi': -1.4979984324780737, 'norm_pos': [0.2566094636921633, 0.8205007870992165], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849142.743375,"{'circle_3d': {'center': [-5.455981468060749, -5.391410493297533, 23.840255840347883], 'normal': [0.07681851285363893, -0.24342572828275408, -0.9668727066646189], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 174332.344428, 'diameter_3d': 2.0, 'ellipse': {'center': [82.32716369638938, 43.43068313598049], 'axes': [26.02552604654291, 28.91587638831553], 'angle': 85.59191131593604}, 'location': [82.32716369638938, 43.43068313598049], 'diameter': 28.91587638831553, 'sphere': {'center': [15.291497760016355, -31.73484282653575, 103.44291794093476], 'radius': 12.0}, 'projected_sphere': {'center': [210.13704585106075, 15.949285358393382], 'axes': [78.69007466173612, 78.69007466173612], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 174318.190428, 'theta': 1.3249000608642323, 'phi': -1.4915123777687633, 'norm_pos': [0.2572723865512168, 0.819038820266748], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849142.7484748,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 174332.352828, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.291497760016355, -31.73484282653575, 103.44291794093476], 'radius': 12.0}, 'projected_sphere': {'center': [210.13704585106075, 15.949285358393382], 'axes': [78.69007466173612, 78.69007466173612], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 174318.190428, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849142.756775,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 174332.361228, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.291497760016355, -31.73484282653575, 103.44291794093476], 'radius': 12.0}, 'projected_sphere': {'center': [210.13704585106075, 15.949285358393382], 'axes': [78.69007466173612, 78.69007466173612], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 174318.190428, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849142.778749,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 174332.378028, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.291497760016355, -31.73484282653575, 103.44291794093476], 'radius': 12.0}, 'projected_sphere': {'center': [210.13704585106075, 15.949285358393382], 'axes': [78.69007466173612, 78.69007466173612], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 174318.190428, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603849142.796677,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 174332.394828, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.291497760016355, -31.73484282653575, 103.44291794093476], 'radius': 12.0}, 'projected_sphere': {'center': [210.13704585106075, 15.949285358393382], 'axes': [78.69007466173612, 78.69007466173612], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 7, 'model_birth_timestamp': 174318.190428, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
