eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1603850992.012918,"{'circle_3d': {'center': [-5.8319046585165335, -5.417698366383322, 18.369472117610187], 'normal': [0.26793883176636274, -0.14985380743803187, -0.9517103649892661], 'radius': 2.2132315100961595}, 'confidence': 0.015573858823764417, 'timestamp': 176181.605775, 'diameter_3d': 4.426463020192319, 'ellipse': {'center': [50.91821272252972, 20.536699950595676], 'axes': [76.48480007062315, 86.86023546481813], 'angle': -70.87618983263644}, 'location': [50.91821272252972, 20.536699950595676], 'diameter': 86.86023546481813, 'sphere': {'center': [-9.047170639712887, -3.6194526771269393, 29.78999649748138], 'radius': 12.0}, 'projected_sphere': {'center': [56.99654130023134, 78.79196279246446], 'axes': [273.2437694877942, 273.2437694877942], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.4203759178730797, 'phi': -1.2963657075457564, 'norm_pos': [0.15911941475790536, 0.914430416872518], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603850992.021482,"{'circle_3d': {'center': [-6.43979448423549, -5.327556739224496, 18.201900446063195], 'normal': [0.21728134628978307, -0.14234200517479642, -0.9656746709515155], 'radius': 2.230487269546406}, 'confidence': 0.011446469122582213, 'timestamp': 176181.614175, 'diameter_3d': 4.460974539092812, 'ellipse': {'center': [38.81313828829386, 21.32945307751673], 'axes': [78.61686978799806, 88.09965146635511], 'angle': -76.94884013920205}, 'location': [38.81313828829386, 21.32945307751673], 'diameter': 88.09965146635511, 'sphere': {'center': [-9.047170639712887, -3.6194526771269393, 29.78999649748138], 'radius': 12.0}, 'projected_sphere': {'center': [56.99654130023134, 78.79196279246446], 'axes': [273.2437694877942, 273.2437694877942], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.4279692144035618, 'phi': -1.3494774043647357, 'norm_pos': [0.1212910571509183, 0.9111272788436803], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603850992.029046,"{'circle_3d': {'center': [-7.0013222810009506, -5.007572575123121, 18.04744023225775], 'normal': [0.17048736322599467, -0.11567665816634849, -0.9785463554353026], 'radius': 2.2650148015450005}, 'confidence': 0.003707873119717622, 'timestamp': 176181.622575, 'diameter_3d': 4.530029603090001, 'ellipse': {'center': [27.444968193673134, 26.43532993086113], 'axes': [81.83643400883537, 89.76600472768402], 'angle': -81.83593579160198}, 'location': [27.444968193673134, 26.43532993086113], 'diameter': 89.76600472768402, 'sphere': {'center': [-9.047170639712887, -3.6194526771269393, 29.78999649748138], 'radius': 12.0}, 'projected_sphere': {'center': [56.99654130023134, 78.79196279246446], 'axes': [273.2437694877942, 273.2437694877942], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.4548601227703781, 'phi': -1.3983026066287265, 'norm_pos': [0.08576552560522854, 0.8898527919547453], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603850992.036882,"{'circle_3d': {'center': [-6.184386846682941, -5.178727510852525, 18.241267955028096], 'normal': [0.23856531608582884, -0.12993956947713214, -0.9623940452044403], 'radius': 2.193262376054422}, 'confidence': 0.027147508379037177, 'timestamp': 176181.630975, 'diameter_3d': 4.386524752108844, 'ellipse': {'center': [43.76261720527616, 24.221792041961123], 'axes': [77.44056102472018, 86.58472994343616], 'angle': -73.75194504285103}, 'location': [43.76261720527616, 24.221792041961123], 'diameter': 86.58472994343616, 'sphere': {'center': [-9.047170639712887, -3.6194526771269393, 29.78999649748138], 'radius': 12.0}, 'projected_sphere': {'center': [56.99654130023134, 78.79196279246446], 'axes': [273.2437694877942, 273.2437694877942], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.4404882945739161, 'phi': -1.3278070199901373, 'norm_pos': [0.136758178766488, 0.8990758664918287], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603850992.045136,"{'circle_3d': {'center': [-7.5665895407991695, -4.95480553992822, 17.95679269033989], 'normal': [0.12338175824280977, -0.11127940523344004, -0.9861003172617909], 'radius': 2.2358095058547143}, 'confidence': 0.011247472698472953, 'timestamp': 176181.639375, 'diameter_3d': 4.4716190117094285, 'ellipse': {'center': [16.38279925052086, 26.951920752113537], 'axes': [81.43260450992102, 88.30131721918248], 'angle': -88.57513044034101}, 'location': [16.38279925052086, 26.951920752113537], 'diameter': 88.30131721918248, 'sphere': {'center': [-9.047170639712887, -3.6194526771269393, 29.78999649748138], 'radius': 12.0}, 'projected_sphere': {'center': [56.99654130023134, 78.79196279246446], 'axes': [273.2437694877942, 273.2437694877942], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.4592859681560193, 'phi': -1.4463222949618089, 'norm_pos': [0.05119624765787769, 0.887700330199527], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603850992.053067,"{'circle_3d': {'center': [-6.4712314205094446, -5.589702592421471, 18.23652721720667], 'normal': [0.2146616016002869, -0.16418749294121102, -0.9627891066895593], 'radius': 2.241896088346742}, 'confidence': 0.00382458861661006, 'timestamp': 176181.647775, 'diameter_3d': 4.483792176693484, 'ellipse': {'center': [38.45421669500989, 16.738734671670883], 'axes': [77.94803044426244, 88.34389762339187], 'angle': -78.13549553753408}, 'location': [38.45421669500989, 16.738734671670883], 'diameter': 88.34389762339187, 'sphere': {'center': [-9.047170639712887, -3.6194526771269393, 29.78999649748138], 'radius': 12.0}, 'projected_sphere': {'center': [56.99654130023134, 78.79196279246446], 'axes': [273.2437694877942, 273.2437694877942], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.405862057216619, 'phi': -1.3514262700905126, 'norm_pos': [0.1201694271719059, 0.9302552722013713], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603850992.0660439,"{'circle_3d': {'center': [-6.475916919828331, -5.569632224173677, 18.232079122700558], 'normal': [0.21427114332371303, -0.16251496225389486, -0.9631597812317353], 'radius': 2.2448188099802318}, 'confidence': 0.003816979304379712, 'timestamp': 176181.656175, 'diameter_3d': 4.4896376199604635, 'ellipse': {'center': [38.33670504050883, 17.082414685924462], 'axes': [78.14705448477127, 88.47902193402861], 'angle': -78.12548201563342}, 'location': [38.33670504050883, 17.082414685924462], 'diameter': 88.47902193402861, 'sphere': {'center': [-9.047170639712887, -3.6194526771269393, 29.78999649748138], 'radius': 12.0}, 'projected_sphere': {'center': [56.99654130023134, 78.79196279246446], 'axes': [273.2437694877942, 273.2437694877942], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.4075573594566269, 'phi': -1.3518942565942598, 'norm_pos': [0.1198022032515901, 0.9288232721419813], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603850992.073428,"{'circle_3d': {'center': [-6.520098895865276, -5.59861734779148, 18.227262581670622], 'normal': [0.21058931198730085, -0.16493038922204503, -0.9635611596508963], 'radius': 2.192831090995929}, 'confidence': 0.003909235512620772, 'timestamp': 176181.664575, 'diameter_3d': 4.385662181991858, 'ellipse': {'center': [37.554383317169794, 16.496655240184424], 'axes': [76.27332916540186, 86.41866545937066], 'angle': -78.68857538950022}, 'location': [37.554383317169794, 16.496655240184424], 'diameter': 86.41866545937066, 'sphere': {'center': [-9.047170639712887, -3.6194526771269393, 29.78999649748138], 'radius': 12.0}, 'projected_sphere': {'center': [56.99654130023134, 78.79196279246446], 'axes': [273.2437694877942, 273.2437694877942], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.4051088932214646, 'phi': -1.3556265099258644, 'norm_pos': [0.11735744786615561, 0.9312639364992316], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603850992.081125,"{'circle_3d': {'center': [-6.4393611955707115, -5.6276894188087345, 18.250225481884833], 'normal': [0.2173174536785146, -0.16735306180681628, -0.9616475846330456], 'radius': 2.258685098308033}, 'confidence': 0.0038021466343027472, 'timestamp': 176181.672975, 'diameter_3d': 4.517370196616066, 'ellipse': {'center': [39.105370458635946, 16.130885492477745], 'axes': [78.30927828184558, 88.95812601588558], 'angle': -77.90622264588467}, 'location': [39.105370458635946, 16.130885492477745], 'diameter': 88.95812601588558, 'sphere': {'center': [-9.047170639712887, -3.6194526771269393, 29.78999649748138], 'radius': 12.0}, 'projected_sphere': {'center': [56.99654130023134, 78.79196279246446], 'axes': [273.2437694877942, 273.2437694877942], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.4026520748302784, 'phi': -1.3485450159405246, 'norm_pos': [0.12220428268323733, 0.9327879771146761], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603850992.088813,"{'circle_3d': {'center': [-6.4823016171858185, -5.6568481390143095, 18.245713642788246], 'normal': [0.21373908521058899, -0.1697829551572808, -0.9620235712244276], 'radius': 2.2081356273697272}, 'confidence': 0.0038910194358464756, 'timestamp': 176181.681375, 'diameter_3d': 4.4162712547394545, 'ellipse': {'center': [38.348359045680255, 15.544018910089704], 'axes': [76.4885371309638, 86.95640680426668], 'angle': -78.45188988311959}, 'location': [38.348359045680255, 15.544018910089704], 'diameter': 86.95640680426668, 'sphere': {'center': [-9.047170639712887, -3.6194526771269393, 29.78999649748138], 'radius': 12.0}, 'projected_sphere': {'center': [56.99654130023134, 78.79196279246446], 'axes': [273.2437694877942, 273.2437694877942], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.4001869042830684, 'phi': -1.3521708972130306, 'norm_pos': [0.11983862201775079, 0.9352332545412929], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603850992.0970628,"{'circle_3d': {'center': [-6.4005188827099, -5.686093206361197, 18.2693961919383], 'normal': [0.22055431308358228, -0.17222004410285485, -0.9600500254619235], 'radius': 2.2767948151741404}, 'confidence': 0.003780812002740117, 'timestamp': 176181.689775, 'diameter_3d': 4.553589630348281, 'ellipse': {'center': [39.91560491157077, 15.18349485747126], 'axes': [78.60248814416347, 89.59947711247742], 'angle': -77.6596286828393}, 'location': [39.91560491157077, 15.18349485747126], 'diameter': 89.59947711247742, 'sphere': {'center': [-9.047170639712887, -3.6194526771269393, 29.78999649748138], 'radius': 12.0}, 'projected_sphere': {'center': [56.99654130023134, 78.79196279246446], 'axes': [273.2437694877942, 273.2437694877942], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.3977133815712497, 'phi': -1.3449823892242403, 'norm_pos': [0.12473626534865864, 0.9367354380938697], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
