eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1603851111.807133,"{'circle_3d': {'center': [-3.9701957986214333, 4.706498986706869, 24.79188506175726], 'normal': [0.5462196010011053, 0.4432534921012558, -0.7107534658531293], 'radius': 1.1647500662463663}, 'confidence': 0.19510442890982282, 'timestamp': 176301.398175, 'diameter_3d': 2.3295001324927327, 'ellipse': {'center': [105.33565623395475, 184.22125390593294], 'axes': [22.138116343219206, 32.81272843017608], 'angle': 51.88411958848832}, 'location': [105.33565623395475, 184.22125390593294], 'diameter': 32.81272843017608, 'sphere': {'center': [-10.524831010634697, -0.6125429185082003, 33.32092665199481], 'radius': 12.0}, 'projected_sphere': {'center': [52.87087956967545, 113.76510805548314], 'axes': [244.288852498425, 244.288852498425], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 2.030021281139823, 'phi': -0.9155550502415926, 'norm_pos': [0.3291739257311086, 0.23241144205861275], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851111.8139,"{'circle_3d': {'center': [-3.1176547557947902, 4.652302530606253, 25.484145276540048], 'normal': [0.6172646879033257, 0.43873712075953786, -0.6530651146212303], 'radius': 1.1448857837051145}, 'confidence': 0.16154937402629094, 'timestamp': 176301.406575, 'diameter_3d': 2.289771567410229, 'ellipse': {'center': [118.18336061910665, 181.79202598741995], 'axes': [19.34164912559862, 31.190624031722212], 'angle': 45.20355114133854}, 'location': [118.18336061910665, 181.79202598741995], 'diameter': 31.190624031722212, 'sphere': {'center': [-10.524831010634697, -0.6125429185082003, 33.32092665199481], 'radius': 12.0}, 'projected_sphere': {'center': [52.87087956967545, 113.76510805548314], 'axes': [244.288852498425, 244.288852498425], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 2.0249891561150206, 'phi': -0.8135726998829725, 'norm_pos': [0.3693230019347083, 0.24253322505241692], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851111.821933,"{'circle_3d': {'center': [-4.11935157686228, 5.496368907658762, 25.218394361183744], 'normal': [0.5337899528143681, 0.5090759855139135, -0.6752110242342555], 'radius': 1.1281334206458145}, 'confidence': 0.17389507418279274, 'timestamp': 176301.414975, 'diameter_3d': 2.256266841291629, 'ellipse': {'center': [104.2932964712691, 193.7680335399702], 'axes': [19.165094603910596, 31.35055221963985], 'angle': 55.1092186099359}, 'location': [104.2932964712691, 193.7680335399702], 'diameter': 31.35055221963985, 'sphere': {'center': [-10.524831010634697, -0.6125429185082003, 33.32092665199481], 'radius': 12.0}, 'projected_sphere': {'center': [52.87087956967545, 113.76510805548314], 'axes': [244.288852498425, 244.288852498425], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 2.104907241128323, 'phi': -0.9018424890849961, 'norm_pos': [0.3259165514727159, 0.19263319358345754], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851111.830226,"{'circle_3d': {'center': [-4.015590630643776, 5.334048790998918, 25.180420726936045], 'normal': [0.5424366983325768, 0.4955493091255932, -0.678375493754897], 'radius': 1.1327633714074203}, 'confidence': 0.233791740780007, 'timestamp': 176301.423375, 'diameter_3d': 2.2655267428148407, 'ellipse': {'center': [105.60062529178403, 191.6937285398191], 'axes': [19.545343005638088, 31.490670976507406], 'angle': 53.947017076880755}, 'location': [105.60062529178403, 191.6937285398191], 'diameter': 31.490670976507406, 'sphere': {'center': [-10.524831010634697, -0.6125429185082003, 33.32092665199481], 'radius': 12.0}, 'projected_sphere': {'center': [52.87087956967545, 113.76510805548314], 'axes': [244.288852498425, 244.288852498425], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 2.089263466585593, 'phi': -0.8962924526057647, 'norm_pos': [0.3300019540368251, 0.20127613108408715], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851111.837394,"{'circle_3d': {'center': [-3.430996961592191, 3.951122653634534, 24.78567767904245], 'normal': [0.5911528374202089, 0.3803054643452279, -0.7112707477460299], 'radius': 1.152484158804749}, 'confidence': 0.16115729666510745, 'timestamp': 176301.431775, 'diameter_3d': 2.304968317609498, 'ellipse': {'center': [112.69184639283174, 173.92586748112976], 'axes': [22.630071327162145, 32.25162513562107], 'angle': 44.73904379415236}, 'location': [112.69184639283174, 173.92586748112976], 'diameter': 32.25162513562107, 'sphere': {'center': [-10.524831010634697, -0.6125429185082003, 33.32092665199481], 'radius': 12.0}, 'projected_sphere': {'center': [52.87087956967545, 113.76510805548314], 'axes': [244.288852498425, 244.288852498425], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.9609228822283558, 'phi': -0.8773644608256873, 'norm_pos': [0.35216201997759916, 0.27530888549529264], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851111.849498,"{'circle_3d': {'center': [-3.5374881110665566, 3.949384532418863, 24.697362589709844], 'normal': [0.5822785749640117, 0.3801606209105886, -0.7186303385237472], 'radius': 1.1309474256431158}, 'confidence': 0.3490605142854628, 'timestamp': 176301.440175, 'diameter_3d': 2.2618948512862316, 'ellipse': {'center': [111.07319497005491, 174.09664140714108], 'axes': [22.535721474122397, 31.784179713878196], 'angle': 45.58889998801314}, 'location': [111.07319497005491, 174.09664140714108], 'diameter': 31.784179713878196, 'sphere': {'center': [-10.524831010634697, -0.6125429185082003, 33.32092665199481], 'radius': 12.0}, 'projected_sphere': {'center': [52.87087956967545, 113.76510805548314], 'axes': [244.288852498425, 244.288852498425], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.9607662762287152, 'phi': -0.8898295506796787, 'norm_pos': [0.3471037342814216, 0.27459732747024546], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851111.857598,"{'circle_3d': {'center': [-3.1467075563473923, 5.032208137730995, 25.724869792914433], 'normal': [0.6148436211906088, 0.4703959213532663, -0.6330047382566981], 'radius': 1.1267846968611286}, 'confidence': 0.16832086892741666, 'timestamp': 176301.448575, 'diameter_3d': 2.253569393722257, 'ellipse': {'center': [118.21163583978, 186.22841554635522], 'axes': [17.890745026063826, 30.457518535915842], 'angle': 46.723404671444214}, 'location': [118.21163583978, 186.22841554635522], 'diameter': 30.457518535915842, 'sphere': {'center': [-10.524831010634697, -0.6125429185082003, 33.32092665199481], 'radius': 12.0}, 'projected_sphere': {'center': [52.87087956967545, 113.76510805548314], 'axes': [244.288852498425, 244.288852498425], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 2.060535709913724, 'phi': -0.7999510814758061, 'norm_pos': [0.3694113619993125, 0.22404826855685323], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851111.865768,"{'circle_3d': {'center': [-3.1705298609891894, 4.947186154004678, 25.639542190806978], 'normal': [0.6128584291371256, 0.4633107560427398, -0.6401153717656526], 'radius': 1.1270093123523846}, 'confidence': 0.34657921503627737, 'timestamp': 176301.456975, 'diameter_3d': 2.254018624704769, 'ellipse': {'center': [117.75449071753287, 185.32228631532192], 'axes': [18.256677966613257, 30.560370906492626], 'angle': 46.61130113631238}, 'location': [117.75449071753287, 185.32228631532192], 'diameter': 30.560370906492626, 'sphere': {'center': [-10.524831010634697, -0.6125429185082003, 33.32092665199481], 'radius': 12.0}, 'projected_sphere': {'center': [52.87087956967545, 113.76510805548314], 'axes': [244.288852498425, 244.288852498425], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 2.052523811637752, 'phi': -0.8071485337944931, 'norm_pos': [0.36798278349229024, 0.227823807019492], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851111.8735528,"{'circle_3d': {'center': [-3.324621691850549, 4.949828759394254, 25.49679685485043], 'normal': [0.6000174432320123, 0.4635309731585378, -0.6520108164286982], 'radius': 1.136882425837643}, 'confidence': 0.2638045069076726, 'timestamp': 176301.465375, 'diameter_3d': 2.273764851675286, 'ellipse': {'center': [115.46046267374459, 185.71498143897963], 'axes': [18.907705146168734, 31.031476286567557], 'angle': 47.720340477947836}, 'location': [115.46046267374459, 185.71498143897963], 'diameter': 31.031476286567557, 'sphere': {'center': [-10.524831010634697, -0.6125429185082003, 33.32092665199481], 'radius': 12.0}, 'projected_sphere': {'center': [52.87087956967545, 113.76510805548314], 'axes': [244.288852498425, 244.288852498425], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 2.0527723248942635, 'phi': -0.826901632546326, 'norm_pos': [0.36081394585545185, 0.22618757733758488], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851111.881931,"{'circle_3d': {'center': [-3.3127360553480374, 4.952362654316055, 25.50955594503958], 'normal': [0.601007912940555, 0.46374213106868795, -0.6509475589129359], 'radius': 1.1335434536179778}, 'confidence': 0.2648937738903554, 'timestamp': 176301.473775, 'diameter_3d': 2.2670869072359556, 'ellipse': {'center': [115.64284868815459, 185.71704088008565], 'axes': [18.80580783449418, 30.922676953055674], 'angle': 47.642743649320124}, 'location': [115.64284868815459, 185.71704088008565], 'diameter': 30.922676953055674, 'sphere': {'center': [-10.524831010634697, -0.6125429185082003, 33.32092665199481], 'radius': 12.0}, 'projected_sphere': {'center': [52.87087956967545, 113.76510805548314], 'axes': [244.288852498425, 244.288852498425], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 2.0530106452544783, 'phi': -0.8252663416780471, 'norm_pos': [0.3613839021504831, 0.22617899633297645], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851111.889445,"{'circle_3d': {'center': [-3.5086837773536557, 5.060811472143076, 25.4097492453757], 'normal': [0.5846789361067535, 0.472779532554273, -0.6592647838849258], 'radius': 1.1363626572429675}, 'confidence': 0.26214413659636077, 'timestamp': 176301.482175, 'diameter_3d': 2.272725314485935, 'ellipse': {'center': [112.85207319221249, 187.41540985071686], 'axes': [19.098487211254877, 31.172607979614057], 'angle': 49.40842241481568}, 'location': [112.85207319221249, 187.41540985071686], 'diameter': 31.172607979614057, 'sphere': {'center': [-10.524831010634697, -0.6125429185082003, 33.32092665199481], 'radius': 12.0}, 'projected_sphere': {'center': [52.87087956967545, 113.76510805548314], 'axes': [244.288852498425, 244.288852498425], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 2.0632387727191683, 'phi': -0.8452856467357429, 'norm_pos': [0.352662728725664, 0.2191024589553464], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
