eye_packets,765
norm_X,norm_Y,phi,theta,confidence,timestamp
1603851090.193235,"{'circle_3d': {'center': [-9.42562923262781, -3.5215483815179933, 34.96762042186717], 'normal': [0.4025147842928493, -0.039652817550832636, -0.914554264374707], 'radius': 1.3661543895322767}, 'confidence': 0.07133587410613713, 'timestamp': 176279.784975, 'diameter_3d': 2.7323087790645535, 'ellipse': {'center': [68.36390351281267, 85.85345692209043], 'axes': [26.042863881937123, 27.492867694101832], 'angle': -60.16542111788092}, 'location': [68.36390351281267, 85.85345692209043], 'diameter': 27.492867694101832, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.531133110560289, 'phi': -1.1561878565764678, 'norm_pos': [0.2136371984775396, 0.6422772628246232], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851090.2016408,"{'circle_3d': {'center': [-9.46659114058058, -3.4683594457644875, 34.94750983386132], 'normal': [0.3991012919634519, -0.0352204062380405, -0.9162301467085281], 'radius': 1.3101146751027466}, 'confidence': 0.25998972826619005, 'timestamp': 176279.793375, 'diameter_3d': 2.620229350205493, 'ellipse': {'center': [67.93215489243623, 86.3475392830296], 'axes': [25.0266703319314, 26.38566935225811], 'angle': -60.89276937519321}, 'location': [67.93215489243623, 86.3475392830296], 'diameter': 26.38566935225811, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.53556863480504, 'phi': -1.1599896039774884, 'norm_pos': [0.21228798403886323, 0.6402185863207099], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851090.209903,"{'circle_3d': {'center': [-9.462855149189433, -3.4647500951214396, 34.94899977945436], 'normal': [0.3994126245793808, -0.03491962701778651, -0.9161059845757746], 'radius': 1.3171135722707121}, 'confidence': 0.34483469528446975, 'timestamp': 176279.801775, 'diameter_3d': 2.6342271445414243, 'ellipse': {'center': [67.97012016951552, 86.3839467333989], 'axes': [25.160041802757608, 26.52342626105114], 'angle': -60.8421996834868}, 'location': [67.97012016951552, 86.3839467333989], 'diameter': 26.52342626105114, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5358695991623201, 'phi': -1.1596543860811308, 'norm_pos': [0.21240662552973602, 0.6400668886108379], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851090.217553,"{'circle_3d': {'center': [-9.678526903617769, -3.341183439097727, 34.85348408963992], 'normal': [0.38143997837701926, -0.024622405682477116, -0.924065625393644], 'radius': 1.3003272695570531}, 'confidence': 0.24799323237746204, 'timestamp': 176279.810175, 'diameter_3d': 2.6006545391141063, 'ellipse': {'center': [65.63140494732556, 87.49063926288302], 'axes': [25.0148484924797, 26.318578645950392], 'angle': -64.36702326944182}, 'location': [65.63140494732556, 87.49063926288302], 'diameter': 26.318578645950392, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5461714324917304, 'phi': -1.1793176317448046, 'norm_pos': [0.20509814046039238, 0.6354556697379874], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851090.225503,"{'circle_3d': {'center': [-9.658514169533492, -3.225902918487354, 34.85929211850498], 'normal': [0.3831077062173759, -0.015015695631612723, -0.9235816229882228], 'radius': 1.3262785591505823}, 'confidence': 0.2552629256333704, 'timestamp': 176279.818575, 'diameter_3d': 2.6525571183011647, 'ellipse': {'center': [65.83364905463262, 88.61367934604715], 'axes': [25.553517194360527, 26.81242564472758], 'angle': -64.52624844355418}, 'location': [65.83364905463262, 88.61367934604715], 'diameter': 26.81242564472758, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5557800668384176, 'phi': -1.177591205055528, 'norm_pos': [0.20573015329572691, 0.6307763360581369], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851090.233911,"{'circle_3d': {'center': [-9.657728461567837, -3.2289846110048392, 34.859668600511604], 'normal': [0.3831731818811803, -0.015272503341403136, -0.9235502494876706], 'radius': 1.31657961530925}, 'confidence': 0.19592570141348478, 'timestamp': 176279.826975, 'diameter_3d': 2.6331592306185, 'ellipse': {'center': [65.84510714918557, 88.58413911180928], 'axes': [25.36494827006438, 26.616190354572588], 'angle': -64.50123571219859}, 'location': [65.84510714918557, 88.58413911180928], 'diameter': 26.616190354572588, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.555523229674233, 'phi': -1.177518696875295, 'norm_pos': [0.20576595984120488, 0.6308994203674614], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851090.241547,"{'circle_3d': {'center': [-9.657788690926848, -3.3420927844620723, 34.862091503027514], 'normal': [0.3831681627679293, -0.024698184462839213, -0.9233483409446779], 'radius': 1.3110576311411435}, 'confidence': 0.18456267388458328, 'timestamp': 176279.835375, 'diameter_3d': 2.622115262282287, 'ellipse': {'center': [65.85266765891488, 87.48985040854015], 'axes': [25.210361041478922, 26.521460608987056], 'angle': -64.07452929771483}, 'location': [65.85266765891488, 87.48985040854015], 'diameter': 26.521460608987056, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.546095630659155, 'phi': -1.1774459356604319, 'norm_pos': [0.205789586434109, 0.6354589566310826], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851090.249692,"{'circle_3d': {'center': [-9.767041785332632, -3.2068946219086123, 34.814602879242884], 'normal': [0.37406373823411415, -0.013431670916717561, -0.9273057262600641], 'radius': 1.3037266164165928}, 'confidence': 0.25901066921198446, 'timestamp': 176279.843775, 'diameter_3d': 2.6074532328331856, 'ellipse': {'center': [64.66578985617767, 88.75822507706424], 'axes': [25.17798497577642, 26.43011301818635], 'angle': -66.08718582018486}, 'location': [64.66578985617767, 88.75822507706424], 'diameter': 26.43011301818635, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5573642519779138, 'phi': -1.187372921410938, 'norm_pos': [0.20208059330055522, 0.6301740621788989], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851090.261642,"{'circle_3d': {'center': [-9.758519761672567, -3.209906605856169, 34.8180884031164], 'normal': [0.3747739068724529, -0.013682669579013944, -0.9270152659372711], 'radius': 1.3141860680062343}, 'confidence': 0.29371584244693405, 'timestamp': 176279.852175, 'diameter_3d': 2.6283721360124686, 'ellipse': {'center': [64.75508526935397, 88.73209068929091], 'axes': [25.374901384361998, 26.636684491882043], 'angle': -65.96289908789095}, 'location': [64.75508526935397, 88.73209068929091], 'diameter': 26.636684491882043, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5571132302453943, 'phi': -1.1866055861706541, 'norm_pos': [0.20235964146673116, 0.6302829554612879], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851090.269363,"{'circle_3d': {'center': [-9.75915394244161, -3.2029686313558767, 34.81773179980301], 'normal': [0.37472105847503256, -0.013104505037322928, -0.9270449828800532], 'radius': 1.3230587868603396}, 'confidence': 0.2309546126356998, 'timestamp': 176279.860575, 'diameter_3d': 2.6461175737206792, 'ellipse': {'center': [64.74542138961695, 88.79910605241781], 'axes': [25.54925483113298, 26.816039207175177], 'angle': -66.0027514180643}, 'location': [64.74542138961695, 88.79910605241781], 'diameter': 26.816039207175177, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5576914466600653, 'phi': -1.1866657253699153, 'norm_pos': [0.20232944184255297, 0.6300037247815924], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
