eye_packets,772
norm_X,norm_Y,phi,theta,confidence,timestamp
1603851001.896109,"{'circle_3d': {'center': [0.2065539198156543, 0.07632307574925834, 24.014634912785645], 'normal': [0.7845257070121878, 0.31480433076686265, -0.534244932935685], 'radius': 2.6042987522302985}, 'confidence': 0.13764041546355815, 'timestamp': 176191.484175, 'diameter_3d': 5.208597504460597, 'ellipse': {'center': [161.25595063610143, 120.41053515587464], 'axes': [39.058452593816476, 73.87319825267089], 'angle': 21.854916788487657}, 'location': [161.25595063610143, 120.41053515587464], 'diameter': 73.87319825267089, 'sphere': {'center': [-9.207754564330601, -3.7013288934530943, 30.425574108013866], 'radius': 12.0}, 'projected_sphere': {'center': [57.35815945054419, 78.74008071689674], 'axes': [267.53582059297946, 267.53582059297946], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.8910468231606883, 'phi': -0.5978452796772659, 'norm_pos': [0.5039248457378169, 0.4982894368505223], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851001.903031,"{'circle_3d': {'center': [0.20618379267750164, 0.07305025828463574, 24.012164201468117], 'normal': [0.7844948630840086, 0.3145315959781442, -0.5344508255454791], 'radius': 2.597950530870151}, 'confidence': 0.1820904461795384, 'timestamp': 176191.492575, 'diameter_3d': 5.195901061740302, 'ellipse': {'center': [161.25821153588487, 120.3674920151141], 'axes': [38.98494049455714, 73.699158316069], 'angle': 21.834309513721795}, 'location': [161.25821153588487, 120.3674920151141], 'diameter': 73.699158316069, 'sphere': {'center': [-9.207754564330601, -3.7013288934530943, 30.425574108013866], 'radius': 12.0}, 'projected_sphere': {'center': [57.35815945054419, 78.74008071689674], 'axes': [267.53582059297946, 267.53582059297946], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.8907594924923423, 'phi': -0.5980428483897625, 'norm_pos': [0.5039319110496402, 0.49846878327035793], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851001.913364,"{'circle_3d': {'center': [0.39100395810009125, -0.14928067312241522, 24.160848394264715], 'normal': [0.799896543535891, 0.2960040183608899, -0.5220604761457626], 'radius': 2.5964049470792427}, 'confidence': 0.15123737881847757, 'timestamp': 176191.500975, 'diameter_3d': 5.1928098941584855, 'ellipse': {'center': [163.8858293703549, 117.27628564483327], 'axes': [37.5585694487669, 73.20821380683488], 'angle': 19.917195759969367}, 'location': [163.8858293703549, 117.27628564483327], 'diameter': 73.20821380683488, 'sphere': {'center': [-9.207754564330601, -3.7013288934530943, 30.425574108013866], 'radius': 12.0}, 'projected_sphere': {'center': [57.35815945054419, 78.74008071689674], 'axes': [267.53582059297946, 267.53582059297946], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.8713027971621616, 'phi': -0.5782428938809557, 'norm_pos': [0.5121432167823591, 0.5113488098131947], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851001.919033,"{'circle_3d': {'center': [0.37525639436995384, -0.12710482642118626, 24.14936320619779], 'normal': [0.7985842465583796, 0.29785200558599234, -0.5230175751513396], 'radius': 2.607177457959705}, 'confidence': 0.16158168086987862, 'timestamp': 176191.509375, 'diameter_3d': 5.21435491591941, 'ellipse': {'center': [163.65005259738712, 117.57856051672421], 'axes': [37.82625409327712, 73.54853942431531], 'angle': 20.09891169397017}, 'location': [163.65005259738712, 117.57856051672421], 'diameter': 73.54853942431531, 'sphere': {'center': [-9.207754564330601, -3.7013288934530943, 30.425574108013866], 'radius': 12.0}, 'projected_sphere': {'center': [57.35815945054419, 78.74008071689674], 'axes': [267.53582059297946, 267.53582059297946], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.8732380656246435, 'phi': -0.5798338426642935, 'norm_pos': [0.5114064143668348, 0.5100893311803159], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851001.928703,"{'circle_3d': {'center': [0.5282034709771146, -0.23857961351779355, 24.324714450634865], 'normal': [0.8113298362756431, 0.28856243999460846, -0.5084049714482501], 'radius': 2.613645916721187}, 'confidence': 0.17522509289934765, 'timestamp': 176191.517775, 'diameter_3d': 5.227291833442374, 'ellipse': {'center': [165.7993252787574, 116.06530104668057], 'axes': [36.28308773459031, 73.20895485316295], 'angle': 19.040992066590473}, 'location': [165.7993252787574, 116.06530104668057], 'diameter': 73.20895485316295, 'sphere': {'center': [-9.207754564330601, -3.7013288934530943, 30.425574108013866], 'radius': 12.0}, 'projected_sphere': {'center': [57.35815945054419, 78.74008071689674], 'axes': [267.53582059297946, 267.53582059297946], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.8635213949407348, 'phi': -0.5597717918007215, 'norm_pos': [0.5181228914961169, 0.5163945789721642], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851001.9339468,"{'circle_3d': {'center': [0.6069577953837548, -0.34235700386674006, 24.393266992072327], 'normal': [0.817892696642863, 0.2799143241321962, -0.5026922596617949], 'radius': 2.5888429990375608}, 'confidence': 0.16085710052500518, 'timestamp': 176191.526175, 'diameter_3d': 5.1776859980751215, 'ellipse': {'center': [166.92679011148397, 114.65736410920033], 'axes': [35.296025105215904, 72.31168963042302], 'angle': 18.212842205291256}, 'location': [166.92679011148397, 114.65736410920033], 'diameter': 72.31168963042302, 'sphere': {'center': [-9.207754564330601, -3.7013288934530943, 30.425574108013866], 'radius': 12.0}, 'projected_sphere': {'center': [57.35815945054419, 78.74008071689674], 'axes': [267.53582059297946, 267.53582059297946], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.8545011914689793, 'phi': -0.5510993583185587, 'norm_pos': [0.5216462190983874, 0.522260982878332], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851001.943734,"{'circle_3d': {'center': [0.5731255538906979, -0.21757885887810557, 24.409107552835316], 'normal': [0.8150733431851084, 0.2903125028812491, -0.5013722129315459], 'radius': 2.599245088860145}, 'confidence': 0.16043850522784103, 'timestamp': 176191.534575, 'diameter_3d': 5.19849017772029, 'ellipse': {'center': [166.4466325116956, 116.38628044545709], 'axes': [35.31528827016876, 72.550923399818], 'angle': 19.087943477361634}, 'location': [166.4466325116956, 116.38628044545709], 'diameter': 72.550923399818, 'sphere': {'center': [-9.207754564330601, -3.7013288934530943, 30.425574108013866], 'radius': 12.0}, 'projected_sphere': {'center': [57.35815945054419, 78.74008071689674], 'axes': [267.53582059297946, 267.53582059297946], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.8653497159000985, 'phi': -0.551466854214164, 'norm_pos': [0.5201457265990488, 0.5150571648105955], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851001.952032,"{'circle_3d': {'center': [0.3636003903618814, 0.11765572600145413, 24.277036004720266], 'normal': [0.7976129128910402, 0.31824871828787904, -0.5123781752744666], 'radius': 2.5971041710138585}, 'confidence': 0.11891168123766004, 'timestamp': 176191.542975, 'diameter_3d': 5.194208342027717, 'ellipse': {'center': [163.523156306751, 121.01939201373392], 'axes': [36.51056302887828, 72.87421177376875], 'angle': 21.717396780269887}, 'location': [163.523156306751, 121.01939201373392], 'diameter': 72.87421177376875, 'sphere': {'center': [-9.207754564330601, -3.7013288934530943, 30.425574108013866], 'radius': 12.0}, 'projected_sphere': {'center': [57.35815945054419, 78.74008071689674], 'axes': [267.53582059297946, 267.53582059297946], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.8946779104247795, 'phi': -0.5710065274212197, 'norm_pos': [0.5110098634585969, 0.4957525332761087], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851001.9570408,"{'circle_3d': {'center': [0.3811326594792259, 0.0957415860181201, 24.290796395416212], 'normal': [0.7990739353174856, 0.31642253995593456, -0.5112314760498045], 'radius': 2.627309379618161}, 'confidence': 0.112080799801419, 'timestamp': 176191.551375, 'diameter_3d': 5.254618759236322, 'ellipse': {'center': [163.73299001619938, 120.7010136651226], 'axes': [36.814887949586634, 73.68760841849898], 'angle': 21.533351340449492}, 'location': [163.73299001619938, 120.7010136651226], 'diameter': 73.68760841849898, 'sphere': {'center': [-9.207754564330601, -3.7013288934530943, 30.425574108013866], 'radius': 12.0}, 'projected_sphere': {'center': [57.35815945054419, 78.74008071689674], 'axes': [267.53582059297946, 267.53582059297946], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.8927521979776079, 'phi': -0.5691570617635549, 'norm_pos': [0.511665593800623, 0.4970791097286559], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851001.965558,"{'circle_3d': {'center': [0.380536964978047, 0.10210565544559369, 24.29380836059397], 'normal': [0.7990242941090541, 0.31695287907489067, -0.5109804789516579], 'radius': 2.590627293275343}, 'confidence': 0.1535190898887813, 'timestamp': 176191.559775, 'diameter_3d': 5.181254586550686, 'ellipse': {'center': [163.76963770761685, 120.8076382489852], 'axes': [36.26475264658346, 72.64100269281488], 'angle': 21.575519994236306}, 'location': [163.76963770761685, 120.8076382489852], 'diameter': 72.64100269281488, 'sphere': {'center': [-9.207754564330601, -3.7013288934530943, 30.425574108013866], 'radius': 12.0}, 'projected_sphere': {'center': [57.35815945054419, 78.74008071689674], 'axes': [267.53582059297946, 267.53582059297946], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.8933113149340013, 'phi': -0.5689623464399608, 'norm_pos': [0.5117801178363026, 0.49663484062922836], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851001.9774542,"{'circle_3d': {'center': [0.9316256744768499, -0.9296524583441275, 24.636724644437997], 'normal': [0.8449483532339541, 0.23097303625908053, -0.4824041219646556], 'radius': 2.6133179492828273}, 'confidence': 0.05243338752569589, 'timestamp': 176191.568175, 'diameter_3d': 5.226635898565655, 'ellipse': {'center': [171.367958212758, 106.6614898525207], 'axes': [33.29110577765341, 72.34188588912754], 'angle': 13.923595081787775}, 'location': [171.367958212758, 106.6614898525207], 'diameter': 72.34188588912754, 'sphere': {'center': [-9.207754564330601, -3.7013288934530943, 30.425574108013866], 'radius': 12.0}, 'projected_sphere': {'center': [57.35815945054419, 78.74008071689674], 'axes': [267.53582059297946, 267.53582059297946], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 5, 'model_birth_timestamp': 176160.992175, 'theta': 1.8038739693604415, 'phi': -0.518768186826135, 'norm_pos': [0.5355248694148688, 0.555577125614497], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
