eye_packets,900
norm_X,norm_Y,phi,theta,confidence,timestamp
1603777059.852191,"{'circle_3d': {'center': [-4.079678027288892, -2.5180824084137, 34.25165320338308], 'normal': [-0.21246390340218108, -0.11323558639644571, -0.9705857982293794], 'radius': 2.196918854791845}, 'confidence': 0.3020347197337279, 'timestamp': 102233.217099, 'diameter_3d': 4.39383770958369, 'ellipse': {'center': [119.88073005684736, 95.21310182643616], 'axes': [40.774253615267085, 43.51428364112635], 'angle': 28.994877126335858}, 'location': [119.88073005684736, 95.21310182643616], 'diameter': 43.51428364112635, 'sphere': {'center': [-1.5301111864627197, -1.1592553716563516, 45.89868278213563], 'radius': 12.0}, 'projected_sphere': {'center': [148.69339431688513, 111.43379677940123], 'axes': [177.34563265436816, 177.34563265436816], 'angle': 90.0}, 'model_confidence': 0.7087141404936492, 'model_id': 8, 'model_birth_timestamp': 102216.383499, 'theta': 1.4573173432839903, 'phi': -1.7862997993148035, 'norm_pos': [0.374627281427648, 0.6032787423898494], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777059.85237,"{'circle_3d': {'center': [-4.096459630885575, -2.6542618731825414, 34.2720404799831], 'normal': [-0.21386237036857136, -0.12458387512718251, -0.9688868585127114], 'radius': 2.204309428242579}, 'confidence': 0.29415748614328113, 'timestamp': 102233.225499, 'diameter_3d': 4.408618856485158, 'ellipse': {'center': [119.74104060452261, 93.89557427748055], 'axes': [40.744920554502606, 43.63468505527974], 'angle': 30.921154536399143}, 'location': [119.74104060452261, 93.89557427748055], 'diameter': 43.63468505527974, 'sphere': {'center': [-1.5301111864627197, -1.1592553716563516, 45.89868278213563], 'radius': 12.0}, 'projected_sphere': {'center': [148.69339431688513, 111.43379677940123], 'axes': [177.34563265436816, 177.34563265436816], 'angle': 90.0}, 'model_confidence': 0.7087141404936492, 'model_id': 8, 'model_birth_timestamp': 102216.383499, 'theta': 1.4458878990072137, 'phi': -1.7880427986336078, 'norm_pos': [0.37419075188913314, 0.6087684405104977], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777059.8525052,"{'circle_3d': {'center': [-4.116535971958635, -2.6630180250890163, 34.27761980532006], 'normal': [-0.21553539879132627, -0.12531355445272205, -0.9684219147346309], 'radius': 2.199604935435923}, 'confidence': 0.33278102328053144, 'timestamp': 102233.233899, 'diameter_3d': 4.399209870871846, 'ellipse': {'center': [119.54963010056599, 93.81325245118238], 'axes': [40.613391372840134, 43.53453449628117], 'angle': 30.872880168676254}, 'location': [119.54963010056599, 93.81325245118238], 'diameter': 43.53453449628117, 'sphere': {'center': [-1.5301111864627197, -1.1592553716563516, 45.89868278213563], 'radius': 12.0}, 'projected_sphere': {'center': [148.69339431688513, 111.43379677940123], 'axes': [177.34563265436816, 177.34563265436816], 'angle': 90.0}, 'model_confidence': 0.7087141404936492, 'model_id': 8, 'model_birth_timestamp': 102216.383499, 'theta': 1.4451524561470408, 'phi': -1.7897904943226304, 'norm_pos': [0.3735925940642687, 0.6091114481200735], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777059.852654,"{'circle_3d': {'center': [-3.9190082747262944, -1.845366285036025, 34.1589032903297], 'normal': [-0.19907475735529787, -0.05717590944830611, -0.9783149576504943], 'radius': 2.1843055428371687}, 'confidence': 0.2930943590796038, 'timestamp': 102233.242299, 'diameter_3d': 4.368611085674337, 'ellipse': {'center': [121.3514820052837, 101.75172972734583], 'axes': [41.314003421741745, 43.38385515011231], 'angle': 18.485036582815283}, 'location': [121.3514820052837, 101.75172972734583], 'diameter': 43.38385515011231, 'sphere': {'center': [-1.5301111864627197, -1.1592553716563516, 45.89868278213563], 'radius': 12.0}, 'projected_sphere': {'center': [148.69339431688513, 111.43379677940123], 'axes': [177.34563265436816, 177.34563265436816], 'angle': 90.0}, 'model_confidence': 0.7087141404936492, 'model_id': 8, 'model_birth_timestamp': 102216.383499, 'theta': 1.5135892192819496, 'phi': -1.7715428863788556, 'norm_pos': [0.37922338126651156, 0.5760344594693924], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777059.8528168,"{'circle_3d': {'center': [-3.9468603230478236, -2.400585134025004, 34.210294354646024], 'normal': [-0.20139576138209198, -0.10344414686405434, -0.974032368957467], 'radius': 2.1987550232243547}, 'confidence': 0.2703771383980481, 'timestamp': 102233.250699, 'diameter_3d': 4.397510046448709, 'ellipse': {'center': [121.13709512486447, 96.33654814487622], 'axes': [41.14352424322982, 43.602869114336485], 'angle': 28.27094913759844}, 'location': [121.13709512486447, 96.33654814487622], 'diameter': 43.602869114336485, 'sphere': {'center': [-1.5301111864627197, -1.1592553716563516, 45.89868278213563], 'radius': 12.0}, 'projected_sphere': {'center': [148.69339431688513, 111.43379677940123], 'axes': [177.34563265436816, 177.34563265436816], 'angle': 90.0}, 'model_confidence': 0.7087141404936492, 'model_id': 8, 'model_birth_timestamp': 102216.383499, 'theta': 1.4671667985495362, 'phi': -1.7746881106953276, 'norm_pos': [0.3785534222652015, 0.5985977160630158], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777059.852952,"{'circle_3d': {'center': [-3.964863503036334, -2.3749537025722995, 34.211336687955495], 'normal': [-0.2028960263811345, -0.10130819424299563, -0.9739455078483443], 'radius': 2.1912506425140688}, 'confidence': 0.3391634216728842, 'timestamp': 102233.259099, 'diameter_3d': 4.3825012850281375, 'ellipse': {'center': [120.95991916790985, 96.58757116737672], 'axes': [40.99561459882627, 43.45284052638054], 'angle': 27.686867965437298}, 'location': [120.95991916790985, 96.58757116737672], 'diameter': 43.45284052638054, 'sphere': {'center': [-1.5301111864627197, -1.1592553716563516, 45.89868278213563], 'radius': 12.0}, 'projected_sphere': {'center': [148.69339431688513, 111.43379677940123], 'axes': [177.34563265436816, 177.34563265436816], 'angle': 90.0}, 'model_confidence': 0.7087141404936492, 'model_id': 8, 'model_birth_timestamp': 102216.383499, 'theta': 1.4693140336906543, 'phi': -1.776182576433245, 'norm_pos': [0.37799974739971826, 0.597551786802597], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777059.8593569,"{'circle_3d': {'center': [-4.0929691109772826, -2.6272750072682034, 34.2678325291141], 'normal': [-0.2135714937095469, -0.12233496963432099, -0.9692375210851273], 'radius': 2.172452947562181}, 'confidence': 0.2983344130193741, 'timestamp': 102233.267499, 'diameter_3d': 4.344905895124362, 'ellipse': {'center': [119.76246016609878, 94.1520405754535], 'axes': [40.18952174403742, 43.0092048873988], 'angle': 30.54857262734735}, 'location': [119.76246016609878, 94.1520405754535], 'diameter': 43.0092048873988, 'sphere': {'center': [-1.5301111864627197, -1.1592553716563516, 45.89868278213563], 'radius': 12.0}, 'projected_sphere': {'center': [148.69339431688513, 111.43379677940123], 'axes': [177.34563265436816, 177.34563265436816], 'angle': 90.0}, 'model_confidence': 0.7087141404936492, 'model_id': 8, 'model_birth_timestamp': 102216.383499, 'theta': 1.4481541426254307, 'phi': -1.787680455129502, 'norm_pos': [0.3742576880190587, 0.6076998309356104], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777059.875995,"{'circle_3d': {'center': [-4.099136427460076, -2.7435688913902796, 34.28446477220027], 'normal': [-0.21408543674977965, -0.13202612664449398, -0.9678515008279462], 'radius': 2.1932028296403265}, 'confidence': 0.3188250098923474, 'timestamp': 102233.275899, 'diameter_3d': 4.386405659280653, 'ellipse': {'center': [119.72588811910212, 93.02923843948116], 'axes': [40.43911560947126, 43.39903887035296], 'angle': 32.207797957578286}, 'location': [119.72588811910212, 93.02923843948116], 'diameter': 43.39903887035296, 'sphere': {'center': [-1.5301111864627197, -1.1592553716563516, 45.89868278213563], 'radius': 12.0}, 'projected_sphere': {'center': [148.69339431688513, 111.43379677940123], 'axes': [177.34563265436816, 177.34563265436816], 'angle': 90.0}, 'model_confidence': 0.7087141404936492, 'model_id': 8, 'model_birth_timestamp': 102216.383499, 'theta': 1.4383836043255032, 'phi': -1.7884876788434783, 'norm_pos': [0.3741434003721941, 0.6123781731688285], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777059.876287,"{'circle_3d': {'center': [-4.117908717678185, -2.7522602114028167, 34.28982239370906], 'normal': [-0.21564979426795544, -0.13275040331220542, -0.9674050323688808], 'radius': 2.2017561833190364}, 'confidence': 0.2950721665296092, 'timestamp': 102233.284299, 'diameter_3d': 4.403512366638073, 'ellipse': {'center': [119.55041706119891, 92.94957049648322], 'axes': [40.55421437130833, 43.561610510582994], 'angle': 32.16278602276143}, 'location': [119.55041706119891, 92.94957049648322], 'diameter': 43.561610510582994, 'sphere': {'center': [-1.5301111864627197, -1.1592553716563516, 45.89868278213563], 'radius': 12.0}, 'projected_sphere': {'center': [148.69339431688513, 111.43379677940123], 'axes': [177.34563265436816, 177.34563265436816], 'angle': 90.0}, 'model_confidence': 0.7087141404936492, 'model_id': 8, 'model_birth_timestamp': 102216.383499, 'theta': 1.4376528958980914, 'phi': -1.7901260429924122, 'norm_pos': [0.3735950533162466, 0.6127101229313199], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777059.8820312,"{'circle_3d': {'center': [-4.136424509514692, -2.7707947760836316, 34.29652472382338], 'normal': [-0.21719277692099775, -0.13429495036894004, -0.9668465048593545], 'radius': 2.1792019934548215}, 'confidence': 0.2753943696645326, 'timestamp': 102233.292699, 'diameter_3d': 4.358403986909643, 'ellipse': {'center': [119.3710896534528, 92.76979666481773], 'axes': [40.085623599538344, 43.106915444512666], 'angle': 32.26119703840147}, 'location': [119.3710896534528, 92.76979666481773], 'diameter': 43.106915444512666, 'sphere': {'center': [-1.5301111864627197, -1.1592553716563516, 45.89868278213563], 'radius': 12.0}, 'projected_sphere': {'center': [148.69339431688513, 111.43379677940123], 'axes': [177.34563265436816, 177.34563265436816], 'angle': 90.0}, 'model_confidence': 0.7087141404936492, 'model_id': 8, 'model_birth_timestamp': 102216.383499, 'theta': 1.4360943934688704, 'phi': -1.7917684618025698, 'norm_pos': [0.37303465516704, 0.6134591805632594], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603777059.893664,"{'circle_3d': {'center': [-4.154965651193596, -2.7893338465091846, 34.30329649254597], 'normal': [-0.2187378720609063, -0.13583987290440272, -0.9662821907991384], 'radius': 2.192855476946599}, 'confidence': 0.30431080305583563, 'timestamp': 102233.301099, 'diameter_3d': 4.385710953893198, 'ellipse': {'center': [119.20088619109735, 92.59577823845513], 'axes': [40.283165913521735, 43.368587578118905], 'angle': 32.35799816847364}, 'location': [119.20088619109735, 92.59577823845513], 'diameter': 43.368587578118905, 'sphere': {'center': [-1.5301111864627197, -1.1592553716563516, 45.89868278213563], 'radius': 12.0}, 'projected_sphere': {'center': [148.69339431688513, 111.43379677940123], 'axes': [177.34563265436816, 177.34563265436816], 'angle': 90.0}, 'model_confidence': 0.7087141404936492, 'model_id': 8, 'model_birth_timestamp': 102216.383499, 'theta': 1.4345351828032302, 'phi': -1.7934149352796411, 'norm_pos': [0.37250276934717924, 0.6141842573397703], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
