eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1581497150.277617,"{'circle_3d': {'center': [-9.22392467095124, 12.41420693699999, 186.22382894135856], 'normal': [0.12880277744534246, -0.9884650176027021, -0.07966651428332482], 'radius': 7.437736548235275}, 'confidence': 0.019538802492776296, 'timestamp': 362246.885527, 'diameter_3d': 14.87547309647055, 'ellipse': {'center': [129.23162132615067, 161.47457511503444], 'axes': [7.530540704978833, 49.60600842322789], 'angle': -82.93560038497746}, 'location': [129.23162132615067, 161.47457511503444], 'diameter': 49.60600842322789, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.15203438317859871, 'phi': -0.5539227086293416, 'norm_pos': [0.40384881664422084, 0.3271892703540231], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497150.283927,"{'circle_3d': {'center': [-8.682376238437866, 12.524359236747678, 185.93579562837115], 'normal': [0.1739318134881236, -0.979285659290395, -0.1036692903656089], 'radius': 7.471837993488383}, 'confidence': 0.028866906813634283, 'timestamp': 362246.893928, 'diameter_3d': 14.943675986976766, 'ellipse': {'center': [130.9843473293155, 161.93090733026716], 'axes': [8.866272193927543, 49.899128207820425], 'angle': -80.28651977453556}, 'location': [130.9843473293155, 161.93090733026716], 'diameter': 49.899128207820425, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.20389336612635972, 'phi': -0.5374982879344734, 'norm_pos': [0.409326085404111, 0.3252878861238868], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497150.2931461,"{'circle_3d': {'center': [-6.514450343066397, 15.71211113520368, 179.93017112303951], 'normal': [0.3545923047690794, -0.7136396677523948, -0.6041379991432452], 'radius': 9.376964595459654}, 'confidence': 0.0010591486852915555, 'timestamp': 362246.902328, 'diameter_3d': 18.753929190919308, 'ellipse': {'center': [137.15250257378813, 174.96126415452545], 'axes': [43.9720298779902, 64.67931708810298], 'angle': -63.206562573541206}, 'location': [137.15250257378813, 174.96126415452545], 'diameter': 64.67931708810298, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.7761160548678031, 'phi': -1.0400356749276096, 'norm_pos': [0.4286015705430879, 0.27099473268947727], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497150.3013692,"{'circle_3d': {'center': [-6.498539799518137, 15.698921209526759, 179.95516281619072], 'normal': [0.35591818339810105, -0.7147388282254716, -0.6020553580473107], 'radius': 9.357852572926365}, 'confidence': 0.0010054303271439524, 'timestamp': 362246.910728, 'diameter_3d': 18.71570514585273, 'ellipse': {'center': [137.21202393981144, 174.90362427265907], 'axes': [43.744928008806255, 64.53856296399398], 'angle': -63.151382901087544}, 'location': [137.21202393981144, 174.90362427265907], 'diameter': 64.53856296399398, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.7745457187426044, 'phi': -1.036893397574014, 'norm_pos': [0.42878757481191077, 0.2712348988639205], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497150.3101661,"{'circle_3d': {'center': [-7.059534866622652, 15.184405081471745, 180.28182012060515], 'normal': [0.30916859447272466, -0.7576151722300557, -0.5748339160127758], 'radius': 7.775924459307034}, 'confidence': 0.07837139581031215, 'timestamp': 362246.919128, 'diameter_3d': 15.551848918614068, 'ellipse': {'center': [135.48631200586073, 172.78815849844352], 'axes': [34.84762372399429, 53.51769569852485], 'angle': -68.03560726395474}, 'location': [135.48631200586073, 172.78815849844352], 'diameter': 53.51769569852485, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.7111447811252111, 'phi': -1.0773370242265925, 'norm_pos': [0.42339472501831477, 0.2800493395898187], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497150.3158789,"{'circle_3d': {'center': [-7.903781347021884, 14.412022052278633, 180.9755171345742], 'normal': [0.238814721106122, -0.8219804246628148, -0.5170258315153543], 'radius': 7.777439251688504}, 'confidence': 0.05160157565314019, 'timestamp': 362246.927528, 'diameter_3d': 15.554878503377008, 'ellipse': {'center': [132.7443463903201, 169.92801683252333], 'axes': [31.63172246626393, 53.33694024631286], 'angle': -74.6850483309439}, 'location': [132.7443463903201, 169.92801683252333], 'diameter': 53.33694024631286, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.6059166003663365, 'phi': -1.138089763114758, 'norm_pos': [0.4148260824697503, 0.29196659653115276], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497150.3293471,"{'circle_3d': {'center': [-7.654611035050581, 14.327738230553763, 181.23563430505234], 'normal': [0.2595789137703972, -0.8290040764732207, -0.4953494006421761], 'radius': 7.853248121180311}, 'confidence': 0.11828102076466951, 'timestamp': 362246.935928, 'diameter_3d': 15.706496242360622, 'ellipse': {'center': [133.626820041837, 169.5629053453475], 'axes': [30.765065176088104, 53.77782086191756], 'angle': -73.32023354417757}, 'location': [133.626820041837, 169.5629053453475], 'diameter': 53.77782086191756, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.5934718437819817, 'phi': -1.0881085082021813, 'norm_pos': [0.4175838126307406, 0.2934878943943854], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497150.336149,"{'circle_3d': {'center': [-8.880996485549117, 13.385379596501757, 182.5073161430306], 'normal': [0.15738012622885278, -0.9075339626442221, -0.38937591414398787], 'radius': 7.764387867915887}, 'confidence': 0.007964871980171878, 'timestamp': 362246.944328, 'diameter_3d': 15.528775735831774, 'ellipse': {'center': [129.71488581436682, 165.93886559293074], 'axes': [24.477069597867033, 52.82954556482373], 'angle': -81.26561765634477}, 'location': [129.71488581436682, 165.93886559293074], 'diameter': 52.82954556482373, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.43342184737665523, 'phi': -1.1866869146145527, 'norm_pos': [0.40535901816989633, 0.30858806002945527], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497150.344293,"{'circle_3d': {'center': [-8.783307240212057, 13.236780519708027, 182.91425088281449], 'normal': [0.16552089667360773, -0.9199172190436994, -0.3554646858286646], 'radius': 7.778536336555556}, 'confidence': 0.08106191825683388, 'timestamp': 362246.952728, 'diameter_3d': 15.557072673111112, 'ellipse': {'center': [130.11521194554342, 165.3051632844913], 'axes': [22.69520736974064, 52.80703537005905], 'angle': -80.77324945816383}, 'location': [130.11521194554342, 165.3051632844913], 'diameter': 52.80703537005905, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.40292700914361873, 'phi': -1.1350071997582771, 'norm_pos': [0.4066100373298232, 0.31122848631461963], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497150.3544881,"{'circle_3d': {'center': [-8.31333763991078, 13.280259448060352, 183.0488039784755], 'normal': [0.20468503003204752, -0.9162939750143387, -0.3442519278569141], 'radius': 7.803306107671715}, 'confidence': 0.05689692671327441, 'timestamp': 362246.961128, 'diameter_3d': 15.60661221534343, 'ellipse': {'center': [131.71740451420305, 165.4093823605085], 'axes': [22.228803986227735, 52.92619662114819], 'angle': -78.19052409930664}, 'location': [131.71740451420305, 165.4093823605085], 'diameter': 52.92619662114819, 'sphere': {'center': [-10.76955800029535, 24.275787148232418, 187.17982711275846], 'radius': 12.0}, 'projected_sphere': {'center': [124.32774801014872, 200.4092420858861], 'axes': [79.49574604017656, 79.49574604017656], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 362246.255523, 'theta': 0.412069406246533, 'phi': -1.0343722553388355, 'norm_pos': [0.41161688910688454, 0.31079424016454793], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
