eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1581495149.1848059,"{'circle_3d': {'center': [-0.2173677340284712, -0.4604353343111445, 24.743433231686176], 'normal': [0.29283168777152685, -0.5210404177149945, -0.8017271891012946], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.762969, 'diameter_3d': 2.0, 'ellipse': {'center': [154.31231689451513, 108.87934112552952], 'axes': [39.838836673573255, 50.13577652437066], 'angle': -61.90267181396405}, 'location': [154.31231689451513, 108.87934112552952], 'diameter': 50.13577652437066, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.0227268732666306, 'phi': -1.2205999643509495, 'norm_pos': [0.4822259902953598, 0.546336078643627], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.274011,"{'circle_3d': {'center': [-0.22314084810028412, -0.46429631212744304, 24.765071956630358], 'normal': [0.3219238123777916, -0.48625934934738885, -0.8123526969219728], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.855369, 'diameter_3d': 2.0, 'ellipse': {'center': [154.14599609378539, 108.76931762695747], 'axes': [40.37982559172319, 50.092174529636154], 'angle': -57.86859130858959}, 'location': [154.14599609378539, 108.76931762695747], 'diameter': 50.092174529636154, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.062992527112834, 'phi': -1.193495969031716, 'norm_pos': [0.4817062377930793, 0.5467945098876772], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.2819672,"{'circle_3d': {'center': [-0.22853365650404545, -0.4692852404741963, 24.793483829797108], 'normal': [0.3012777116392751, -0.49833119718299984, -0.8129561847870769], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.863769, 'diameter_3d': 2.0, 'ellipse': {'center': [154.03483581539615, 108.66713714599564], 'axes': [40.34178161712642, 50.03452682608606], 'angle': -60.204132080081806}, 'location': [154.03483581539615, 108.66713714599564], 'diameter': 50.03452682608606, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.049123449178675, 'phi': -1.2158929242495198, 'norm_pos': [0.48135886192311295, 0.5472202618916848], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.290113,"{'circle_3d': {'center': [-0.22045260997768512, -0.45737584243665275, 24.67208660103254], 'normal': [0.2951222408173494, -0.512795690328088, -0.8061906988770623], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.872169, 'diameter_3d': 2.0, 'ellipse': {'center': [154.21444702144672, 108.92102813719919], 'axes': [40.19076156610737, 50.28072738640501], 'angle': -61.35476684570772}, 'location': [154.21444702144672, 108.92102813719919], 'diameter': 50.28072738640501, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.0323582495726185, 'phi': -1.2198775763638012, 'norm_pos': [0.481920146942021, 0.5461623827616701], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.298075,"{'circle_3d': {'center': [-0.22284294154412976, -0.4558649419030498, 24.538705099938618], 'normal': [0.29866918267032005, -0.5125965337245185, -0.8050102564170545], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.880569, 'diameter_3d': 2.0, 'ellipse': {'center': [154.11860656740183, 108.90041351317625], 'axes': [40.352760314176436, 50.55444717311466], 'angle': -61.05917358398275}, 'location': [154.11860656740183, 108.90041351317625], 'diameter': 50.55444717311466, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.0325902126862574, 'phi': -1.2155257777652824, 'norm_pos': [0.4816206455231307, 0.5462482770284323], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.3071191,"{'circle_3d': {'center': [-0.21893726802504077, -0.45511581751451047, 24.642556651098133], 'normal': [0.29540361345337474, -0.5232876421563288, -0.7993164259072618], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.888969, 'diameter_3d': 2.0, 'ellipse': {'center': [154.24710083009992, 108.96990203852197], 'axes': [39.88516616291943, 50.34133147525166], 'angle': -61.78758239746194}, 'location': [154.24710083009992, 108.96990203852197], 'diameter': 50.34133147525166, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.0200918978385902, 'phi': -1.2167944157690318, 'norm_pos': [0.4820221900940623, 0.5459587415061584], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.3152142,"{'circle_3d': {'center': [-0.2135877640456414, -0.4583723597126603, 24.59755435989701], 'normal': [0.300347491470677, -0.5173400328817924, -0.8013430443606144], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.897369, 'diameter_3d': 2.0, 'ellipse': {'center': [154.36639404298165, 108.86460876469943], 'axes': [40.06056213710013, 50.43339157521356], 'angle': -61.10719299315956}, 'location': [154.36639404298165, 108.86460876469943], 'diameter': 50.43339157521356, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.0270565441419233, 'phi': -1.2121965041342777, 'norm_pos': [0.4823949813843177, 0.5463974634804191], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.3220758,"{'circle_3d': {'center': [-0.22111217465383692, -0.4560252620790983, 24.570483403267474], 'normal': [0.2985387507515477, -0.5240114893043144, -0.7976757319718205], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.905769, 'diameter_3d': 2.0, 'ellipse': {'center': [154.172485351568, 108.91546630858863], 'axes': [39.91955566350889, 50.48935699392864], 'angle': -61.56926727294898}, 'location': [154.172485351568, 108.91546630858863], 'diameter': 50.48935699392864, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.0192422458726953, 'phi': -1.2126738872390765, 'norm_pos': [0.48178901672365004, 0.5461855570475473], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.334059,"{'circle_3d': {'center': [-0.21185443791583403, -0.44554264967310964, 24.292740534101668], 'normal': [0.32081557753393214, -0.5397031468055647, -0.7783301860648478], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.914169, 'diameter_3d': 2.0, 'ellipse': {'center': [154.32691955565136, 109.0628662109142], 'axes': [39.387538909083034, 51.06818771254842], 'angle': -60.42737579345958}, 'location': [154.32691955565136, 109.0628662109142], 'diameter': 51.06818771254842, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.0007118750622925, 'phi': -1.1798304668038797, 'norm_pos': [0.4822716236114105, 0.5455713907878575], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.3427231,"{'circle_3d': {'center': [-0.2275085413810256, -0.4566603177733235, 24.470688655260776], 'normal': [0.2880255083320896, -0.514911110982938, -0.8074081089116939], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.922569, 'diameter_3d': 2.0, 'ellipse': {'center': [153.99147033693134, 108.85382843024779], 'axes': [40.580215458776486, 50.6948967038385], 'angle': -62.07694244384139}, 'location': [153.99147033693134, 108.85382843024779], 'diameter': 50.6948967038385, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.029892372444065, 'phi': -1.2281398915615191, 'norm_pos': [0.48122334480291046, 0.5464423815406343], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.350252,"{'circle_3d': {'center': [-0.22387583544194634, -0.4491775939311573, 24.48793369286245], 'normal': [0.2871373620153305, -0.5225184182432038, -0.8028241637690644], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.930969, 'diameter_3d': 2.0, 'ellipse': {'center': [154.08993530275822, 109.05468749997709], 'axes': [40.31870269563964, 50.65917587014668], 'angle': -62.46027374267461}, 'location': [154.08993530275822, 109.05468749997709], 'diameter': 50.65917587014668, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.020994327483914, 'phi': -1.2273146233824557, 'norm_pos': [0.48153104782111944, 0.5456054687500955], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.3594508,"{'circle_3d': {'center': [-0.217086738421151, -0.450612686001266, 24.443743065420193], 'normal': [0.3024185583122962, -0.5215720663422033, -0.7978130076652277], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.939369, 'diameter_3d': 2.0, 'ellipse': {'center': [154.2398681638987, 108.99559020994946], 'axes': [40.13936233919968, 50.75123215226508], 'angle': -61.12987518312311}, 'location': [154.2398681638987, 108.99559020994946], 'diameter': 50.75123215226508, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.0221038740424075, 'phi': -1.2084714468740139, 'norm_pos': [0.48199958801218346, 0.5458517074585439], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.366314,"{'circle_3d': {'center': [-0.22692399047172973, -0.44854831982183185, 24.350353696476443], 'normal': [0.2908174305028594, -0.534408387714392, -0.7936201215041229], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.947769, 'diameter_3d': 2.0, 'ellipse': {'center': [153.977050781118, 109.0158386230641], 'axes': [40.06985855634786, 50.94633103093594], 'angle': -62.667732238782115}, 'location': [153.977050781118, 109.0158386230641], 'diameter': 50.94633103093594, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.0069886800103705, 'phi': -1.219547715432447, 'norm_pos': [0.4811782836909938, 0.5457673390705662], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.374596,"{'circle_3d': {'center': [-0.21140102034052344, -0.43845652301905425, 24.48481567277021], 'normal': [0.31582308770119477, -0.49577228120161215, -0.8089904959064929], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.956169, 'diameter_3d': 2.0, 'ellipse': {'center': [154.37947082513963, 109.30610656735892], 'axes': [40.67649459833492, 50.66527557366254], 'angle': -58.78823852539815}, 'location': [154.37947082513963, 109.30610656735892], 'diameter': 50.66527557366254, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.0520724594046131, 'phi': -1.198600403804907, 'norm_pos': [0.48243584632856135, 0.5445578893026711], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.382346,"{'circle_3d': {'center': [-0.21675069443698458, -0.4438291502959437, 24.557550634334746], 'normal': [0.3148402637104629, -0.4948229007167126, -0.8099542612228325], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.964569, 'diameter_3d': 2.0, 'ellipse': {'center': [154.26229858400038, 109.20059967043713], 'axes': [40.60364151182199, 50.515266420712386], 'angle': -58.84223937987923}, 'location': [154.26229858400038, 109.20059967043713], 'diameter': 50.515266420712386, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.0531653050782026, 'phi': -1.2000572797053057, 'norm_pos': [0.4820696830750012, 0.5449975013731787], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.392612,"{'circle_3d': {'center': [-0.22058641024598202, -0.4440828281759561, 24.796386399050803], 'normal': [0.3139989202549843, -0.4817738340942283, -0.8181067478397004], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.972969, 'diameter_3d': 2.0, 'ellipse': {'center': [154.22239685045403, 109.2879867553714], 'axes': [40.63550186638771, 50.027965551581076], 'angle': -58.261749267592414}, 'location': [154.22239685045403, 109.2879867553714], 'diameter': 50.027965551581076, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.0681184964390358, 'phi': -1.2043228212629957, 'norm_pos': [0.48194499015766884, 0.5446333885192858], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.399202,"{'circle_3d': {'center': [-0.21082887098646275, -0.4287838142924958, 24.32118415653403], 'normal': [0.2935533462625112, -0.5213977738049232, -0.8012307996884245], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.981369, 'diameter_3d': 2.0, 'ellipse': {'center': [154.37557983391403, 109.50088500971653], 'axes': [40.53067779307434, 51.006305691638566], 'angle': -61.81825256348705}, 'location': [154.37557983391403, 109.50088500971653], 'diameter': 51.006305691638566, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.0223081405451329, 'phi': -1.2196060037734984, 'norm_pos': [0.48242368698098137, 0.5437463124595145], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
