eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1581495149.1848059,"{'circle_3d': {'center': [-0.2173677340284712, -0.4604353343111445, 24.743433231686176], 'normal': [0.29283168777152685, -0.5210404177149945, -0.8017271891012946], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.762969, 'diameter_3d': 2.0, 'ellipse': {'center': [154.31231689451513, 108.87934112552952], 'axes': [39.838836673573255, 50.13577652437066], 'angle': -61.90267181396405}, 'location': [154.31231689451513, 108.87934112552952], 'diameter': 50.13577652437066, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.0227268732666306, 'phi': -1.2205999643509495, 'norm_pos': [0.4822259902953598, 0.546336078643627], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.190381,"{'circle_3d': {'center': [-0.22675041419279562, -0.46697503985217814, 24.85145543888172], 'normal': [0.31243625286003396, -0.5055405613489445, -0.804246435323014], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.771369, 'diameter_3d': 2.0, 'ellipse': {'center': [154.08734130859574, 108.75152587897209], 'axes': [39.814067846639624, 49.918293006871544], 'angle': -59.60044097899918}, 'location': [154.08734130859574, 108.75152587897209], 'diameter': 49.918293006871544, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.040787958572098, 'phi': -1.2002574548934744, 'norm_pos': [0.4815229415893617, 0.5468686421709497], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.198335,"{'circle_3d': {'center': [-0.22461575569351222, -0.4646528003541075, 24.79081622821283], 'normal': [0.298166446015784, -0.5095908514099646, -0.8071021835118425], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.779769, 'diameter_3d': 2.0, 'ellipse': {'center': [154.13642883297908, 108.78793334958611], 'axes': [40.04435729798568, 50.03996658097732], 'angle': -60.96976470947742}, 'location': [154.13642883297908, 108.78793334958611], 'diameter': 50.03996658097732, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.0360871271988894, 'phi': -1.216919296151709, 'norm_pos': [0.4816763401030596, 0.5467169443767246], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.212977,"{'circle_3d': {'center': [-0.22586827224032024, -0.47011372267759555, 24.913312061674723], 'normal': [0.3066229245345533, -0.505347466587404, -0.8066017109847774], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.788169, 'diameter_3d': 2.0, 'ellipse': {'center': [154.128616332959, 108.70142364497204], 'axes': [39.82686614841787, 49.794036863378025], 'angle': -60.07205200196132}, 'location': [154.128616332959, 108.70142364497204], 'diameter': 49.794036863378025, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.041011743306627, 'phi': -1.2075255251910169, 'norm_pos': [0.4816519260404969, 0.5470774014792832], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.215251,"{'circle_3d': {'center': [-0.21766060891239558, -0.46248188057011497, 25.098120683512], 'normal': [0.305233040800005, -0.5028286913421091, -0.8087002522363677], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.796569, 'diameter_3d': 2.0, 'ellipse': {'center': [154.3770751953116, 108.96946716311143], 'axes': [39.64395523274581, 49.42657852426326], 'angle': -60.0282592773422}, 'location': [154.3770751953116, 108.96946716311143], 'diameter': 49.42657852426326, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.043928168350065, 'phi': -1.2098912079145039, 'norm_pos': [0.4824283599853487, 0.5459605534870358], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.22162,"{'circle_3d': {'center': [-0.2259338802278279, -0.4629089702785407, 24.857338334433294], 'normal': [0.28311414088469944, -0.5119050514696041, -0.8110484581768347], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.804969, 'diameter_3d': 2.0, 'ellipse': {'center': [154.13102722160144, 108.8644027709998], 'axes': [40.12832641956474, 49.90544510329071], 'angle': -62.34930419922692}, 'location': [154.13102722160144, 108.8644027709998], 'diameter': 49.90544510329071, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.0333953516924939, 'phi': -1.2349486555642233, 'norm_pos': [0.4816594600675045, 0.5463983217875008], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.2301881,"{'circle_3d': {'center': [-0.21591727480377632, -0.45947932639099953, 24.75839292370484], 'normal': [0.2870135139341545, -0.5238362419085348, -0.8020092483770446], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.813369, 'diameter_3d': 2.0, 'ellipse': {'center': [154.3568878173609, 108.91219329838322], 'axes': [39.824199680829594, 50.10527420587004], 'angle': -62.505645751952805}, 'location': [154.3568878173609, 108.91219329838322], 'diameter': 50.10527420587004, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.0194479920305797, 'phi': -1.2271293455970202, 'norm_pos': [0.4823652744292528, 0.5461991945900699], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.2383249,"{'circle_3d': {'center': [-0.22146232498918117, -0.47129395911010796, 25.029222652998364], 'normal': [0.3028446358092919, -0.5011003697465458, -0.8106685796312897], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.821769, 'diameter_3d': 2.0, 'ellipse': {'center': [154.26803588871266, 108.72142028808169], 'axes': [39.84352493161683, 49.56285476529867], 'angle': -60.173583984370836}, 'location': [154.26803588871266, 108.72142028808169], 'diameter': 49.56285476529867, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.0459264869308433, 'phi': -1.2132765078247512, 'norm_pos': [0.48208761215222706, 0.5469940821329929], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.250777,"{'circle_3d': {'center': [-0.212219698642782, -0.4604699448311145, 24.629048731901918], 'normal': [0.3236377316472042, -0.5041152564673262, -0.8007037072794994], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.830169, 'diameter_3d': 2.0, 'ellipse': {'center': [154.38949584961856, 108.81430053713103], 'axes': [39.99676132405208, 50.36932373302705], 'angle': -58.580741882321696}, 'location': [154.38949584961856, 108.81430053713103], 'diameter': 50.36932373302705, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.0424391079850799, 'phi': -1.186681711852402, 'norm_pos': [0.482467174530058, 0.5466070810952874], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.257921,"{'circle_3d': {'center': [-0.22030141769209433, -0.4616153890415955, 24.97472204602855], 'normal': [0.29642113546098, -0.49564761978291094, -0.8163748816907331], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.838569, 'diameter_3d': 2.0, 'ellipse': {'center': [154.2873992919525, 108.93664550775904], 'axes': [40.22397994671261, 49.67049026089238], 'angle': -60.44731903076969}, 'location': [154.2873992919525, 108.93664550775904], 'diameter': 49.67049026089238, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.0522159978290655, 'phi': -1.2225040885196763, 'norm_pos': [0.4821481227873516, 0.5460973103843374], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581495149.266937,"{'circle_3d': {'center': [-0.22545415777277, -0.4623783577273475, 24.719204055325896], 'normal': [0.31956107346954266, -0.5097468524469406, -0.7987733512977448], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 360245.846969, 'diameter_3d': 2.0, 'ellipse': {'center': [154.08271789547794, 108.80927276610562], 'axes': [39.75463104270107, 50.185905456820834], 'angle': -59.211944580081706}, 'location': [154.08271789547794, 108.80927276610562], 'diameter': 50.185905456820834, 'sphere': {'center': [-3.2027166956369943, -5.674842741305565, 1163.0478784431957], 'radius': 12.0}, 'projected_sphere': {'center': [158.2926890731679, 116.97484294084347], 'axes': [12.793970287721695, 12.793970287721695], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 360235.103369, 'theta': 1.035905808790616, 'phi': -1.190234118607313, 'norm_pos': [0.48150849342336854, 0.5466280301412265], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
