eye_packets,755
norm_X,norm_Y,phi,theta,confidence,timestamp
1581497171.076053,"{'circle_3d': {'center': [-1.3174375812496919e-08, 1.4175429718932264e-08, 4.183752597697321e-07], 'normal': [-0.30197553699355567, 0.5589358147072037, -0.772270373700201], 'radius': 2.0873184961670426e-08}, 'confidence': 0.9803559780120851, 'timestamp': 362267.684072, 'diameter_3d': 4.174636992334085e-08, 'ellipse': {'center': [140.81721289258795, 140.36120848354935], 'axes': [46.06004247065274, 61.89978171310729], 'angle': -60.9146739237546}, 'location': [140.81721289258795, 140.36120848354935], 'diameter': 61.89978171310729, 'sphere': {'center': [3.623706430748292, -6.707229762311014, 9.267244902777671], 'radius': 12.0}, 'projected_sphere': {'center': [402.4342952661733, -328.7290986975435], 'axes': [1605.6552034726112, 1605.6552034726112], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 362254.899183, 'theta': 2.1638981998123845, 'phi': -1.943540102660661, 'norm_pos': [0.44005379028933733, 0.41516163131854433], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497171.086188,"{'circle_3d': {'center': [-1.3186914227247826e-08, 1.4159702743654634e-08, 4.1836877784362514e-07], 'normal': [-0.3019755369946005, 0.558935814705893, -0.7722703737007411], 'radius': 2.0825195054887668e-08}, 'confidence': 1.0, 'timestamp': 362267.692472, 'diameter_3d': 4.1650390109775335e-08, 'ellipse': {'center': [140.79675472463188, 140.34115306741748], 'axes': [45.95533635889007, 61.7583109601194], 'angle': -60.91194771760181}, 'location': [140.79675472463188, 140.34115306741748], 'diameter': 61.7583109601194, 'sphere': {'center': [3.623706430748292, -6.707229762311014, 9.267244902777671], 'radius': 12.0}, 'projected_sphere': {'center': [402.4342952661733, -328.7290986975435], 'axes': [1605.6552034726112, 1605.6552034726112], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 362254.899183, 'theta': 2.163898199810804, 'phi': -1.9435401026615973, 'norm_pos': [0.43998985851447464, 0.4152451955524271], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497171.091945,"{'circle_3d': {'center': [-1.3144175525781066e-08, 1.430448914874205e-08, 4.1845685672114996e-07], 'normal': [-0.30197553699103896, 0.5589358147179586, -0.7722703736934012], 'radius': 2.081011432711837e-08}, 'confidence': 1.0, 'timestamp': 362267.700872, 'diameter_3d': 4.162022865423674e-08, 'ellipse': {'center': [140.8636245687578, 140.55266863815424], 'axes': [45.90276616789275, 61.700373685283765], 'angle': -60.928040243270594}, 'location': [140.8636245687578, 140.55266863815424], 'diameter': 61.700373685283765, 'sphere': {'center': [3.623706430748292, -6.707229762311014, 9.267244902777671], 'radius': 12.0}, 'projected_sphere': {'center': [402.4342952661733, -328.7290986975435], 'axes': [1605.6552034726112, 1605.6552034726112], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 362254.899183, 'theta': 2.1638981998253546, 'phi': -1.9435401026608206, 'norm_pos': [0.44019882677736816, 0.41436388067435737], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497171.1001542,"{'circle_3d': {'center': [-1.316771003345707e-08, 1.4209114773677811e-08, 4.183970307991558e-07], 'normal': [-0.30197553699300017, 0.5589358147100107, -0.7722703736983867], 'radius': 2.0679795077650076e-08}, 'confidence': 1.0, 'timestamp': 362267.709272, 'diameter_3d': 4.135959015530015e-08, 'ellipse': {'center': [140.82179360890945, 140.42206661915844], 'axes': [45.62772220027847, 61.32248323087606], 'angle': -60.918039801399665}, 'location': [140.82179360890945, 140.42206661915844], 'diameter': 61.32248323087606, 'sphere': {'center': [3.623706430748292, -6.707229762311014, 9.267244902777671], 'radius': 12.0}, 'projected_sphere': {'center': [402.4342952661733, -328.7290986975435], 'axes': [1605.6552034726112, 1605.6552034726112], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 362254.899183, 'theta': 2.16389819981577, 'phi': -1.9435401026608339, 'norm_pos': [0.440068105027842, 0.41490805575350653], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497171.1078851,"{'circle_3d': {'center': [-1.3136394638735283e-08, 1.4220060684522196e-08, 4.1839270892296554e-07], 'normal': [-0.30197553699039054, 0.5589358147109229, -0.7722703736987468], 'radius': 2.080765396932748e-08}, 'confidence': 0.9854463934898378, 'timestamp': 362267.717672, 'diameter_3d': 4.161530793865496e-08, 'ellipse': {'center': [140.87220119208624, 140.4306400153771], 'axes': [45.9113777651247, 61.70259309433895], 'angle': -60.922738229222546}, 'location': [140.87220119208624, 140.4306400153771], 'diameter': 61.70259309433895, 'sphere': {'center': [3.623706430748292, -6.707229762311014, 9.267244902777671], 'radius': 12.0}, 'projected_sphere': {'center': [402.4342952661733, -328.7290986975435], 'axes': [1605.6552034726112, 1605.6552034726112], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 362254.899183, 'theta': 2.16389819981687, 'phi': -1.9435401026577446, 'norm_pos': [0.4402256287252695, 0.4148723332692621], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497171.116271,"{'circle_3d': {'center': [-1.3270759602335147e-08, 1.4230007394644417e-08, 4.1845244780347457e-07], 'normal': [-0.30197553700158764, 0.5589358147117518, -0.7722703736937686], 'radius': 2.0712328483776028e-08}, 'confidence': 1.0, 'timestamp': 362267.726072, 'diameter_3d': 4.1424656967552056e-08, 'ellipse': {'center': [140.67251061206827, 140.448432817494], 'axes': [45.687439079139835, 61.41103168898472], 'angle': -60.9067509573494}, 'location': [140.67251061206827, 140.448432817494], 'diameter': 61.41103168898472, 'sphere': {'center': [3.623706430748292, -6.707229762311014, 9.267244902777671], 'radius': 12.0}, 'projected_sphere': {'center': [402.4342952661733, -328.7290986975435], 'axes': [1605.6552034726112, 1605.6552034726112], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 362254.899183, 'theta': 2.1638981998178695, 'phi': -1.943540102672507, 'norm_pos': [0.43960159566271334, 0.41479819659377504], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497171.124537,"{'circle_3d': {'center': [-1.3202408499779494e-08, 1.4307643958488825e-08, 4.1848191045801286e-07], 'normal': [-0.3019755369958917, 0.5589358147182215, -0.7722703736913133], 'radius': 2.0827963093017126e-08}, 'confidence': 1.0, 'timestamp': 362267.734472, 'diameter_3d': 4.165592618603425e-08, 'ellipse': {'center': [140.7789713454867, 140.55505244862516], 'axes': [45.93665349315097, 61.749721094445], 'angle': -60.921017208281754}, 'location': [140.7789713454867, 140.55505244862516], 'diameter': 61.749721094445, 'sphere': {'center': [3.623706430748292, -6.707229762311014, 9.267244902777671], 'radius': 12.0}, 'projected_sphere': {'center': [402.4342952661733, -328.7290986975435], 'axes': [1605.6552034726112, 1605.6552034726112], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 362254.899183, 'theta': 2.1638981998256717, 'phi': -1.943540102667188, 'norm_pos': [0.4399342854546459, 0.41435394813072846], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497171.131544,"{'circle_3d': {'center': [-1.3224244810317032e-08, 1.4235120637806631e-08, 4.184379580607356e-07], 'normal': [-0.3019755369977114, 0.5589358147121779, -0.7722703736949761], 'radius': 2.083266188900706e-08}, 'confidence': 1.0, 'timestamp': 362267.742872, 'diameter_3d': 4.166532377801412e-08, 'ellipse': {'center': [140.74475184930714, 140.44929042879485], 'axes': [45.95663701133479, 61.7702446121115], 'angle': -60.91290617217632}, 'location': [140.74475184930714, 140.44929042879485], 'diameter': 61.7702446121115, 'sphere': {'center': [3.623706430748292, -6.707229762311014, 9.267244902777671], 'radius': 12.0}, 'projected_sphere': {'center': [402.4342952661733, -328.7290986975435], 'axes': [1605.6552034726112, 1605.6552034726112], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 362254.899183, 'theta': 2.1638981998183833, 'phi': -1.9435401026676231, 'norm_pos': [0.4398273495290848, 0.4147946232133548], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497171.140531,"{'circle_3d': {'center': [-1.3041310698014286e-08, 1.4206493759161276e-08, 4.183457100737087e-07], 'normal': [-0.3019755369824669, 0.5589358147097924, -0.7722703737026634], 'radius': 2.0800400857882363e-08}, 'confidence': 1.0, 'timestamp': 362267.751272, 'diameter_3d': 4.160080171576473e-08, 'ellipse': {'center': [141.01090975803132, 140.41318649347357], 'axes': [45.90575103718654, 61.68788442432176], 'angle': -60.93359097649291}, 'location': [141.01090975803132, 140.41318649347357], 'diameter': 61.68788442432176, 'sphere': {'center': [3.623706430748292, -6.707229762311014, 9.267244902777671], 'radius': 12.0}, 'projected_sphere': {'center': [402.4342952661733, -328.7290986975435], 'axes': [1605.6552034726112, 1605.6552034726112], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 362254.899183, 'theta': 2.1638981998155065, 'phi': -1.943540102647125, 'norm_pos': [0.44065909299384787, 0.41494505627719347], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497171.149976,"{'circle_3d': {'center': [-1.3249115138336265e-08, 1.4235261858175363e-08, 4.18447786643128e-07], 'normal': [-0.3019755369997839, 0.5589358147121897, -0.7722703736941571], 'radius': 2.0778608411418558e-08}, 'confidence': 1.0, 'timestamp': 362267.759672, 'diameter_3d': 4.1557216822837116e-08, 'ellipse': {'center': [140.70655112612394, 140.45236925574574], 'axes': [45.83497761791707, 61.608397434363795], 'angle': -60.909827170055664}, 'location': [140.70655112612394, 140.45236925574574], 'diameter': 61.608397434363795, 'sphere': {'center': [3.623706430748292, -6.707229762311014, 9.267244902777671], 'radius': 12.0}, 'projected_sphere': {'center': [402.4342952661733, -328.7290986975435], 'axes': [1605.6552034726112, 1605.6552034726112], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 362254.899183, 'theta': 2.1638981998183975, 'phi': -1.9435401026703105, 'norm_pos': [0.4397079722691373, 0.41478179476772614], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497171.161072,"{'circle_3d': {'center': [-1.3175221358352474e-08, 1.4283980220852754e-08, 4.184541531060404e-07], 'normal': [-0.3019755369936261, 0.5589358147162495, -0.7722703736936265], 'radius': 2.089445445734185e-08}, 'confidence': 1.0, 'timestamp': 362267.768072, 'diameter_3d': 4.17889089146837e-08, 'ellipse': {'center': [140.8202098115565, 140.51716543230896], 'axes': [46.089730746947836, 61.951144578970464], 'angle': -60.92263609201021}, 'location': [140.8202098115565, 140.51716543230896], 'diameter': 61.951144578970464, 'sphere': {'center': [3.623706430748292, -6.707229762311014, 9.267244902777671], 'radius': 12.0}, 'projected_sphere': {'center': [402.4342952661733, -328.7290986975435], 'axes': [1605.6552034726112, 1605.6552034726112], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 362254.899183, 'theta': 2.1638981998232936, 'phi': -1.9435401026636274, 'norm_pos': [0.4400631556611141, 0.4145118106987127], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497171.168548,"{'circle_3d': {'center': [-1.31518640422712e-08, 1.4253759061944038e-08, 4.184231485737655e-07], 'normal': [-0.30197553699167967, 0.5589358147137311, -0.7722703736962102], 'radius': 2.0693258801928623e-08}, 'confidence': 1.0, 'timestamp': 362267.776472, 'diameter_3d': 4.1386517603857246e-08, 'ellipse': {'center': [140.8469098855321, 140.48622134102231], 'axes': [45.65182280656214, 61.35855840559016], 'angle': -60.92333146726618}, 'location': [140.8469098855321, 140.48622134102231], 'diameter': 61.35855840559016, 'sphere': {'center': [3.623706430748292, -6.707229762311014, 9.267244902777671], 'radius': 12.0}, 'projected_sphere': {'center': [402.4342952661733, -328.7290986975435], 'axes': [1605.6552034726112, 1605.6552034726112], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 362254.899183, 'theta': 2.1638981998202564, 'phi': -1.9435401026603065, 'norm_pos': [0.44014659339228784, 0.41464074441240706], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581497171.176067,"{'circle_3d': {'center': [-1.307749020185156e-08, 1.4305854278973129e-08, 4.184317692335071e-07], 'normal': [-0.30197553698548185, 0.5589358147180724, -0.7722703736954918], 'radius': 2.089883193499427e-08}, 'confidence': 1.0, 'timestamp': 362267.784872, 'diameter_3d': 4.179766386998854e-08, 'ellipse': {'center': [140.96430062064266, 140.55040216823468], 'axes': [46.10445193086098, 61.967308938259016], 'angle': -60.93644071955444}, 'location': [140.96430062064266, 140.55040216823468], 'diameter': 61.967308938259016, 'sphere': {'center': [3.623706430748292, -6.707229762311014, 9.267244902777671], 'radius': 12.0}, 'projected_sphere': {'center': [402.4342952661733, -328.7290986975435], 'axes': [1605.6552034726112, 1605.6552034726112], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 362254.899183, 'theta': 2.163898199825492, 'phi': -1.943540102653661, 'norm_pos': [0.4405134394395083, 0.4143733242990222], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
