eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1581494812.79503,"{'circle_3d': {'center': [-0.010643887983012412, -0.030983350303745993, 3.3415746327135007], 'normal': [-0.2622913040801675, 0.5275094803728815, -0.8080451843310854], 'radius': 0.1037151332752537}, 'confidence': 0.3094514163131687, 'timestamp': 359909.308611, 'diameter_3d': 0.2074302665505074, 'ellipse': {'center': [158.15108952248636, 113.99471308958996], 'axes': [31.26489913424819, 38.49426724017816], 'angle': -62.99983909384}, 'location': [158.15108952248636, 113.99471308958996], 'diameter': 38.49426724017816, 'sphere': {'center': [3.1368517609789968, -6.361097114778323, 13.038116844686524], 'radius': 12.0}, 'projected_sphere': {'center': [309.1663339863049, -182.48848496627988], 'axes': [1141.2691094315592, 1141.2691094315592], 'angle': 90.0}, 'model_confidence': 0.5783171116411467, 'model_id': 39, 'model_birth_timestamp': 359861.586521, 'theta': 2.1264626368212305, 'phi': -1.8846662148137832, 'norm_pos': [0.49422215475776987, 0.5250220287933751], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494812.802967,"{'circle_3d': {'center': [-0.01074205626101632, -0.03415854286532394, 3.339534398322934], 'normal': [-0.2622994847700011, 0.5272448809927499, -0.8082152038636324], 'radius': 0.10335080255668175}, 'confidence': 0.28287122749164656, 'timestamp': 359909.317011, 'diameter_3d': 0.2067016051133635, 'ellipse': {'center': [158.13095123632098, 113.40307880640263], 'axes': [31.199403875150324, 38.38256819574973], 'angle': -62.94882181000566}, 'location': [158.13095123632098, 113.40307880640263], 'diameter': 38.38256819574973, 'sphere': {'center': [3.1368517609789968, -6.361097114778323, 13.038116844686524], 'radius': 12.0}, 'projected_sphere': {'center': [309.1663339863049, -182.48848496627988], 'axes': [1141.2691094315592, 1141.2691094315592], 'angle': 90.0}, 'model_confidence': 0.5783171116411467, 'model_id': 39, 'model_birth_timestamp': 359861.586521, 'theta': 2.126151208335542, 'phi': -1.8846135957751715, 'norm_pos': [0.4941592226135031, 0.527487171639989], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494812.810984,"{'circle_3d': {'center': [-0.010840250589865708, -0.03734990788828352, 3.3374850990909817], 'normal': [-0.2623076676307385, 0.5269789339075032, -0.8083859787996284], 'radius': 0.10526222164884527}, 'confidence': 0.2416633238230874, 'timestamp': 359909.325411, 'diameter_3d': 0.21052444329769054, 'ellipse': {'center': [158.11634827808766, 112.7963458933925], 'axes': [31.82230852218162, 39.11682662079742], 'angle': -62.89716744763775}, 'location': [158.11634827808766, 112.7963458933925], 'diameter': 39.11682662079742, 'sphere': {'center': [3.1368517609789968, -6.361097114778323, 13.038116844686524], 'radius': 12.0}, 'projected_sphere': {'center': [309.1663339863049, -182.48848496627988], 'axes': [1141.2691094315592, 1141.2691094315592], 'angle': 90.0}, 'model_confidence': 0.5783171116411467, 'model_id': 39, 'model_birth_timestamp': 359861.586521, 'theta': 2.125838254255672, 'phi': -1.884560725171603, 'norm_pos': [0.4941135883690239, 0.5300152254441979], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494812.819411,"{'circle_3d': {'center': [-0.01093846354581629, -0.040557454119984016, 3.3354267486136315], 'normal': [-0.2623158520437344, 0.5267116383881949, -0.8085575080060744], 'radius': 0.10351193141186286}, 'confidence': 0.2455142360991076, 'timestamp': 359909.333811, 'diameter_3d': 0.20702386282372573, 'ellipse': {'center': [158.09273671237491, 112.20414434807509], 'axes': [31.337813947569966, 38.4900692868373], 'angle': -62.844939288500804}, 'location': [158.09273671237491, 112.20414434807509], 'diameter': 38.4900692868373, 'sphere': {'center': [3.1368517609789968, -6.361097114778323, 13.038116844686524], 'radius': 12.0}, 'projected_sphere': {'center': [309.1663339863049, -182.48848496627988], 'axes': [1141.2691094315592, 1141.2691094315592], 'angle': 90.0}, 'model_confidence': 0.5783171116411467, 'model_id': 39, 'model_birth_timestamp': 359861.586521, 'theta': 2.125523774581621, 'phi': -1.8845076030030772, 'norm_pos': [0.4940398022261716, 0.5324827318830205], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494812.827053,"{'circle_3d': {'center': [-0.011036687671308165, -0.04378119034268657, 3.33335936055917], 'normal': [-0.2623240373875254, 0.5264429937029697, -0.8087297903439462], 'radius': 0.10435587867494137}, 'confidence': 0.2252697705716843, 'timestamp': 359909.342211, 'diameter_3d': 0.20871175734988273, 'ellipse': {'center': [158.07545436575805, 111.59520067055092], 'axes': [31.639120370167387, 38.82822284296518], 'angle': -62.792049964778776}, 'location': [158.07545436575805, 111.59520067055092], 'diameter': 38.82822284296518, 'sphere': {'center': [3.1368517609789968, -6.361097114778323, 13.038116844686524], 'radius': 12.0}, 'projected_sphere': {'center': [309.1663339863049, -182.48848496627988], 'axes': [1141.2691094315592, 1141.2691094315592], 'angle': 90.0}, 'model_confidence': 0.5783171116411467, 'model_id': 39, 'model_birth_timestamp': 359861.586521, 'theta': 2.1252077693133886, 'phi': -1.884454229269594, 'norm_pos': [0.4939857948929939, 0.5350199972060379], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494812.834641,"{'circle_3d': {'center': [-0.011134915474990681, -0.04702112537344405, 3.3312829486682674], 'normal': [-0.26233222303783227, 0.5261729991170733, -0.8089028246681881], 'radius': 0.10390094787327366}, 'confidence': 0.2350772780160345, 'timestamp': 359909.350611, 'diameter_3d': 0.2078018957465473, 'ellipse': {'center': [158.05496091445912, 110.98895352332487], 'axes': [31.546797457365223, 38.683169692810075], 'angle': -62.73854108397639}, 'location': [158.05496091445912, 110.98895352332487], 'diameter': 38.683169692810075, 'sphere': {'center': [3.1368517609789968, -6.361097114778323, 13.038116844686524], 'radius': 12.0}, 'projected_sphere': {'center': [309.1663339863049, -182.48848496627988], 'axes': [1141.2691094315592, 1141.2691094315592], 'angle': 90.0}, 'model_confidence': 0.5783171116411467, 'model_id': 39, 'model_birth_timestamp': 359861.586521, 'theta': 2.1248902384509756, 'phi': -1.8844006039711536, 'norm_pos': [0.49392175285768475, 0.5375460269861464], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494812.84321,"{'circle_3d': {'center': [-0.011233139432444528, -0.05027726808660837, 3.3291975267395735], 'normal': [-0.26234040836762007, 0.5259016538909761, -0.8090766098289124], 'radius': 0.10310147337064927}, 'confidence': 0.1820528558108528, 'timestamp': 359909.359011, 'diameter_3d': 0.20620294674129855, 'ellipse': {'center': [158.03360007835147, 110.38061503122246], 'axes': [31.349506287344013, 38.409650101545026], 'angle': -62.684391427017665}, 'location': [158.03360007835147, 110.38061503122246], 'diameter': 38.409650101545026, 'sphere': {'center': [3.1368517609789968, -6.361097114778323, 13.038116844686524], 'radius': 12.0}, 'projected_sphere': {'center': [309.1663339863049, -182.48848496627988], 'axes': [1141.2691094315592, 1141.2691094315592], 'angle': 90.0}, 'model_confidence': 0.5783171116411467, 'model_id': 39, 'model_birth_timestamp': 359861.586521, 'theta': 2.124571181992165, 'phi': -1.884346727107382, 'norm_pos': [0.49385500024484835, 0.5400807707032398], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494812.851451,"{'circle_3d': {'center': [0.39669806181565326, 0.04821896871509512, 3.2701986915264527], 'normal': [-0.2283461415969453, 0.5341096736244515, -0.8139931794300059], 'radius': 0.10353354895271957}, 'confidence': 0.22033866492418738, 'timestamp': 359909.367411, 'diameter_3d': 0.20706709790543915, 'ellipse': {'center': [235.3513473435073, 128.8746981592692], 'axes': [32.50595336819402, 39.553586784660965], 'angle': -76.94814821345162}, 'location': [235.3513473435073, 128.8746981592692], 'diameter': 39.553586784660965, 'sphere': {'center': [3.1368517609789968, -6.361097114778323, 13.038116844686524], 'radius': 12.0}, 'projected_sphere': {'center': [309.1663339863049, -182.48848496627988], 'axes': [1141.2691094315592, 1141.2691094315592], 'angle': 90.0}, 'model_confidence': 0.5783171116411467, 'model_id': 39, 'model_birth_timestamp': 359861.586521, 'theta': 2.1342505999413786, 'phi': -1.8442925986790255, 'norm_pos': [0.7354729604484603, 0.46302209100304503], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494812.859145,"{'circle_3d': {'center': [0.40376365408014125, 0.23963401167229392, 3.396510236022488], 'normal': [-0.2277573422415713, 0.5500609272042181, -0.8034672173886697], 'radius': 0.10349402175426156}, 'confidence': 0.31808693464642684, 'timestamp': 359909.375811, 'diameter_3d': 0.20698804350852312, 'ellipse': {'center': [233.8327769722232, 163.50276999658726], 'axes': [29.668867968393354, 38.11540923386079], 'angle': -76.8944610661463}, 'location': [233.8327769722232, 163.50276999658726], 'diameter': 38.11540923386079, 'sphere': {'center': [3.1368517609789968, -6.361097114778323, 13.038116844686524], 'radius': 12.0}, 'projected_sphere': {'center': [309.1663339863049, -182.48848496627988], 'axes': [1141.2691094315592, 1141.2691094315592], 'angle': 90.0}, 'model_confidence': 0.5783171116411467, 'model_id': 39, 'model_birth_timestamp': 359861.586521, 'theta': 2.1532335187423133, 'phi': -1.8470181129021035, 'norm_pos': [0.7307274280381975, 0.3187384583475531], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494812.866715,"{'circle_3d': {'center': [0.1382166646975711, 0.32377288863112685, 3.534396489117036], 'normal': [-0.24988625802345213, 0.5570725002841208, -0.7919766962974574], 'radius': 0.10289470386902148}, 'confidence': 0.190288969668532, 'timestamp': 359909.384211, 'diameter_3d': 0.20578940773804297, 'ellipse': {'center': [184.3575053771419, 176.58193447777984], 'axes': [27.047515512667438, 36.187106594584954], 'angle': -70.19290038738343}, 'location': [184.3575053771419, 176.58193447777984], 'diameter': 36.187106594584954, 'sphere': {'center': [3.1368517609789968, -6.361097114778323, 13.038116844686524], 'radius': 12.0}, 'projected_sphere': {'center': [309.1663339863049, -182.48848496627988], 'axes': [1141.2691094315592, 1141.2691094315592], 'angle': 90.0}, 'model_confidence': 0.5783171116411467, 'model_id': 39, 'model_birth_timestamp': 359861.586521, 'theta': 2.1616528037207545, 'phi': -1.8764321749513113, 'norm_pos': [0.5761172043035685, 0.26424193967591736], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581494812.878882,"{'circle_3d': {'center': [0.06739158339137141, 0.3175833358381386, 3.5526731725772827], 'normal': [-0.2557883481323021, 0.5565567042180385, -0.7904536393424367], 'radius': 0.10481044595266847}, 'confidence': 0.36673853061719436, 'timestamp': 359909.39261, 'diameter_3d': 0.20962089190533695, 'ellipse': {'center': [171.87392466756492, 175.20415347986366], 'axes': [27.248810023103132, 36.63414725439712], 'angle': -68.51243158264272}, 'location': [171.87392466756492, 175.20415347986366], 'diameter': 36.63414725439712, 'sphere': {'center': [3.1368517609789968, -6.361097114778323, 13.038116844686524], 'radius': 12.0}, 'projected_sphere': {'center': [309.1663339863049, -182.48848496627988], 'axes': [1141.2691094315592, 1141.2691094315592], 'angle': 90.0}, 'model_confidence': 0.5783171116411467, 'model_id': 39, 'model_birth_timestamp': 359861.586521, 'theta': 2.1610318390782113, 'phi': -1.8837586479384663, 'norm_pos': [0.5371060145861404, 0.2699826938339014], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
