imu_packets,1250
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1595835876.0034728,B3393680,0.08154,-0.01715,-0.99640,0.01422,0.0156
1595835876.0085912,B3393685,0.08160,-0.01740,-0.99640,0.01392,0.0156
1595835876.0141299,B3393690,0.08167,-0.01752,-0.99640,0.01361,0.0156
1595835876.0181608,B3393695,0.08179,-0.01764,-0.99640,0.01324,0.0156
1595835876.023702,B3393700,0.08191,-0.01770,-0.99640,0.01288,0.0156
1595835876.030221,B3393706,0.08209,-0.01770,-0.99640,0.01239,0.0156
1595835876.034446,B3393711,0.08228,-0.01758,-0.99640,0.01190,0.0156
1595835876.042392,B3393717,0.08252,-0.01733,-0.99640,0.01135,0.0156
1595835876.04511,B3393722,0.08276,-0.01703,-0.99634,0.01074,0.0156
1595835876.050999,B3393728,0.08313,-0.01660,-0.99634,0.01013,0.0156
1595835876.056308,B3393733,0.08350,-0.01605,-0.99634,0.00946,0.0156
1595835876.0623639,B3393738,0.08398,-0.01538,-0.99634,0.00867,0.0156
1595835876.067165,B3393744,0.08435,-0.01483,-0.99628,0.00806,0.0156
1595835876.072843,B3393749,0.08484,-0.01404,-0.99628,0.00720,0.0156
1595835876.076844,B3393754,0.08533,-0.01337,-0.99622,0.00647,0.0156
1595835876.081722,B3393759,0.08588,-0.01251,-0.99622,0.00562,0.0156
1595835876.088682,B3393764,0.08636,-0.01178,-0.99615,0.00482,0.0156
1595835876.092858,B3393769,0.08691,-0.01093,-0.99615,0.00397,0.0156
1595835876.0989199,B3393774,0.08807,-0.00928,-0.99609,0.00220,0.0156
1595835876.102257,B3393779,0.08856,-0.00848,-0.99603,0.00140,0.0156
1595835876.106967,B3393784,0.08917,-0.00751,-0.99597,0.00043,0.0156
1595835876.1121469,B3393789,-0.08966,0.00653,0.99597,0.00049,0.0156
1595835876.1171148,B3393794,-0.09021,0.00555,0.99591,0.00134,0.0156
1595835876.126656,B3393799,-0.09070,0.00464,0.99585,0.00220,0.0156
1595835876.127239,B3393804,-0.09119,0.00366,0.99585,0.00299,0.0156
1595835876.133031,B3393809,-0.09167,0.00256,0.99579,0.00391,0.0156
1595835876.1382349,B3393814,-0.09210,0.00153,0.99573,0.00476,0.0156
1595835876.142561,B3393819,-0.09241,0.00055,0.99573,0.00549,0.0156
1595835876.148903,B3393825,-0.09277,-0.00043,0.99567,0.00623,0.0156
1595835876.154198,B3393830,-0.09308,-0.00153,0.99561,0.00708,0.0156
1595835876.1579578,B3393835,-0.09332,-0.00250,0.99561,0.00781,0.0156
1595835876.163001,B3393840,-0.09357,-0.00342,0.99554,0.00848,0.0156
1595835876.16754,B3393845,-0.09375,-0.00439,0.99554,0.00916,0.0156
1595835876.173792,B3393850,-0.09387,-0.00525,0.99554,0.00983,0.0156
1595835876.177788,B3393855,-0.09399,-0.00610,0.99548,0.01044,0.0156
1595835876.182932,B3393860,-0.09406,-0.00677,0.99548,0.01099,0.0156
1595835876.187706,B3393865,-0.09412,-0.00757,0.99548,0.01160,0.0156
1595835876.19276,B3393870,-0.09412,-0.00830,0.99542,0.01215,0.0157
1595835876.198426,B3393876,-0.09412,-0.00891,0.99542,0.01270,0.0157
1595835876.204999,B3393881,-0.09406,-0.00940,0.99542,0.01318,0.0157
1595835876.210304,B3393887,-0.09399,-0.01001,0.99542,0.01367,0.0156
1595835876.2159228,B3393892,-0.09393,-0.01050,0.99542,0.01416,0.0157
1595835876.220486,B3393898,-0.09381,-0.01086,0.99542,0.01453,0.0157
1595835876.226775,B3393903,-0.09369,-0.01129,0.99542,0.01495,0.0157
1595835876.232198,B3393908,-0.09351,-0.01166,0.99542,0.01538,0.0157
1595835876.2361758,B3393913,-0.09332,-0.01202,0.99542,0.01575,0.0157
1595835876.2413619,B3393919,-0.09320,-0.01233,0.99542,0.01611,0.0157
1595835876.246804,B3393924,-0.09302,-0.01257,0.99542,0.01642,0.0157
1595835876.252301,B3393929,-0.09283,-0.01276,0.99548,0.01666,0.0157
1595835876.256763,B3393934,-0.09265,-0.01294,0.99548,0.01697,0.0157
1595835876.2617211,B3393939,-0.09247,-0.01312,0.99548,0.01721,0.0157
1595835876.2665951,B3393944,-0.09229,-0.01331,0.99548,0.01746,0.0157
1595835876.2722912,B3393949,-0.09210,-0.01343,0.99548,0.01770,0.0157
1595835876.277448,B3393954,-0.09174,-0.01367,0.99554,0.01807,0.0157
1595835876.282568,B3393960,-0.09155,-0.01373,0.99554,0.01819,0.0157
1595835876.2875462,B3393965,-0.09143,-0.01379,0.99554,0.01837,0.0157
1595835876.2934349,B3393970,-0.09125,-0.01385,0.99554,0.01855,0.0157
1595835876.2976372,B3393975,-0.09113,-0.01385,0.99554,0.01868,0.0157
1595835876.303919,B3393981,-0.09100,-0.01385,0.99561,0.01874,0.0157
1595835876.308904,B3393986,-0.09088,-0.01385,0.99561,0.01880,0.0157
1595835876.3144262,B3393992,-0.09076,-0.01379,0.99561,0.01892,0.0156
1595835876.319507,B3393997,-0.09064,-0.01373,0.99561,0.01898,0.0157
1595835876.325239,B3394003,-0.09058,-0.01361,0.99561,0.01898,0.0157
1595835876.33039,B3394008,-0.09045,-0.01349,0.99561,0.01904,0.0156
1595835876.3366961,B3394013,-0.09039,-0.01331,0.99561,0.01910,0.0156
1595835876.3413901,B3394018,-0.09033,-0.01306,0.99567,0.01910,0.0156
1595835876.346348,B3394024,-0.09027,-0.01288,0.99567,0.01910,0.0156
1595835876.3513489,B3394029,-0.09021,-0.01263,0.99567,0.01910,0.0156
1595835876.356846,B3394034,-0.09015,-0.01239,0.99567,0.01910,0.0156
1595835876.361558,B3394039,-0.09009,-0.01208,0.99567,0.01904,0.0156
1595835876.368355,B3394044,-0.09009,-0.01184,0.99567,0.01904,0.0156
1595835876.371722,B3394049,-0.09003,-0.01154,0.99567,0.01892,0.0156
1595835876.376788,B3394054,-0.09003,-0.01129,0.99567,0.01886,0.0156
1595835876.3843699,B3394059,-0.09003,-0.01111,0.99573,0.01874,0.0156
1595835876.3882859,B3394064,-0.09003,-0.01086,0.99573,0.01868,0.0156
1595835876.392307,B3394069,-0.08997,-0.01068,0.99573,0.01849,0.0156
1595835876.397727,B3394075,-0.09003,-0.01038,0.99573,0.01825,0.0156
1595835876.402401,B3394080,-0.09009,-0.01025,0.99573,0.01813,0.0156
1595835876.4076831,B3394085,-0.09015,-0.01013,0.99573,0.01794,0.0156
1595835876.412242,B3394090,-0.09021,-0.01007,0.99573,0.01782,0.0156
1595835876.417304,B3394095,-0.09027,-0.01007,0.99573,0.01770,0.0156
1595835876.42281,B3394100,-0.09039,-0.01001,0.99573,0.01752,0.0156
1595835876.428262,B3394105,-0.09045,-0.00989,0.99573,0.01733,0.0156
1595835876.43251,B3394110,-0.09058,-0.00983,0.99567,0.01715,0.0156
1595835876.4392588,B3394115,-0.09064,-0.00970,0.99567,0.01697,0.0156
1595835876.443187,B3394120,-0.09076,-0.00952,0.99567,0.01685,0.0156
1595835876.448344,B3394126,-0.09082,-0.00934,0.99567,0.01666,0.0156
1595835876.454378,B3394131,-0.09088,-0.00909,0.99567,0.01654,0.0156
1595835876.462465,B3394137,-0.09088,-0.00879,0.99567,0.01636,0.0156
1595835876.464703,B3394142,-0.09094,-0.00854,0.99567,0.01617,0.0156
1595835876.470295,B3394148,-0.09094,-0.00824,0.99567,0.01605,0.0156
1595835876.476688,B3394153,-0.09094,-0.00787,0.99567,0.01593,0.0156
1595835876.4810472,B3394158,-0.09094,-0.00757,0.99573,0.01575,0.0156
1595835876.485845,B3394163,-0.09094,-0.00726,0.99573,0.01563,0.0156
1595835876.4905589,B3394168,-0.09094,-0.00702,0.99573,0.01550,0.0156
1595835876.4965131,B3394174,-0.09094,-0.00671,0.99573,0.01538,0.0156
1595835876.501269,B3394179,-0.09094,-0.00653,0.99573,0.01520,0.0156
1595835876.506196,B3394184,-0.09094,-0.00635,0.99573,0.01508,0.0156
1595835876.511439,B3394189,-0.09088,-0.00623,0.99573,0.01495,0.0156
1595835876.5164611,B3394194,-0.09088,-0.00610,0.99573,0.01483,0.0156
1595835876.5212271,B3394199,-0.09082,-0.00604,0.99573,0.01477,0.0156
1595835876.5265942,B3394204,-0.09082,-0.00598,0.99573,0.01465,0.0156
1595835876.531994,B3394209,-0.09076,-0.00598,0.99573,0.01459,0.0156
1595835876.537517,B3394214,-0.09070,-0.00598,0.99573,0.01447,0.0156
1595835876.5415711,B3394219,-0.09064,-0.00604,0.99579,0.01440,0.0156
1595835876.547741,B3394225,-0.09058,-0.00610,0.99579,0.01428,0.0156
1595835876.552897,B3394230,-0.09045,-0.00635,0.99579,0.01404,0.0156
1595835876.5577412,B3394235,-0.09045,-0.00653,0.99579,0.01392,0.0156
1595835876.5622342,B3394240,-0.09045,-0.00671,0.99579,0.01373,0.0156
1595835876.567714,B3394245,-0.09039,-0.00696,0.99579,0.01355,0.0156
1595835876.5729768,B3394250,-0.09039,-0.00726,0.99579,0.01343,0.0156
1595835876.5773199,B3394255,-0.09039,-0.00757,0.99579,0.01324,0.0156
1595835876.5822668,B3394260,-0.09045,-0.00793,0.99579,0.01312,0.0156
1595835876.5886898,B3394265,-0.09045,-0.00836,0.99579,0.01294,0.0156
1595835876.593481,B3394271,-0.09045,-0.00879,0.99579,0.01282,0.0156
1595835876.6001651,B3394276,-0.09045,-0.00922,0.99579,0.01270,0.0156
1595835876.605385,B3394281,-0.09045,-0.00977,0.99579,0.01257,0.0156
1595835876.609235,B3394287,-0.09045,-0.01031,0.99579,0.01239,0.0156
1595835876.614537,B3394292,-0.09039,-0.01086,0.99579,0.01233,0.0156
1595835876.62104,B3394298,-0.09045,-0.01147,0.99579,0.01221,0.0156
