eye_packets,766
norm_X,norm_Y,phi,theta,confidence,timestamp
1595228184.036441,"{'circle_3d': {'center': [30.44902616907581, 15.4464841163716, 131.52550395853825], 'normal': [-0.5253577292255421, -0.1708965358423648, -0.8335428185642662], 'radius': 1.9722964743120397}, 'confidence': 0.20795918044928016, 'timestamp': 243985.956714, 'diameter_3d': 3.9445929486240794, 'ellipse': {'center': [303.60501814935355, 192.83826662034664], 'axes': [18.05775933786685, 18.674921322073473], 'angle': -2.575415542456079}, 'location': [303.60501814935355, 192.83826662034664], 'diameter': 18.674921322073473, 'sphere': {'center': [36.753318919782316, 17.497242546479978, 141.52801778130944], 'radius': 12.0}, 'projected_sphere': {'center': [321.00739689208274, 196.65118574316836], 'axes': [105.13819265802712, 105.13819265802712], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 243982.638714, 'theta': 1.3990568076137837, 'phi': -2.1331769307218083, 'norm_pos': [0.9487656817167298, 0.19650722241522234], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228184.044394,"{'circle_3d': {'center': [30.121071999370617, 15.624800282737642, 131.70420687333484], 'normal': [-0.552687243367642, -0.15603685531186143, -0.8186509089978843], 'radius': 1.9743270990570985}, 'confidence': 0.3661648370698521, 'timestamp': 243985.965114, 'diameter_3d': 3.948654198114197, 'ellipse': {'center': [301.8690593664362, 193.57728807965813], 'axes': [17.81509904142529, 18.690572304890605], 'angle': -3.4905898619572806}, 'location': [301.8690593664362, 193.57728807965813], 'diameter': 18.690572304890605, 'sphere': {'center': [36.753318919782316, 17.497242546479978, 141.52801778130944], 'radius': 12.0}, 'projected_sphere': {'center': [321.00739689208274, 196.65118574316836], 'axes': [105.13819265802712, 105.13819265802712], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 243982.638714, 'theta': 1.4141192472769035, 'phi': -2.164628127078224, 'norm_pos': [0.9433408105201131, 0.19342796633475778], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228184.0528839,"{'circle_3d': {'center': [30.089729707664723, 15.588247177988041, 131.73249250212066], 'normal': [-0.5552991010097993, -0.15908294737432802, -0.8162937732657316], 'radius': 1.8850886788215455}, 'confidence': 0.2559305852809821, 'timestamp': 243985.973514, 'diameter_3d': 3.770177357643091, 'ellipse': {'center': [301.6847772456124, 193.38770774970334], 'axes': [16.98347484701884, 17.835894427592557], 'angle': -2.4335315242521522}, 'location': [301.6847772456124, 193.38770774970334], 'diameter': 17.835894427592557, 'sphere': {'center': [36.753318919782316, 17.497242546479978, 141.52801778130944], 'radius': 12.0}, 'projected_sphere': {'center': [321.00739689208274, 196.65118574316836], 'axes': [105.13819265802712, 105.13819265802712], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 243982.638714, 'theta': 1.4110346252319157, 'phi': -2.1681566985219005, 'norm_pos': [0.9427649288925387, 0.1942178843762361], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228184.060779,"{'circle_3d': {'center': [30.154021358413065, 15.324951154566687, 131.74382533608815], 'normal': [-0.5499414634474373, -0.1810242826594408, -0.8153493704351074], 'radius': 2.078923750562008}, 'confidence': 0.16575982404306, 'timestamp': 243985.981914, 'diameter_3d': 4.157847501124016, 'ellipse': {'center': [301.9890053354808, 192.1496066262093], 'axes': [18.7710898552077, 19.630260719148538], 'angle': 3.1060181899993347}, 'location': [301.9890053354808, 192.1496066262093], 'diameter': 19.630260719148538, 'sphere': {'center': [36.753318919782316, 17.497242546479978, 141.52801778130944], 'radius': 12.0}, 'projected_sphere': {'center': [321.00739689208274, 196.65118574316836], 'axes': [105.13819265802712, 105.13819265802712], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 243982.638714, 'theta': 1.3887684856726168, 'phi': -2.164192567105913, 'norm_pos': [0.9437156416733774, 0.19937663905746128], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228184.0681999,"{'circle_3d': {'center': [30.0658405859081, 15.550905289970716, 131.75614975017604], 'normal': [-0.5572898611561844, -0.16219477137577168, -0.8143223359277835], 'radius': 1.9838681250560568}, 'confidence': 0.17385259712485512, 'timestamp': 243985.990314, 'diameter_3d': 3.9677362501121136, 'ellipse': {'center': [301.55430616532254, 193.20147148404902], 'axes': [17.85147251550287, 18.76123992868474], 'angle': -1.4437702124285645}, 'location': [301.55430616532254, 193.20147148404902], 'diameter': 18.76123992868474, 'sphere': {'center': [36.753318919782316, 17.497242546479978, 141.52801778130944], 'radius': 12.0}, 'projected_sphere': {'center': [321.00739689208274, 196.65118574316836], 'axes': [105.13819265802712, 105.13819265802712], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 243982.638714, 'theta': 1.4078818556102535, 'phi': -2.1709485345557096, 'norm_pos': [0.9423572067666329, 0.1949938688164624], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228184.076457,"{'circle_3d': {'center': [30.231394300432136, 15.268028207076537, 131.70482569886943], 'normal': [-0.5434937182791815, -0.18576786161695336, -0.8185993402033344], 'radius': 2.112646053572876}, 'confidence': 0.14656865603821947, 'timestamp': 243985.998714, 'diameter_3d': 4.225292107145752, 'ellipse': {'center': [302.39724411067095, 191.90455180579534], 'axes': [19.14028161206904, 19.946983231113794], 'angle': 4.096191548805136}, 'location': [302.39724411067095, 191.90455180579534], 'diameter': 19.946983231113794, 'sphere': {'center': [36.753318919782316, 17.497242546479978, 141.52801778130944], 'radius': 12.0}, 'projected_sphere': {'center': [321.00739689208274, 196.65118574316836], 'axes': [105.13819265802712, 105.13819265802712], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 243982.638714, 'theta': 1.3839430580582228, 'phi': -2.1569028184835997, 'norm_pos': [0.9449913878458467, 0.20039770080918606], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228184.087837,"{'circle_3d': {'center': [29.96619541483576, 15.257356768219385, 131.88862639860545], 'normal': [-0.565593625412213, -0.18665714818838272, -0.8032826152253325], 'radius': 2.0348231444480964}, 'confidence': 0.22139139955035286, 'timestamp': 243986.007114, 'diameter_3d': 4.069646288896193, 'ellipse': {'center': [300.9481209251825, 191.75204540178788], 'axes': [18.19070398577705, 19.18470376635837], 'angle': 5.450836880235717}, 'location': [300.9481209251825, 191.75204540178788], 'diameter': 19.18470376635837, 'sphere': {'center': [36.753318919782316, 17.497242546479978, 141.52801778130944], 'radius': 12.0}, 'projected_sphere': {'center': [321.00739689208274, 196.65118574316836], 'axes': [105.13819265802712, 105.13819265802712], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 243982.638714, 'theta': 1.383037940487585, 'phi': -2.184270616344681, 'norm_pos': [0.9404628778911952, 0.20103314415921714], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228184.096233,"{'circle_3d': {'center': [30.73410294585923, 16.414785211994797, 131.20341971754502], 'normal': [-0.5016013311602575, -0.09020477787376513, -0.8603831719803696], 'radius': 1.933350320515017}, 'confidence': 0.07003538505229276, 'timestamp': 243986.015514, 'diameter_3d': 3.866700641030034, 'ellipse': {'center': [305.299885575235, 197.5826711821962], 'axes': [17.784914509008356, 18.57073181448016], 'angle': -26.930525435701462}, 'location': [305.299885575235, 197.5826711821962], 'diameter': 18.57073181448016, 'sphere': {'center': [36.753318919782316, 17.497242546479978, 141.52801778130944], 'radius': 12.0}, 'projected_sphere': {'center': [321.00739689208274, 196.65118574316836], 'axes': [105.13819265802712, 105.13819265802712], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 243982.638714, 'theta': 1.4804687675719175, 'phi': -2.098620249193298, 'norm_pos': [0.9540621424226094, 0.17673887007418243], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228184.104121,"{'circle_3d': {'center': [30.68218782307733, 15.350691834474018, 131.40212585775978], 'normal': [-0.5059275913920824, -0.17887922600049674, -0.8438243269624722], 'radius': 2.0144021542538617}, 'confidence': 0.219539238767833, 'timestamp': 243986.023914, 'diameter_3d': 4.028804308507723, 'ellipse': {'center': [304.8410220555959, 192.45669099082917], 'axes': [18.61645354571251, 19.079517705219917], 'angle': -2.964014088065101}, 'location': [304.8410220555959, 192.45669099082917], 'diameter': 19.079517705219917, 'sphere': {'center': [36.753318919782316, 17.497242546479978, 141.52801778130944], 'radius': 12.0}, 'projected_sphere': {'center': [321.00739689208274, 196.65118574316836], 'axes': [105.13819265802712, 105.13819265802712], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 243982.638714, 'theta': 1.3909491410444037, 'phi': -2.1108959639941096, 'norm_pos': [0.9526281939237371, 0.19809712087154507], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228184.1136599,"{'circle_3d': {'center': [30.639574582194832, 15.28343276291034, 131.44232611356605], 'normal': [-0.5094786947989568, -0.184484148630803, -0.8404743056452821], 'radius': 2.0394868271564857}, 'confidence': 0.18373618077390336, 'timestamp': 243986.032314, 'diameter_3d': 4.078973654312971, 'ellipse': {'center': [304.5978751217457, 192.11863037125562], 'axes': [18.813462349010617, 19.298432626963404], 'angle': 0.0888598239223918}, 'location': [304.5978751217457, 192.11863037125562], 'diameter': 19.298432626963404, 'sphere': {'center': [36.753318919782316, 17.497242546479978, 141.52801778130944], 'radius': 12.0}, 'projected_sphere': {'center': [321.00739689208274, 196.65118574316836], 'axes': [105.13819265802712, 105.13819265802712], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 243982.638714, 'theta': 1.385249350685255, 'phi': -2.11574754074937, 'norm_pos': [0.9518683597554553, 0.19950570678643487], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595228184.120181,"{'circle_3d': {'center': [30.16103514676759, 15.618863214517168, 131.67847536852184], 'normal': [-0.5493569810845604, -0.15653161099690074, -0.8207952010656329], 'radius': 1.9788119442347505}, 'confidence': 0.2606901253208325, 'timestamp': 243986.040714, 'diameter_3d': 3.957623888469501, 'ellipse': {'center': [302.0849817955029, 193.56386625769716], 'axes': [17.88924340327553, 18.73668796329235], 'angle': -3.732112730016406}, 'location': [302.0849817955029, 193.56386625769716], 'diameter': 18.73668796329235, 'sphere': {'center': [36.753318919782316, 17.497242546479978, 141.52801778130944], 'radius': 12.0}, 'projected_sphere': {'center': [321.00739689208274, 196.65118574316836], 'axes': [105.13819265802712, 105.13819265802712], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 3, 'model_birth_timestamp': 243982.638714, 'theta': 1.413618336455885, 'phi': -2.1606187429732406, 'norm_pos': [0.9440155681109467, 0.19348389059292848], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
