eye_packets,766
norm_X,norm_Y,phi,theta,confidence,timestamp
1595227348.056789,"{'circle_3d': {'center': [5.113585597200471, -2.614595117404822, 27.5870582916355], 'normal': [0.45300048504748414, 0.06027883141499787, -0.8894700798958819], 'radius': 0.46066409374769934}, 'confidence': 0.7295300563561214, 'timestamp': 243760.879867, 'diameter_3d': 0.9213281874953987, 'ellipse': {'center': [274.86131884715167, 61.226096363251045], 'axes': [16.727808588717714, 20.793887657242255], 'angle': 0.43768351341436346}, 'location': [274.86131884715167, 61.226096363251045], 'diameter': 20.793887657242255, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.6311117222596516, 'phi': -1.0997423434479414, 'norm_pos': [0.858941621397349, 0.7448912651531207], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227348.064501,"{'circle_3d': {'center': [5.114063903817042, -2.6231046277071313, 27.58672861332893], 'normal': [0.45304034393219833, 0.05956970555647206, -0.8894975530880962], 'radius': 0.46629578571219094}, 'confidence': 0.737431811156596, 'timestamp': 243760.888268, 'diameter_3d': 0.9325915714243819, 'ellipse': {'center': [274.8718819390999, 61.033934771701624], 'axes': [16.93172795440775, 21.048392065417104], 'angle': 0.3486704536161984}, 'location': [274.8718819390999, 61.033934771701624], 'diameter': 21.048392065417104, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.6304013197403595, 'phi': -1.099719252611745, 'norm_pos': [0.8589746310596873, 0.7456919384512433], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227348.073764,"{'circle_3d': {'center': [5.104965783451007, -2.606396506401661, 27.583231214902984], 'normal': [0.45228216723502873, 0.06096204899859457, -0.8897890029569249], 'radius': 0.4519755663565505}, 'confidence': 0.6241074574205264, 'timestamp': 243760.896668, 'diameter_3d': 0.903951132713101, 'ellipse': {'center': [274.6859041508328, 61.40261239386911], 'axes': [16.427300185223594, 20.40447693229498], 'angle': 0.5198940670695782}, 'location': [274.6859041508328, 61.40261239386911], 'diameter': 20.40447693229498, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.6317961986842033, 'phi': -1.100528627591145, 'norm_pos': [0.8583934504713525, 0.744155781692212], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227348.080383,"{'circle_3d': {'center': [5.1130597113430785, -2.6204905542076156, 27.58639259366415], 'normal': [0.45295666122603473, 0.059787545014765055, -0.8895255547268277], 'radius': 0.46126423101081454}, 'confidence': 0.9645153279479032, 'timestamp': 243760.905068, 'diameter_3d': 0.9225284620216291, 'ellipse': {'center': [274.8521043933343, 61.0922145990924], 'axes': [16.75074603809916, 20.821501041974457], 'angle': 0.37562991518280725}, 'location': [274.8521043933343, 61.0922145990924], 'diameter': 20.821501041974457, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.6306195481601626, 'phi': -1.099806685442688, 'norm_pos': [0.8589128262291696, 0.745449105837115], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227348.092848,"{'circle_3d': {'center': [5.112919450101288, -2.6236075468385174, 27.586112128775888], 'normal': [0.4529449727892188, 0.05952779562885659, -0.8895489268008494], 'radius': 0.4562855722180713}, 'confidence': 0.7792125311974555, 'timestamp': 243760.913468, 'diameter_3d': 0.9125711444361426, 'ellipse': {'center': [274.8514733386713, 61.02186827132952], 'axes': [16.570271990306786, 20.59697048307429], 'angle': 0.3429093279401593}, 'location': [274.8514733386713, 61.02186827132952], 'diameter': 20.59697048307429, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.6303593353071046, 'phi': -1.099827744091428, 'norm_pos': [0.8589108541833479, 0.7457422155361271], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227348.100618,"{'circle_3d': {'center': [5.113070628892531, -2.6218486259792435, 27.586306959877437], 'normal': [0.45295757102182244, 0.05967437236712939, -0.8895326908757204], 'radius': 0.47211969257914804}, 'confidence': 0.7382310600451147, 'timestamp': 243760.921868, 'diameter_3d': 0.9442393851582961, 'ellipse': {'center': [274.8496979486014, 61.06092291445987], 'axes': [17.145030313200646, 21.311618481389782], 'angle': 0.3613413289674163}, 'location': [274.8496979486014, 61.06092291445987], 'diameter': 21.311618481389782, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.6305061730826598, 'phi': -1.0998091171982565, 'norm_pos': [0.8589053060893793, 0.7455794878564173], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227348.1093729,"{'circle_3d': {'center': [5.111966556023015, -2.604766664078568, 27.58690444316261], 'normal': [0.45286556494936275, 0.0610978691921857, -0.889482900601956], 'radius': 0.4804344173515046}, 'confidence': 0.9594755383616557, 'timestamp': 243760.930268, 'diameter_3d': 0.9608688347030092, 'ellipse': {'center': [274.82006904078605, 61.44542179312067], 'axes': [17.44850637821838, 21.686441714724637], 'angle': 0.5399197022100997}, 'location': [274.82006904078605, 61.44542179312067], 'diameter': 21.686441714724637, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.6319322725284349, 'phi': -1.099868623746054, 'norm_pos': [0.8588127157524564, 0.7439774091953305], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227348.1166542,"{'circle_3d': {'center': [5.1101978567565105, -2.6159016597290687, 27.58524516869514], 'normal': [0.45271817334382064, 0.06016995288797731, -0.8896211734742452], 'radius': 0.4727212328068721}, 'confidence': 0.9377948120907706, 'timestamp': 243760.938668, 'diameter_3d': 0.9454424656137442, 'ellipse': {'center': [274.78940210425947, 61.19221225287459], 'axes': [17.172021890973404, 21.33957462885635], 'angle': 0.42237553323163396}, 'location': [274.78940210425947, 61.19221225287459], 'diameter': 21.33957462885635, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.631002645743859, 'phi': -1.1000630599638344, 'norm_pos': [0.8587168815758108, 0.7450324489463559], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227348.12504,"{'circle_3d': {'center': [5.105950300232429, -2.6223763013908155, 27.582648843803476], 'normal': [0.4523642103001473, 0.059630399416165054, -0.8898375338818839], 'radius': 0.4492263281330234}, 'confidence': 0.7567236308845807, 'timestamp': 243760.947069, 'diameter_3d': 0.8984526562660468, 'ellipse': {'center': [274.7111720973129, 61.0425078161315], 'axes': [16.32614537505237, 20.280836154959715], 'angle': 0.35258093489204695}, 'location': [274.7111720973129, 61.0425078161315], 'diameter': 20.280836154959715, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.6304621216854405, 'phi': -1.100477389941675, 'norm_pos': [0.8584724128041028, 0.7456562174327854], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595227348.132975,"{'circle_3d': {'center': [5.112958113930002, -2.6255587838818664, 27.586001419810287], 'normal': [0.45294819477494497, 0.059365192541910826, -0.8895581525479829], 'radius': 0.47359769210736435}, 'confidence': 0.8691664165877881, 'timestamp': 243760.955469, 'diameter_3d': 0.9471953842147287, 'ellipse': {'center': [274.84802345279485, 60.97684609389405], 'axes': [17.19903412138052, 21.378589427093253], 'angle': 0.3223826078427791}, 'location': [274.84802345279485, 60.97684609389405], 'diameter': 21.378589427093253, 'sphere': {'center': [-0.32242022336933784, -3.3379410943847962, 38.26069925038608], 'radius': 12.0}, 'projected_sphere': {'center': [154.77530357767907, 65.90994103439732], 'axes': [388.910822110755, 388.910822110755], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 243447.770221, 'theta': 1.6301964441458774, 'phi': -1.0998290613884532, 'norm_pos': [0.8589000732899839, 0.7459298079421082], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
