eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1595401265.647557,"{'circle_3d': {'center': [4.054345653939356, -5.033953325295035, 70.43649082327273], 'normal': [-0.10082966316880057, 0.3519836097731402, -0.930559464771777], 'radius': 1.007242433039279}, 'confidence': 0.3111096835097206, 'timestamp': 257394.599856, 'diameter_3d': 2.014484866078558, 'ellipse': {'center': [195.70026154236106, 75.6471129421387], 'axes': [17.031410595454446, 17.751742826617505], 'angle': -83.19687813797032}, 'location': [195.70026154236106, 75.6471129421387], 'diameter': 17.751742826617505, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.9304858155113769, 'phi': -1.6787290544174782, 'norm_pos': [0.6115633173198783, 0.684803696074422], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401265.658952,"{'circle_3d': {'center': [4.141602724748672, -5.274011513177948, 70.33957612396763], 'normal': [-0.0935582406013575, 0.33197876078289745, -0.9386356897138689], 'radius': 0.9770591337998914}, 'confidence': 0.39414455142926164, 'timestamp': 257394.608256, 'diameter_3d': 1.9541182675997828, 'ellipse': {'center': [196.5170183822444, 73.47449491593103], 'axes': [16.670718183241778, 17.245909530352552], 'angle': -85.09974584638161}, 'location': [196.5170183822444, 73.47449491593103], 'diameter': 17.245909530352552, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.909196859322913, 'phi': -1.6701429000743406, 'norm_pos': [0.6141156824445138, 0.6938562711836207], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401265.666928,"{'circle_3d': {'center': [4.134902209502809, -5.056269569660264, 70.41964667654176], 'normal': [-0.09411661687184607, 0.35012392274270426, -0.9319631436660245], 'radius': 0.9689130975791871}, 'confidence': 0.3041485227923192, 'timestamp': 257394.616656, 'diameter_3d': 1.9378261951583742, 'ellipse': {'center': [196.41637377846502, 75.44336838245952], 'axes': [16.403495861666798, 17.082998858010047], 'angle': -84.89009871206652}, 'location': [196.41637377846502, 75.44336838245952], 'diameter': 17.082998858010047, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.9284997238437223, 'phi': -1.6714425943728688, 'norm_pos': [0.6138011680577031, 0.685652631739752], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401265.674952,"{'circle_3d': {'center': [3.914568360058543, -4.87435655220142, 70.51428994525796], 'normal': [-0.11247777099220152, 0.36528334086427444, -0.924076204606341], 'radius': 1.0012478913696037}, 'confidence': 0.36971882290553426, 'timestamp': 257394.625056, 'diameter_3d': 2.0024957827392074, 'ellipse': {'center': [194.43302144174598, 77.09854702018333], 'axes': [16.810415560480088, 17.62284249528102], 'angle': -80.56363911603975}, 'location': [194.43302144174598, 77.09854702018333], 'diameter': 17.62284249528102, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.94473348592358, 'phi': -1.6919196531522203, 'norm_pos': [0.6076031920054562, 0.6787560540825694], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401265.682423,"{'circle_3d': {'center': [4.029474321376797, -5.025793613452798, 70.44230432560369], 'normal': [-0.10290227421568049, 0.35266358575999335, -0.9300750062441978], 'radius': 0.9759850537914788}, 'confidence': 0.30227283703249364, 'timestamp': 257394.633456, 'diameter_3d': 1.9519701075829576, 'ellipse': {'center': [195.47784592309785, 75.72514541972564], 'axes': [16.49545638198222, 17.198630980124822], 'angle': -82.68164829403868}, 'location': [195.47784592309785, 75.72514541972564], 'diameter': 17.198630980124822, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.931212380120098, 'phi': -1.6809868574717597, 'norm_pos': [0.6108682685096808, 0.6844785607511432], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401265.6911201,"{'circle_3d': {'center': [4.01288502629098, -5.03873083232121, 70.43925448388127], 'normal': [-0.10428471547283186, 0.3515854841876255, -0.9303291597210653], 'radius': 0.9811916839469382}, 'confidence': 0.4133401373448996, 'timestamp': 257394.641856, 'diameter_3d': 1.9623833678938765, 'ellipse': {'center': [195.33364762307133, 75.60903542386815], 'axes': [16.58988001046392, 17.29054042082572], 'angle': -82.32139421468162}, 'location': [195.33364762307133, 75.60903542386815], 'diameter': 17.29054042082572, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.9300605044633348, 'phi': -1.6824247685545706, 'norm_pos': [0.6104176488220979, 0.6849623524005494], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401265.69912,"{'circle_3d': {'center': [4.116854586652439, -5.060930827441686, 70.41973363330122], 'normal': [-0.09562058544271024, 0.34973548459425235, -0.9319558972694024], 'radius': 0.9746210542182341}, 'confidence': 0.37795002800789695, 'timestamp': 257394.650256, 'diameter_3d': 1.9492421084364682, 'ellipse': {'center': [196.25772604778945, 75.401960557783], 'axes': [16.501632576693847, 17.182961505764165], 'angle': -84.50743795825579}, 'location': [196.25772604778945, 75.401960557783], 'diameter': 17.182961505764165, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.9280850695739022, 'phi': -1.6730405970302304, 'norm_pos': [0.613305393899342, 0.6858251643425708], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401265.708897,"{'circle_3d': {'center': [4.101136270366348, -5.083094859794895, 70.4130638568448], 'normal': [-0.09693044513321783, 0.34788848189815186, -0.9325117119741047], 'radius': 0.9899939896539669}, 'confidence': 0.4649193617697568, 'timestamp': 257394.658656, 'diameter_3d': 1.9799879793079338, 'ellipse': {'center': [196.12326984701133, 75.20149844308932], 'axes': [16.77439976544393, 17.455022731649443], 'angle': -84.16938832445842}, 'location': [196.12326984701133, 75.20149844308932], 'diameter': 17.455022731649443, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.926114286965822, 'phi': -1.6743699216133263, 'norm_pos': [0.6128852182719104, 0.6866604231537945], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401265.7163851,"{'circle_3d': {'center': [4.094615516542347, -5.105222728009081, 70.40551282920678], 'normal': [-0.09747384128521794, 0.3460444928803029, -0.9331409642772726], 'radius': 0.9982037017884892}, 'confidence': 0.44246393567686615, 'timestamp': 257394.667056, 'diameter_3d': 1.9964074035769783, 'ellipse': {'center': [196.06998371438831, 75.00133952863614], 'axes': [16.926690819618255, 17.601357783872103], 'angle': -84.02424572626943}, 'location': [196.06998371438831, 75.00133952863614], 'diameter': 17.601357783872103, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.9241481566527503, 'phi': -1.6748766552576733, 'norm_pos': [0.6127186991074635, 0.6874944186306828], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595401265.722851,"{'circle_3d': {'center': [4.092401614610713, -5.014855223772529, 70.43967279326279], 'normal': [-0.09765833311285402, 0.3535751182333487, -0.9302943006059385], 'radius': 1.0063193920755926}, 'confidence': 0.42139751174997664, 'timestamp': 257394.675456, 'diameter_3d': 2.0126387841511852, 'ellipse': {'center': [196.03322388100437, 75.81712016049968], 'axes': [17.007001267397186, 17.73606806514947], 'angle': -84.00180754406358}, 'location': [196.03322388100437, 75.81712016049968], 'diameter': 17.73606806514947, 'sphere': {'center': [5.264301611964962, -9.257756642572716, 81.60320440053405], 'radius': 12.0}, 'projected_sphere': {'center': [199.9967994320198, 49.661964127997905], 'axes': [182.345780527984, 182.345780527984], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 257334.097234, 'theta': 1.9321866786278503, 'phi': -1.6753889894366734, 'norm_pos': [0.6126038246281387, 0.6840953326645847], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
